airport_code,city_name,code4,latitude,longitude,altitude_ft
BTI,barter,PABA,70.13400268550001,-143.582000732,2
K03,fort,PAWT,70.61340332,-159.8600006,35
LUR,cape,PALU,68.87509918,-166.1100006,16
PIZ,point,PPIZ,69.73290253,-163.00500490000002,22
ITO,hilo,PHTO,19.721399307250977,-155.04800415039062,38
ORL,orlando,KORL,28.545499801635998,-81.332901000977,113
BTT,bettles,PABT,66.91390228,-151.529007,647
Z84,clear,PACL,64.301201,-149.119995,552
UTO,indian,PAIM,65.99279785,-153.7039948,1273
FYU,fort,PFYU,66.57150268554689,-145.25,433
SVW,sparrevohn,PASV,61.09740067,-155.5740051,1585
FRN,fort,PAFR,61.26639938,-149.6529999,378
TLJ,tatalina,PATL,62.894401550299996,-155.977005005,964
CZF,cape,PACZ,61.78030014,-166.03900149999998,464
BED,bedford,KBED,42.47000122,-71.28900146,133
SNP,paul,PASN,57.16730117797852,-170.22000122070312,63
EHM,cape,PAEH,58.6464004517,-162.06300354,541
STG,point,PAPB,56.5783004761,-169.662002563,125
ILI,iliamna,PAIL,59.75439835,-154.9109955,192
PTU,port,PAPM,59.01139831542969,-161.82000732421875,15
BMX,big,PABM,59.361198425299996,-155.259002686,663
OSC,oscoda,KOSC,44.45159912,-83.39409637,633
OAR,fort,KOAR,36.68190002,-121.762001,137
MHR,sacramento,KMHR,38.55390167,-121.29799650000001,98
BYS,fort,KBYS,35.2804985046,-116.629997253,2350
NXP,twenty,KNXP,34.2961998,-116.16200259999998,2051
FSM,fort,KFSM,35.33660125732422,-94.36740112304688,469
MRI,anchorage,PAMR,61.2135009765625,-149.843994140625,137
GNT,grants,KGNT,35.167301178,-107.902000427,6537
PNC,ponca,KPNC,36.73199844,-97.09980011,1008
SVN,hunter,KSVN,32.00999832,-81.14569855,41
GFK,grand,KGFK,47.949298999999996,-97.176102,845
PBF,pine,KPBF,34.173099517800004,-91.9356002808,206
NSE,milton,KNSE,30.724199300000002,-87.02189636,199
HNM,hana,PHHN,20.79560089111328,-156.01400756835938,78
PRC,prescott,KPRC,34.65449905,-112.41999820000001,5045
TTN,trenton,KTTN,40.27669906616211,-74.8134994506836,213
BOS,boston,KBOS,42.36429977,-71.00520325,20
SUU,fairfield,KSUU,38.262699127196996,-121.92700195312,62
RME,rome,KRME,43.23379898,-75.40699768,504
ENV,wendover,KENV,40.7187004089,-114.03099823,4237
BFM,mobile,KBFM,30.626800537100006,-88.06809997559998,26
OAK,oakland,KOAK,37.72129821777344,-122.22100067138672,9
OMA,omaha,KOMA,41.303199768066406,-95.89409637451172,984
NOW,port,KNOW,48.14149856567383,-123.41400146484376,13
OGG,kahului,PHOG,20.89859962463379,-156.42999267578125,54
ICT,wichita,KICT,37.649898529052734,-97.43309783935548,1333
MCI,kansas,KMCI,39.2976,-94.713898,1026
MSN,madison,KMSN,43.13990020751953,-89.3375015258789,887
DLG,dillingham,PADL,59.04470062,-158.50500490000002,81
HRO,harrison,KHRO,36.26150131225586,-93.15470123291016,1365
PHX,phoenix,KPHX,33.43429946899414,-112.01200103759766,1135
BGR,bangor,KBGR,44.80739974975586,-68.82810211181639,192
FXE,fort,KFXE,26.1972999573,-80.1707000732,13
GGG,longview,KGGG,32.38399887084961,-94.71150207519531,365
AND,andersen,KAND,34.4945983887,-82.70939636230001,782
