ABBR_x,length_ft,width_ft
ABE,21333.0,1177.0
ABI,58481.0,1550.0
ABQ,61678.0,1565.0
ABY,137766.0,4642.0
ACK,13199.0,500.0
ACT,64724.0,2039.0
ACY,26940.0,946.0
ADK,15395.0,400.0
ADQ,26991.0,1002.0
AEX,44975.0,1467.0
AKN,16919.0,750.0
ALB,137766.0,4642.0
ALO,35263.0,1237.0
AMA,48440.0,995.0
ANC,89101.0,2852.0
ASE,9656.0,300.0
ATL,123072.0,3600.0
ATW,20768.0,572.0
AUS,67407.0,2065.0
AVL,10701.0,350.0
AVP,4954.0,295.0
AZO,17908.0,700.0
BDL,60.0,60.0
BET,29698.0,2685.0
BFL,24703.0,696.0
BGM,17302.0,620.0
BGR,28080.0,4290.0
BHM,19232.0,912.0
BIL,26086.0,560.0
BIS,22124.0,540.0
BJI,46840.0,5340.0
BKG,11870.0,425.0
BLI,19473.0,4522.0
BMI,36186.0,4847.0
BNA,61715.0,2120.0
BOI,26998.0,685.0
BOS,43085.0,1191.0
BQK,30111.0,735.0
BRO,30726.0,1000.0
BTM,20771.0,415.0
BTR,25690.0,1611.0
BTV,61709.0,1983.0
BUF,60614.0,1836.0
BUR,12837.0,450.0
BWI,49660.0,1885.0
BZN,26905.0,735.0
CAE,78570.0,3055.0
CAK,53825.0,1667.0
CDC,17655.0,360.0
CDV,23099.0,3540.0
CEC,22849.0,880.0
CHA,19040.0,575.0
CHS,116684.0,3290.0
CIC,20460.0,481.0
CID,14971.0,470.0
CLD,33948.0,705.0
CLE,87487.0,2963.0
CLL,17608.0,750.0
CLT,61736.0,1695.0
CMH,366354.0,11124.0
CMI,3500.0,120.0
CMX,15707.0,420.0
COD,11938.0,220.0
COS,57827.0,1323.0
CPR,36978.0,580.0
CRP,64583.0,2464.0
CRW,116684.0,3290.0
CSG,366354.0,11124.0
CVG,60255.0,1694.0
DAB,23998.0,761.0
DAL,65149.0,3015.0
DAY,91516.0,2608.0
DCA,243124.0,8478.0
DEN,141303.0,2555.0
DHN,15618.0,460.0
DLG,8800.0,300.0
DLH,55126.0,11000.0
DRO,18426.0,725.0
DSM,22296.0,1212.0
DTW,101913.0,2225.0
EGE,100.0,100.0
EKO,11935.0,300.0
ELM,8325.0,386.0
ELP,40651.0,973.0
ERI,32878.0,1115.0
EUG,19605.0,818.0
EVV,24119.0,807.0
EWN,11954.0,450.0
EWR,40037.0,1360.0
EYW,31541.0,740.0
FAI,80769.0,2245.0
FAR,28670.0,800.0
FAT,32097.0,850.0
FAY,75783.0,3310.0
FCA,45674.0,1250.0
FLG,7239.0,390.0
FLL,34459.0,1078.0
FLO,56418.0,6035.0
FNT,15100.0,350.0
FSD,21868.0,627.0
FSM,16909.0,430.0
FWA,30237.0,780.0
GCC,34503.0,910.0
GEG,59124.0,1557.0
GFK,33005.0,595.0
GGG,23459.0,595.0
GJT,19188.0,605.0
GNV,51200.0,2092.0
GPT,21127.0,640.0
GRB,25591.0,915.0
GRK,9443.0,348.0
GRR,51996.0,1968.0
GSO,55439.0,2030.0
GSP,175322.0,9531.0
GST,19730.0,4210.0
GTF,30140.0,950.0
GUC,12450.0,350.0
HDN,10000.0,150.0
HLN,37880.0,1445.0
HNL,52525.0,1525.0
HOU,422010.0,20190.0
HPN,11039.0,336.0
HRL,23577.0,740.0
HSV,47571.0,1345.0
HTS,35100.0,1016.0
IAD,243124.0,8478.0
IAH,422010.0,20190.0
ICT,80795.0,1948.0
IDA,18148.0,430.0
ILM,72037.0,2018.0
IND,68641.0,2698.0
IPL,17884.0,575.0
ISP,20401.0,525.0
ITH,20619.0,970.0
ITO,15486.0,386.0
IYK,17525.0,225.0
JAN,100511.0,3823.0
JAX,167878.0,4650.0
JFK,149524.0,6544.0
JNU,32881.0,2212.0
KTN,40043.0,6700.0
LAN,23253.0,834.0
LAS,109200.0,2351.0
LAW,21709.0,905.0
LAX,51667.0,4628.0
LBB,53472.0,1357.0
LCH,41112.0,1912.0
LFT,55346.0,2545.0
LGA,149524.0,6544.0
LGB,31150.0,1280.0
