airport_code,total_departure,average_departure_delay,average_departure_taxi,average_departure_cancelled,averge_departure_distance,total_arrival,average_arrival_delay,average_arrival_taxi,average_arrival_diverted,averge_arrival_distance,city,latitude,longitude,altitude_ft,city_id,temp_avg,pcp_avg
ABE,4034,5.877463365,13.55665149,0.020327219,562.0696579,4037,5.126924047,4.179299924,0.002972504,561.8600446,allentown,40.65209961,-75.44080353,393,10988,51.90248963,4.161037344
ABI,2490,8.685573366,8.305098684,0.023293173,158,2490,10.40640394,3.518442623,0.001606426,158,abilene,32.41130066,-99.68190002,1791,5333,64.48879668,2.131410788
ABQ,35582,5.050531013,9.96372369,0.005311674,641.4299646,35577,2.210594717,5.242186397,0.000674593,642.1587261,albuquerque,35.04019928,-106.6090012,5355,3742,54.31659751,0.92846473
ABY,995,7.742564103,10.82340862,0.021105528,146,997,6.965270684,3.42185904,0.002006018,146,albany,31.53549957,-84.19450378,197,17309,66.5780083,4.0693361
ACK,342,16.47878788,20.08181818,0.035087719,199,343,2.516616314,5.556886228,0.008746356,198.6472303,nantucket,41.25310135,-70.06020355,47,19193,50.793361,3.703195021
ACT,1053,7.921157685,8.134865135,0.049382716,89,1052,6.996003996,3.871257485,0.00095057,89,waco,31.61129951,-97.23049927,516,5814,66.86224066,3.144439834
ACV,3370,10.24268293,9.438987187,0.027596439,272.548368,3364,4.432556714,4.157653529,0.00862069,272.593044,arcata,40.97809982,-124.1090012,221,13722,54.5033195,5.06033195
ACY,522,5.66015625,12.9140625,0.019157088,717.3333333,522,7.693359375,5.236328125,0,717,atlantic,39.45759964,-74.57720184,75,3361,55.07136929,3.960995851
AEX,2947,7.656732118,12.47421957,0.032914829,335.475738,2948,7.219555242,3.43308746,0.0078019,335.4263908,alexandria,31.32740021,-92.54979706,89,6089,67.0120332,4.880539419
AGS,3107,12.30394737,17.69651086,0.022529771,142.962665,3106,9.490615739,3.222295298,0.00128783,143.2066967,bush,33.36989975,-81.96450043,144,15688,56.44564315,4.122946058
ALB,12018,6.313421518,13.70465273,0.012897321,649.0463471,12020,4.924886191,4.290976369,0.00249584,650.9351913,albany,42.74829865,-73.80169678,285,8899,47.8153527,3.601784232
ALO,330,1.853820598,14.19933555,0.087878788,166,331,5.752442997,3.870550162,0.006042296,166,waterloo,42.55709839,-92.40029907,873,18224,47.42572614,3.090373444
AMA,6649,6.666921782,8.684524721,0.01774703,379.9288615,6649,5.83471201,4.609752369,0.003459167,380.0351933,amarillo,35.2193985,-101.7060013,3607,4497,58.77593361,1.534647303
ASE,4701,11.45346985,10.90293917,0.066581578,271.6760264,4708,9.043518094,3.253935661,0.016567545,271.5649958,aspen,39.22320175,-106.8690033,7820,12534,38.47510373,2.379004149
