date,tavg,pcp
200001,17.9,17.02
200002,24.1,6.05
200003,28.5,23.65
200004,32.4,15.30
200005,40.0,10.08
200006,46.3,10.73
200007,47.5,15.71
200008,48.0,14.53
200009,41.7,32.68
200010,34.6,26.14
200011,29.5,19.52
200012,23.2,14.03
200101,28.4,28.17
200102,20.4,13.80
200103,25.8,16.65
200104,32.8,8.65
200105,38.0,12.20
200106,47.1,5.34
200107,47.3,12.73
200108,50.0,12.08
200109,43.0,33.24
200110,34.1,27.06
200111,24.7,12.64
200112,20.4,18.79
200201,22.5,15.40
200202,22.1,21.59
200203,20.8,6.89
200204,28.8,2.84
200205,39.7,8.56
200206,47.2,8.26
200207,46.9,10.94
200208,48.2,36.10
200209,42.9,21.11
200210,37.1,29.37
200211,32.2,25.65
200212,23.4,18.39
200301,22.4,19.54
200302,23.0,7.18
200303,23.2,10.91
200304,34.0,2.68
200305,40.2,10.28
200306,46.5,8.73
200307,50.3,7.70
200308,48.3,14.62
200309,41.5,36.08
200310,36.6,14.93
200311,22.8,16.71
200312,22.3,23.39
200401,15.6,17.53
200402,26.6,16.85
200403,26.9,18.46
200404,33.2,13.50
200405,44.2,3.50
200406,50.5,2.53
200407,50.0,7.34
200408,52.2,6.62
200409,42.2,32.65
200410,34.5,20.09
200411,28.5,28.21
200412,24.0,32.23
200501,16.2,17.44
200502,21.2,15.03
200503,29.2,14.25
200504,36.1,8.55
200505,46.0,3.89
200506,49.0,6.67
200507,47.9,12.10
200508,49.8,16.51
200509,43.3,29.29
200510,34.6,21.65
200511,27.6,37.18
200512,26.0,17.94
200601,19.9,10.94
200602,20.6,7.97
200603,20.5,4.86
200604,31.3,12.70
200605,40.3,14.89
200606,46.9,11.76
200607,47.8,10.33
200608,46.2,27.80
200609,42.7,37.80
200610,35.0,26.77
200611,12.4,8.36
200612,25.0,28.25
200701,21.5,20.12
200702,17.4,9.44
200703,20.1,20.37
200704,31.1,10.51
200705,38.8,11.06
200706,46.4,4.06
200707,47.8,16.61
200708,48.8,6.27
200709,42.2,25.44
200710,33.7,23.88
200711,26.5,9.07
200712,17.5,10.69
200801,16.4,16.16
200802,18.4,13.35
200803,26.3,12.74
200804,30.2,13.11
200805,39.4,9.87
200806,43.2,4.81
200807,44.3,15.94
200808,46.3,14.85
200809,41.5,28.48
200810,33.6,33.70
200811,26.8,15.40
200812,14.8,11.43
200901,16.6,26.69
200902,18.8,9.01
200903,21.5,11.40
200904,31.3,5.98
200905,40.4,4.92
200906,47.1,4.35
200907,50.9,4.33
200908,48.4,23.40
200909,42.1,27.25
200910,35.2,16.26
200911,25.6,20.67
200912,19.2,9.93
201001,20.5,16.38
201002,27.1,5.98
201003,28.0,24.57
201004,33.5,7.12
201005,42.4,3.34
201006,46.1,10.70
201007,46.0,8.05
201008,48.6,9.72
201009,44.0,16.89
201010,35.3,23.44
201011,26.0,21.03
201012,15.5,6.18
201101,19.7,15.96
201102,17.6,14.67
201103,21.7,3.77
201104,31.6,5.47
201105,40.5,6.46
201106,46.9,4.85
201107,47.4,7.96
201108,45.7,28.94
201109,41.7,32.35
201110,34.9,19.44
201111,20.7,18.84
201112,26.1,20.89
201201,17.6,21.12
201202,25.6,10.56
201203,25.3,9.54
201204,34.0,3.68
201205,36.9,13.18
201206,44.3,11.93
201207,46.3,8.99
201208,47.0,17.14
201209,41.9,34.45
201210,31.3,9.02
201211,21.5,11.96
201212,15.0,12.17
201301,22.1,20.35
201302,26.4,18.44
201303,22.3,7.52
201304,28.5,15.42
201305,40.0,12.89
201306,49.6,7.36
201307,49.3,8.61
201308,50.3,9.40
201309,43.9,20.14
201310,37.2,22.19
201311,22.4,17.85
201312,18.6,21.61
201401,27.5,24.54
201402,16.3,5.08
201403,24.0,10.21
201404,32.6,8.67
201405,44.0,4.63
201406,45.5,13.76
201407,47.7,18.62
201408,48.4,24.11
201409,43.9,26.16
201410,35.9,19.05
201411,25.6,11.50
201412,24.8,10.32
201501,25.8,33.97
201502,22.4,9.33
201503,29.2,13.53
201504,33.5,15.88
201505,45.8,1.59
201506,49.0,9.81
201507,48.1,19.33
201508,48.9,24.29
201509,41.6,29.94
201510,36.9,21.45
201511,27.1,28.68
201512,22.6,7.07
201601,26.3,21.18
201602,28.2,13.44
201603,31.9,6.22
201604,36.5,12.02
201605,44.0,13.92
201606,48.8,7.07
201607,50.1,10.23
201608,50.2,13.84
201609,43.5,28.00
201610,34.0,6.46
201611,28.6,22.49
201612,18.1,15.92
201701,22.0,15.91
201702,21.9,12.95
201703,19.4,10.35
201704,35.4,4.52
201705,41.3,11.96
201706,45.4,7.60
201707,46.3,12.31
201708,48.2,23.97
201709,43.0,26.80
201710,34.1,20.33
201711,20.5,5.59
201712,23.4,18.56
201801,20.7,15.45
201802,16.2,7.00
201803,25.1,9.45
201804,32.6,7.99
201805,41.2,14.36
201806,47.1,5.64
201807,50.9,5.04
201808,49.5,18.44
201809,43.6,4.70
201810,37.4,25.20
201811,29.3,15.02
201812,24.5,11.49
201901,21.6,15.85
201902,16.3,5.12
201903,29.6,11.23
201904,33.7,9.74
201905,43.7,5.76
201906,48.9,7.75
201907,50.9,5.57
201908,50.5,11.97
201909,44.3,18.58
201910,33.7,17.18
201911,29.8,25.54
201912,27.3,16.07
202001,15.6,14.79
