date,tavg,pcp
200001,42.3,2.00
200002,49.7,1.69
200003,54.7,2.90
200004,59.2,2.69
200005,70.8,4.47
200006,73.8,9.64
200007,80.2,1.59
200008,85.2,0.12
200009,75.2,3.05
200010,64.7,3.77
200011,44.6,8.11
200012,31.3,2.52
200101,36.8,2.97
200102,44.3,7.48
200103,47.8,1.91
200104,65.2,2.10
200105,69.4,7.97
200106,76.1,2.44
200107,83.8,0.70
200108,82.4,2.73
200109,70.8,4.39
200110,59.7,4.50
200111,55.0,2.70
200112,44.0,6.86
200201,41.0,4.23
200202,41.5,3.16
200203,47.5,9.62
200204,62.9,6.86
200205,67.0,6.59
200206,76.5,2.17
200207,80.6,3.27
200208,80.6,4.42
200209,75.1,1.46
200210,59.2,2.57
200211,47.8,1.68
200212,43.1,5.62
200301,37.4,0.36
200302,39.9,3.63
200303,50.9,2.12
200304,61.7,2.13
200305,69.6,3.18
200306,72.8,5.26
200307,80.8,1.33
200308,81.7,3.27
200309,69.9,3.62
200310,63.6,1.72
200311,53.6,5.00
200312,42.8,2.09
200401,40.9,2.93
200402,40.9,1.79
200403,56.0,4.49
200404,61.1,7.01
200405,70.3,2.66
200406,75.1,7.24
200407,77.3,7.57
200408,75.8,1.18
200409,73.5,0.48
200410,65.8,6.30
200411,53.2,8.68
200412,41.5,1.57
200501,43.8,5.29
200502,48.0,1.95
200503,50.0,2.39
200504,61.1,3.15
200505,67.6,2.98
200506,77.1,3.06
200507,80.5,1.74
200508,82.8,2.76
200509,77.7,6.32
200510,62.5,0.45
200511,53.3,2.21
200512,39.7,0.57
200601,47.4,3.21
200602,42.3,0.62
200603,53.7,5.82
200604,66.4,5.04
200605,70.3,3.68
200606,75.7,3.96
200607,82.4,1.76
200608,83.8,3.82
200609,69.6,3.83
200610,59.9,5.60
200611,53.3,7.99
200612,45.1,5.03
200701,39.2,5.56
200702,41.3,2.48
200703,59.5,0.61
200704,57.0,4.32
200705,70.1,3.66
200706,76.2,4.31
200707,78.2,6.17
200708,83.4,1.85
200709,74.2,5.68
200710,65.0,6.61
200711,52.8,0.66
200712,42.3,4.87
200801,39.0,0.86
200802,43.7,4.08
200803,52.3,12.20
200804,59.0,6.92
200805,68.0,5.30
200806,77.0,6.88
200807,81.0,1.57
200808,78.4,8.78
200809,70.8,8.21
200810,60.3,2.95
200811,49.2,2.34
200812,40.8,2.14
200901,38.4,2.80
200902,47.3,1.92
200903,52.7,3.96
200904,59.2,4.83
200905,66.8,9.45
200906,78.7,2.96
200907,79.4,4.79
200908,77.0,4.72
200909,70.7,7.97
200910,56.7,10.84
200911,54.4,1.60
200912,37.2,3.42
201001,36.6,2.97
201002,37.0,1.61
201003,49.8,2.36
201004,63.0,2.11
201005,70.6,4.96
201006,81.6,3.50
201007,82.5,3.34
201008,85.3,1.88
201009,74.6,5.05
201010,62.0,1.93
201011,52.6,2.37
201012,40.0,2.03
201101,37.2,0.53
201102,42.9,2.83
201103,53.0,0.92
201104,62.8,9.39
201105,67.1,9.82
201106,82.3,0.93
201107,87.6,0.72
201108,85.3,4.11
201109,70.6,3.16
201110,61.9,3.90
201111,53.6,8.68
201112,43.6,4.38
201201,44.6,4.42
201202,46.8,1.96
201203,61.7,7.74
201204,65.5,2.51
201205,73.5,1.41
201206,80.1,1.72
201207,85.6,4.36
201208,81.8,2.67
201209,75.6,4.43
201210,60.2,2.88
201211,52.1,0.64
201212,45.6,2.94
201301,42.0,4.23
201302,43.5,3.99
201303,47.6,4.70
201304,58.8,4.40
201305,67.3,6.58
201306,77.2,5.36
201307,79.0,5.88
201308,79.5,4.17
201309,76.4,2.10
201310,61.7,5.15
201311,48.1,3.10
201312,39.2,4.74
201401,35.6,1.23
201402,39.4,1.13
201403,47.4,4.63
201404,59.6,3.78
201405,67.8,6.99
201406,77.2,4.91
201407,75.8,5.31
201408,78.7,2.74
201409,72.8,6.90
201410,63.9,6.54
201411,44.6,1.48
201412,43.3,3.28
201501,38.8,2.91
201502,37.4,2.16
201503,50.7,6.55
201504,62.4,5.12
201505,68.4,19.23
201506,78.8,4.16
201507,82.8,7.23
201508,78.7,4.07
201509,75.3,2.73
201510,64.0,2.70
201511,53.9,11.45
201512,48.7,12.19
201601,39.6,0.80
201602,47.1,2.06
201603,54.8,6.32
201604,62.5,6.71
201605,66.8,4.17
201606,79.6,1.93
201607,82.5,6.23
201608,80.6,5.36
201609,75.8,2.55
201610,68.1,0.97
201611,56.4,3.02
201612,41.9,1.40
201701,44.6,2.28
201702,53.0,2.29
201703,55.8,4.88
201704,64.1,7.05
201705,67.8,6.10
201706,76.3,5.24
201707,81.5,5.89
201708,77.6,7.60
201709,74.2,0.06
201710,62.8,3.59
201711,54.5,0.54
201712,42.8,3.24
201801,36.3,2.43
201802,45.0,9.84
201803,53.7,3.82
201804,55.0,4.13
201805,74.8,3.59
201806,80.7,3.98
201807,82.7,3.92
201808,79.0,11.49
201809,75.4,7.32
201810,62.4,6.22
201811,45.2,2.80
201812,44.0,6.58
201901,39.4,3.75
201902,45.2,6.26
201903,48.9,3.43
201904,61.4,7.68
201905,69.8,10.12
201906,75.8,9.73
201907,79.7,3.36
201908,81.4,8.73
201909,80.4,2.80
201910,60.6,8.27
201911,47.0,4.82
201912,45.4,1.76
202001,43.6,6.39
