date,tavg,pcp
200001,50.0,1.39
200002,53.3,2.75
200003,55.9,0.95
200004,63.8,0.97
200005,70.8,0.17
200006,78.6,0.24
200007,77.7,0.00
200008,80.6,0.00
200009,73.8,0.01
200010,64.1,1.08
200011,49.6,0.01
200012,48.1,0.04
200101,46.1,2.04
200102,49.1,1.86
200103,58.9,1.38
200104,58.4,1.04
200105,76.5,0.00
200106,78.6,0.00
200107,80.5,0.04
200108,80.3,0.00
200109,76.2,0.00
200110,68.5,0.16
200111,56.4,1.31
200112,47.0,1.55
200201,44.6,0.68
200202,52.5,0.21
200203,55.1,0.76
200204,62.5,0.14
200205,68.7,0.08
200206,77.0,0.06
200207,82.5,0.00
200208,79.0,0.00
200209,76.2,0.00
200210,64.4,0.01
200211,55.5,0.99
200212,49.6,1.57
200301,49.0,0.30
200302,50.7,1.26
200303,57.8,0.86
200304,57.6,0.97
200305,68.1,0.78
200306,77.6,0.00
200307,84.4,0.02
200308,79.5,0.06
200309,78.2,0.01
200310,69.8,0.04
200311,52.0,0.38
200312,49.6,1.70
200401,45.9,0.76
200402,50.5,2.24
200403,62.5,0.36
200404,64.8,0.03
200405,70.0,0.00
200406,76.1,0.00
200407,81.3,0.00
200408,79.8,0.00
200409,75.1,0.01
200410,64.0,1.81
200411,51.0,0.46
200412,45.6,2.17
200501,46.5,2.66
200502,53.4,1.71
200503,57.2,1.54
200504,58.9,0.88
200505,68.4,1.16
200506,72.3,0.00
200507,84.6,0.01
200508,81.8,0.01
200509,71.6,0.21
200510,64.6,0.09
200511,57.0,0.13
200512,50.4,0.85
200601,48.1,3.27
200602,52.7,0.47
200603,50.5,2.44
200604,59.0,2.24
200605,71.2,0.53
200606,79.2,0.00
200607,85.2,0.00
200608,78.2,0.00
200609,74.7,0.00
200610,62.8,0.19
200611,54.5,0.17
200612,46.8,0.53
200701,43.7,0.45
200702,52.1,0.89
200703,60.6,0.30
200704,62.7,0.30
200705,70.8,0.01
200706,76.5,0.00
200707,81.1,0.00
200708,81.1,0.05
200709,72.3,0.27
200710,63.2,0.42
200711,56.5,0.08
200712,45.0,1.14
200801,46.8,2.48
200802,50.7,0.79
200803,56.5,0.00
200804,60.9,0.01
200805,69.0,0.21
200806,77.3,0.00
200807,82.4,0.01
200808,82.9,0.00
200809,76.9,0.00
200810,66.8,0.09
200811,57.0,0.64
200812,44.5,0.94
200901,47.7,0.72
200902,50.9,1.40
200903,55.5,0.24
200904,60.9,0.08
200905,74.3,0.31
200906,74.8,0.12
200907,83.5,0.00
200908,80.0,0.00
200909,77.8,0.24
200910,62.6,0.72
200911,53.3,0.20
200912,46.5,1.53
201001,47.9,2.69
201002,51.9,2.11
201003,54.8,0.39
201004,56.7,1.32
201005,63.7,0.34
201006,75.9,0.00
201007,81.2,0.01
201008,78.6,0.00
201009,74.9,0.00
201010,66.8,0.59
201011,53.0,1.19
201012,50.2,4.74
201101,45.4,1.22
201102,48.6,1.04
201103,54.2,2.47
201104,59.9,0.23
201105,64.2,0.30
201106,73.1,0.30
201107,80.1,0.00
201108,79.7,0.01
201109,77.8,0.01
201110,66.8,0.36
201111,52.2,1.03
201112,44.2,0.01
201201,48.3,0.52
201202,51.7,0.26
201203,55.1,1.47
201204,61.7,1.28
201205,70.2,0.01
201206,75.0,0.01
201207,79.7,0.00
201208,83.5,0.00
201209,78.5,0.00
201210,66.4,0.26
201211,56.0,0.37
201212,48.1,1.42
201301,45.1,0.34
201302,49.4,0.46
201303,59.4,0.85
201304,65.3,0.06
201305,70.5,0.32
201306,78.3,0.00
201307,84.5,0.01
201308,79.8,0.00
201309,74.8,0.00
201310,64.4,0.01
201311,56.2,0.23
201312,46.3,0.09
201401,51.7,0.11
201402,55.0,1.36
201403,60.6,0.73
201404,64.7,0.24
201405,72.6,0.01
201406,78.6,0.00
201407,84.3,0.00
201408,81.8,0.00
201409,78.5,0.01
201410,69.9,0.34
201411,57.0,0.89
201412,51.4,2.46
201501,47.7,0.17
201502,56.7,0.72
201503,63.5,0.25
201504,64.0,0.48
201505,67.4,0.28
201506,80.7,0.03
201507,81.8,0.08
201508,81.1,0.01
201509,77.8,0.01
201510,70.1,0.58
201511,51.1,0.79
201512,45.9,1.18
201601,49.8,2.39
201602,55.3,0.35
201603,58.4,1.18
201604,64.6,0.48
201605,70.0,0.24
201606,80.0,0.03
201607,83.0,0.00
201608,81.8,0.00
201609,75.7,0.00
201610,65.8,0.74
201611,57.1,0.87
201612,47.2,1.33
201701,47.2,3.74
201702,52.8,2.57
201703,57.7,0.61
201704,61.7,0.70
201705,70.1,0.34
201706,79.4,0.01
201707,84.8,0.00
201708,84.5,0.00
201709,76.8,0.07
201710,66.2,0.03
201711,57.4,0.10
201712,48.8,0.04
201801,51.3,1.08
201802,51.7,0.17
201803,55.4,2.26
201804,63.7,0.34
201805,69.1,0.00
201806,77.0,0.00
201807,85.4,0.00
201808,81.1,0.00
201809,75.9,0.00
201810,66.3,0.08
201811,56.8,1.27
201812,48.3,0.41
201901,49.4,1.66
201902,48.0,2.21
201903,55.3,1.37
201904,65.1,0.29
201905,65.2,1.36
201906,78.5,0.09
201907,81.6,0.00
201908,82.4,0.00
201909,74.7,0.00
201910,63.0,0.00
201911,55.8,0.77
201912,49.3,1.94
202001,47.2,0.47
