date,tavg,pcp
200001,22.6,3.77
200002,26.6,3.67
200003,28.9,3.57
200004,39.1,2.37
200005,47.4,2.14
200006,53.8,1.16
200007,60.5,1.69
200008,59.5,2.40
200009,51.2,2.47
200010,41.1,1.17
200011,20.0,2.30
200012,20.2,2.29
200101,19.0,1.34
200102,23.3,2.42
200103,29.4,2.92
200104,37.5,3.19
200105,45.9,2.33
200106,54.9,1.41
200107,60.4,2.34
200108,57.4,3.39
200109,52.2,1.41
200110,40.5,1.51
200111,31.1,2.84
200112,18.4,1.88
200201,17.9,1.62
200202,18.4,1.74
200203,24.2,2.84
200204,39.8,1.48
200205,45.0,0.58
200206,57.4,0.14
200207,62.3,1.31
200208,58.1,1.35
200209,49.6,3.76
200210,37.4,2.72
200211,25.8,3.12
200212,20.0,1.49
200301,25.6,0.86
200302,19.7,2.92
200303,28.2,3.13
200304,36.0,2.96
200305,44.9,2.81
200306,51.4,1.41
200307,63.6,0.89
200308,59.5,2.17
200309,48.9,2.74
200310,44.9,0.71
200311,25.5,3.73
200312,21.6,2.85
200401,19.6,2.19
200402,19.9,2.26
200403,33.8,1.59
200404,37.1,4.01
200405,45.3,1.01
200406,52.4,1.54
200407,56.9,1.49
200408,55.0,0.82
200409,47.9,3.02
200410,38.8,2.27
200411,28.2,3.09
200412,21.1,2.00
200501,25.2,4.89
200502,23.7,2.68
200503,26.5,2.38
200504,35.7,3.11
200505,44.9,1.74
200506,50.3,2.07
200507,60.5,1.31
200508,55.3,2.19
200509,50.9,2.80
200510,41.1,4.04
200511,28.6,3.10
200512,18.8,4.01
200601,20.5,3.09
200602,21.2,1.67
200603,26.4,3.16
200604,38.4,1.99
200605,46.7,1.03
200606,55.7,0.47
200607,59.9,2.85
200608,55.8,2.33
200609,45.2,3.11
200610,37.1,4.51
200611,28.7,3.18
200612,21.6,1.56
200701,18.0,1.98
200702,23.6,2.80
200703,32.0,2.38
200704,37.5,2.71
200705,44.4,1.87
200706,54.3,0.78
200707,60.6,2.52
200708,59.0,1.95
200709,50.5,3.27
200710,39.6,2.96
200711,31.9,1.01
200712,16.8,5.67
200801,14.5,5.31
200802,20.8,4.47
200803,24.6,3.56
200804,31.1,2.74
200805,41.5,2.86
200806,51.7,0.72
200807,59.3,1.37
200808,57.3,1.91
200809,49.8,1.28
200810,40.3,1.24
200811,31.2,2.60
200812,19.7,5.53
200901,22.3,3.30
200902,24.4,2.22
200903,29.0,2.68
200904,33.3,3.50
200905,46.1,2.70
200906,50.0,1.89
200907,57.9,1.51
200908,55.9,0.74
200909,50.2,1.71
200910,35.0,2.91
200911,31.8,1.26
200912,15.4,2.59
201001,21.4,1.71
201002,19.0,3.26
201003,27.7,2.40
201004,34.4,4.05
201005,41.6,2.03
201006,54.5,1.53
201007,59.3,1.97
201008,56.2,2.99
201009,52.7,1.00
201010,41.2,3.22
201011,25.6,2.70
201012,25.2,3.95
201101,18.2,2.63
201102,18.2,3.20
201103,29.2,3.57
201104,32.8,6.04
201105,40.3,3.04
201106,52.5,0.89
201107,59.2,2.57
201108,58.9,1.14
201109,50.7,1.27
201110,39.3,3.01
201111,27.3,1.90
201112,21.0,0.98
201201,21.6,3.14
201202,20.4,2.53
201203,32.5,1.04
201204,39.5,2.22
201205,46.3,1.23
201206,58.1,0.29
201207,60.1,2.99
201208,58.2,2.48
201209,50.6,1.81
201210,40.2,1.47
201211,32.7,0.95
201212,19.0,2.69
201301,17.6,2.07
201302,18.3,2.11
201303,27.3,2.70
201304,32.4,4.48
201305,43.7,2.85
201306,56.2,0.19
201307,59.9,2.81
201308,57.0,2.14
201309,51.2,4.36
201310,36.7,2.75
201311,29.2,2.48
201312,18.6,3.15
201401,20.2,4.41
201402,23.3,3.12
201403,27.9,2.95
201404,33.9,2.17
201405,43.3,2.41
201406,52.6,0.34
201407,59.7,2.07
201408,54.4,3.15
201409,52.0,2.78
201410,42.1,1.84
201411,27.4,3.24
201412,22.8,3.69
201501,24.2,0.98
201502,26.2,1.99
201503,32.7,2.31
201504,36.2,2.52
201505,41.3,5.07
201506,55.9,1.37
201507,55.9,2.95
201508,57.2,1.96
201509,52.5,1.58
201510,43.8,2.30
201511,27.1,2.61
201512,19.1,3.05
201601,19.2,3.20
201602,24.8,1.69
201603,29.0,2.59
201604,35.4,3.70
201605,42.8,2.42
201606,57.0,0.78
201607,59.0,1.53
201608,54.7,2.67
201609,50.7,1.48
201610,43.6,1.08
201611,33.3,1.90
201612,20.5,4.56
201701,19.8,5.98
201702,27.9,2.84
201703,34.4,1.76
201704,35.5,2.52
201705,43.5,2.53
201706,56.1,0.20
201707,60.3,2.25
201708,56.7,1.76
201709,51.6,2.12
201710,39.9,2.28
201711,35.6,1.07
201712,24.9,1.16
201801,24.1,2.06
201802,22.7,3.19
201803,28.8,1.82
201804,36.6,4.00
201805,48.1,0.86
201806,56.6,0.63
201807,61.7,0.82
201808,57.9,1.73
201809,53.6,0.66
201810,38.5,3.20
201811,24.6,2.64
201812,18.8,2.00
201901,20.6,3.09
201902,19.6,3.20
201903,28.3,6.84
201904,37.6,3.45
201905,39.7,4.15
201906,51.5,1.50
201907,59.6,0.87
201908,59.3,1.25
201909,54.0,0.69
201910,34.5,2.21
201911,30.4,1.93
201912,20.7,2.82
202001,20.5,2.45
