date,tavg,pcp
200001,61.3,2.15
200002,62.4,0.60
200003,69.8,1.76
200004,70.1,2.37
200005,77.5,0.39
200006,80.2,6.26
200007,81.9,6.63
200008,81.6,3.10
200009,81.1,8.47
200010,74.0,3.54
200011,66.4,0.60
200012,60.9,0.68
200101,56.3,0.98
200102,67.7,1.27
200103,67.3,3.35
200104,71.2,1.81
200105,75.8,4.44
200106,80.3,7.83
200107,81.4,9.94
200108,81.2,6.34
200109,78.8,12.12
200110,74.8,3.93
200111,70.0,4.34
200112,67.4,0.68
200201,61.7,2.30
200202,63.0,3.62
200203,68.7,0.52
200204,74.4,2.12
200205,77.7,1.67
200206,79.7,11.92
200207,81.5,6.95
200208,81.5,8.63
200209,82.3,5.03
200210,78.6,3.84
200211,66.5,2.05
200212,60.3,7.66
200301,54.6,2.30
200302,64.4,1.53
200303,72.6,4.98
200304,70.4,1.84
200305,78.9,1.72
200306,80.2,10.96
200307,81.8,5.23
200308,81.0,6.77
200309,80.0,5.70
200310,76.0,1.11
200311,72.2,1.99
200312,59.8,2.60
200401,60.2,1.98
200402,62.7,4.08
200403,67.2,0.82
200404,68.9,1.36
200405,76.4,1.83
200406,81.5,9.24
200407,81.9,4.18
200408,81.7,10.10
200409,81.7,14.71
200410,76.1,2.88
200411,70.7,0.94
200412,61.6,2.65
200501,62.9,2.11
200502,63.0,1.99
200503,64.5,5.66
200504,68.2,2.14
200505,75.4,3.28
200506,79.7,13.82
200507,83.9,2.57
200508,83.7,5.91
200509,81.1,7.49
200510,76.4,11.97
200511,70.8,1.53
200512,61.2,2.15
200601,63.0,0.75
200602,60.7,2.55
200603,66.3,0.17
200604,74.1,2.05
200605,76.2,2.01
200606,80.2,6.61
200607,81.5,7.16
200608,82.3,7.91
200609,80.6,6.56
200610,74.6,0.91
200611,66.7,2.80
200612,68.7,2.13
200701,65.3,1.75
200702,61.0,2.05
200703,68.2,0.86
200704,70.3,1.79
200705,75.4,1.60
200706,79.7,8.91
200707,82.2,8.71
200708,83.4,1.56
200709,81.4,8.14
200710,79.3,5.77
200711,68.5,1.15
200712,67.9,1.10
200801,62.0,3.36
200802,66.6,2.39
200803,67.0,3.14
200804,70.8,2.81
200805,77.6,1.17
200806,80.6,5.64
200807,80.7,9.17
200808,81.5,19.58
200809,81.1,3.40
200810,74.5,7.34
200811,64.4,1.42
200812,65.2,0.92
200901,59.4,1.30
200902,60.1,0.68
200903,66.9,0.94
200904,71.0,1.82
200905,77.3,10.88
200906,81.9,4.32
200907,81.8,7.87
200908,82.9,3.90
200909,81.4,5.54
200910,77.8,0.73
200911,70.6,1.22
200912,64.8,4.84
201001,54.7,1.35
201002,54.8,3.95
201003,60.6,8.68
201004,70.5,2.86
201005,78.6,2.34
201006,82.9,4.11
201007,83.9,1.99
201008,83.7,6.05
201009,81.8,5.02
201010,74.4,0.10
201011,67.9,1.71
201012,52.2,1.03
201101,59.3,4.43
201102,64.4,0.37
201103,67.7,3.54
201104,74.2,3.41
201105,77.0,1.13
201106,81.0,5.36
201107,82.5,6.69
201108,83.6,8.43
201109,81.1,4.18
201110,73.1,9.36
201111,70.5,1.52
201112,67.0,2.03
201201,61.2,0.04
201202,67.2,1.84
201203,71.6,2.30
201204,72.5,2.40
201205,77.6,5.31
201206,79.1,8.64
201207,82.2,3.45
201208,82.0,7.57
201209,80.6,4.22
201210,75.6,3.22
201211,65.0,0.48
201212,65.2,2.09
201301,66.9,1.29
201302,65.0,1.22
201303,61.0,1.06
201304,73.4,5.48
201305,74.6,6.14
201306,80.9,9.02
201307,80.8,7.00
201308,82.3,3.95
201309,80.6,5.27
201310,76.2,0.74
201311,71.8,3.31
201312,68.3,1.68
201401,58.9,3.78
201402,65.9,3.23
201403,66.5,2.45
201404,72.0,2.79
201405,76.8,3.65
201406,79.7,5.80
201407,82.2,11.51
201408,83.0,5.45
201409,80.5,12.05
201410,75.1,2.29
201411,65.2,5.36
201412,64.8,1.61
201501,62.1,2.82
201502,59.7,3.69
201503,71.0,1.14
201504,76.5,3.88
201505,77.5,1.63
201506,81.1,6.91
201507,82.4,8.41
201508,82.2,6.86
201509,80.5,6.96
201510,76.5,1.48
201511,75.2,2.54
201512,73.1,2.23
201601,59.8,8.29
201602,60.9,2.46
201603,70.6,3.56
201604,71.8,1.91
201605,76.4,7.17
201606,81.4,7.08
201607,84.0,1.85
201608,83.1,5.37
201609,81.2,10.29
201610,76.4,6.79
201611,68.9,0.33
201612,69.0,1.18
201701,64.1,1.99
201702,66.3,2.33
201703,67.5,0.61
201704,73.5,1.01
201705,77.8,2.55
201706,80.3,9.38
201707,82.7,6.63
201708,82.7,5.53
201709,81.3,17.21
201710,76.7,8.44
201711,70.6,2.39
201712,65.0,0.88
201801,59.3,3.13
201802,71.5,0.41
201803,64.3,0.85
201804,72.6,3.55
201805,76.2,8.51
201806,81.0,10.09
201807,82.4,7.68
201808,82.4,4.11
201809,82.6,2.23
201810,78.7,1.62
201811,70.4,1.39
201812,64.0,3.15
201901,61.3,4.19
201902,69.1,3.35
201903,67.2,2.51
201904,72.8,1.76
201905,78.2,4.61
201906,81.9,8.24
201907,83.0,6.48
201908,82.5,8.34
201909,81.7,2.93
201910,79.4,6.37
201911,68.7,1.74
201912,66.7,5.67
202001,64.3,1.12
