date,tavg,pcp
200001,19.9,1.19
200002,29.8,1.27
200003,42.3,0.95
200004,47.6,3.02
200005,60.9,4.61
200006,66.3,8.78
200007,70.7,3.00
200008,71.0,2.91
200009,63.2,3.51
200010,54.1,0.97
200011,33.9,1.39
200012,10.5,2.24
200101,19.6,1.36
200102,19.3,3.15
200103,30.8,0.96
200104,51.9,3.29
200105,61.3,6.19
200106,66.7,4.58
200107,73.9,1.89
200108,71.8,3.79
200109,60.4,6.34
200110,49.0,3.17
200111,47.0,1.75
200112,30.0,1.32
200201,28.6,0.26
200202,30.2,1.31
200203,31.5,1.49
200204,47.4,3.86
200205,55.4,4.31
200206,69.9,8.81
200207,75.0,5.41
200208,70.2,7.11
200209,64.7,3.03
200210,46.6,3.89
200211,34.9,0.26
200212,27.7,0.61
200301,17.8,0.44
200302,19.4,0.38
200303,33.5,1.09
200304,48.0,2.27
200305,56.5,5.04
200306,66.0,3.19
200307,71.5,4.59
200308,73.5,0.50
200309,61.4,3.95
200310,50.3,1.47
200311,36.8,6.81
200312,28.0,1.80
200401,16.7,0.63
200402,23.4,1.47
200403,39.5,4.90
200404,49.6,1.24
200405,59.4,8.80
200406,66.6,4.50
200407,69.7,2.74
200408,65.4,3.38
200409,65.6,0.63
200410,50.8,3.79
200411,40.5,2.11
200412,25.5,1.25
200501,18.5,2.13
200502,29.3,1.26
200503,34.6,0.95
200504,52.6,2.15
200505,55.9,2.80
200506,72.7,3.93
200507,73.5,2.65
200508,71.1,4.33
200509,66.9,2.93
200510,52.0,0.60
200511,38.8,2.56
200512,18.0,1.27
200601,31.5,1.42
200602,23.6,0.50
200603,36.0,3.11
200604,52.2,5.22
200605,58.9,3.11
200606,67.8,4.17
200607,74.6,6.44
200608,71.6,2.45
200609,59.6,4.32
200610,46.5,2.23
200611,40.0,2.65
200612,30.6,1.49
200701,23.0,0.94
200702,13.1,2.06
200703,39.8,2.14
200704,45.8,5.79
200705,63.7,1.63
200706,69.0,3.62
200707,71.5,6.12
200708,72.7,8.48
200709,64.6,3.05
200710,55.6,5.31
200711,36.3,0.28
200712,20.2,3.84
200801,16.6,1.19
200802,15.8,3.16
200803,30.2,1.96
200804,46.9,7.95
200805,56.0,7.82
200806,68.2,8.51
200807,72.1,5.67
200808,68.8,2.53
200809,64.0,3.83
200810,49.5,1.98
200811,37.5,1.46
200812,16.8,2.95
200901,9.5,0.91
200902,24.8,1.28
200903,36.6,4.16
200904,46.7,4.02
200905,58.7,3.67
200906,68.2,3.82
200907,66.0,6.31
200908,67.3,8.41
200909,63.3,1.26
200910,45.3,7.03
200911,42.8,1.58
200912,21.7,3.49
201001,14.9,1.61
201002,20.2,0.72
201003,40.5,1.07
201004,53.7,5.27
201005,60.2,5.00
201006,69.9,8.16
201007,74.2,11.36
201008,73.2,3.86
201009,62.2,3.35
201010,53.1,1.30
201011,38.2,1.49
201012,15.7,2.68
201101,15.4,0.96
201102,21.7,2.47
201103,34.2,2.49
201104,46.1,5.08
201105,58.0,2.62
201106,68.9,4.29
201107,76.8,10.87
201108,70.9,2.99
201109,59.6,2.83
201110,52.4,1.42
201111,39.7,3.76
201112,30.2,2.73
201201,24.2,1.15
201202,29.6,1.24
201203,50.8,2.73
201204,49.2,2.82
201205,64.1,2.80
201206,70.0,1.68
201207,78.7,1.20
201208,70.0,3.53
201209,60.8,1.74
201210,48.2,3.25
201211,37.9,1.34
201212,28.4,2.12
201301,20.9,1.77
201302,21.7,1.81
201303,27.1,2.60
201304,43.7,8.13
201305,59.6,6.49
201306,67.9,6.22
201307,71.3,2.52
201308,70.7,2.89
201309,65.5,2.54
201310,49.9,1.94
201311,33.1,2.35
201312,16.0,1.09
201401,9.5,1.17
201402,9.6,1.47
201403,27.4,1.26
201404,46.0,6.18
201405,59.0,2.16
201406,69.9,10.73
201407,67.8,3.02
201408,70.6,3.17
201409,61.2,2.84
201410,49.0,3.17
201411,28.6,1.33
201412,28.1,1.06
201501,19.2,0.70
201502,11.1,1.21
201503,33.5,0.77
201504,49.6,2.65
201505,59.8,5.26
201506,67.3,7.88
201507,70.4,1.57
201508,68.6,3.18
201509,68.0,4.01
201510,52.3,2.78
201511,41.3,4.96
201512,35.0,4.56
201601,19.3,0.58
201602,27.5,0.67
201603,40.9,3.50
201604,47.8,2.07
201605,59.0,4.68
201606,70.3,7.65
201607,71.8,6.89
201608,72.3,4.79
201609,66.5,5.61
201610,54.8,2.28
201611,44.4,2.36
201612,22.0,1.68
201701,23.8,2.07
201702,33.7,1.11
201703,36.7,2.36
201704,50.8,4.26
201705,57.1,3.83
201706,69.6,5.32
201707,72.0,8.56
201708,66.5,2.59
201709,65.8,0.75
201710,53.6,5.97
201711,35.5,0.80
201712,23.2,0.54
201801,18.7,1.10
201802,21.4,2.59
201803,34.5,1.57
201804,38.4,1.58
201805,65.9,5.21
201806,70.9,6.71
201807,72.1,4.06
201808,71.4,8.11
201809,65.3,9.13
201810,47.7,7.06
201811,30.4,2.01
201812,29.1,1.93
201901,17.0,2.77
201902,17.4,3.25
201903,31.0,1.61
201904,47.6,4.15
201905,56.4,5.80
201906,67.5,4.58
201907,75.3,4.29
201908,68.5,4.03
201909,66.4,10.29
201910,47.1,6.23
201911,30.3,1.76
201912,29.9,1.43
202001,24.6,1.54
