date,tavg,pcp
200001,29.4,4.80
200002,33.1,4.03
200003,37.3,3.24
200004,45.9,3.38
200005,50.4,3.59
200006,57.6,1.68
200007,64.6,0.37
200008,65.2,0.09
200009,53.5,2.36
200010,45.2,1.60
200011,28.8,2.43
200012,26.2,2.27
200101,29.6,1.82
200102,28.7,2.18
200103,38.0,1.99
200104,41.3,3.10
200105,52.9,2.35
200106,55.4,2.20
200107,64.4,0.64
200108,67.0,0.10
200109,60.1,0.58
200110,43.3,4.15
200111,38.6,4.69
200112,29.3,6.05
200201,30.4,5.01
200202,30.9,2.50
200203,32.0,3.45
200204,42.7,2.33
200205,48.4,2.69
200206,59.0,1.99
200207,67.4,0.43
200208,62.9,0.74
200209,56.4,0.74
200210,42.0,0.49
200211,36.1,3.11
200212,33.5,5.80
200301,34.1,5.87
200302,32.7,1.93
200303,38.7,4.48
200304,43.4,2.20
200305,50.6,3.10
200306,60.6,0.84
200307,69.2,0.17
200308,67.0,0.58
200309,58.1,1.89
200310,48.8,1.92
200311,30.4,4.21
200312,29.6,3.96
200401,28.2,5.04
200402,32.8,3.05
200403,40.8,1.81
200404,46.4,1.55
200405,51.0,4.00
200406,59.2,1.25
200407,67.4,0.24
200408,66.0,2.95
200409,54.6,2.23
200410,46.0,2.73
200411,35.7,3.26
200412,32.6,3.06
200501,29.0,2.88
200502,34.0,0.27
200503,39.5,4.00
200504,45.2,1.50
200505,53.6,3.09
200506,56.0,2.40
200507,65.4,1.44
200508,65.3,0.56
200509,54.2,1.13
200510,46.6,3.45
200511,34.6,3.62
200512,25.4,4.17
200601,35.1,9.56
200602,29.8,2.98
200603,36.4,2.84
200604,44.2,2.86
200605,52.9,2.28
200606,60.3,3.11
200607,69.9,0.21
200608,64.4,0.23
200609,57.5,0.70
200610,45.2,1.44
200611,35.2,9.58
200612,29.1,3.48
200701,25.2,3.09
200702,33.1,3.46
200703,39.3,2.80
200704,43.6,1.19
200705,52.4,1.59
200706,57.9,1.33
200707,71.0,0.40
200708,64.1,0.67
200709,56.3,0.89
200710,44.4,2.30
200711,34.6,3.70
200712,28.9,7.11
200801,25.5,6.08
200802,33.0,2.12
200803,34.5,3.27
200804,38.8,1.74
200805,51.7,1.49
200806,55.8,2.60
200807,66.0,0.55
200808,63.8,1.62
200809,56.0,1.25
200810,44.6,0.73
200811,37.8,4.26
200812,23.0,6.05
200901,27.8,3.16
200902,31.5,2.26
200903,32.2,4.38
200904,42.3,1.86
200905,51.2,2.30
200906,59.4,1.60
200907,66.2,1.34
200908,65.5,1.44
200909,59.7,0.45
200910,40.4,3.94
200911,36.1,2.33
200912,24.1,2.59
201001,33.8,3.37
201002,36.3,1.84
201003,39.0,2.49
201004,43.0,3.23
201005,48.0,2.95
201006,55.8,5.34
201007,64.2,0.60
201008,64.4,0.48
201009,55.4,1.73
201010,47.0,3.38
201011,33.0,5.44
201012,30.2,5.35
201101,29.6,5.60
201102,27.6,2.27
201103,36.2,5.43
201104,38.7,4.50
201105,48.8,3.95
201106,54.8,2.01
201107,62.3,0.66
201108,66.5,0.03
201109,60.5,0.69
201110,45.9,1.89
201111,33.6,4.19
201112,29.7,2.41
201201,30.0,4.94
201202,32.2,3.11
201203,36.0,8.23
201204,44.8,3.58
201205,50.2,2.67
201206,55.3,5.96
201207,67.4,2.33
201208,65.9,0.24
201209,58.6,0.02
201210,45.4,3.62
201211,37.5,5.50
201212,31.7,5.32
201301,27.1,3.28
201302,33.4,1.64
201303,37.6,2.28
201304,42.6,2.71
201305,53.0,2.06
201306,57.8,3.47
201307,68.6,0.27
201308,66.8,2.01
201309,58.7,3.43
201310,42.8,0.84
201311,33.8,3.64
201312,26.0,2.13
201401,31.3,2.84
201402,26.1,4.36
201403,36.9,6.41
201404,43.2,3.41
201405,52.8,1.49
201406,57.1,3.76
201407,69.4,0.58
201408,66.9,0.99
201409,58.8,0.96
201410,49.8,2.39
201411,33.6,4.71
201412,31.8,4.42
201501,32.1,4.37
201502,37.5,2.60
201503,41.8,4.20
201504,43.8,1.54
201505,55.9,1.44
201506,66.6,0.82
201507,69.0,0.63
201508,68.1,0.45
201509,55.1,0.62
201510,51.2,1.67
201511,34.6,3.20
201512,31.2,7.52
201601,31.6,4.46
201602,37.5,2.93
201603,39.4,5.99
201604,50.6,1.28
201605,54.7,2.29
201606,60.6,1.05
201607,64.4,1.12
201608,65.6,0.43
201609,55.9,1.44
201610,46.0,9.21
201611,41.4,3.28
201612,23.9,3.82
201701,22.9,2.72
201702,30.1,7.86
201703,37.4,6.67
201704,42.5,3.83
201705,53.3,2.74
201706,60.1,1.71
201707,69.4,0.01
201708,68.5,0.09
201709,57.4,1.89
201710,44.0,2.91
201711,35.9,5.44
201712,26.7,4.54
201801,33.4,4.93
201802,28.8,4.09
201803,36.5,1.73
201804,43.0,3.64
201805,57.3,1.37
201806,57.8,1.52
201807,67.1,0.08
201808,65.5,0.66
201809,55.0,0.36
201810,44.7,2.31
201811,35.9,4.59
201812,31.0,4.45
201901,31.4,3.04
201902,21.6,5.02
201903,33.7,1.05
201904,43.8,3.19
201905,54.2,2.84
201906,59.7,1.55
201907,64.6,0.47
201908,66.0,1.35
201909,56.0,2.17
201910,39.5,2.37
201911,36.0,1.23
201912,32.8,3.29
202001,32.7,7.73
