date,tavg,pcp
200001,32.1,0.55
200002,40.9,2.02
200003,46.7,5.22
200004,54.2,1.92
200005,67.7,2.60
200006,73.5,4.31
200007,80.3,3.79
200008,85.5,0.23
200009,73.4,0.73
200010,60.7,3.71
200011,37.1,0.71
200012,21.6,0.51
200101,31.2,1.16
200102,29.2,3.42
200103,41.3,2.09
200104,58.8,2.19
200105,66.3,4.09
200106,74.2,3.69
200107,85.0,2.58
200108,80.4,3.45
200109,68.7,3.37
200110,57.1,1.43
200111,49.9,0.22
200112,36.7,0.20
200201,34.2,0.86
200202,35.1,0.34
200203,38.8,0.85
200204,56.5,2.45
200205,63.0,3.19
200206,78.1,2.46
200207,82.9,1.02
200208,80.4,2.62
200209,72.3,1.04
200210,50.8,5.05
200211,42.8,0.37
200212,36.2,0.23
200301,31.4,0.14
200302,32.0,1.19
200303,44.8,2.79
200304,57.4,3.80
200305,63.2,3.39
200306,72.4,4.27
200307,84.0,1.03
200308,82.3,4.26
200309,66.1,3.39
200310,58.4,1.28
200311,42.8,0.64
200312,34.2,0.93
200401,29.6,0.66
200402,30.1,1.11
200403,49.3,4.12
200404,55.6,2.45
200405,68.2,3.59
200406,72.8,3.34
200407,77.3,6.32
200408,75.0,1.05
200409,73.5,2.14
200410,59.8,1.64
200411,45.4,1.55
200412,36.5,0.27
200501,28.3,1.96
200502,39.1,2.32
200503,45.4,2.06
200504,55.9,2.68
200505,65.3,2.56
200506,76.6,6.48
200507,80.5,2.51
200508,78.8,5.59
200509,73.6,1.17
200510,58.7,1.66
200511,46.8,1.27
200512,30.0,0.47
200601,42.2,0.11
200602,34.8,0.00
200603,46.5,2.24
200604,60.6,3.01
200605,66.6,2.61
200606,77.2,4.43
200607,82.9,1.18
200608,80.2,6.39
200609,65.2,2.26
200610,56.0,1.85
200611,45.3,0.05
200612,37.5,2.58
200701,28.5,0.91
200702,31.4,1.00
200703,53.2,3.89
200704,52.0,2.82
200705,67.2,13.79
200706,73.4,2.40
200707,79.4,3.67
200708,83.4,1.76
200709,71.1,3.01
200710,59.8,4.29
200711,44.2,0.16
200712,28.3,3.27
200801,29.2,0.33
200802,31.3,1.05
200803,42.9,1.27
200804,50.3,3.50
200805,63.6,3.99
200806,75.2,3.95
200807,79.5,3.16
200808,76.3,4.05
200809,67.2,5.39
200810,56.6,3.87
200811,44.4,0.76
200812,28.6,0.35
200901,30.8,0.03
200902,39.4,0.34
200903,45.1,1.15
200904,53.4,4.55
200905,64.4,1.26
200906,76.6,4.46
200907,76.0,4.84
200908,74.9,5.11
200909,66.2,3.79
200910,49.6,3.65
200911,48.2,0.79
200912,25.1,0.91
201001,25.9,0.27
201002,30.0,0.44
201003,45.1,2.39
201004,59.0,2.47
201005,63.1,3.61
201006,78.8,4.18
201007,81.0,4.77
201008,81.1,2.34
201009,71.6,3.54
201010,60.0,0.32
201011,43.4,3.11
201012,31.9,0.05
201101,26.3,0.43
201102,29.4,0.79
201103,44.3,1.22
201104,55.6,1.23
201105,64.2,4.26
201106,78.4,2.88
201107,86.6,2.54
201108,82.0,3.30
201109,66.8,1.73
201110,58.6,1.31
201111,43.9,2.71
201112,33.8,2.49
201201,35.6,0.16
201202,37.4,1.92
201203,57.0,1.85
201204,59.8,3.14
201205,71.0,0.80
201206,78.9,2.66
201207,86.7,1.29
201208,76.6,3.69
201209,68.4,2.11
201210,55.4,1.08
201211,47.1,0.51
201212,34.4,0.25
201301,32.7,1.11
201302,33.8,2.24
201303,40.4,1.03
201304,49.7,3.10
201305,63.7,7.22
201306,75.7,3.71
201307,77.3,8.16
201308,77.4,5.21
201309,73.6,1.84
201310,57.0,1.40
201311,41.7,0.53
201312,28.5,0.85
201401,29.4,0.35
201402,27.9,1.04
201403,40.9,0.25
201404,55.0,1.46
201405,66.3,3.36
201406,75.0,9.37
201407,77.4,0.90
201408,80.3,3.55
201409,69.0,4.31
201410,60.0,2.07
201411,38.7,0.11
201412,35.0,1.77
201501,32.2,0.70
201502,30.7,0.51
201503,47.6,0.20
201504,57.4,2.45
201505,63.3,8.28
201506,77.1,3.90
201507,81.3,3.21
201508,76.4,3.59
201509,76.1,1.85
201510,61.0,0.78
201511,48.7,2.64
201512,38.7,3.75
201601,32.5,0.68
201602,41.9,0.67
201603,51.4,0.67
201604,58.0,4.58
201605,63.6,6.19
201606,80.1,1.15
201607,81.8,3.98
201608,78.4,7.15
201609,72.2,2.19
201610,63.1,2.09
201611,51.1,0.62
201612,30.9,1.00
201701,33.9,1.71
201702,43.9,0.10
201703,49.8,3.81
201704,57.1,4.08
201705,64.7,4.49
201706,77.9,2.34
201707,83.5,1.35
201708,75.3,1.65
201709,74.1,2.07
201710,59.6,4.14
201711,46.4,0.10
201712,34.4,0.09
201801,30.4,0.37
201802,33.0,0.27
201803,47.0,0.79
201804,48.7,1.21
201805,73.9,3.04
201806,81.4,3.01
201807,81.0,3.82
201808,77.5,4.84
201809,71.2,4.73
201810,54.9,6.71
201811,38.3,1.26
201812,34.8,2.26
201901,31.3,1.26
201902,27.2,0.87
201903,40.0,1.56
201904,56.8,2.19
201905,61.8,10.48
201906,74.2,6.42
201907,80.2,1.91
201908,78.0,8.06
201909,76.9,1.07
201910,52.4,2.02
201911,41.2,0.45
201912,36.8,1.42
202001,33.2,1.25
