date,tavg,pcp
200001,32.4,5.08
200002,43.2,6.20
200003,49.5,3.60
200004,54.2,3.60
200005,67.6,3.20
200006,73.4,4.61
200007,74.8,3.67
200008,75.1,3.87
200009,66.4,4.78
200010,59.5,0.62
200011,43.2,3.39
200012,25.4,3.76
200101,31.6,1.44
200102,39.7,3.38
200103,41.3,2.31
200104,60.4,1.22
200105,67.0,5.36
200106,71.8,3.57
200107,76.7,4.62
200108,77.0,3.35
200109,66.7,3.30
200110,56.5,6.43
200111,51.2,5.07
200112,41.0,4.48
200201,39.1,3.94
200202,38.8,1.41
200203,44.6,7.37
200204,58.8,5.91
200205,63.0,6.00
200206,76.0,4.27
200207,79.6,1.67
200208,78.3,1.11
200209,72.8,7.63
200210,56.0,4.70
200211,43.2,2.90
200212,36.5,6.01
200301,27.1,1.48
200302,31.1,4.67
200303,47.8,2.14
200304,57.5,5.31
200305,64.4,7.02
200306,69.7,4.54
200307,75.6,3.85
200308,76.1,5.94
200309,66.0,6.80
200310,56.6,2.07
200311,50.4,4.90
200312,37.2,3.40
200401,30.7,4.03
200402,36.4,1.70
200403,48.9,3.65
200404,56.6,4.18
200405,69.8,9.70
200406,73.6,2.66
200407,74.8,7.04
200408,71.9,3.24
200409,69.6,0.30
200410,59.6,6.41
200411,49.9,6.82
200412,35.7,3.28
200501,37.1,5.37
200502,40.1,2.57
200503,41.6,3.93
200504,57.0,3.73
200505,62.7,4.27
200506,75.3,2.49
200507,77.7,3.40
200508,78.7,7.08
200509,71.9,1.46
200510,58.2,1.08
200511,47.6,4.21
200512,32.7,2.30
200601,42.8,5.12
200602,36.1,1.82
200603,45.2,5.02
200604,59.7,5.87
200605,63.4,4.27
200606,71.9,5.41
200607,77.5,5.26
200608,77.6,5.26
200609,65.0,10.09
200610,54.0,4.87
200611,47.3,2.98
200612,41.2,3.09
200701,37.0,4.23
200702,28.2,2.94
200703,53.3,3.49
200704,53.7,4.43
200705,68.6,2.28
200706,75.0,2.98
200707,75.2,4.05
200708,81.8,2.65
200709,73.4,2.33
200710,63.0,9.12
200711,46.3,2.67
200712,40.0,7.37
200801,32.7,3.13
200802,35.7,4.89
200803,44.3,9.43
200804,55.7,5.82
200805,62.6,6.44
200806,75.8,3.62
200807,76.6,3.94
200808,75.6,0.78
200809,72.1,1.36
200810,57.5,2.48
200811,43.5,2.06
200812,35.9,5.38
200901,28.5,3.06
200902,38.0,2.46
200903,48.4,2.12
200904,56.4,4.84
200905,65.3,5.16
200906,74.4,7.50
200907,71.8,6.82
200908,73.6,4.81
200909,69.2,6.19
200910,53.4,7.73
200911,49.5,1.15
200912,35.4,3.13
201001,29.1,2.94
201002,29.4,1.90
201003,47.2,1.54
201004,60.3,3.94
201005,68.0,7.55
201006,78.5,4.73
201007,79.8,5.48
201008,79.5,2.12
201009,72.0,0.44
201010,59.5,1.42
201011,47.4,5.84
201012,29.4,1.81
201101,29.7,1.32
201102,39.0,5.70
201103,47.8,4.92
201104,59.6,14.90
201105,65.4,8.21
201106,75.2,6.06
201107,81.4,3.96
201108,76.9,2.45
201109,66.7,5.79
201110,56.0,2.44
201111,50.5,8.04
201112,41.4,5.53
201201,38.2,4.25
201202,40.9,1.95
201203,58.2,5.81
201204,57.8,3.66
201205,70.8,7.72
201206,73.9,1.52
201207,82.0,3.61
201208,75.7,2.14
201209,67.8,5.92
201210,55.2,2.54
201211,43.3,1.00
201212,42.7,6.84
201301,36.0,5.30
201302,35.8,1.85
201303,39.1,4.32
201304,55.9,4.05
201305,66.6,4.08
201306,73.7,6.62
201307,74.4,5.20
201308,75.1,2.76
201309,70.0,3.99
201310,56.7,7.76
201311,42.8,4.21
201312,36.8,5.60
201401,26.8,2.38
201402,31.0,3.70
201403,41.8,2.26
201404,58.5,7.74
201405,67.5,4.91
201406,76.0,2.06
201407,73.3,4.53
201408,75.6,5.97
201409,68.4,2.88
201410,57.3,4.27
201411,39.8,1.81
201412,38.9,3.91
201501,31.7,1.21
201502,26.0,2.11
201503,44.4,7.05
201504,57.8,9.64
201505,68.4,2.41
201506,75.1,7.30
201507,77.0,9.05
201508,73.7,3.38
201509,71.5,2.18
201510,58.5,4.69
201511,50.5,5.43
201512,48.0,6.58
201601,32.4,0.95
201602,38.3,4.91
201603,51.8,4.92
201604,57.3,4.13
201605,63.7,5.33
201606,76.0,4.40
201607,78.3,6.33
201608,78.6,6.24
201609,72.9,2.28
201610,63.7,0.85
201611,50.5,1.92
201612,36.4,5.73
201701,40.0,4.26
201702,46.9,1.66
201703,48.3,4.22
201704,62.6,4.94
201705,66.0,5.85
201706,73.4,3.81
201707,78.0,3.79
201708,73.8,3.62
201709,68.7,5.81
201710,58.8,5.69
201711,47.0,2.85
201712,35.0,2.51
201801,30.6,2.03
201802,43.1,10.22
201803,43.2,5.09
201804,51.0,3.76
201805,73.4,4.06
201806,76.8,7.21
201807,77.3,5.70
201808,77.1,5.62
201809,73.2,9.47
201810,59.4,2.43
201811,41.7,6.23
201812,41.3,5.44
201901,33.8,4.14
201902,40.6,8.48
201903,42.3,4.04
201904,58.0,6.82
201905,68.5,5.61
201906,72.8,9.31
201907,79.0,2.93
201908,76.6,3.44
201909,76.6,0.14
201910,59.7,5.63
201911,41.0,4.87
201912,42.1,4.87
202001,39.8,3.63
