date,tavg,pcp
200001,53.5,3.21
200002,57.7,0.99
200003,63.6,2.69
200004,65.5,2.39
200005,77.5,0.48
200006,79.7,4.58
200007,83.3,3.22
200008,83.3,3.56
200009,77.4,5.31
200010,67.0,0.75
200011,56.1,12.13
200012,46.3,3.52
200101,47.1,4.19
200102,58.5,2.55
200103,57.3,10.23
200104,69.7,0.61
200105,73.6,1.40
200106,78.6,20.54
200107,81.4,8.44
200108,80.9,7.47
200109,76.2,4.11
200110,64.8,4.34
200111,62.7,3.22
200112,55.2,3.67
200201,52.0,4.16
200202,50.0,2.43
200203,59.7,6.66
200204,70.3,3.76
200205,74.1,1.28
200206,78.8,5.06
200207,81.6,5.29
200208,80.6,7.41
200209,79.2,12.79
200210,71.9,11.59
200211,56.8,6.63
200212,51.4,6.67
200301,46.2,0.46
200302,53.0,6.33
200303,60.9,3.95
200304,66.5,6.40
200305,77.2,2.01
200306,79.8,13.64
200307,80.7,13.03
200308,81.5,6.04
200309,76.4,3.14
200310,67.8,2.27
200311,61.9,3.61
200312,48.8,2.60
200401,50.7,3.42
200402,50.7,7.96
200403,62.8,1.31
200404,65.3,5.01
200405,73.5,9.62
200406,79.8,10.99
200407,81.6,3.52
200408,79.6,5.61
200409,78.2,1.47
200410,74.3,6.41
200411,63.2,7.48
200412,50.2,3.07
200501,55.6,3.34
200502,57.1,6.21
200503,58.2,3.06
200504,65.4,7.78
200505,72.6,5.29
200506,79.8,3.14
200507,82.0,9.77
200508,82.5,8.72
200509,81.0,2.68
200510,68.2,0.02
200511,60.9,2.42
200512,50.2,4.02
200601,56.2,2.67
200602,53.1,4.07
200603,62.5,0.34
200604,71.3,5.41
200605,74.4,0.47
200606,81.1,0.91
200607,81.7,6.02
200608,83.1,6.69
200609,76.8,3.20
200610,68.7,4.40
200611,57.4,4.77
200612,53.6,8.53
200701,51.5,5.33
200702,51.9,2.33
200703,62.6,1.79
200704,64.9,4.10
200705,73.0,8.14
200706,80.0,4.88
200707,80.6,6.60
200708,83.8,3.82
200709,78.7,5.14
200710,69.5,9.03
200711,59.5,1.29
200712,57.2,4.28
200801,49.9,7.42
200802,55.9,5.00
200803,59.7,3.32
200804,66.9,5.42
200805,74.5,8.50
200806,80.6,3.37
200807,81.9,4.14
200808,80.7,8.86
200809,76.4,9.19
200810,66.1,1.10
200811,56.8,1.99
200812,55.3,4.06
200901,52.5,2.28
200902,54.9,2.55
200903,63.0,8.10
200904,66.4,2.35
200905,75.2,2.64
200906,81.6,2.04
200907,82.0,6.41
200908,80.9,4.56
200909,78.7,8.54
200910,69.4,7.21
200911,57.6,1.27
200912,50.5,17.87
201001,46.1,2.82
201002,45.8,6.80
201003,55.5,3.41
201004,67.6,1.85
201005,77.5,4.64
201006,82.7,6.92
201007,83.2,5.57
201008,83.6,9.94
201009,79.1,1.25
201010,68.1,0.79
201011,59.8,3.63
201012,47.3,1.61
201101,47.6,3.97
201102,53.2,2.50
201103,63.2,5.59
201104,70.5,1.00
201105,73.9,1.42
201106,83.4,3.60
201107,83.0,10.07
201108,85.2,3.30
201109,76.0,12.41
201110,65.2,0.11
201111,60.2,1.95
201112,54.4,3.16
201201,56.4,2.43
201202,58.1,7.11
201203,67.9,7.93
201204,69.1,4.75
201205,75.9,2.63
201206,80.2,6.46
201207,81.8,8.82
201208,81.1,16.46
201209,77.6,6.68
201210,66.2,1.12
201211,56.2,2.24
201212,55.9,5.54
201301,54.7,8.98
201302,55.5,10.13
201303,55.3,0.98
201304,65.7,8.98
201305,71.4,4.85
201306,80.8,4.59
201307,80.5,6.41
201308,80.9,5.07
201309,79.4,5.48
201310,69.8,1.64
201311,56.5,3.51
201312,52.4,4.29
201401,43.7,3.02
201402,53.3,8.99
201403,56.3,7.05
201404,66.3,5.38
201405,71.9,10.47
201406,79.7,8.74
201407,80.3,5.58
201408,82.0,4.63
201409,78.8,2.57
201410,69.2,2.03
201411,53.6,1.79
201412,56.4,6.00
201501,49.7,5.12
201502,49.6,2.91
201503,64.2,5.63
201504,71.3,10.14
201505,75.2,6.86
201506,80.7,3.99
201507,84.6,4.45
201508,82.5,3.01
201509,77.6,3.99
201510,69.9,5.84
201511,63.3,6.92
201512,61.0,9.47
201601,50.2,3.94
201602,55.4,5.50
201603,64.5,8.83
201604,68.1,6.97
201605,73.4,4.74
201606,81.1,6.92
201607,83.6,5.11
201608,82.6,10.58
201609,80.6,4.73
201610,71.5,0.13
201611,62.6,2.13
201612,57.4,6.02
201701,58.2,9.85
201702,62.1,2.26
201703,65.0,4.46
201704,69.5,4.61
201705,72.4,10.09
201706,78.6,13.41
201707,82.4,5.45
201708,81.8,11.19
201709,77.5,1.57
201710,69.9,4.20
201711,61.2,1.36
201712,52.6,7.68
201801,46.4,5.13
201802,64.9,6.46
201803,61.8,5.06
201804,63.7,7.66
201805,77.0,1.95
201806,82.3,4.73
201807,82.8,6.80
201808,81.4,6.17
201809,80.8,6.06
201810,72.4,5.67
201811,56.2,6.63
201812,54.9,7.88
201901,51.2,3.93
201902,61.9,5.71
201903,59.7,2.33
201904,66.1,6.62
201905,76.4,6.18
201906,81.4,4.85
201907,82.1,7.94
201908,83.0,9.20
201909,82.1,0.99
201910,71.4,10.09
201911,55.7,1.34
201912,55.7,2.93
202001,55.7,6.23
