date,tavg,pcp
200001,22.6,3.54
200002,29.1,3.37
200003,40.2,4.25
200004,44.6,6.34
200005,56.0,3.84
200006,64.8,6.31
200007,66.7,4.75
200008,66.1,3.49
200009,59.2,3.47
200010,49.2,2.32
200011,39.2,3.47
200012,23.8,4.22
200101,23.1,1.93
200102,26.4,3.04
200103,31.3,7.81
200104,45.6,1.59
200105,57.9,2.47
200106,67.3,6.39
200107,66.8,3.39
200108,71.5,3.21
200109,61.2,3.40
200110,51.1,0.80
200111,43.4,1.30
200112,34.8,2.92
200201,31.4,2.30
200202,31.5,2.43
200203,35.9,4.20
200204,48.2,3.78
200205,54.2,5.49
200206,63.6,4.82
200207,70.8,2.18
200208,71.1,3.06
200209,64.0,3.82
200210,47.2,3.95
200211,37.6,5.50
200212,27.1,5.07
200301,17.2,2.86
200302,21.3,4.10
200303,33.8,4.09
200304,42.4,3.83
200305,53.9,4.49
200306,64.1,5.83
200307,70.7,2.26
200308,70.8,5.33
200309,61.6,4.92
200310,47.5,5.63
200311,42.1,2.46
200312,30.2,5.66
200401,16.1,1.45
200402,26.3,1.61
200403,35.8,2.20
200404,46.5,7.94
200405,58.5,3.94
200406,63.6,2.08
200407,68.6,4.13
200408,68.6,4.99
200409,61.5,8.00
200410,48.9,2.15
200411,39.6,3.73
200412,28.5,4.57
200501,21.6,5.14
200502,27.0,2.93
200503,30.3,4.62
200504,48.1,5.57
200505,51.2,4.26
200506,68.2,2.58
200507,71.1,4.03
200508,71.6,2.92
200509,64.3,2.51
200510,51.1,15.45
200511,40.7,4.84
200512,26.6,4.20
200601,31.5,5.27
200602,26.9,2.94
200603,34.6,0.60
200604,47.6,2.48
200605,55.8,7.44
200606,66.3,9.22
200607,72.8,3.79
200608,67.7,4.61
200609,59.4,2.33
200610,48.9,6.37
200611,44.8,5.78
200612,36.1,2.13
200701,28.6,3.14
200702,21.0,2.17
200703,33.2,4.88
200704,42.9,7.77
200705,58.3,3.70
200706,65.1,2.88
200707,69.7,4.45
200708,68.8,1.44
200709,62.5,2.67
200710,55.0,3.65
200711,37.5,3.44
200712,26.8,4.81
200801,26.8,2.76
200802,27.3,9.65
200803,33.5,5.25
200804,47.6,4.17
200805,54.1,2.10
200806,66.9,4.83
200807,71.8,7.34
200808,66.5,4.00
200809,61.2,8.49
200810,48.2,2.62
200811,38.8,3.63
200812,29.6,7.12
200901,18.1,3.91
200902,27.5,1.79
200903,34.6,2.96
200904,48.0,4.10
200905,56.6,3.83
200906,62.4,5.61
200907,66.8,8.71
200908,70.6,4.29
200909,59.0,1.71
200910,47.5,5.66
200911,44.0,3.38
200912,27.8,4.64
201001,25.0,3.37
201002,28.3,4.49
201003,41.0,10.33
201004,50.2,1.55
201005,60.2,2.90
201006,67.4,3.65
201007,73.7,2.94
201008,69.6,3.68
201009,63.7,2.08
201010,50.1,6.34
201011,40.1,3.91
201012,26.8,4.05
201101,20.9,3.59
201102,23.7,4.25
201103,34.5,4.55
201104,47.2,5.24
201105,58.2,3.84
201106,64.8,5.87
201107,72.5,2.21
201108,69.2,11.08
201109,64.3,7.25
201110,51.4,7.01
201111,44.5,4.15
201112,35.0,4.72
201201,29.1,3.15
201202,32.9,0.96
201203,43.8,1.72
201204,48.3,3.22
201205,60.6,4.40
201206,64.9,4.47
201207,72.9,2.57
201208,71.2,5.32
201209,61.3,5.09
201210,52.5,5.23
201211,38.2,0.82
201212,33.6,4.81
201301,26.3,1.92
201302,27.5,4.22
201303,34.1,2.81
201304,46.0,1.99
201305,57.7,5.02
201306,66.8,9.76
201307,74.7,3.87
201308,67.5,3.53
201309,60.1,3.40
201310,50.7,1.80
201311,37.6,3.54
201312,27.8,4.10
201401,22.0,3.31
201402,22.6,4.08
201403,27.8,4.81
201404,45.3,4.05
201405,56.8,4.57
201406,65.9,2.14
201407,70.9,6.03
201408,66.6,3.37
201409,61.3,1.83
201410,52.2,6.41
201411,37.6,4.31
201412,33.5,5.14
201501,20.5,4.28
201502,12.6,3.13
201503,28.4,2.53
201504,45.2,2.69
201505,62.0,0.79
201506,63.5,6.99
201507,70.6,3.14
201508,70.3,2.52
201509,65.4,4.12
201510,48.9,3.75
201511,43.7,2.08
201512,40.5,4.75
201601,27.5,2.14
201602,29.8,4.58
201603,40.6,3.35
201604,44.6,2.97
201605,57.2,2.65
201606,66.0,1.81
201607,72.2,2.12
201608,72.0,4.07
201609,63.9,2.38
201610,51.4,5.23
201611,41.5,2.60
201612,29.9,3.82
201701,30.6,3.60
201702,32.0,2.70
201703,30.8,3.17
201704,50.0,5.28
201705,55.1,6.10
201706,66.0,4.54
201707,69.8,4.02
201708,67.7,2.96
201709,64.7,3.05
201710,56.9,8.72
201711,39.3,1.63
201712,25.7,2.72
201801,23.8,4.22
201802,33.6,4.71
201803,34.4,4.03
201804,42.0,5.19
201805,61.0,2.03
201806,64.9,4.22
201807,73.5,5.53
201808,72.8,7.08
201809,64.9,8.26
201810,49.5,4.69
201811,36.6,8.85
201812,31.4,3.93
201901,24.8,5.15
201902,27.8,3.22
201903,33.3,2.53
201904,47.5,7.82
201905,55.1,3.69
201906,65.6,4.03
201907,73.5,4.93
201908,69.2,4.50
201909,61.4,1.67
201910,51.5,6.30
201911,36.3,3.18
201912,29.4,6.87
202001,31.4,1.96
