date,tavg,pcp
200001,31.5,3.20
200002,37.0,2.38
200003,47.8,5.10
200004,52.2,4.70
200005,64.6,3.50
200006,71.8,4.15
200007,71.8,6.00
200008,72.3,3.16
200009,65.1,6.05
200010,56.6,0.32
200011,43.0,2.01
200012,28.4,3.13
200101,31.1,2.79
200102,36.8,2.18
200103,39.6,5.09
200104,54.2,2.04
200105,62.8,4.97
200106,72.5,4.50
200107,72.4,2.58
200108,76.3,3.70
200109,65.3,2.78
200110,56.0,0.89
200111,50.2,1.50
200112,41.6,1.81
200201,38.2,2.43
200202,38.9,0.39
200203,44.5,4.16
200204,56.0,3.31
200205,61.9,3.54
200206,72.7,2.90
200207,77.6,2.61
200208,77.2,3.83
200209,69.0,3.75
200210,54.8,7.24
200211,43.6,4.32
200212,33.0,5.18
200301,27.2,2.72
200302,29.2,5.65
200303,43.0,4.25
200304,52.1,2.91
200305,59.6,6.67
200306,69.2,7.99
200307,75.2,4.45
200308,76.0,4.17
200309,67.3,8.02
200310,53.8,5.79
200311,49.7,4.98
200312,35.5,4.91
200401,26.2,1.75
200402,33.3,2.60
200403,44.8,2.63
200404,54.0,5.48
200405,69.2,4.55
200406,70.5,5.53
200407,75.2,6.09
200408,73.6,4.02
200409,68.8,6.04
200410,54.7,1.58
200411,47.4,4.57
200412,36.5,3.28
200501,32.5,4.22
200502,35.6,1.87
200503,39.0,4.97
200504,55.1,4.03
200505,58.8,2.97
200506,73.5,3.39
200507,77.3,8.15
200508,76.8,2.90
200509,71.1,0.51
200510,57.2,10.18
200511,47.5,3.01
200512,32.6,3.68
200601,40.6,4.00
200602,35.0,2.43
200603,44.2,0.31
200604,56.4,3.90
200605,62.5,2.26
200606,71.8,9.24
200607,78.0,3.49
200608,76.7,0.96
200609,64.7,6.16
200610,54.3,5.03
200611,48.3,6.02
200612,42.0,2.27
200701,37.3,2.67
200702,27.1,2.53
200703,43.6,4.41
200704,50.4,5.13
200705,64.6,1.63
200706,72.6,2.91
200707,75.4,2.55
200708,75.8,3.94
200709,69.7,0.83
200710,62.7,5.81
200711,44.6,2.05
200712,36.6,4.52
200801,34.8,1.48
200802,35.6,4.71
200803,43.6,3.08
200804,55.3,4.62
200805,60.0,6.67
200806,74.3,3.54
200807,76.5,4.75
200808,72.3,2.32
200809,68.5,7.28
200810,54.4,1.83
200811,44.1,2.79
200812,37.1,4.37
200901,27.8,2.61
200902,36.4,0.46
200903,42.5,1.98
200904,54.3,5.34
200905,63.2,6.72
200906,70.7,5.47
200907,73.3,4.41
200908,75.8,6.91
200909,66.0,4.24
200910,54.6,6.35
200911,48.9,3.90
200912,34.3,6.90
201001,31.8,2.43
201002,30.1,3.78
201003,47.6,4.56
201004,56.9,2.32
201005,66.0,3.15
201006,76.1,1.64
201007,79.3,5.37
201008,75.9,4.61
201009,69.9,6.82
201010,57.2,4.29
201011,45.6,2.35
201012,30.9,2.17
201101,28.4,2.38
201102,36.0,2.73
201103,42.8,5.65
201104,56.2,5.59
201105,65.8,3.41
201106,73.9,2.21
201107,80.0,3.47
201108,74.7,10.07
201109,68.5,10.98
201110,55.3,3.90
201111,48.7,4.25
201112,40.8,4.19
201201,36.3,2.33
201202,39.4,1.96
201203,52.3,1.71
201204,53.7,2.42
201205,68.0,3.79
201206,71.9,3.59
201207,79.4,4.90
201208,75.7,4.75
201209,67.7,3.67
201210,57.0,10.12
201211,42.0,0.86
201212,41.5,3.50
201301,35.1,4.42
201302,33.1,2.02
201303,39.4,2.78
201304,54.0,2.58
201305,62.8,3.54
201306,72.5,7.99
201307,77.8,4.46
201308,72.4,3.52
201309,65.8,1.70
201310,57.5,6.77
201311,42.2,3.04
201312,37.3,5.37
201401,26.1,2.93
201402,30.6,4.96
201403,37.2,4.50
201404,51.9,7.48
201405,63.9,4.85
201406,71.9,5.61
201407,74.5,3.91
201408,71.3,5.05
201409,67.6,2.38
201410,57.3,4.04
201411,41.8,3.69
201412,39.0,3.45
201501,29.2,3.62
201502,23.8,1.91
201503,38.0,4.87
201504,53.6,2.92
201505,68.2,2.93
201506,72.9,10.06
201507,75.8,3.77
201508,74.1,2.18
201509,70.7,5.13
201510,54.5,3.62
201511,49.7,2.36
201512,47.6,5.33
201601,30.8,3.63
201602,35.7,5.18
201603,48.6,2.03
201604,52.7,2.01
201605,60.8,5.06
201606,71.9,3.93
201607,78.0,5.81
201608,77.5,3.68
201609,71.1,5.29
201610,58.6,1.07
201611,46.9,1.70
201612,36.9,3.07
201701,36.8,2.81
201702,42.7,1.31
201703,41.9,3.97
201704,59.1,3.55
201705,61.5,5.29
201706,72.3,1.64
201707,77.2,6.77
201708,72.1,5.30
201709,67.8,2.09
201710,60.8,3.56
201711,44.6,1.94
201712,34.1,1.09
201801,30.2,1.77
201802,39.8,5.06
201803,38.4,2.80
201804,49.8,4.46
201805,68.3,8.25
201806,71.4,4.55
201807,76.4,12.12
201808,76.8,7.04
201809,71.5,9.96
201810,57.9,2.53
201811,41.7,8.72
201812,38.0,5.92
201901,32.0,3.61
201902,35.4,3.50
201903,41.2,5.45
201904,57.4,2.38
201905,66.5,5.94
201906,72.6,3.48
201907,78.8,5.20
201908,75.7,3.98
201909,71.4,0.56
201910,59.7,6.46
201911,42.0,2.06
201912,37.7,3.94
202001,37.8,3.32
