date,tavg,pcp
200001,13.3,1.74
200002,20.6,1.10
200003,33.6,2.65
200004,36.8,1.09
200005,53.8,1.49
200006,58.6,4.13
200007,62.5,2.76
200008,62.3,2.50
200009,54.0,2.63
200010,47.1,2.06
200011,31.9,2.57
200012,11.5,1.86
200101,19.5,1.97
200102,13.0,1.68
200103,24.7,1.29
200104,42.2,3.07
200105,53.4,2.88
200106,61.4,4.48
200107,65.5,3.65
200108,67.1,1.60
200109,55.1,3.21
200110,43.6,2.95
200111,39.9,3.51
200112,25.8,1.61
200201,20.9,0.83
200202,22.1,3.02
200203,19.4,3.38
200204,36.6,4.41
200205,45.8,3.27
200206,62.0,4.39
200207,69.8,4.17
200208,64.9,3.53
200209,59.5,4.93
200210,38.7,4.76
200211,27.7,1.73
200212,22.3,0.61
200301,11.7,0.77
200302,8.8,1.33
200303,22.0,2.40
200304,35.2,2.68
200305,49.2,4.07
200306,59.0,1.85
200307,64.7,3.19
200308,65.5,1.76
200309,56.8,4.38
200310,43.7,2.62
200311,30.8,2.67
200312,23.3,2.26
200401,8.3,1.78
200402,19.4,1.77
200403,27.3,2.99
200404,37.4,2.64
200405,48.2,4.69
200406,57.7,3.10
200407,61.8,3.32
200408,59.2,2.88
200409,60.7,1.49
200410,45.1,3.82
200411,33.8,2.18
200412,17.0,3.32
200501,12.3,1.54
200502,20.4,1.37
200503,22.4,1.15
200504,42.3,1.66
200505,48.9,2.57
200506,64.8,3.36
200507,66.9,2.23
200508,65.8,1.74
200509,60.8,3.75
200510,47.9,4.61
200511,31.0,3.61
200512,19.3,1.40
200601,24.3,1.65
200602,15.7,1.49
200603,27.8,1.83
200604,43.7,1.13
200605,52.7,5.73
200606,61.0,1.62
200607,68.9,3.02
200608,63.9,2.59
200609,53.4,2.28
200610,40.5,2.00
200611,34.9,1.61
200612,25.2,2.10
200701,18.1,1.64
200702,10.5,0.99
200703,28.8,2.43
200704,37.1,3.36
200705,54.2,1.88
200706,63.7,2.43
200707,65.8,2.35
200708,65.4,1.13
200709,57.6,6.21
200710,49.5,5.07
200711,30.4,1.60
200712,17.8,2.49
200801,16.4,1.67
200802,12.0,1.14
200803,20.2,1.13
200804,38.4,4.66
200805,46.6,2.33
200806,60.0,3.57
200807,64.6,3.21
200808,63.4,0.82
200809,57.0,2.73
200810,44.3,2.22
200811,31.4,2.17
200812,13.4,2.57
200901,7.2,1.29
200902,16.9,1.84
200903,25.4,0.73
200904,37.6,3.32
200905,48.7,2.49
200906,57.9,2.24
200907,60.2,2.56
200908,61.8,4.62
200909,59.4,1.86
200910,39.6,5.69
200911,37.7,1.03
200912,17.5,2.63
201001,18.0,1.48
201002,19.8,1.40
201003,34.0,0.28
201004,45.0,0.94
201005,55.5,1.56
201006,60.2,6.54
201007,68.1,5.49
201008,67.6,2.41
201009,52.1,7.16
201010,46.6,2.16
201011,33.4,1.83
201012,19.2,2.04
201101,12.4,1.47
201102,17.0,0.39
201103,24.8,1.10
201104,37.8,3.82
201105,49.8,3.66
201106,58.6,4.30
201107,69.3,1.28
201108,66.3,1.48
201109,55.1,5.34
201110,47.4,2.10
201111,34.0,2.17
201112,22.8,1.70
201201,19.1,2.23
201202,24.0,0.76
201203,39.2,1.80
201204,39.2,1.65
201205,55.4,2.91
201206,63.7,3.88
201207,69.7,4.08
201208,64.8,1.90
201209,53.6,3.99
201210,43.2,4.27
201211,32.4,1.85
201212,24.5,1.54
201301,16.0,2.01
201302,15.2,2.02
201303,22.0,2.00
201304,33.1,4.10
201305,48.3,3.39
201306,58.8,3.58
201307,65.0,5.47
201308,64.6,3.06
201309,56.2,1.94
201310,44.6,3.57
201311,29.6,3.87
201312,11.2,2.07
201401,5.5,1.81
201402,6.2,1.23
201403,15.4,1.57
201404,33.8,3.31
201405,50.2,2.73
201406,60.2,4.00
201407,62.5,3.97
201408,61.3,3.88
201409,55.2,4.43
201410,42.6,5.52
201411,22.7,4.14
201412,21.2,2.10
201501,11.1,1.05
201502,2.9,1.24
201503,24.4,1.03
201504,38.3,2.42
201505,51.6,4.52
201506,57.0,3.16
201507,65.7,2.03
201508,63.6,3.19
201509,61.4,1.91
201510,44.4,2.62
201511,36.5,2.55
201512,29.0,4.05
201601,16.6,1.79
201602,19.6,2.01
201603,29.8,2.30
201604,34.9,3.06
201605,51.2,3.68
201606,59.9,3.53
201607,66.2,4.05
201608,66.2,4.79
201609,59.1,5.29
201610,46.5,3.42
201611,39.1,1.56
201612,18.9,2.30
201701,18.6,1.55
201702,22.3,2.01
201703,24.6,1.34
201704,40.2,4.87
201705,47.1,3.84
201706,60.3,6.02
201707,63.9,2.59
201708,60.0,5.54
201709,58.7,2.86
201710,47.9,6.56
201711,28.5,1.98
201712,14.8,2.19
201801,14.6,2.20
201802,13.7,1.23
201803,23.1,0.79
201804,29.8,2.27
201805,54.8,2.12
201806,59.7,4.69
201807,66.7,3.99
201808,64.4,3.85
201809,57.1,5.94
201810,39.3,6.27
201811,24.8,2.45
201812,23.2,1.80
201901,10.1,1.63
201902,11.0,4.58
201903,22.0,1.04
201904,36.5,4.25
201905,45.9,5.97
201906,58.3,1.87
201907,67.6,2.58
201908,62.0,2.48
201909,57.6,5.61
201910,42.7,4.77
201911,25.8,2.92
201912,20.6,4.14
202001,20.0,2.37
