date,tavg,pcp
200001,10.2,0.36
200002,22.1,1.47
200003,35.4,1.48
200004,41.8,1.42
200005,56.2,3.52
200006,60.7,4.05
200007,68.2,4.32
200008,67.1,3.26
200009,55.4,1.51
200010,48.1,1.74
200011,29.6,3.75
200012,3.0,0.74
200101,16.8,0.76
200102,5.4,1.66
200103,24.8,0.46
200104,42.6,5.43
200105,56.4,4.29
200106,64.7,5.16
200107,70.4,2.23
200108,69.6,2.39
200109,57.0,1.73
200110,44.4,1.81
200111,40.7,1.62
200112,23.1,0.53
200201,17.8,0.16
200202,24.1,0.67
200203,18.9,1.28
200204,38.9,2.74
200205,49.3,2.13
200206,67.2,4.40
200207,71.5,8.83
200208,66.0,4.35
200209,60.0,2.97
200210,37.6,2.59
200211,28.4,0.24
200212,21.4,0.29
200301,10.5,0.13
200302,10.3,0.11
200303,25.6,0.59
200304,42.6,2.50
200305,54.0,3.69
200306,63.4,5.63
200307,69.1,3.36
200308,70.6,0.76
200309,57.8,2.55
200310,46.9,1.22
200311,26.6,0.83
200312,21.1,0.27
200401,4.5,0.64
200402,17.3,0.85
200403,30.0,1.29
200404,42.9,1.45
200405,50.4,2.43
200406,60.1,1.92
200407,66.6,4.24
200408,60.9,1.70
200409,62.1,6.38
200410,46.8,2.67
200411,34.2,0.52
200412,17.0,0.69
200501,6.7,1.44
200502,20.4,0.63
200503,26.2,0.97
200504,47.6,2.00
200505,52.2,3.56
200506,67.5,7.24
200507,70.7,2.05
200508,66.7,2.72
200509,61.2,3.71
200510,47.5,3.81
200511,32.6,2.32
200512,17.9,0.74
200601,24.5,0.28
200602,12.0,0.53
200603,31.1,0.77
200604,48.9,1.63
200605,57.1,2.90
200606,65.4,2.09
200607,73.8,1.95
200608,68.0,2.63
200609,56.6,2.62
200610,42.2,1.57
200611,32.0,0.78
200612,24.1,1.05
200701,15.3,0.21
200702,8.4,0.88
200703,32.0,2.44
200704,41.0,2.37
200705,58.6,3.22
200706,67.9,2.32
200707,71.6,2.30
200708,66.4,2.12
200709,58.8,5.13
200710,49.0,5.44
200711,30.6,0.19
200712,11.0,1.13
200801,8.2,0.10
200802,9.0,0.41
200803,23.5,0.63
200804,39.2,3.25
200805,51.3,2.57
200806,62.5,5.30
200807,68.3,3.07
200808,66.9,1.02
200809,58.3,3.86
200810,45.7,4.17
200811,31.0,1.39
200812,6.6,1.74
200901,1.4,0.38
200902,15.0,1.14
200903,25.2,3.87
200904,42.0,1.53
200905,53.5,1.35
200906,62.0,3.29
200907,64.0,5.36
200908,64.0,2.58
200909,62.8,0.81
200910,39.7,6.29
200911,37.5,1.23
200912,12.9,1.33
201001,9.4,0.71
201002,14.7,0.42
201003,37.0,0.92
201004,49.8,1.06
201005,55.6,3.33
201006,63.6,4.17
201007,70.1,5.74
201008,69.9,5.43
201009,54.4,3.65
201010,49.4,3.22
201011,30.6,0.95
201012,12.6,1.59
201101,5.2,0.71
201102,13.9,0.44
201103,23.8,0.97
201104,41.1,2.30
201105,53.4,5.41
201106,62.4,3.31
201107,72.6,5.46
201108,68.1,3.89
201109,57.4,0.85
201110,50.2,1.41
201111,32.8,0.35
201112,23.2,0.26
201201,18.0,0.49
201202,23.2,0.69
201203,40.7,1.78
201204,44.8,3.61
201205,57.4,8.69
201206,65.9,7.75
201207,73.8,5.46
201208,66.4,2.25
201209,57.1,0.63
201210,43.6,1.02
201211,31.4,1.13
201212,17.1,1.16
201301,11.5,0.80
201302,13.8,0.76
201303,21.0,1.99
201304,33.6,2.33
201305,52.9,3.56
201306,63.0,6.04
201307,69.2,3.73
201308,68.0,1.28
201309,61.2,3.68
201310,45.1,4.76
201311,27.4,0.26
201312,4.4,1.69
201401,0.7,0.67
201402,4.6,0.84
201403,20.0,0.81
201404,38.1,3.32
201405,55.0,4.66
201406,66.0,6.35
201407,67.0,2.44
201408,66.9,6.59
201409,58.3,3.09
201410,45.8,0.97
201411,21.5,0.88
201412,21.5,0.58
201501,14.4,0.16
201502,6.5,0.37
201503,30.0,0.51
201504,44.1,1.13
201505,53.6,5.54
201506,64.1,2.28
201507,69.8,3.81
201508,65.5,3.27
201509,64.2,2.73
201510,47.1,2.36
201511,37.2,2.95
201512,25.7,1.55
201601,12.7,0.72
201602,19.9,0.55
201603,36.2,1.80
201604,42.1,2.04
201605,55.8,1.78
201606,64.3,3.91
201607,69.0,9.98
201608,68.0,5.09
201609,59.9,3.79
201610,47.8,1.45
201611,39.3,2.50
201612,16.2,1.59
201701,14.1,0.93
201702,23.0,1.35
201703,28.0,0.48
201704,44.0,3.29
201705,53.3,3.26
201706,64.0,3.69
201707,68.6,2.77
201708,63.2,8.08
201709,60.5,4.55
201710,46.5,3.03
201711,27.3,0.57
201712,12.5,0.74
201801,10.6,0.25
201802,8.0,1.25
201803,27.5,1.44
201804,32.7,0.49
201805,60.6,1.61
201806,66.0,5.88
201807,69.8,4.47
201808,67.0,3.70
201809,58.7,2.92
201810,40.6,4.95
201811,23.3,0.90
201812,20.7,1.19
201901,6.2,0.52
201902,6.5,1.28
201903,23.2,1.58
201904,41.1,2.43
201905,49.7,3.78
201906,64.2,3.68
201907,70.7,4.00
201908,65.1,3.68
201909,59.7,7.73
201910,43.2,4.34
201911,26.0,0.93
201912,17.1,2.70
202001,14.6,0.73
