date,tavg,pcp
200001,36.7,2.04
200002,44.5,2.21
200003,50.5,2.92
200004,56.2,0.99
200005,67.7,4.16
200006,71.2,7.76
200007,76.6,5.72
200008,80.5,0.07
200009,71.1,2.59
200010,61.6,2.87
200011,42.6,4.90
200012,25.7,2.23
200101,33.3,1.54
200102,39.7,4.75
200103,43.7,0.86
200104,61.9,1.52
200105,66.6,3.61
200106,73.2,4.54
200107,79.4,5.07
200108,78.3,2.48
200109,67.6,3.33
200110,56.6,3.99
200111,51.3,3.62
200112,40.8,5.25
200201,36.9,3.02
200202,38.4,1.57
200203,42.6,4.95
200204,59.4,5.81
200205,62.3,10.37
200206,73.1,3.57
200207,77.5,3.22
200208,77.8,3.90
200209,71.5,1.78
200210,55.9,3.18
200211,45.0,0.77
200212,37.0,4.34
200301,31.8,0.36
200302,35.4,3.48
200303,46.7,1.91
200304,58.5,2.69
200305,65.2,5.10
200306,69.0,2.72
200307,78.2,2.09
200308,78.7,3.84
200309,66.8,4.61
200310,58.7,3.44
200311,50.4,4.52
200312,38.0,3.25
200401,35.2,2.28
200402,36.4,0.96
200403,50.9,4.64
200404,57.0,7.81
200405,67.4,2.67
200406,72.8,2.81
200407,74.9,5.05
200408,72.2,1.74
200409,69.4,0.29
200410,61.3,7.55
200411,50.4,6.35
200412,37.8,1.35
200501,40.0,5.25
200502,43.1,2.32
200503,45.8,2.78
200504,57.2,3.54
200505,63.8,1.87
200506,75.4,2.27
200507,78.8,2.29
200508,79.8,2.74
200509,74.1,5.57
200510,58.3,0.80
200511,49.5,4.06
200512,34.6,0.41
200601,43.8,1.88
200602,36.5,0.57
200603,49.4,5.08
200604,62.9,4.83
200605,66.9,4.19
200606,73.4,1.76
200607,79.0,3.17
200608,79.4,3.17
200609,66.1,3.29
200610,55.8,4.12
200611,48.1,5.70
200612,40.6,3.23
200701,35.1,3.86
200702,35.8,2.66
200703,55.6,1.54
200704,53.5,3.49
200705,67.8,4.58
200706,73.4,4.81
200707,75.6,3.13
200708,81.7,1.86
200709,71.1,3.77
200710,61.1,3.11
200711,48.2,0.52
200712,38.4,3.93
200801,34.8,1.16
200802,36.6,5.28
200803,47.3,12.98
200804,54.5,8.12
200805,64.1,4.76
200806,73.6,9.95
200807,76.9,5.82
200808,74.8,4.30
200809,68.3,8.24
200810,56.8,1.62
200811,46.4,1.19
200812,35.4,2.89
200901,32.4,2.19
200902,41.9,1.53
200903,49.3,3.36
200904,55.3,3.56
200905,63.6,6.77
200906,76.3,3.41
200907,74.7,5.82
200908,73.8,4.02
200909,67.2,6.35
200910,53.1,10.44
200911,51.8,1.35
200912,33.8,1.74
201001,30.8,3.34
201002,32.5,1.50
201003,45.9,4.86
201004,60.4,2.65
201005,66.0,7.88
201006,78.3,2.40
201007,79.9,7.21
201008,81.2,1.22
201009,70.9,9.68
201010,58.3,0.45
201011,48.4,2.56
201012,33.6,0.44
201101,32.3,0.48
201102,37.2,3.36
201103,47.8,3.34
201104,59.0,14.99
201105,62.8,8.64
201106,77.7,1.37
201107,84.0,1.46
201108,80.6,4.46
201109,66.0,4.68
201110,57.2,2.27
201111,49.4,5.97
201112,39.5,3.53
201201,39.1,2.70
201202,42.5,2.19
201203,58.2,5.42
201204,61.5,1.49
201205,70.0,2.32
201206,75.9,1.12
201207,83.2,2.73
201208,76.5,4.45
201209,69.6,4.09
201210,55.6,3.40
201211,46.6,1.19
201212,41.2,2.15
201301,36.8,3.62
201302,38.5,2.81
201303,42.2,3.12
201304,55.0,5.19
201305,63.7,4.36
201306,73.6,2.06
201307,75.7,4.35
201308,74.3,7.43
201309,71.6,2.33
201310,56.9,3.64
201311,43.9,2.79
201312,34.7,3.91
201401,29.6,1.27
201402,32.8,0.58
201403,41.9,3.22
201404,56.5,3.21
201405,65.5,2.99
201406,73.0,5.35
201407,73.4,2.11
201408,77.1,0.77
201409,68.6,3.27
201410,59.9,5.37
201411,40.9,1.84
201412,38.6,3.02
201501,34.5,2.10
201502,30.5,1.38
201503,46.4,5.52
201504,58.3,3.65
201505,65.4,9.08
201506,74.8,6.00
201507,78.6,8.44
201508,74.2,5.18
201509,71.2,2.66
201510,58.8,1.68
201511,50.0,8.85
201512,44.6,9.99
201601,34.6,0.95
201602,42.6,0.94
201603,51.1,4.65
201604,59.1,3.21
201605,63.0,4.46
201606,76.6,3.34
201607,79.2,6.15
201608,76.8,4.33
201609,71.7,3.28
201610,63.1,4.48
201611,51.7,1.31
201612,35.7,1.61
201701,39.3,2.13
201702,47.6,1.33
201703,51.7,5.67
201704,60.4,14.95
201705,65.0,8.31
201706,73.3,2.65
201707,79.3,2.80
201708,74.0,3.36
201709,70.5,0.51
201710,59.9,2.33
201711,50.4,0.99
201712,37.8,1.71
201801,31.0,2.98
201802,40.0,7.50
201803,48.2,5.11
201804,51.2,3.22
201805,72.5,5.51
201806,77.8,3.74
201807,79.5,2.56
201808,76.5,6.26
201809,72.3,3.34
201810,58.3,3.64
201811,40.7,3.85
201812,39.5,5.42
201901,35.1,5.07
201902,39.2,4.43
201903,43.3,3.53
201904,58.8,3.60
201905,66.4,9.51
201906,73.0,5.50
201907,77.5,2.63
201908,77.1,5.68
201909,76.9,1.88
201910,56.5,8.81
201911,43.2,6.93
201912,42.2,1.69
202001,38.6,5.86
