date,tavg,pcp
200001,53.1,2.64
200002,56.8,1.26
200003,63.2,3.95
200004,65.1,2.51
200005,76.3,0.58
200006,79.3,4.64
200007,83.2,2.98
200008,82.6,3.47
200009,76.7,6.84
200010,66.8,1.11
200011,56.4,10.61
200012,46.0,3.33
200101,46.7,4.08
200102,58.1,1.53
200103,57.0,10.07
200104,68.8,1.04
200105,73.4,1.62
200106,78.4,14.21
200107,81.0,8.02
200108,80.4,6.94
200109,75.3,7.67
200110,64.8,4.04
200111,63.0,2.16
200112,55.1,2.92
200201,51.4,4.47
200202,50.1,2.81
200203,58.7,6.54
200204,69.8,3.19
200205,73.7,3.34
200206,78.8,5.80
200207,81.1,6.61
200208,80.6,5.56
200209,78.8,14.93
200210,71.7,9.19
200211,56.5,5.32
200212,51.1,7.48
200301,46.5,0.15
200302,52.9,6.48
200303,60.8,4.61
200304,66.8,3.59
200305,76.9,4.18
200306,79.6,16.79
200307,80.3,8.94
200308,81.2,6.43
200309,76.6,4.44
200310,68.0,3.07
200311,61.8,3.74
200312,49.3,3.36
200401,50.1,3.57
200402,50.3,8.00
200403,62.4,0.73
200404,65.1,6.17
200405,73.4,7.95
200406,79.2,10.57
200407,81.4,3.19
200408,79.2,5.74
200409,77.5,2.29
200410,73.4,4.02
200411,62.5,7.95
200412,50.3,2.96
200501,54.8,1.97
200502,56.6,6.70
200503,57.9,4.85
200504,64.6,13.59
200505,72.1,6.44
200506,78.9,6.15
200507,81.3,11.78
200508,81.8,7.89
200509,80.8,1.23
200510,68.3,0.10
200511,59.8,2.53
200512,50.3,4.32
200601,56.6,3.07
200602,52.8,3.41
200603,62.5,0.32
200604,70.7,4.57
200605,74.2,1.20
200606,80.7,2.10
200607,81.9,6.25
200608,83.0,5.76
200609,76.7,4.68
200610,68.2,5.32
200611,57.2,6.14
200612,53.5,7.83
200701,51.4,4.53
200702,51.3,2.51
200703,62.2,1.50
200704,64.7,4.91
200705,73.0,4.10
200706,79.7,3.27
200707,80.4,8.14
200708,83.7,3.93
200709,78.3,3.17
200710,69.7,7.70
200711,58.9,2.22
200712,57.3,5.62
200801,49.3,8.07
200802,55.0,4.92
200803,58.8,3.50
200804,66.4,5.93
200805,74.2,4.15
200806,80.4,4.62
200807,81.6,3.79
200808,80.1,8.78
200809,76.5,6.07
200810,66.3,1.19
200811,56.4,1.81
200812,54.7,2.72
200901,52.2,2.04
200902,54.3,2.65
200903,62.4,11.08
200904,65.9,2.56
200905,74.6,5.39
200906,81.7,1.09
200907,81.5,7.55
200908,80.0,5.41
200909,78.0,8.32
200910,68.9,6.33
200911,57.3,3.00
200912,50.0,17.27
201001,45.3,4.68
201002,45.8,6.52
201003,54.9,4.85
201004,66.4,1.56
201005,76.6,8.93
201006,81.5,9.74
201007,82.4,4.97
201008,82.8,11.15
201009,78.6,2.18
201010,68.0,1.40
201011,59.9,3.76
201012,46.9,1.53
201101,47.5,4.23
201102,52.9,2.89
201103,62.4,4.79
201104,69.7,0.79
201105,73.3,0.86
201106,83.1,2.53
201107,82.4,12.21
201108,84.0,1.77
201109,75.4,13.13
201110,64.6,0.20
201111,59.3,2.28
201112,54.0,1.49
201201,55.8,2.51
201202,57.4,5.46
201203,67.5,8.96
201204,68.3,4.80
201205,75.6,3.43
201206,79.6,6.61
201207,81.5,9.31
201208,80.3,15.57
201209,76.8,5.55
201210,66.4,1.63
201211,56.2,1.45
201212,55.5,3.11
201301,54.4,4.00
201302,54.8,11.08
201303,54.8,0.64
201304,64.4,9.11
201305,70.8,6.63
201306,80.0,4.06
201307,79.3,9.21
201308,80.0,7.67
201309,78.4,2.86
201310,69.2,2.01
201311,56.1,3.20
201312,51.8,6.97
201401,43.3,2.91
201402,52.0,7.88
201403,56.1,7.19
201404,66.0,10.71
201405,71.7,10.04
201406,79.5,6.02
201407,79.5,3.98
201408,81.2,3.49
201409,78.2,2.62
201410,69.5,2.28
201411,53.2,1.98
201412,55.3,5.77
201501,48.8,6.10
201502,48.0,1.99
201503,63.0,7.71
201504,69.9,11.74
201505,73.9,6.16
201506,79.1,5.58
201507,82.7,6.04
201508,81.5,3.63
201509,76.9,4.10
201510,69.4,3.32
201511,62.5,5.07
201512,60.1,11.59
201601,48.4,4.86
201602,53.5,3.95
201603,63.8,7.74
201604,66.9,10.50
201605,72.2,5.66
201606,80.4,7.05
201607,82.4,5.94
201608,81.5,8.50
201609,79.2,6.09
201610,69.9,0.21
201611,61.5,2.65
201612,55.2,7.22
201701,56.5,11.44
201702,59.5,2.88
201703,63.6,2.75
201704,68.4,4.35
201705,71.6,8.87
201706,77.3,19.68
201707,80.8,6.86
201708,80.5,12.17
201709,76.1,1.70
201710,68.6,8.50
201711,59.9,0.53
201712,51.2,5.07
201801,45.0,4.95
201802,63.0,7.28
201803,60.8,4.65
201804,62.7,7.77
201805,75.8,3.74
201806,81.7,4.38
201807,81.9,9.62
201808,80.2,8.08
201809,80.2,9.01
201810,71.4,2.71
201811,55.3,6.52
201812,54.5,8.18
201901,51.1,5.12
201902,60.2,3.68
201903,58.9,1.95
201904,64.6,6.38
201905,75.1,4.64
201906,80.2,4.53
201907,81.1,7.50
201908,81.7,8.54
201909,80.9,0.59
201910,70.1,9.73
201911,55.0,1.05
201912,53.7,2.70
202001,54.1,5.98
