date,tavg,pcp
200001,33.7,3.53
200002,41.1,2.46
200003,48.4,4.38
200004,50.8,5.64
200005,64.1,3.06
200006,68.5,4.13
200007,70.4,4.00
200008,69.3,3.68
200009,63.1,3.02
200010,55.7,0.07
200011,43.0,3.68
200012,29.9,1.95
200101,33.9,2.87
200102,42.4,2.73
200103,40.7,5.07
200104,55.6,1.82
200105,61.6,2.83
200106,67.6,4.69
200107,70.0,5.45
200108,71.1,3.29
200109,61.5,4.06
200110,51.6,1.31
200111,49.6,1.57
200112,42.5,2.63
200201,38.0,4.31
200202,38.0,1.18
200203,45.4,5.16
200204,57.1,1.66
200205,60.0,3.89
200206,68.9,3.81
200207,72.5,3.09
200208,71.8,2.51
200209,66.8,5.84
200210,57.4,3.96
200211,41.8,4.29
200212,36.4,5.43
200301,31.1,1.93
200302,37.4,4.94
200303,48.5,4.47
200304,53.8,5.15
200305,60.9,9.28
200306,66.3,4.99
200307,70.0,7.99
200308,71.6,5.57
200309,63.2,3.80
200310,53.0,2.77
200311,50.5,5.31
200312,34.7,3.38
200401,33.8,1.26
200402,36.5,3.99
200403,47.5,2.58
200404,53.3,3.56
200405,64.9,4.29
200406,68.5,5.62
200407,70.7,4.61
200408,68.4,4.54
200409,64.0,16.18
200410,58.8,1.97
200411,48.8,5.09
200412,36.6,3.39
200501,39.0,2.41
200502,39.6,2.99
200503,43.0,3.86
200504,52.5,4.19
200505,58.7,2.32
200506,67.4,8.33
200507,72.1,8.20
200508,72.0,7.48
200509,66.4,0.71
200510,56.2,2.50
200511,46.5,4.58
200512,34.4,3.07
200601,41.5,4.47
200602,36.6,2.39
200603,45.2,1.70
200604,57.6,5.45
200605,59.4,3.18
200606,67.5,5.71
200607,71.7,3.03
200608,72.7,5.45
200609,62.0,6.44
200610,52.1,3.25
200611,45.7,4.21
200612,41.7,3.59
200701,37.4,3.68
200702,34.1,1.37
200703,50.8,4.03
200704,51.0,2.16
200705,62.0,1.47
200706,68.9,3.04
200707,69.3,5.39
200708,74.6,2.14
200709,66.6,2.69
200710,58.2,2.90
200711,44.2,1.71
200712,42.5,3.74
200801,34.4,1.92
200802,40.7,3.81
200803,44.4,4.71
200804,53.7,3.10
200805,60.0,2.22
200806,69.9,2.52
200807,70.4,2.86
200808,70.0,6.12
200809,65.1,2.21
200810,52.4,1.67
200811,41.4,2.28
200812,40.8,4.82
200901,34.6,2.80
200902,37.6,2.06
200903,46.2,4.16
200904,52.9,3.62
200905,61.8,8.86
200906,69.5,4.65
200907,68.1,3.30
200908,70.3,4.78
200909,64.6,8.16
200910,53.2,5.20
200911,47.7,5.32
200912,35.2,7.87
201001,30.8,5.08
201002,31.0,3.15
201003,42.7,3.73
201004,56.5,2.53
201005,63.9,4.03
201006,72.2,3.27
201007,74.0,3.39
201008,73.6,3.46
201009,66.2,4.40
201010,54.5,2.09
201011,45.4,2.94
201012,28.4,3.47
201101,31.3,2.41
201102,40.8,2.57
201103,47.2,7.25
201104,56.9,5.82
201105,62.0,3.86
201106,70.4,4.99
201107,73.8,3.86
201108,71.8,2.54
201109,64.8,4.58
201110,52.7,2.62
201111,47.0,6.05
201112,41.8,5.03
201201,38.9,4.60
201202,42.1,1.67
201203,54.6,3.98
201204,56.4,5.87
201205,64.8,5.11
201206,67.7,2.32
201207,73.8,7.00
201208,69.6,3.89
201209,64.6,5.17
201210,53.8,4.23
201211,42.8,0.80
201212,41.9,4.89
201301,40.7,9.16
201302,37.4,3.54
201303,38.5,4.44
201304,53.2,6.21
201305,59.5,7.48
201306,68.6,6.91
201307,70.5,14.52
201308,68.7,4.48
201309,64.9,3.05
201310,55.8,2.08
201311,42.0,3.66
201312,40.2,6.82
201401,27.9,2.26
201402,38.3,3.11
201403,42.4,2.85
201404,54.2,5.28
201405,62.3,4.30
201406,69.6,4.15
201407,68.7,5.53
201408,69.2,2.95
201409,66.8,5.34
201410,55.4,4.71
201411,39.8,3.33
201412,42.0,2.64
201501,34.5,2.62
201502,30.2,2.15
201503,48.0,2.49
201504,56.2,5.69
201505,63.7,2.52
201506,70.6,3.70
201507,72.8,4.53
201508,70.3,3.08
201509,65.4,5.39
201510,55.4,7.86
201511,49.4,8.73
201512,49.4,9.52
201601,32.3,2.57
201602,37.4,5.69
201603,50.6,1.25
201604,54.8,2.02
201605,60.7,3.43
201606,70.8,1.75
201607,74.2,6.07
201608,73.4,5.64
201609,69.2,1.39
201610,58.2,0.54
201611,48.4,1.55
201612,40.1,2.77
201701,41.5,3.65
201702,44.7,1.08
201703,45.5,4.62
201704,58.5,6.00
201705,62.1,7.26
201706,67.6,2.49
201707,72.5,4.31
201708,69.7,3.69
201709,63.8,4.04
201710,56.7,8.87
201711,47.3,1.74
201712,37.8,2.95
201801,30.6,3.61
201802,47.8,4.35
201803,43.2,3.92
201804,50.2,4.93
201805,66.1,10.72
201806,71.1,3.98
201807,71.7,4.49
201808,70.3,7.43
201809,70.8,5.69
201810,57.7,7.05
201811,42.1,6.34
201812,39.4,8.47
201901,36.3,4.43
201902,44.7,5.53
201903,44.3,2.98
201904,56.0,6.57
201905,65.7,3.56
201906,68.0,6.64
201907,72.4,5.96
201908,70.9,3.57
201909,69.8,0.82
201910,59.0,7.01
201911,43.6,2.91
201912,41.9,5.10
202001,40.5,4.78
