date,tavg,pcp
200001,14.2,0.29
200002,21.7,1.38
200003,35.0,1.04
200004,41.7,1.39
200005,55.9,2.65
200006,61.2,5.37
200007,69.8,3.21
200008,68.8,2.31
200009,57.7,1.22
200010,46.8,2.19
200011,22.0,1.58
200012,4.5,0.37
200101,17.4,0.46
200102,5.7,0.49
200103,27.8,0.15
200104,42.9,1.65
200105,56.4,1.94
200106,63.2,4.94
200107,70.8,5.71
200108,70.9,0.23
200109,59.0,0.77
200110,42.8,0.87
200111,37.6,0.14
200112,19.4,0.13
200201,17.8,0.32
200202,24.7,0.13
200203,16.7,0.57
200204,39.1,1.40
200205,49.0,0.81
200206,66.3,2.28
200207,72.8,3.00
200208,67.6,1.63
200209,59.7,0.79
200210,35.6,0.69
200211,30.8,0.07
200212,21.6,0.50
200301,12.0,0.28
200302,9.3,0.28
200303,23.2,0.41
200304,45.6,0.75
200305,53.3,5.25
200306,61.7,3.24
200307,70.3,0.97
200308,73.1,0.52
200309,57.6,1.82
200310,49.0,0.45
200311,20.1,0.33
200312,22.2,0.61
200401,5.2,0.64
200402,16.2,0.32
200403,32.0,1.49
200404,44.4,0.77
200405,51.2,2.43
200406,58.9,2.94
200407,67.8,2.36
200408,62.3,2.34
200409,59.6,2.10
200410,44.6,1.07
200411,34.0,0.08
200412,20.5,0.26
200501,7.8,0.36
200502,22.4,0.05
200503,30.1,0.59
200504,47.3,0.52
200505,51.7,2.62
200506,65.7,6.80
200507,70.6,2.73
200508,66.7,2.13
200509,60.4,0.44
200510,46.1,1.23
200511,32.2,0.81
200512,18.3,0.66
200601,26.2,0.11
200602,17.4,0.20
200603,29.5,0.55
200604,49.3,0.96
200605,55.9,1.73
200606,66.2,1.23
200607,75.2,1.02
200608,70.0,2.11
200609,55.7,1.99
200610,40.4,1.35
200611,29.1,0.06
200612,22.5,0.85
200701,13.8,0.22
200702,7.4,0.63
200703,34.0,1.38
200704,40.4,0.76
200705,56.2,6.23
200706,65.7,3.80
200707,73.6,1.17
200708,66.0,2.50
200709,59.1,1.59
200710,46.9,0.54
200711,29.8,0.16
200712,14.3,0.21
200801,10.8,0.10
200802,12.0,0.46
200803,28.4,0.29
200804,40.7,0.69
200805,51.6,1.00
200806,60.7,4.53
200807,70.1,2.79
200808,69.4,1.43
200809,57.3,2.27
200810,44.8,2.12
200811,29.8,1.89
200812,5.9,1.72
200901,5.9,0.85
200902,12.2,0.91
200903,19.5,1.94
200904,38.9,0.87
200905,52.6,2.22
200906,60.5,3.16
200907,64.7,3.09
200908,65.1,0.92
200909,63.8,1.10
200910,38.0,2.85
200911,37.3,0.02
200912,8.6,1.07
201001,9.7,0.78
201002,9.2,0.59
201003,31.6,1.00
201004,47.4,2.44
201005,52.4,3.32
201006,63.7,3.23
201007,69.3,2.51
201008,69.3,1.68
201009,54.8,4.09
201010,48.2,0.81
201011,28.0,0.68
201012,10.3,1.55
201101,7.1,1.11
201102,11.0,0.31
201103,19.4,1.70
201104,38.8,1.84
201105,50.9,3.07
201106,62.2,3.95
201107,71.3,4.63
201108,68.4,3.48
201109,57.6,1.50
201110,48.7,1.26
201111,31.3,0.06
201112,23.4,0.42
201201,21.2,0.25
201202,21.8,0.48
201203,41.8,0.33
201204,46.1,1.94
201205,55.2,2.16
201206,65.9,2.50
201207,74.1,2.64
201208,67.0,2.12
201209,58.3,0.10
201210,41.6,1.38
201211,27.9,0.78
201212,14.2,0.55
201301,12.7,0.18
201302,18.6,0.31
201303,19.4,0.63
201304,32.8,1.38
201305,53.3,6.33
201306,63.6,3.10
201307,68.9,1.19
201308,69.3,1.00
201309,62.6,3.09
201310,41.4,4.42
201311,26.2,0.11
201312,5.9,1.07
201401,10.3,0.42
201402,6.7,0.12
201403,24.3,0.50
201404,39.2,1.95
201405,54.2,1.32
201406,62.8,4.42
201407,67.2,1.14
201408,67.3,4.50
201409,58.7,0.93
201410,46.7,0.40
201411,20.0,0.62
201412,17.8,0.23
201501,16.6,0.64
201502,9.1,0.46
201503,33.2,0.36
201504,44.8,0.53
201505,52.8,4.54
201506,65.2,4.39
201507,70.3,2.04
201508,69.0,1.32
201509,63.4,0.69
201510,48.3,1.24
201511,32.8,0.22
201512,20.6,0.83
201601,14.7,0.19
201602,27.1,0.35
201603,37.1,0.47
201604,43.0,3.10
201605,56.4,1.92
201606,67.0,2.39
201607,70.2,5.01
201608,68.2,2.67
201609,58.8,2.07
201610,47.3,0.39
201611,39.2,1.18
201612,9.1,1.57
201701,10.3,0.60
201702,20.3,0.59
201703,27.9,0.37
201704,43.4,0.88
201705,55.4,0.56
201706,65.9,1.90
201707,73.9,1.05
201708,65.5,3.95
201709,59.0,1.65
201710,45.8,0.15
201711,28.3,0.25
201712,16.8,0.34
201801,12.0,0.40
201802,5.9,0.29
201803,24.2,1.94
201804,33.4,0.52
201805,60.4,2.15
201806,68.3,3.93
201807,69.8,3.27
201808,68.6,1.51
201809,55.8,1.61
201810,40.1,1.28
201811,23.2,0.94
201812,21.7,0.86
201901,10.5,0.67
201902,-2.0,0.64
201903,20.7,0.69
201904,42.1,0.98
201905,50.1,3.00
201906,64.6,2.55
201907,70.3,3.08
201908,65.4,3.32
201909,58.8,5.88
201910,37.6,3.00
201911,27.0,0.77
201912,16.4,0.97
202001,13.8,0.32
