date,tavg,pcp
200001,28.8,0.35
200002,34.6,1.36
200003,42.6,1.97
200004,49.7,1.56
200005,62.8,2.15
200006,68.8,2.31
200007,75.2,4.64
200008,77.4,1.07
200009,65.6,1.24
200010,53.8,2.23
200011,27.8,1.79
200012,17.9,0.31
200101,27.2,1.17
200102,21.8,1.17
200103,35.4,1.03
200104,52.4,3.06
200105,61.2,4.42
200106,69.8,1.04
200107,78.2,3.58
200108,74.0,2.77
200109,64.0,3.13
200110,51.8,1.07
200111,45.3,1.55
200112,31.5,0.09
200201,30.5,0.32
200202,31.3,0.28
200203,31.8,0.74
200204,51.2,1.33
200205,57.1,3.14
200206,75.6,1.46
200207,78.6,0.58
200208,74.2,3.23
200209,65.5,1.06
200210,46.0,3.28
200211,38.6,0.10
200212,32.3,0.03
200301,26.3,0.39
200302,25.6,0.82
200303,39.7,0.43
200304,51.7,4.81
200305,57.8,4.08
200306,67.5,4.11
200307,76.8,0.44
200308,75.8,0.75
200309,62.1,2.39
200310,55.4,1.19
200311,36.4,1.01
200312,31.3,0.09
200401,22.4,0.57
200402,24.3,0.90
200403,44.2,2.17
200404,51.5,1.78
200405,61.9,3.17
200406,66.7,2.36
200407,72.0,5.51
200408,69.3,1.17
200409,68.0,4.97
200410,53.2,1.04
200411,39.8,2.81
200412,30.9,0.01
200501,22.3,0.49
200502,34.3,0.69
200503,40.3,2.48
200504,50.8,1.32
200505,59.7,3.44
200506,71.2,5.44
200507,76.4,0.67
200508,73.4,4.03
200509,68.9,0.53
200510,54.0,2.04
200511,41.5,1.03
200512,25.3,0.34
200601,38.2,0.23
200602,29.7,0.05
200603,37.8,2.92
200604,54.7,1.71
200605,62.2,1.24
200606,72.3,3.93
200607,76.6,3.61
200608,72.6,5.51
200609,59.8,4.26
200610,48.3,1.66
200611,37.3,0.54
200612,30.5,2.44
200701,21.0,0.66
200702,23.1,0.73
200703,46.1,2.68
200704,46.9,4.83
200705,63.0,5.26
200706,69.7,2.49
200707,76.1,4.01
200708,76.6,4.03
200709,65.5,2.38
200710,54.5,3.03
200711,40.7,0.02
200712,22.5,1.39
200801,21.8,0.07
200802,27.4,0.21
200803,38.4,0.79
200804,44.9,3.69
200805,57.2,9.45
200806,69.1,6.76
200807,75.2,3.95
200808,71.4,1.62
200809,63.7,2.33
200810,50.9,7.95
200811,39.6,0.69
200812,21.6,0.65
200901,26.8,0.20
200902,32.0,0.63
200903,37.6,0.09
200904,47.8,2.41
200905,60.2,2.77
200906,67.9,6.19
200907,70.9,1.76
200908,70.4,4.15
200909,62.0,2.15
200910,43.7,4.52
200911,42.9,0.20
200912,19.4,0.78
201001,22.2,0.21
201002,24.7,0.68
201003,41.1,1.96
201004,53.3,2.99
201005,57.0,3.90
201006,70.8,7.23
201007,75.3,5.16
201008,75.5,3.49
201009,64.9,1.24
201010,54.8,0.60
201011,37.5,0.74
201012,25.6,0.18
201101,19.6,0.96
201102,26.7,0.35
201103,38.0,0.97
201104,49.2,3.45
201105,57.8,6.16
201106,69.8,4.03
201107,78.2,4.60
201108,74.2,2.86
201109,60.3,0.69
201110,53.3,4.59
201111,38.2,0.23
201112,28.5,0.58
201201,31.7,0.06
201202,29.9,1.28
201203,51.9,0.90
201204,54.3,4.19
201205,64.0,2.23
201206,73.4,1.35
201207,80.2,0.53
201208,72.9,1.15
201209,64.5,0.46
201210,48.7,0.48
201211,40.0,0.06
201212,27.6,0.83
201301,25.6,0.18
201302,29.8,1.06
201303,35.5,0.64
201304,44.5,3.79
201305,59.6,4.94
201306,70.2,1.78
201307,73.7,2.12
201308,74.8,3.43
201309,69.4,3.31
201310,51.4,2.94
201311,36.8,0.81
201312,24.7,0.06
201401,25.9,0.26
201402,22.6,0.44
201403,35.9,0.29
201404,49.7,3.16
201405,59.5,1.07
201406,70.2,8.30
201407,71.8,1.30
201408,73.5,6.82
201409,63.3,2.62
201410,53.9,1.39
201411,33.9,0.10
201412,29.0,1.00
201501,28.2,0.09
201502,26.3,0.68
201503,43.5,0.06
201504,51.6,2.79
201505,57.7,2.85
201506,70.1,5.92
201507,74.6,1.89
201508,71.4,2.56
201509,70.7,2.27
201510,55.5,1.29
201511,42.1,3.51
201512,32.2,1.08
201601,28.0,0.40
201602,35.6,1.00
201603,44.8,0.44
201604,51.9,8.35
201605,58.2,3.32
201606,74.2,1.29
201607,75.2,3.79
201608,73.5,1.46
201609,66.5,2.36
201610,56.3,0.27
201611,45.7,1.52
201612,25.8,0.46
201701,27.1,0.78
201702,37.6,0.33
201703,42.9,1.83
201704,51.2,2.17
201705,57.9,5.46
201706,72.8,1.89
201707,76.6,3.20
201708,69.6,4.99
201709,66.8,3.07
201710,52.8,2.91
201711,40.1,0.31
201712,27.5,0.32
201801,22.4,0.72
201802,22.5,0.63
201803,40.1,0.82
201804,41.7,1.48
201805,64.4,5.49
201806,74.4,3.80
201807,73.8,5.52
201808,71.6,3.07
201809,67.1,2.20
201810,48.1,2.95
201811,34.6,0.70
201812,28.4,2.73
201901,26.5,0.16
201902,17.9,0.96
201903,33.2,4.29
201904,50.8,1.38
201905,55.2,8.21
201906,68.7,4.55
201907,75.2,7.86
201908,72.2,6.11
201909,69.7,0.98
201910,46.2,1.36
201911,36.4,1.41
201912,31.4,1.56
202001,27.3,0.79
