date,tavg,pcp
200001,29.3,2.10
200002,33.6,2.58
200003,35.0,1.25
200004,46.6,1.03
200005,52.5,1.65
200006,61.9,0.21
200007,68.8,0.07
200008,68.7,0.40
200009,56.8,0.50
200010,44.9,1.93
200011,27.4,0.62
200012,28.9,0.89
200101,23.9,1.00
200102,26.9,0.86
200103,38.3,1.41
200104,40.9,1.51
200105,55.4,0.26
200106,61.1,0.49
200107,67.8,0.90
200108,70.2,0.27
200109,60.6,0.42
200110,48.4,0.45
200111,36.3,2.13
200112,23.7,2.08
200201,23.8,1.14
200202,26.1,0.62
200203,32.1,0.88
200204,43.5,1.83
200205,49.9,1.09
200206,61.3,0.57
200207,71.4,0.23
200208,64.4,0.09
200209,57.3,1.06
200210,42.6,0.36
200211,34.8,1.37
200212,29.3,1.17
200301,35.6,0.82
200302,28.1,0.72
200303,37.3,1.24
200304,39.8,2.60
200305,51.5,1.51
200306,60.9,0.20
200307,72.3,0.40
200308,68.4,1.47
200309,58.0,0.40
200310,51.1,0.21
200311,30.2,1.32
200312,28.9,2.56
200401,22.6,1.06
200402,25.4,1.61
200403,41.7,0.40
200404,44.3,1.85
200405,50.2,1.59
200406,60.4,0.44
200407,68.2,0.91
200408,64.2,1.20
200409,55.5,0.92
200410,44.6,2.26
200411,33.3,1.23
200412,29.5,1.37
200501,27.3,2.27
200502,29.0,0.99
200503,35.8,1.67
200504,41.2,2.77
200505,50.6,3.29
200506,54.8,1.28
200507,69.8,0.25
200508,66.1,0.46
200509,54.6,0.54
200510,46.2,1.07
200511,36.3,1.62
200512,28.4,2.83
200601,28.7,2.53
200602,27.6,1.26
200603,31.3,2.23
200604,43.2,2.26
200605,53.0,1.10
200606,62.6,0.75
200607,71.6,0.70
200608,65.0,0.10
200609,55.4,0.51
200610,44.2,1.24
200611,34.6,1.51
200612,26.6,1.29
200701,21.4,0.40
200702,31.8,1.59
200703,40.4,1.12
200704,43.7,1.27
200705,53.2,0.51
200706,61.8,0.79
200707,72.5,0.55
200708,67.9,0.26
200709,55.7,0.77
200710,44.1,1.50
200711,36.7,0.50
200712,23.4,1.74
200801,20.4,1.83
200802,28.4,1.55
200803,32.7,0.94
200804,37.7,0.80
200805,48.6,1.23
200806,58.5,0.73
200807,68.6,0.29
200808,67.2,0.16
200809,57.8,0.10
200810,46.4,0.69
200811,40.1,1.69
200812,25.3,1.85
200901,29.4,1.36
200902,29.7,0.95
200903,34.0,1.12
200904,40.8,1.70
200905,53.3,1.07
200906,56.3,3.70
200907,67.4,0.42
200908,64.4,0.67
200909,61.3,0.41
200910,41.6,1.51
200911,35.3,0.25
200912,20.5,1.47
201001,28.2,1.40
201002,29.7,0.72
201003,34.6,1.37
201004,39.3,1.92
201005,43.2,1.98
201006,57.9,0.47
201007,67.1,0.42
201008,64.4,0.15
201009,58.3,0.79
201010,48.3,2.25
201011,31.6,2.32
201012,29.6,3.24
201101,26.3,0.65
201102,27.8,0.92
201103,35.2,2.28
201104,37.4,2.50
201105,45.1,2.53
201106,55.4,1.02
201107,66.5,0.38
201108,67.4,0.35
201109,60.2,0.41
201110,47.0,0.99
201111,32.9,0.66
201112,27.1,0.18
201201,29.7,1.92
201202,28.5,0.60
201203,37.9,1.29
201204,45.2,0.87
201205,51.2,0.72
201206,59.9,0.18
201207,69.9,0.84
201208,69.3,0.47
201209,60.3,0.44
201210,47.1,0.64
201211,38.7,0.67
201212,25.0,2.41
201301,21.0,1.08
201302,26.9,0.81
201303,38.0,0.48
201304,41.2,1.07
201305,50.4,1.24
201306,62.0,0.16
201307,71.6,0.85
201308,68.1,0.45
201309,56.8,1.70
201310,43.0,0.80
201311,37.4,0.55
201312,23.8,1.00
201401,32.0,0.92
201402,34.0,2.08
201403,37.9,1.74
201404,42.5,1.33
201405,51.8,1.33
201406,59.1,0.29
201407,71.0,0.78
201408,63.7,2.07
201409,59.5,1.16
201410,50.0,0.18
201411,35.8,1.53
201412,30.3,2.21
201501,33.0,0.55
201502,37.9,0.54
201503,42.3,0.48
201504,42.4,1.03
201505,51.0,3.48
201506,65.6,0.71
201507,65.4,1.92
201508,67.1,0.75
201509,60.2,0.68
201510,51.5,1.46
201511,30.2,1.93
201512,25.4,2.39
201601,25.1,1.87
201602,32.7,0.53
201603,39.0,1.79
201604,45.4,2.31
201605,49.9,1.38
201606,63.2,0.44
201607,67.8,0.13
201608,66.7,0.14
201609,56.4,1.88
201610,47.8,2.38
201611,39.2,0.77
201612,23.6,2.69
201701,22.4,3.31
201702,32.8,1.94
201703,40.9,1.62
201704,41.0,2.25
201705,51.1,0.89
201706,61.5,1.07
201707,71.3,0.40
201708,68.0,0.43
201709,55.8,1.47
201710,43.9,0.47
201711,39.1,1.90
201712,30.2,0.53
201801,33.8,0.98
201802,27.7,0.82
201803,34.4,2.18
201804,43.7,1.16
201805,52.3,2.02
201806,60.5,0.32
201807,71.9,0.22
201808,67.3,0.17
201809,59.5,0.03
201810,44.8,1.41
201811,33.5,1.36
201812,25.2,1.53
201901,27.9,1.25
201902,25.1,2.83
201903,34.0,1.84
201904,44.6,2.28
201905,47.6,4.17
201906,57.7,0.41
201907,67.8,0.26
201908,67.4,0.35
201909,55.6,1.97
201910,38.8,0.37
201911,37.5,0.65
201912,28.3,1.99
202001,29.3,2.04
