date,tavg,pcp
200001,20.3,2.81
200002,27.8,2.84
200003,39.6,2.23
200004,43.4,4.57
200005,57.7,5.88
200006,64.3,5.36
200007,65.4,2.97
200008,66.0,2.34
200009,59.6,3.60
200010,50.0,3.29
200011,37.1,1.72
200012,20.7,1.77
200101,24.0,1.17
200102,26.7,1.29
200103,28.6,5.30
200104,45.4,0.85
200105,57.7,2.28
200106,64.9,4.90
200107,66.6,2.74
200108,70.3,3.44
200109,59.7,5.68
200110,51.0,1.95
200111,44.4,2.07
200112,34.7,2.44
200201,30.5,1.73
200202,31.5,1.75
200203,34.6,2.19
200204,46.4,3.26
200205,51.6,5.57
200206,65.4,6.97
200207,70.5,1.74
200208,69.9,2.20
200209,63.9,5.58
200210,47.3,3.17
200211,37.3,3.05
200212,25.4,3.42
200301,16.6,2.78
200302,20.5,2.66
200303,33.0,2.18
200304,41.9,2.31
200305,54.3,3.71
200306,62.7,4.44
200307,68.6,6.04
200308,69.1,3.57
200309,60.5,5.77
200310,46.6,4.20
200311,42.0,3.33
200312,29.0,3.69
200401,15.1,2.17
200402,22.4,1.21
200403,36.4,2.36
200404,44.1,4.10
200405,60.6,6.16
200406,62.3,2.88
200407,67.7,7.93
200408,66.5,6.70
200409,62.8,5.25
200410,48.8,2.55
200411,39.5,2.82
200412,27.9,2.89
200501,19.9,4.51
200502,25.6,2.34
200503,28.4,2.70
200504,46.0,4.72
200505,50.8,1.24
200506,69.7,4.56
200507,72.1,2.05
200508,71.1,3.61
200509,63.1,2.58
200510,49.8,7.13
200511,42.5,4.44
200512,24.4,2.34
200601,31.4,3.27
200602,27.6,1.56
200603,31.7,2.05
200604,45.3,2.05
200605,55.4,2.74
200606,64.7,7.69
200607,71.4,6.96
200608,67.0,4.91
200609,58.9,3.24
200610,46.8,4.55
200611,42.4,3.01
200612,35.5,2.07
200701,27.5,2.90
200702,17.0,2.14
200703,30.6,3.44
200704,41.1,3.47
200705,56.1,1.21
200706,66.1,3.22
200707,66.8,4.73
200708,68.2,3.16
200709,62.7,4.27
200710,55.8,3.88
200711,37.0,4.01
200712,27.3,4.48
200801,27.4,1.12
200802,25.1,4.26
200803,29.9,5.61
200804,49.4,2.63
200805,51.6,1.88
200806,67.6,4.27
200807,69.3,5.27
200808,64.6,3.12
200809,61.0,2.39
200810,46.6,3.71
200811,36.7,2.46
200812,27.6,3.46
200901,15.2,1.55
200902,26.5,1.01
200903,34.0,3.25
200904,46.5,2.41
200905,55.6,4.21
200906,61.9,4.90
200907,65.1,3.69
200908,68.1,5.29
200909,59.0,2.65
200910,46.6,3.12
200911,41.4,1.81
200912,26.2,2.13
201001,22.1,2.81
201002,24.4,2.43
201003,37.8,2.65
201004,49.3,2.08
201005,59.2,2.69
201006,66.0,4.55
201007,71.5,3.55
201008,68.6,4.40
201009,61.1,2.48
201010,48.9,7.06
201011,38.4,2.18
201012,23.8,3.06
201101,19.8,1.35
201102,22.8,3.75
201103,31.4,3.64
201104,45.5,7.13
201105,58.5,5.86
201106,65.9,2.73
201107,72.1,1.47
201108,67.3,5.07
201109,63.0,10.47
201110,49.8,4.28
201111,44.1,2.54
201112,32.7,2.92
201201,27.2,2.77
201202,31.9,0.69
201203,45.3,1.71
201204,43.1,2.85
201205,61.4,3.32
201206,64.9,2.90
201207,72.1,2.15
201208,68.3,3.58
201209,60.2,4.03
201210,50.9,3.92
201211,36.2,1.20
201212,33.0,6.15
201301,25.9,1.91
201302,24.2,2.36
201303,30.7,1.21
201304,44.0,3.13
201305,58.1,2.80
201306,64.4,4.83
201307,71.0,6.73
201308,65.4,5.78
201309,58.4,3.59
201310,51.6,2.81
201311,35.0,3.55
201312,27.1,2.70
201401,16.9,1.91
201402,18.8,2.19
201403,24.9,3.05
201404,43.4,2.60
201405,56.6,4.13
201406,65.0,5.32
201407,67.5,4.03
201408,64.4,5.05
201409,60.1,2.44
201410,51.2,2.93
201411,34.9,2.23
201412,30.8,2.78
201501,16.5,1.29
201502,10.6,2.03
201503,25.3,1.60
201504,43.0,3.65
201505,61.5,3.08
201506,63.3,7.52
201507,67.4,4.73
201508,66.6,1.76
201509,65.2,4.00
201510,48.1,2.56
201511,42.9,1.43
201512,39.6,3.37
201601,23.8,1.74
201602,27.6,3.94
201603,38.7,1.55
201604,40.5,2.63
201605,55.3,2.04
201606,64.0,1.47
201607,70.8,1.93
201608,71.4,4.22
201609,63.1,2.32
201610,50.8,6.87
201611,40.6,1.83
201612,27.9,2.82
201701,28.5,2.92
201702,33.0,2.12
201703,29.0,3.53
201704,49.3,4.92
201705,54.2,5.09
201706,64.2,4.29
201707,68.6,6.39
201708,65.2,2.43
201709,61.6,2.27
201710,54.8,6.60
201711,36.7,2.14
201712,24.5,1.44
201801,19.3,2.66
201802,30.5,2.26
201803,29.3,3.22
201804,38.2,2.07
201805,60.6,3.88
201806,63.8,2.41
201807,70.8,5.71
201808,69.9,5.38
201809,63.8,5.96
201810,48.0,5.27
201811,33.4,4.63
201812,29.8,2.54
201901,20.4,3.56
201902,25.7,1.69
201903,30.2,1.44
201904,44.8,3.58
201905,54.7,4.95
201906,63.0,5.27
201907,70.9,4.25
201908,66.3,4.08
201909,60.6,1.91
201910,50.0,5.95
201911,33.6,2.82
201912,27.8,3.70
202001,28.4,2.87
