date,tavg,pcp
200001,39.4,0.91
200002,46.9,1.56
200003,52.4,3.96
200004,59.3,2.37
200005,70.2,9.13
200006,73.4,7.14
200007,80.3,4.81
200008,84.7,0.06
200009,74.9,1.08
200010,64.2,5.43
200011,43.0,4.15
200012,28.4,1.84
200101,34.3,2.75
200102,40.6,3.22
200103,46.3,1.04
200104,64.8,1.65
200105,69.2,7.36
200106,76.5,3.57
200107,85.3,0.52
200108,83.8,1.81
200109,71.0,2.33
200110,59.9,3.11
200111,54.2,3.39
200112,42.3,2.11
200201,38.9,2.80
200202,41.0,0.95
200203,47.0,2.76
200204,61.9,3.52
200205,66.2,5.55
200206,76.9,4.08
200207,81.1,2.88
200208,81.2,3.55
200209,75.0,1.47
200210,57.1,3.39
200211,47.2,0.59
200212,41.4,2.85
200301,35.7,0.09
200302,37.3,2.08
200303,49.0,3.59
200304,61.1,2.20
200305,68.6,4.78
200306,73.5,5.27
200307,83.6,0.72
200308,82.6,10.20
200309,68.4,4.40
200310,61.9,3.64
200311,50.9,2.30
200312,42.5,2.09
200401,37.6,2.19
200402,38.9,1.28
200403,54.3,5.95
200404,59.9,4.80
200405,70.8,3.73
200406,74.1,6.17
200407,77.9,7.45
200408,75.7,1.59
200409,73.9,0.94
200410,64.0,7.64
200411,51.1,4.62
200412,41.3,0.98
200501,38.7,3.77
200502,45.1,2.19
200503,49.8,1.11
200504,60.2,2.64
200505,67.7,2.25
200506,77.8,4.08
200507,80.9,2.53
200508,81.6,6.63
200509,76.3,2.55
200510,61.8,1.75
200511,53.4,0.32
200512,37.3,0.49
200601,46.6,0.69
200602,40.6,0.41
200603,53.2,3.11
200604,66.1,6.09
200605,70.3,3.38
200606,76.9,3.48
200607,83.2,4.13
200608,85.0,4.29
200609,70.0,2.25
200610,60.0,1.53
200611,51.3,3.54
200612,41.9,4.13
200701,35.2,2.29
200702,39.1,1.41
200703,59.3,3.57
200704,56.7,2.46
200705,69.6,8.53
200706,75.6,10.69
200707,79.6,4.80
200708,83.6,1.85
200709,74.0,7.98
200710,63.9,3.50
200711,51.6,0.63
200712,38.0,3.53
200801,37.1,0.90
200802,39.7,2.31
200803,50.3,4.97
200804,57.9,9.25
200805,68.8,8.56
200806,77.1,10.17
200807,81.7,3.94
200808,79.5,3.39
200809,70.5,4.23
200810,60.1,2.31
200811,49.8,2.22
200812,38.3,1.62
200901,35.8,0.68
200902,46.0,2.15
200903,52.2,4.67
200904,58.1,4.10
200905,66.2,5.67
200906,79.7,3.01
200907,79.4,3.78
200908,78.3,3.71
200909,70.1,8.61
200910,54.8,6.70
200911,54.5,0.72
200912,34.2,1.89
201001,33.0,2.34
201002,35.5,2.03
201003,49.5,3.04
201004,62.7,2.09
201005,68.7,5.51
201006,80.6,6.59
201007,82.8,6.00
201008,84.1,1.60
201009,74.3,4.13
201010,62.0,1.19
201011,51.4,2.37
201012,38.1,0.59
201101,33.6,0.50
201102,38.9,2.50
201103,51.7,1.15
201104,61.9,5.73
201105,67.7,4.29
201106,82.6,1.59
201107,89.2,0.36
201108,86.6,4.47
201109,69.9,3.12
201110,61.8,1.74
201111,50.4,5.38
201112,40.9,1.52
201201,42.8,0.75
201202,44.5,1.60
201203,60.3,6.48
201204,64.6,3.52
201205,73.1,1.34
201206,78.9,3.51
201207,87.1,1.11
201208,81.9,3.04
201209,74.9,2.19
201210,59.5,2.05
201211,51.4,1.08
201212,42.7,0.87
201301,39.3,1.87
201302,40.6,3.37
201303,46.6,1.46
201304,55.4,4.12
201305,66.5,4.87
201306,77.6,2.87
201307,79.7,4.63
201308,79.6,3.02
201309,75.6,2.67
201310,60.1,3.41
201311,46.6,1.78
201312,35.0,1.76
201401,34.6,0.15
201402,35.8,0.30
201403,46.1,2.21
201404,59.1,2.24
201405,69.4,3.03
201406,77.0,4.60
201407,77.0,4.42
201408,80.9,1.76
201409,72.9,2.79
201410,64.4,4.55
201411,44.3,2.03
201412,41.9,1.74
201501,37.3,0.61
201502,35.7,1.25
201503,51.2,3.82
201504,62.1,3.92
201505,66.9,13.19
201506,79.1,5.43
201507,82.6,6.51
201508,78.1,3.90
201509,75.8,2.58
201510,62.5,1.52
201511,52.2,7.84
201512,45.6,8.59
201601,37.1,0.53
201602,47.3,1.07
201603,55.2,2.64
201604,62.6,6.42
201605,66.6,3.89
201606,80.6,0.98
201607,83.8,4.63
201608,82.3,3.75
201609,76.7,2.05
201610,68.2,2.52
201611,56.1,1.61
201612,39.2,0.40
201701,40.9,2.89
201702,50.5,1.42
201703,55.8,2.09
201704,62.1,10.95
201705,67.6,7.08
201706,77.1,2.19
201707,82.3,2.87
201708,77.8,6.35
201709,73.9,1.83
201710,61.8,6.09
201711,53.2,0.68
201712,41.0,1.18
201801,36.2,0.30
201802,41.1,4.83
201803,52.2,3.89
201804,53.2,1.93
201805,75.6,3.01
201806,80.3,2.53
201807,82.5,3.15
201808,80.0,3.79
201809,75.1,3.82
201810,60.4,3.70
201811,44.6,1.86
201812,40.7,3.65
201901,37.0,3.99
201902,39.6,1.20
201903,47.2,3.48
201904,62.1,5.51
201905,68.4,13.64
201906,76.2,6.60
201907,80.7,3.03
201908,81.3,7.16
201909,80.2,4.98
201910,57.2,6.17
201911,47.0,3.78
201912,44.1,0.98
202001,41.9,4.77
