date,tavg,pcp
200001,37.8,8.46
200002,41.6,7.35
200003,43.1,4.82
200004,51.3,3.18
200005,54.0,4.35
200006,61.6,2.47
200007,64.3,0.21
200008,64.3,0.18
200009,60.8,2.10
200010,52.0,5.12
200011,39.9,4.44
200012,38.4,5.67
200101,39.4,3.05
200102,39.8,2.79
200103,45.6,5.92
200104,46.7,4.91
200105,56.5,2.81
200106,57.6,3.75
200107,63.6,1.01
200108,66.2,1.22
200109,62.5,1.04
200110,51.0,5.98
200111,45.6,11.11
200112,39.3,12.03
200201,39.0,11.89
200202,42.1,5.48
200203,41.8,7.47
200204,49.0,4.84
200205,52.4,2.52
200206,61.3,2.79
200207,67.0,0.30
200208,65.6,0.14
200209,61.8,1.59
200210,51.5,1.01
200211,45.9,3.98
200212,41.0,12.13
200301,43.6,11.69
200302,42.3,5.21
200303,46.0,11.18
200304,47.6,7.46
200305,54.4,2.53
200306,63.1,0.57
200307,68.4,0.04
200308,67.2,0.27
200309,63.7,2.34
200310,55.2,4.44
200311,41.4,7.89
200312,39.6,11.87
200401,36.7,11.01
200402,42.3,6.33
200403,48.4,3.57
200404,52.6,2.43
200405,55.5,4.23
200406,62.1,2.40
200407,68.4,0.08
200408,68.4,4.56
200409,59.6,3.19
200410,53.5,6.09
200411,44.2,4.08
200412,41.4,6.31
200501,40.5,4.19
200502,42.3,1.85
200503,47.9,6.81
200504,49.3,5.94
200505,56.9,6.27
200506,58.1,3.56
200507,67.0,0.81
200508,67.6,0.62
200509,59.2,1.66
200510,53.2,6.51
200511,42.2,9.26
200512,37.6,12.17
200601,42.7,17.28
200602,39.7,4.57
200603,43.2,5.38
200604,50.0,4.33
200605,56.0,3.80
200606,62.5,2.20
200607,67.6,0.39
200608,65.5,0.20
200609,62.1,1.77
200610,51.3,2.81
200611,43.8,21.30
200612,38.6,10.32
200701,36.8,6.18
200702,42.3,8.05
200703,47.3,6.00
200704,48.8,3.66
200705,55.5,1.75
200706,59.4,1.96
200707,67.7,0.76
200708,64.8,1.03
200709,59.2,2.43
200710,50.1,6.65
200711,43.1,7.39
200712,38.4,14.23
200801,36.1,10.35
200802,42.3,5.25
200803,42.1,7.76
200804,44.9,5.18
200805,54.8,2.82
200806,58.1,2.45
200807,65.8,0.30
200808,66.3,2.49
200809,62.0,0.67
200810,51.3,3.08
200811,47.2,9.06
200812,35.5,8.78
200901,38.5,8.67
200902,40.0,3.33
200903,41.4,7.91
200904,48.2,4.73
200905,56.1,5.27
200906,61.5,1.41
200907,69.8,0.34
200908,66.2,0.92
200909,62.7,2.01
200910,50.6,5.68
200911,44.3,9.51
200912,34.7,6.82
201001,43.4,8.70
201002,44.6,5.02
201003,45.7,7.10
201004,47.6,5.75
201005,51.4,6.39
201006,57.1,6.29
201007,64.7,0.55
201008,65.2,0.45
201009,60.8,4.07
201010,52.9,6.34
201011,42.4,11.54
201012,39.8,13.20
201101,40.0,8.16
201102,38.0,7.38
201103,43.0,10.99
201104,44.5,9.12
201105,50.4,4.97
201106,57.8,1.64
201107,62.6,1.40
201108,65.8,0.16
201109,64.2,1.29
201110,52.6,4.25
201111,42.4,9.96
201112,37.9,5.77
201201,39.5,11.57
201202,40.9,6.83
201203,42.0,12.91
201204,49.7,5.92
201205,54.0,4.33
201206,57.4,5.49
201207,64.6,0.64
201208,67.6,0.02
201209,62.9,0.08
201210,53.0,9.70
201211,45.8,11.32
201212,39.2,11.79
201301,36.6,6.65
201302,41.6,3.79
201303,45.7,3.77
201304,49.2,5.23
201305,56.3,6.47
201306,61.8,2.19
201307,66.9,0.01
201308,67.6,0.77
201309,61.6,8.08
201310,51.2,2.49
201311,44.1,5.74
201312,35.4,5.34
201401,41.1,5.89
201402,37.7,9.22
201403,46.3,11.49
201404,50.4,6.20
201405,57.5,4.44
201406,59.6,3.23
201407,68.8,0.99
201408,69.3,0.49
201409,64.3,1.42
201410,56.9,9.22
201411,43.6,7.32
201412,41.7,9.30
201501,43.0,5.55
201502,47.0,6.18
201503,50.0,6.70
201504,49.4,3.50
201505,57.5,1.48
201506,66.7,0.73
201507,70.1,0.41
201508,68.5,1.29
201509,60.0,1.58
201510,57.1,5.82
201511,42.6,9.14
201512,40.3,20.11
201601,40.3,9.83
201602,46.4,7.04
201603,46.5,8.51
201604,54.5,3.04
201605,58.0,2.23
201606,62.0,2.75
201607,64.8,1.03
201608,68.0,0.24
201609,59.5,2.19
201610,52.4,14.22
201611,49.1,9.57
201612,34.9,8.44
201701,32.7,5.15
201702,39.3,13.44
201703,44.9,12.52
201704,47.8,7.14
201705,57.0,3.55
201706,62.0,2.48
201707,67.0,0.02
201708,70.6,0.22
201709,63.7,3.79
201710,51.7,8.04
201711,44.4,11.15
201712,38.0,6.18
201801,42.9,9.16
201802,39.7,5.35
201803,43.7,4.41
201804,49.8,7.21
201805,59.1,0.46
201806,60.9,1.65
201807,69.9,0.02
201808,68.2,0.35
201809,60.1,1.54
201810,53.6,5.33
201811,45.3,5.42
201812,40.5,9.18
201901,41.2,5.05
201902,34.8,7.84
201903,43.1,2.42
201904,50.1,7.02
201905,57.7,2.20
201906,61.3,1.37
201907,65.4,0.65
201908,67.4,0.99
201909,60.2,5.06
201910,48.3,4.09
201911,44.9,2.33
201912,40.8,6.25
202001,42.6,13.36
