date,tavg,pcp
200001,27.3,1.61
200002,35.1,3.44
200003,43.8,3.31
200004,49.2,4.38
200005,61.8,5.05
200006,68.8,4.15
200007,67.7,4.11
200008,68.0,4.72
200009,61.9,4.09
200010,53.8,2.58
200011,38.5,2.04
200012,23.2,1.95
200101,27.8,2.17
200102,34.8,1.48
200103,34.7,3.51
200104,53.1,3.94
200105,59.0,3.01
200106,67.2,4.04
200107,68.6,3.41
200108,72.1,3.34
200109,61.1,2.55
200110,52.9,1.93
200111,47.6,2.43
200112,38.3,2.86
200201,34.2,2.23
200202,34.6,1.50
200203,40.4,4.58
200204,51.4,3.76
200205,56.2,5.78
200206,69.0,5.36
200207,73.2,2.71
200208,72.4,3.16
200209,66.0,3.47
200210,50.7,3.66
200211,40.1,3.14
200212,29.4,3.17
200301,21.6,2.99
200302,26.1,3.26
200303,40.4,1.88
200304,51.2,2.51
200305,58.1,5.66
200306,64.4,5.45
200307,69.8,6.26
200308,71.2,5.86
200309,61.8,4.98
200310,49.4,3.47
200311,46.0,4.99
200312,31.4,3.69
200401,22.6,5.36
200402,29.5,2.51
200403,41.5,3.33
200404,49.6,5.89
200405,64.0,4.79
200406,65.9,5.53
200407,69.7,5.50
200408,67.6,4.96
200409,64.6,8.33
200410,52.2,2.47
200411,44.5,3.08
200412,33.0,2.92
200501,30.7,7.19
200502,32.3,2.43
200503,34.3,3.39
200504,51.4,2.60
200505,54.6,3.02
200506,70.0,3.12
200507,73.3,3.34
200508,72.5,3.40
200509,66.3,1.46
200510,53.5,4.27
200511,44.4,4.21
200512,27.4,1.91
200601,37.8,4.15
200602,30.9,1.40
200603,38.5,1.73
200604,52.1,3.73
200605,57.0,4.02
200606,65.5,5.72
200607,72.4,5.00
200608,71.4,3.15
200609,60.6,4.70
200610,50.3,5.09
200611,44.4,3.00
200612,38.7,1.71
200701,32.8,4.17
200702,20.4,2.05
200703,41.3,5.22
200704,46.1,4.33
200705,61.2,1.69
200706,67.5,4.44
200707,68.3,3.98
200708,71.8,8.64
200709,64.9,1.83
200710,58.4,2.28
200711,41.3,4.69
200712,34.0,5.45
200801,29.9,2.35
200802,30.0,4.72
200803,37.4,4.69
200804,52.7,2.90
200805,55.2,5.28
200806,68.7,5.91
200807,70.9,4.28
200808,67.8,1.79
200809,64.4,3.29
200810,50.1,2.15
200811,39.3,2.35
200812,32.9,6.54
200901,22.7,3.77
200902,31.0,1.54
200903,41.2,1.81
200904,50.3,3.36
200905,59.8,5.07
200906,66.2,4.40
200907,67.4,4.74
200908,70.6,3.68
200909,63.1,2.52
200910,49.5,3.67
200911,46.5,1.26
200912,29.3,4.25
201001,25.4,3.02
201002,24.8,3.41
201003,42.4,2.81
201004,53.9,2.35
201005,61.8,4.75
201006,70.0,4.77
201007,73.6,4.55
201008,72.1,3.09
201009,64.5,2.89
201010,52.5,3.31
201011,41.6,3.90
201012,24.8,3.11
201101,23.3,2.21
201102,31.9,3.54
201103,38.5,4.56
201104,52.1,6.48
201105,61.6,4.90
201106,68.3,3.19
201107,74.4,5.29
201108,70.2,4.34
201109,64.9,7.17
201110,51.7,5.31
201111,46.8,4.15
201112,36.8,3.42
201201,31.8,3.63
201202,35.3,1.88
201203,49.9,4.43
201204,48.5,2.28
201205,65.4,4.19
201206,67.4,2.51
201207,74.8,6.73
201208,70.2,2.69
201209,62.8,5.77
201210,52.5,6.02
201211,38.6,1.05
201212,37.6,6.19
201301,30.8,3.23
201302,28.2,2.60
201303,34.1,2.68
201304,50.7,2.71
201305,60.0,3.17
201306,68.0,6.66
201307,72.1,6.65
201308,68.3,7.10
201309,62.0,2.74
201310,53.8,2.68
201311,38.1,3.61
201312,33.6,4.36
201401,21.2,2.32
201402,24.4,3.60
201403,32.2,2.68
201404,50.0,3.67
201405,59.8,5.51
201406,68.2,5.43
201407,69.1,4.28
201408,68.1,4.70
201409,63.2,1.66
201410,53.4,2.95
201411,37.1,2.69
201412,35.6,3.37
201501,25.0,2.78
201502,17.8,1.83
201503,33.8,4.98
201504,51.2,4.50
201505,63.6,3.09
201506,68.3,10.73
201507,70.6,4.30
201508,69.0,1.74
201509,67.4,4.73
201510,52.0,3.50
201511,46.8,2.22
201512,44.1,4.57
201601,25.8,2.56
201602,32.2,3.31
201603,45.5,2.24
201604,49.8,2.77
201605,58.6,4.76
201606,68.9,4.72
201607,73.0,3.98
201608,74.3,4.84
201609,67.7,3.30
201610,55.9,5.79
201611,43.4,1.24
201612,32.6,5.21
201701,34.3,4.75
201702,39.7,2.44
201703,38.4,4.85
201704,55.3,5.49
201705,58.5,6.46
201706,67.8,6.10
201707,71.6,7.03
201708,68.0,3.64
201709,65.0,2.04
201710,57.1,5.24
201711,40.3,4.36
201712,29.5,2.01
201801,24.1,3.40
201802,37.7,8.43
201803,34.2,3.54
201804,44.8,5.18
201805,66.2,5.07
201806,68.4,8.21
201807,72.1,4.33
201808,71.8,5.71
201809,68.2,11.48
201810,53.6,5.20
201811,37.6,4.84
201812,34.9,4.54
201901,28.1,3.90
201902,33.8,5.33
201903,36.4,2.11
201904,52.1,4.51
201905,63.1,6.82
201906,66.3,6.46
201907,72.9,6.08
201908,69.9,4.15
201909,66.7,2.37
201910,55.4,4.98
201911,37.4,2.74
201912,35.1,4.55
202001,35.0,3.81
