date,tavg,pcp
200001,47.2,3.75
200002,52.1,1.66
200003,60.2,3.55
200004,62.4,1.97
200005,74.4,0.66
200006,79.2,4.46
200007,81.3,7.17
200008,80.3,4.14
200009,74.8,7.77
200010,64.9,0.03
200011,55.8,2.96
200012,42.6,2.33
200101,46.2,1.16
200102,54.0,2.02
200103,55.7,6.14
200104,64.5,0.73
200105,72.6,2.45
200106,78.6,5.09
200107,79.9,8.63
200108,80.9,4.43
200109,73.6,3.39
200110,64.9,0.63
200111,62.6,0.73
200112,57.0,1.88
200201,51.0,2.46
200202,51.5,2.44
200203,59.2,3.68
200204,69.2,1.65
200205,70.9,2.56
200206,78.5,8.03
200207,82.6,4.21
200208,80.1,9.51
200209,78.7,5.92
200210,70.4,7.23
200211,56.2,5.50
200212,48.2,4.61
200301,44.4,0.95
200302,49.6,2.75
200303,59.9,5.82
200304,64.0,4.97
200305,73.2,5.62
200306,78.2,5.33
200307,80.8,8.99
200308,81.2,3.63
200309,74.4,4.19
200310,66.7,3.44
200311,61.9,0.83
200312,46.9,2.25
200401,46.3,1.51
200402,47.4,4.14
200403,58.9,0.50
200404,64.6,3.33
200405,75.1,2.89
200406,80.0,3.35
200407,81.8,4.61
200408,78.5,12.20
200409,75.5,4.44
200410,68.6,2.43
200411,59.7,1.25
200412,49.4,1.49
200501,50.1,1.70
200502,51.0,3.25
200503,54.9,5.87
200504,62.0,2.04
200505,69.3,5.45
200506,77.9,6.48
200507,83.2,3.45
200508,81.8,6.77
200509,78.6,1.41
200510,67.8,5.75
200511,59.8,4.87
200512,49.1,3.17
200601,53.8,2.42
200602,50.1,3.63
200603,57.1,0.74
200604,67.6,2.76
200605,71.4,2.08
200606,77.9,6.00
200607,81.9,2.76
200608,82.3,6.82
200609,75.0,4.99
200610,64.8,2.69
200611,57.4,4.74
200612,56.0,2.61
200701,52.7,3.45
200702,49.4,2.51
200703,60.2,1.21
200704,63.4,1.28
200705,70.4,1.32
200706,78.0,4.08
200707,80.3,5.57
200708,83.4,5.14
200709,76.8,5.17
200710,71.2,4.37
200711,57.1,0.04
200712,56.4,3.54
200801,48.6,3.36
200802,54.5,2.89
200803,57.8,2.46
200804,64.1,3.01
200805,71.2,3.15
200806,80.7,4.15
200807,80.7,4.61
200808,80.8,8.63
200809,76.3,5.44
200810,64.6,9.24
200811,54.3,2.47
200812,55.6,0.83
200901,48.7,1.48
200902,49.4,1.77
200903,57.0,3.52
200904,63.8,4.76
200905,72.7,5.13
200906,80.6,5.39
200907,80.3,6.61
200908,81.4,3.59
200909,76.1,1.95
200910,66.7,3.46
200911,58.9,2.96
200912,50.8,9.55
201001,44.4,5.92
201002,45.1,3.35
201003,54.7,3.97
201004,65.8,1.15
201005,74.4,2.99
201006,83.0,3.92
201007,82.8,6.68
201008,82.7,8.09
201009,78.6,7.06
201010,68.2,1.27
201011,58.0,0.49
201012,42.6,2.22
201101,44.4,2.33
201102,53.8,3.43
201103,59.3,2.76
201104,67.3,2.66
201105,73.3,1.01
201106,82.0,2.53
201107,83.1,5.76
201108,82.6,4.76
201109,76.2,4.05
201110,64.4,2.42
201111,58.8,2.12
201112,54.9,0.77
201201,52.5,0.77
201202,54.9,2.69
201203,64.9,4.92
201204,66.7,1.96
201205,74.0,5.09
201206,75.7,7.11
201207,83.3,5.00
201208,79.7,9.36
201209,76.1,1.11
201210,67.3,1.85
201211,53.7,2.14
201212,55.1,3.68
201301,54.1,0.68
201302,51.8,8.64
201303,52.0,3.56
201304,63.8,4.60
201305,70.0,2.70
201306,79.1,10.23
201307,80.4,7.89
201308,79.9,6.49
201309,75.6,3.26
201310,67.2,1.40
201311,56.2,3.23
201312,54.7,2.22
201401,44.6,2.76
201402,51.8,2.83
201403,53.3,4.88
201404,65.6,4.97
201405,74.0,2.47
201406,79.9,2.89
201407,80.9,6.03
201408,81.0,5.61
201409,77.8,9.85
201410,68.4,1.14
201411,53.2,4.80
201412,52.6,3.06
201501,48.5,3.69
201502,44.6,4.69
201503,58.6,3.32
201504,67.3,3.96
201505,72.6,2.02
201506,81.4,5.23
201507,82.6,3.71
201508,80.3,10.34
201509,76.1,4.08
201510,66.8,17.74
201511,62.6,7.91
201512,62.3,3.33
201601,46.9,3.51
201602,50.9,5.26
201603,63.0,3.62
201604,64.6,1.97
201605,72.5,5.74
201606,80.7,4.32
201607,84.7,3.63
201608,82.7,3.91
201609,78.7,9.14
201610,69.4,9.97
201611,58.9,0.37
201612,54.2,4.05
201701,55.2,3.89
201702,58.6,0.75
201703,58.5,1.14
201704,69.1,6.16
201705,73.6,5.55
201706,77.9,7.46
201707,81.9,6.58
201708,81.2,9.79
201709,77.6,6.30
201710,69.3,3.06
201711,58.1,1.11
201712,51.4,2.68
201801,44.3,2.27
201802,60.0,1.23
201803,55.0,2.22
201804,62.1,4.43
201805,74.5,6.45
201806,81.2,4.00
201807,81.4,10.48
201808,81.6,4.42
201809,80.8,3.36
201810,71.2,3.37
201811,57.2,5.15
201812,53.1,8.11
201901,50.8,2.03
201902,57.2,0.83
201903,57.6,1.05
201904,65.3,3.24
201905,77.1,1.28
201906,79.0,6.96
201907,82.2,5.84
201908,81.6,5.21
201909,79.0,4.75
201910,71.6,3.93
201911,54.6,3.45
201912,55.1,6.86
202001,54.7,1.66
