date,tavg,pcp
200001,28.2,0.82
200002,32.9,0.89
200003,40.4,1.52
200004,45.6,4.92
200005,57.8,1.80
200006,64.4,0.85
200007,74.6,1.61
200008,75.0,0.67
200009,63.2,1.27
200010,50.1,1.26
200011,26.0,0.70
200012,19.7,0.37
200101,29.3,0.32
200102,20.5,0.88
200103,36.5,0.91
200104,47.6,2.01
200105,56.8,1.89
200106,65.3,3.01
200107,76.1,3.36
200108,74.4,0.85
200109,64.3,0.59
200110,49.0,1.06
200111,39.3,0.71
200112,27.8,0.04
200201,27.2,0.06
200202,31.4,0.15
200203,25.7,1.82
200204,45.9,1.26
200205,52.7,1.87
200206,69.5,0.99
200207,77.7,0.86
200208,71.1,2.45
200209,62.3,2.78
200210,41.3,0.54
200211,37.1,0.20
200212,31.7,0.14
200301,29.3,0.44
200302,24.7,0.42
200303,37.4,2.20
200304,48.9,2.19
200305,55.8,2.13
200306,62.4,4.18
200307,77.4,0.18
200308,76.2,1.31
200309,59.8,1.76
200310,52.5,0.61
200311,30.2,0.62
200312,30.5,0.41
200401,25.5,0.28
200402,30.1,0.77
200403,41.7,0.83
200404,49.1,0.60
200405,56.9,1.15
200406,63.2,0.87
200407,72.3,2.41
200408,68.4,0.78
200409,62.9,2.97
200410,50.3,1.57
200411,37.2,0.48
200412,31.5,0.04
200501,23.6,0.47
200502,34.5,0.11
200503,38.8,0.87
200504,47.3,2.40
200505,53.7,3.14
200506,66.4,4.66
200507,75.0,2.29
200508,70.6,1.91
200509,64.3,0.60
200510,50.0,1.01
200511,40.2,0.13
200512,24.8,0.13
200601,35.9,0.35
200602,26.4,0.53
200603,34.9,1.74
200604,50.9,1.48
200605,57.9,1.51
200606,70.3,1.74
200607,78.0,1.74
200608,72.5,1.60
200609,57.5,1.08
200610,46.0,0.43
200611,36.3,0.34
200612,29.8,0.34
200701,23.7,0.14
200702,24.0,0.34
200703,45.0,1.21
200704,44.0,1.45
200705,59.7,1.85
200706,69.5,1.16
200707,79.1,1.65
200708,74.6,2.08
200709,64.0,1.15
200710,50.9,1.30
200711,38.2,0.04
200712,21.9,0.71
200801,20.8,0.27
200802,27.6,0.23
200803,36.8,0.76
200804,43.7,1.26
200805,52.9,4.73
200806,63.7,2.09
200807,73.9,2.97
200808,71.5,1.20
200809,59.9,1.49
200810,47.9,1.03
200811,38.2,0.40
200812,20.3,0.33
200901,26.3,0.64
200902,31.2,0.37
200903,36.9,1.67
200904,42.6,3.40
200905,55.9,1.14
200906,62.7,3.08
200907,69.8,2.02
200908,68.9,1.84
200909,63.2,0.85
200910,39.8,2.80
200911,41.3,0.33
200912,17.0,0.86
201001,23.7,0.15
201002,22.1,0.57
201003,40.6,0.54
201004,46.9,3.61
201005,52.2,4.12
201006,64.9,4.35
201007,72.0,2.31
201008,73.6,1.24
201009,61.8,0.93
201010,53.2,0.73
201011,33.0,0.47
201012,27.0,0.63
201101,22.5,0.45
201102,21.2,0.71
201103,35.4,0.68
201104,44.3,1.17
201105,51.1,5.43
201106,64.9,2.20
201107,76.4,1.55
201108,74.5,1.70
201109,61.7,1.03
201110,50.5,1.18
201111,35.2,0.43
201112,26.9,0.26
201201,28.8,0.30
201202,28.9,0.54
201203,48.1,0.10
201204,51.6,1.50
201205,57.6,2.38
201206,72.0,2.58
201207,78.8,1.51
201208,73.0,0.32
201209,64.0,0.12
201210,46.8,0.89
201211,38.2,0.70
201212,26.4,0.31
201301,24.2,0.44
201302,30.5,0.15
201303,36.2,0.40
201304,38.9,2.45
201305,56.6,2.05
201306,66.0,1.47
201307,73.8,3.27
201308,73.3,2.51
201309,66.0,1.36
201310,44.7,4.75
201311,35.0,0.49
201312,19.8,0.59
201401,27.3,0.11
201402,19.8,0.47
201403,35.1,0.73
201404,44.9,2.62
201405,55.1,3.06
201406,62.9,4.11
201407,71.3,1.22
201408,70.6,2.53
201409,60.6,4.09
201410,51.4,0.63
201411,29.1,0.65
201412,28.6,0.41
201501,27.9,0.27
201502,30.0,0.39
201503,43.1,0.27
201504,46.6,1.49
201505,51.7,6.52
201506,67.9,6.28
201507,71.2,2.57
201508,71.1,1.02
201509,66.8,0.46
201510,51.8,1.64
201511,35.4,0.76
201512,26.5,0.73
201601,27.2,0.13
201602,36.2,0.34
201603,41.4,1.59
201604,47.6,2.18
201605,54.1,1.83
201606,72.1,1.49
201607,74.2,2.64
201608,70.3,1.71
201609,61.8,1.44
201610,53.1,0.39
201611,43.0,0.21
201612,17.4,1.12
201701,20.6,0.56
201702,32.2,1.23
201703,41.9,0.99
201704,46.7,2.68
201705,55.2,2.10
201706,67.1,2.18
201707,76.6,1.77
201708,69.2,0.99
201709,61.8,1.01
201710,47.2,0.57
201711,38.9,0.62
201712,24.3,0.54
201801,24.4,0.62
201802,16.9,0.97
201803,35.2,1.05
201804,41.0,1.35
201805,60.1,5.37
201806,68.1,3.59
201807,72.0,3.77
201808,69.0,1.31
201809,62.3,1.21
201810,44.5,0.99
201811,32.9,0.76
201812,27.2,0.73
201901,26.8,0.34
201902,13.7,0.42
201903,29.2,1.44
201904,45.8,1.80
201905,48.1,5.18
201906,64.3,2.14
201907,71.6,2.88
201908,70.2,2.76
201909,63.5,1.96
201910,39.8,1.18
201911,33.0,0.79
201912,29.2,0.62
202001,28.5,0.29
