date,tavg,pcp
200001,41.8,1.71
200002,48.7,4.48
200003,55.8,4.33
200004,59.5,4.42
200005,73.0,4.69
200006,77.7,4.45
200007,81.5,1.45
200008,83.6,1.06
200009,74.1,2.49
200010,65.8,0.53
200011,49.2,7.29
200012,32.1,2.85
200101,36.7,3.39
200102,47.1,7.05
200103,48.0,3.29
200104,66.8,3.60
200105,71.7,4.95
200106,76.6,3.64
200107,82.3,4.13
200108,81.1,2.19
200109,72.0,3.81
200110,60.2,8.22
200111,56.2,11.14
200112,46.9,9.87
200201,43.9,3.98
200202,43.3,2.61
200203,49.4,12.31
200204,64.9,1.61
200205,68.1,6.45
200206,79.0,3.60
200207,81.9,4.89
200208,80.7,6.21
200209,76.2,10.02
200210,62.3,8.52
200211,48.2,3.08
200212,42.9,9.09
200301,35.8,1.30
200302,40.3,8.62
200303,52.8,2.67
200304,62.5,3.47
200305,70.9,11.89
200306,74.3,4.91
200307,80.4,4.26
200308,80.7,3.33
200309,71.0,4.23
200310,62.9,3.40
200311,55.3,5.70
200312,42.8,3.26
200401,40.9,3.41
200402,41.9,4.75
200403,56.4,3.83
200404,60.5,7.49
200405,73.2,5.61
200406,77.6,4.66
200407,79.1,3.58
200408,75.9,3.38
200409,73.6,0.95
200410,66.4,6.02
200411,56.1,8.99
200412,41.5,4.87
200501,45.4,5.08
200502,47.9,3.67
200503,51.0,3.65
200504,61.7,5.75
200505,68.7,1.10
200506,78.7,2.50
200507,81.0,6.53
200508,83.2,5.50
200509,76.9,3.47
200510,62.2,0.47
200511,54.6,2.87
200512,39.7,1.98
200601,47.9,7.36
200602,40.3,3.59
200603,53.4,3.80
200604,67.2,3.67
200605,70.9,4.24
200606,77.8,2.98
200607,82.1,1.22
200608,83.0,3.85
200609,71.0,3.44
200610,60.5,2.51
200611,50.8,3.30
200612,46.3,6.30
200701,41.7,4.88
200702,40.5,2.63
200703,61.4,1.17
200704,58.9,3.53
200705,73.2,1.79
200706,80.0,1.78
200707,80.1,3.88
200708,86.2,1.34
200709,76.4,2.84
200710,65.9,5.71
200711,52.9,3.30
200712,46.0,5.20
200801,39.1,3.81
200802,44.2,2.67
200803,52.2,8.47
200804,59.7,9.49
200805,69.6,7.65
200806,79.6,2.59
200807,81.6,1.50
200808,78.6,4.86
200809,73.2,2.52
200810,61.2,5.48
200811,48.9,2.37
200812,41.9,8.47
200901,38.0,3.41
200902,46.5,2.96
200903,53.1,6.39
200904,60.5,3.69
200905,69.9,8.05
200906,79.9,2.89
200907,77.7,9.61
200908,77.9,3.26
200909,73.9,7.70
200910,59.1,10.61
200911,54.0,1.50
200912,39.5,5.72
201001,36.0,4.43
201002,35.8,3.67
201003,50.9,4.14
201004,65.0,4.82
201005,73.3,11.52
201006,83.3,1.74
201007,83.0,6.59
201008,84.2,2.10
201009,76.3,0.25
201010,63.4,1.36
201011,52.7,6.89
201012,38.1,1.62
201101,37.7,2.56
201102,45.9,3.54
201103,52.9,4.97
201104,64.5,12.56
201105,68.7,8.32
201106,82.4,3.85
201107,84.4,3.18
201108,81.8,3.30
201109,71.3,3.41
201110,60.4,1.43
201111,54.2,7.14
201112,44.3,8.67
201201,45.9,2.39
201202,47.6,3.04
201203,63.4,4.76
201204,64.0,1.25
201205,74.4,3.22
201206,77.9,2.63
201207,83.8,2.61
201208,80.4,2.54
201209,73.7,6.68
201210,59.7,4.43
201211,49.4,2.68
201212,48.1,3.96
201301,43.1,9.50
201302,44.2,4.14
201303,46.4,3.36
201304,59.4,7.00
201305,68.4,10.48
201306,78.6,4.85
201307,78.4,4.79
201308,78.7,2.37
201309,75.9,3.52
201310,62.8,2.73
201311,47.5,3.53
201312,41.8,5.32
201401,34.0,2.93
201402,38.9,4.88
201403,46.7,6.17
201404,60.8,6.45
201405,70.2,5.12
201406,78.4,12.99
201407,76.2,3.12
201408,80.4,2.18
201409,73.7,4.81
201410,64.5,4.67
201411,45.1,2.74
201412,44.7,2.82
201501,39.2,1.43
201502,34.8,4.27
201503,50.6,6.44
201504,63.9,4.34
201505,71.2,6.62
201506,79.5,3.43
201507,82.8,4.52
201508,78.0,4.68
201509,74.9,1.98
201510,63.5,2.17
201511,56.0,9.93
201512,52.4,5.44
201601,38.9,2.56
201602,46.2,5.03
201603,56.8,15.49
201604,63.2,5.88
201605,68.8,5.73
201606,80.8,2.61
201607,82.8,6.42
201608,81.9,5.03
201609,77.6,0.92
201610,68.8,1.47
201611,56.4,2.95
201612,42.8,6.09
201701,46.8,4.01
201702,53.2,2.10
201703,56.0,4.53
201704,65.6,4.97
201705,69.6,6.02
201706,77.3,4.63
201707,81.5,4.97
201708,77.7,4.91
201709,73.4,5.38
201710,63.8,2.88
201711,53.0,1.72
201712,42.4,7.25
201801,35.4,4.04
201802,48.5,13.28
201803,52.8,6.14
201804,54.9,7.21
201805,76.5,3.65
201806,80.8,2.85
201807,81.6,3.79
201808,79.6,3.31
201809,76.3,6.62
201810,63.8,3.48
201811,46.3,4.46
201812,44.5,7.81
201901,41.1,5.40
201902,48.1,9.12
201903,49.7,5.04
201904,62.0,8.64
201905,73.2,4.88
201906,76.8,8.90
201907,80.5,7.03
201908,80.6,3.53
201909,81.3,0.43
201910,63.2,12.85
201911,46.5,3.92
201912,46.4,4.94
202001,45.4,6.11
