date,tavg,pcp
200001,48.6,0.56
200002,55.8,0.06
200003,60.2,1.19
200004,67.4,0.22
200005,79.2,0.94
200006,78.8,3.71
200007,85.0,0.18
200008,83.1,0.08
200009,77.8,0.02
200010,64.8,3.53
200011,47.7,1.24
200012,41.4,0.37
200101,42.4,0.83
200102,49.5,1.33
200103,52.8,0.80
200104,67.8,0.06
200105,76.0,1.19
200106,83.6,0.05
200107,86.7,0.06
200108,82.5,3.03
200109,75.1,0.76
200110,66.3,0.07
200111,55.5,2.16
200112,46.1,0.08
200201,46.8,0.19
200202,45.2,1.11
200203,53.7,1.24
200204,68.0,0.45
200205,74.8,0.26
200206,81.8,0.47
200207,81.9,1.60
200208,84.8,0.91
200209,75.8,0.85
200210,62.6,4.24
200211,50.2,0.54
200212,44.5,1.20
200301,44.9,0.28
200302,47.0,0.92
200303,58.0,0.26
200304,67.6,0.04
200305,76.2,2.75
200306,78.9,2.29
200307,82.5,0.58
200308,83.3,1.96
200309,74.4,1.45
200310,67.0,1.04
200311,55.5,0.27
200312,47.3,0.00
200401,47.3,0.91
200402,45.9,1.22
200403,60.0,1.79
200404,63.1,2.52
200405,75.3,0.11
200406,80.6,1.95
200407,81.0,1.68
200408,79.2,1.28
200409,73.3,4.36
200410,65.6,3.11
200411,51.7,4.16
200412,45.0,0.19
200501,48.9,0.47
200502,48.0,1.65
200503,54.2,0.43
200504,63.3,0.01
200505,72.0,2.56
200506,81.0,0.94
200507,81.7,2.23
200508,78.9,2.58
200509,78.0,0.02
200510,65.1,4.17
200511,55.4,0.00
200512,45.5,0.09
200601,50.8,0.16
200602,49.5,0.71
200603,58.0,1.76
200604,69.2,0.34
200605,77.5,0.21
200606,81.8,0.66
200607,84.5,0.63
200608,81.5,5.42
200609,71.8,1.81
200610,64.9,1.79
200611,56.0,0.01
200612,45.0,1.44
200701,39.3,1.44
200702,48.8,0.14
200703,59.8,2.54
200704,61.1,1.86
200705,68.6,5.20
200706,77.0,2.37
200707,78.7,1.79
200708,80.5,3.52
200709,76.0,2.21
200710,68.7,0.17
200711,54.8,0.66
200712,46.6,0.44
200801,43.7,0.09
200802,51.7,0.02
200803,56.8,0.37
200804,65.6,0.33
200805,75.2,0.17
200806,83.8,1.25
200807,80.8,0.41
200808,79.1,2.97
200809,70.7,2.80
200810,64.1,1.75
200811,53.4,0.01
200812,46.5,0.00
200901,45.8,0.03
200902,53.2,0.37
200903,58.7,0.57
200904,65.5,0.60
200905,74.4,0.49
200906,81.6,2.84
200907,82.4,6.35
200908,82.1,0.33
200909,72.0,1.83
200910,62.4,1.13
200911,55.0,0.02
200912,41.3,0.87
201001,43.0,1.58
201002,43.6,1.81
201003,55.0,0.83
201004,64.0,2.48
201005,71.9,1.81
201006,83.4,3.04
201007,79.1,2.30
201008,83.2,0.81
201009,76.3,2.30
201010,66.0,0.02
201011,53.9,0.00
201012,47.9,0.01
201101,43.7,0.01
201102,46.3,0.06
201103,62.2,0.10
201104,71.0,0.00
201105,74.9,0.10
201106,86.9,0.01
201107,86.2,0.10
201108,87.0,0.76
201109,76.4,1.09
201110,66.2,0.93
201111,54.3,0.23
201112,41.9,1.33
201201,47.8,1.23
201202,49.7,0.31
201203,61.1,0.24
201204,71.4,0.18
201205,75.3,3.14
201206,83.8,0.65
201207,82.7,1.70
201208,83.3,1.13
201209,74.8,6.23
201210,62.9,0.19
201211,58.2,0.00
201212,48.1,0.04
201301,44.7,1.37
201302,48.8,0.07
201303,57.2,0.01
201304,64.6,0.01
201305,73.6,0.38
201306,82.9,0.89
201307,80.3,1.69
201308,82.8,0.40
201309,76.1,0.74
201310,65.1,2.14
201311,51.0,0.37
201312,42.5,1.34
201401,44.5,0.00
201402,48.1,0.24
201403,56.1,0.14
201404,65.2,0.48
201405,73.4,1.86
201406,82.1,1.36
201407,82.9,0.56
201408,83.1,0.89
201409,74.4,4.73
201410,69.5,0.04
201411,50.1,1.59
201412,49.2,0.26
201501,41.8,2.69
201502,46.9,0.27
201503,54.7,1.76
201504,65.9,1.10
201505,71.4,4.05
201506,78.9,3.04
201507,84.1,0.63
201508,84.3,1.25
201509,79.3,1.43
201510,67.7,3.55
201511,54.9,2.21
201512,48.2,1.05
201601,45.8,0.26
201602,52.7,0.24
201603,61.0,0.44
201604,66.6,1.53
201605,73.3,1.75
201606,80.1,3.59
201607,87.4,0.38
201608,81.6,2.67
201609,75.4,2.31
201610,72.2,0.31
201611,58.2,2.21
201612,46.2,0.28
201701,47.9,1.09
201702,56.2,0.65
201703,63.9,0.46
201704,67.0,2.15
201705,72.8,1.09
201706,83.1,3.16
201707,83.8,1.23
201708,80.4,3.68
201709,76.7,3.88
201710,66.1,0.35
201711,59.0,0.34
201712,45.3,0.58
201801,44.0,0.01
201802,51.0,0.08
201803,61.7,0.27
201804,64.9,0.00
201805,81.1,0.72
201806,86.0,2.31
201807,85.4,1.92
201808,83.9,2.79
201809,73.3,3.53
201810,63.5,5.15
201811,48.9,0.11
201812,45.1,0.99
201901,46.4,0.07
201902,51.3,0.07
201903,54.2,1.04
201904,66.0,2.72
201905,71.0,4.53
201906,80.2,0.50
201907,83.3,2.20
201908,87.4,0.47
201909,81.0,1.17
201910,64.4,0.03
201911,52.5,1.93
201912,49.6,0.66
202001,48.9,0.63
