date,tavg,pcp
200001,29.9,2.59
200002,34.5,3.30
200003,36.5,1.76
200004,48.4,1.02
200005,55.8,1.61
200006,63.9,0.60
200007,72.5,0.20
200008,71.3,1.75
200009,59.9,1.57
200010,47.3,2.85
200011,27.5,1.28
200012,28.7,1.25
200101,25.2,0.98
200102,30.4,1.30
200103,39.4,1.44
200104,44.6,2.62
200105,56.7,0.59
200106,64.2,0.35
200107,71.4,0.95
200108,71.2,1.07
200109,63.7,0.34
200110,49.9,1.15
200111,38.0,3.15
200112,23.4,1.85
200201,23.3,0.71
200202,27.0,0.58
200203,33.1,1.96
200204,46.5,1.61
200205,53.4,0.66
200206,64.9,0.21
200207,73.9,0.52
200208,68.2,0.17
200209,58.7,2.65
200210,44.8,1.60
200211,33.9,1.44
200212,28.6,1.19
200301,34.0,0.68
200302,28.8,1.74
200303,37.8,1.86
200304,44.0,1.64
200305,54.4,1.86
200306,62.1,1.35
200307,74.5,0.26
200308,70.5,1.26
200309,59.3,0.71
200310,53.3,0.47
200311,32.2,2.45
200312,29.8,3.47
200401,22.7,1.13
200402,26.0,2.80
200403,42.9,0.73
200404,46.2,2.00
200405,53.8,1.00
200406,63.0,1.13
200407,69.8,0.79
200408,65.8,0.86
200409,58.4,0.74
200410,47.2,5.06
200411,35.0,1.50
200412,28.8,1.90
200501,31.7,3.23
200502,32.0,2.18
200503,36.7,2.58
200504,43.8,2.36
200505,53.2,3.23
200506,58.6,1.27
200507,71.9,0.36
200508,67.4,0.70
200509,58.6,0.88
200510,48.6,1.90
200511,37.5,1.34
200512,27.4,2.45
200601,28.2,2.89
200602,28.7,1.27
200603,34.7,3.29
200604,46.4,2.36
200605,56.2,0.72
200606,65.4,0.63
200607,72.8,0.80
200608,67.6,0.90
200609,56.1,2.11
200610,45.5,2.50
200611,36.6,1.42
200612,26.5,1.24
200701,20.2,0.74
200702,31.4,2.11
200703,41.2,1.29
200704,46.4,0.84
200705,55.4,1.06
200706,65.4,0.85
200707,73.9,0.74
200708,70.8,0.87
200709,59.4,1.96
200710,47.6,1.90
200711,39.5,0.47
200712,23.2,3.40
200801,21.3,2.71
200802,27.7,2.50
200803,33.9,1.26
200804,39.8,0.91
200805,50.2,2.01
200806,61.5,0.89
200807,71.5,0.49
200808,68.9,0.77
200809,59.1,1.23
200810,48.6,1.21
200811,39.6,1.56
200812,25.7,2.53
200901,27.2,3.14
200902,30.8,1.71
200903,36.5,1.65
200904,42.9,3.38
200905,54.8,1.56
200906,58.8,2.70
200907,70.0,0.35
200908,66.7,0.41
200909,62.3,1.19
200910,42.9,1.31
200911,38.3,0.49
200912,21.1,2.22
201001,27.4,1.26
201002,29.4,0.98
201003,36.5,1.59
201004,42.1,2.58
201005,47.0,2.43
201006,61.9,1.20
201007,70.4,0.43
201008,67.3,1.68
201009,61.9,0.25
201010,49.6,3.24
201011,33.0,2.44
201012,31.1,5.42
201101,24.4,0.96
201102,26.9,1.91
201103,36.9,2.15
201104,40.3,3.53
201105,47.8,3.81
201106,59.7,1.08
201107,69.3,1.71
201108,70.0,1.24
201109,61.1,0.81
201110,48.1,1.82
201111,34.7,1.55
201112,26.2,0.38
201201,29.5,2.12
201202,29.6,2.01
201203,41.3,1.25
201204,47.5,1.36
201205,54.9,0.56
201206,65.3,0.05
201207,70.9,1.56
201208,71.2,0.61
201209,61.6,1.29
201210,48.5,0.97
201211,40.2,1.63
201212,26.8,3.04
201301,19.5,1.52
201302,25.6,0.70
201303,38.6,0.59
201304,41.7,1.88
201305,53.4,1.15
201306,65.6,0.04
201307,72.2,1.39
201308,69.2,1.11
201309,59.4,2.70
201310,45.0,1.57
201311,37.9,0.93
201312,22.6,1.57
201401,28.2,1.21
201402,32.8,2.23
201403,38.6,1.70
201404,44.2,1.55
201405,54.7,1.04
201406,62.4,0.62
201407,72.5,1.29
201408,65.4,2.90
201409,62.0,3.07
201410,51.6,0.26
201411,36.0,1.26
201412,30.5,2.68
201501,31.0,1.05
201502,37.4,0.35
201503,43.3,0.80
201504,45.4,1.47
201505,52.1,3.23
201506,68.3,0.57
201507,67.8,0.95
201508,68.8,1.52
201509,63.7,1.09
201510,53.1,1.21
201511,33.3,1.40
201512,25.8,2.57
201601,25.5,2.25
201602,31.9,0.89
201603,40.2,1.82
201604,46.5,1.85
201605,52.2,1.71
201606,68.4,0.32
201607,71.9,0.24
201608,69.0,0.42
201609,59.5,2.21
201610,51.6,1.27
201611,41.0,1.71
201612,25.7,3.02
201701,24.3,4.77
201702,34.8,3.27
201703,43.8,2.31
201704,43.3,2.02
201705,53.4,0.72
201706,66.3,0.22
201707,73.4,1.08
201708,69.8,0.87
201709,58.2,1.95
201710,45.5,0.24
201711,41.8,0.89
201712,28.8,0.79
201801,32.0,1.38
201802,29.8,1.43
201803,37.2,2.24
201804,46.0,2.02
201805,55.4,1.57
201806,66.1,0.02
201807,74.2,0.56
201808,69.9,1.34
201809,64.4,0.03
201810,46.0,3.29
201811,33.0,1.89
201812,26.5,1.48
201901,26.1,3.11
201902,27.3,2.86
201903,36.9,3.96
201904,45.7,2.70
201905,48.6,3.73
201906,60.9,0.66
201907,71.6,0.64
201908,70.3,0.57
201909,60.5,1.50
201910,40.8,0.57
201911,37.0,1.57
201912,28.7,2.01
202001,29.2,1.77
