date,tavg,pcp
200001,35.5,3.69
200002,42.5,1.57
200003,51.4,3.51
200004,54.8,5.89
200005,66.9,4.17
200006,74.3,5.44
200007,73.9,4.47
200008,74.2,3.13
200009,66.8,3.98
200010,58.3,0.04
200011,45.2,1.79
200012,31.8,1.73
200101,36.4,2.41
200102,42.4,2.29
200103,43.8,6.07
200104,57.2,1.71
200105,64.0,3.94
200106,73.4,6.86
200107,72.9,4.65
200108,76.7,3.42
200109,66.3,1.89
200110,56.0,0.54
200111,52.6,0.39
200112,45.2,2.20
200201,40.0,4.63
200202,42.3,1.21
200203,48.2,4.02
200204,59.6,2.46
200205,63.8,4.52
200206,75.0,1.76
200207,78.8,3.54
200208,77.2,4.03
200209,70.4,3.26
200210,59.1,8.18
200211,46.2,4.48
200212,37.4,4.29
200301,33.3,2.19
200302,36.8,5.93
200303,48.2,6.56
200304,55.5,5.49
200305,63.4,9.03
200306,70.6,6.26
200307,76.1,6.61
200308,77.0,5.05
200309,67.9,10.67
200310,56.2,2.68
200311,53.6,3.74
200312,38.4,3.98
200401,34.1,1.71
200402,37.8,2.17
200403,49.6,1.80
200404,57.4,3.24
200405,71.3,3.44
200406,73.0,6.36
200407,76.6,7.48
200408,73.4,8.33
200409,69.1,5.32
200410,58.1,3.04
200411,50.0,5.12
200412,39.9,2.73
200501,39.4,3.07
200502,40.8,1.58
200503,43.1,3.97
200504,56.7,1.85
200505,61.7,2.90
200506,73.2,2.56
200507,79.6,5.24
200508,77.7,2.81
200509,73.0,0.40
200510,59.7,5.00
200511,50.3,3.41
200512,37.1,4.40
200601,44.4,2.71
200602,39.6,1.81
200603,47.5,0.38
200604,59.5,2.82
200605,62.3,2.87
200606,72.9,4.92
200607,77.8,7.37
200608,78.8,3.95
200609,66.8,6.00
200610,55.6,6.09
200611,49.8,6.67
200612,44.7,1.71
200701,42.3,3.76
200702,35.0,1.96
200703,50.7,3.10
200704,55.9,3.60
200705,65.6,2.29
200706,73.6,3.41
200707,76.0,3.83
200708,79.5,2.06
200709,71.4,1.32
200710,63.8,5.54
200711,47.9,0.64
200712,43.3,4.35
200801,38.4,0.84
200802,42.6,2.16
200803,49.1,4.05
200804,56.7,5.48
200805,62.5,4.45
200806,76.6,2.48
200807,76.7,3.97
200808,74.8,3.75
200809,69.2,5.56
200810,56.1,1.25
200811,46.3,3.37
200812,42.6,4.30
200901,35.6,2.47
200902,41.4,0.92
200903,46.2,4.73
200904,57.2,2.66
200905,66.0,4.86
200906,72.9,5.71
200907,74.0,4.48
200908,77.2,4.81
200909,67.7,3.73
200910,56.5,2.24
200911,51.2,8.27
200912,37.9,7.83
201001,34.6,3.95
201002,34.8,2.44
201003,48.9,5.15
201004,59.9,1.34
201005,67.5,5.37
201006,78.0,1.21
201007,79.6,1.67
201008,77.4,6.66
201009,71.7,5.62
201010,59.7,4.54
201011,47.6,1.83
201012,32.6,2.63
201101,35.2,1.45
201102,43.2,1.76
201103,48.0,5.49
201104,59.5,3.59
201105,65.9,4.35
201106,74.7,2.24
201107,79.4,5.69
201108,76.1,5.68
201109,70.0,6.74
201110,57.2,4.65
201111,51.3,4.71
201112,44.8,3.50
201201,41.2,1.96
201202,43.8,3.59
201203,56.8,4.15
201204,56.7,2.46
201205,68.4,2.71
201206,71.4,1.20
201207,80.7,5.68
201208,75.3,4.21
201209,68.3,4.49
201210,57.6,3.96
201211,44.2,0.32
201212,45.1,2.42
201301,40.8,6.34
201302,39.0,2.67
201303,42.0,3.34
201304,58.6,3.71
201305,64.1,3.61
201306,74.5,6.84
201307,77.5,9.83
201308,73.6,2.49
201309,68.4,0.60
201310,59.3,2.28
201311,46.2,3.09
201312,42.7,5.49
201401,32.8,3.69
201402,40.0,2.40
201403,41.7,3.68
201404,56.9,5.32
201405,67.0,5.67
201406,74.2,2.14
201407,76.2,4.61
201408,73.0,4.07
201409,69.9,4.15
201410,59.8,2.73
201411,44.3,3.23
201412,42.4,3.33
201501,36.8,2.09
201502,32.5,3.12
201503,46.1,3.37
201504,58.0,2.98
201505,68.7,1.89
201506,75.8,6.37
201507,77.2,3.71
201508,75.2,2.37
201509,70.8,5.14
201510,57.4,3.58
201511,52.7,4.25
201512,51.0,7.17
201601,35.6,2.66
201602,41.6,5.37
201603,53.9,2.03
201604,56.6,2.53
201605,63.5,8.67
201606,72.7,4.85
201607,78.8,3.72
201608,78.9,2.78
201609,73.7,5.61
201610,61.3,5.05
201611,49.2,1.20
201612,41.2,2.19
201701,41.1,4.74
201702,47.9,0.73
201703,48.2,2.43
201704,62.1,5.28
201705,65.2,6.53
201706,72.9,3.61
201707,78.8,2.33
201708,74.5,5.92
201709,68.7,1.37
201710,62.2,2.90
201711,47.7,1.55
201712,39.6,1.60
201801,33.5,3.61
201802,47.8,2.80
201803,43.2,2.95
201804,54.7,5.88
201805,71.5,7.74
201806,74.9,4.76
201807,76.4,4.42
201808,77.1,5.14
201809,74.7,7.79
201810,60.7,7.26
201811,46.2,7.11
201812,41.4,4.73
201901,39.6,3.78
201902,43.9,5.22
201903,45.3,3.58
201904,59.5,3.87
201905,71.0,3.20
201906,72.7,7.87
201907,79.0,4.70
201908,76.7,3.14
201909,74.6,0.45
201910,62.0,5.07
201911,45.2,2.90
201912,43.2,3.03
202001,42.0,3.08
