date,tavg,pcp
200001,34.1,1.40
200002,38.5,1.58
200003,44.4,1.00
200004,53.9,0.30
200005,59.3,0.97
200006,66.6,0.50
200007,72.2,0.05
200008,71.6,0.02
200009,62.2,0.69
200010,51.0,0.92
200011,34.8,1.15
200012,30.7,0.55
200101,33.3,0.55
200102,36.3,0.33
200103,45.4,0.81
200104,50.1,0.99
200105,60.3,0.26
200106,64.2,0.65
200107,72.8,0.13
200108,73.9,0.24
200109,66.0,0.08
200110,51.8,0.60
200111,42.1,1.65
200112,36.0,0.99
200201,37.4,0.51
200202,38.2,0.78
200203,41.8,0.29
200204,51.5,0.38
200205,57.5,0.50
200206,67.6,0.81
200207,75.1,0.20
200208,70.8,0.08
200209,63.8,0.03
200210,49.4,0.14
200211,40.2,0.41
200212,37.5,2.57
200301,38.9,2.15
200302,39.6,0.98
200303,48.8,0.52
200304,51.8,1.20
200305,58.7,0.31
200306,68.5,0.00
200307,76.0,0.00
200308,73.3,0.31
200309,66.2,0.25
200310,56.3,0.20
200311,37.5,0.44
200312,34.2,1.96
200401,29.7,1.61
200402,37.4,1.16
200403,49.4,0.31
200404,53.4,0.48
200405,59.6,1.13
200406,67.6,1.14
200407,75.6,0.06
200408,74.5,0.81
200409,63.6,0.23
200410,54.1,0.62
200411,40.4,0.38
200412,36.5,0.85
200501,31.8,0.77
200502,37.5,0.06
200503,48.2,0.62
200504,52.5,0.68
200505,61.9,0.91
200506,65.0,0.27
200507,74.2,0.20
200508,73.5,0.04
200509,62.7,0.24
200510,53.7,0.93
200511,39.1,1.32
200512,28.6,2.36
200601,39.8,2.11
200602,36.5,0.46
200603,44.6,0.58
200604,51.5,1.11
200605,59.8,1.06
200606,67.3,1.20
200607,76.8,0.03
200608,71.8,0.01
200609,64.0,0.27
200610,51.6,0.67
200611,41.3,1.26
200612,30.5,1.99
200701,30.1,0.45
200702,38.2,0.95
200703,46.9,0.74
200704,51.0,0.56
200705,60.2,0.48
200706,66.2,0.75
200707,77.1,0.10
200708,70.9,0.21
200709,63.7,0.31
200710,50.9,0.67
200711,39.8,1.19
200712,34.5,1.41
200801,29.9,1.46
200802,40.7,0.53
200803,42.9,0.49
200804,47.3,0.20
200805,60.6,0.53
200806,64.6,0.63
200807,73.8,0.01
200808,71.4,0.29
200809,63.1,0.10
200810,51.0,0.23
200811,42.4,0.88
200812,27.1,1.17
200901,32.8,1.23
200902,35.4,0.84
200903,41.4,1.23
200904,50.3,0.40
200905,59.4,0.73
200906,68.4,0.25
200907,75.5,0.07
200908,73.6,0.11
200909,65.6,0.17
200910,49.3,1.18
200911,41.1,0.48
200912,26.0,0.83
201001,37.7,1.80
201002,41.4,0.79
201003,45.8,0.25
201004,51.2,0.68
201005,55.8,1.65
201006,64.2,1.18
201007,72.8,0.21
201008,71.5,0.11
201009,63.9,1.20
201010,53.0,1.00
201011,38.2,1.23
201012,33.7,2.53
201101,35.0,0.74
201102,36.3,0.34
201103,44.1,1.30
201104,47.1,0.46
201105,55.4,1.64
201106,64.0,0.57
201107,69.3,0.10
201108,73.6,0.03
201109,66.5,0.04
201110,53.2,0.71
201111,39.4,0.39
201112,31.1,0.24
201201,33.3,1.12
201202,37.9,0.72
201203,44.5,1.26
201204,52.6,1.01
201205,58.2,0.36
201206,63.1,1.84
201207,74.0,0.76
201208,73.2,0.04
201209,64.5,0.01
201210,51.7,1.27
201211,42.5,1.32
201212,36.8,1.88
201301,30.7,0.34
201302,39.3,0.11
201303,45.3,0.58
201304,51.5,0.54
201305,60.3,1.19
201306,66.5,1.17
201307,76.5,0.01
201308,74.1,0.24
201309,66.8,1.05
201310,49.5,0.18
201311,38.2,0.41
201312,27.4,0.21
201401,34.3,0.52
201402,34.3,0.96
201403,45.6,0.75
201404,52.4,0.55
201405,61.5,0.24
201406,66.6,0.30
201407,77.8,0.09
201408,75.1,0.54
201409,65.5,0.09
201410,57.3,0.70
201411,38.7,0.53
201412,36.0,1.31
201501,34.8,0.79
201502,43.3,0.65
201503,49.4,0.61
201504,51.6,0.15
201505,63.1,1.60
201506,74.0,0.00
201507,77.2,0.01
201508,73.4,0.03
201509,62.6,0.14
201510,57.1,0.39
201511,39.6,0.87
201512,35.6,2.38
201601,34.2,1.59
201602,42.6,0.49
201603,46.8,1.14
201604,57.5,0.27
201605,62.3,0.84
201606,68.2,0.41
201607,72.8,0.36
201608,73.1,0.04
201609,62.9,0.28
201610,52.9,2.34
201611,46.2,0.60
201612,27.9,0.89
201701,21.6,1.20
201702,32.1,1.96
201703,45.5,1.39
201704,50.3,1.33
201705,60.2,0.51
201706,67.1,0.29
201707,76.3,0.00
201708,74.8,0.07
201709,64.9,0.43
201710,50.8,0.78
201711,41.8,1.44
201712,30.7,0.86
201801,37.8,1.28
201802,38.7,0.43
201803,43.5,0.46
201804,51.7,1.26
201805,64.7,0.54
201806,66.8,0.19
201807,75.8,0.00
201808,72.8,0.05
201809,62.6,0.02
201810,51.2,0.83
201811,39.9,0.71
201812,36.4,0.92
201901,35.5,1.55
201902,25.9,1.84
201903,36.1,0.52
201904,53.2,0.93
201905,61.5,0.92
201906,68.3,0.25
201907,72.3,0.08
201908,74.1,0.25
201909,64.0,0.53
201910,47.7,0.44
201911,38.2,0.18
201912,34.2,0.75
202001,38.7,1.03
