date,tavg,pcp
200001,30.6,2.07
200002,40.3,4.15
200003,47.4,2.57
200004,52.6,4.74
200005,64.8,3.90
200006,71.4,6.46
200007,70.8,4.30
200008,71.4,5.54
200009,65.1,5.39
200010,56.2,1.03
200011,41.8,1.71
200012,27.2,2.31
200101,30.4,3.01
200102,39.0,2.95
200103,38.6,3.17
200104,56.1,2.18
200105,62.6,7.07
200106,69.4,4.77
200107,71.3,7.45
200108,74.2,4.04
200109,64.2,2.89
200110,53.4,1.29
200111,49.2,1.39
200112,42.0,2.34
200201,35.7,3.45
200202,37.8,1.04
200203,44.0,4.56
200204,55.2,7.53
200205,59.1,5.30
200206,71.6,5.89
200207,75.3,4.46
200208,74.8,1.85
200209,69.3,3.10
200210,56.6,6.00
200211,42.8,3.87
200212,34.6,3.23
200301,26.1,2.66
200302,32.3,6.45
200303,46.7,1.98
200304,55.2,3.49
200305,61.4,7.84
200306,66.5,6.96
200307,73.1,5.85
200308,74.1,5.39
200309,65.2,6.43
200310,53.6,3.53
200311,49.1,7.33
200312,34.0,3.56
200401,29.1,3.57
200402,34.3,2.89
200403,46.0,4.55
200404,52.7,6.26
200405,67.6,7.69
200406,69.4,4.32
200407,73.1,5.07
200408,70.5,3.67
200409,67.8,6.52
200410,56.8,3.82
200411,47.9,3.78
200412,36.6,3.10
200501,36.1,3.21
200502,37.4,2.28
200503,38.5,4.54
200504,54.4,4.75
200505,57.2,3.36
200506,72.2,2.17
200507,75.7,6.11
200508,75.3,5.28
200509,69.2,0.89
200510,57.0,5.73
200511,46.7,4.66
200512,31.4,2.43
200601,40.9,3.73
200602,34.4,1.24
200603,42.3,2.03
200604,57.0,4.87
200605,58.8,3.04
200606,67.9,6.78
200607,73.4,5.08
200608,74.7,3.18
200609,63.1,3.97
200610,52.8,4.70
200611,46.2,2.69
200612,40.6,1.57
200701,36.7,3.62
200702,24.7,2.49
200703,48.6,3.51
200704,51.0,4.73
200705,64.6,1.75
200706,70.8,3.45
200707,71.1,6.29
200708,76.8,2.85
200709,69.1,2.92
200710,60.9,3.75
200711,44.2,3.23
200712,38.2,5.46
200801,32.0,3.47
200802,36.0,4.01
200803,44.1,4.28
200804,56.4,3.89
200805,58.1,5.87
200806,70.9,6.55
200807,72.0,4.98
200808,70.7,2.41
200809,68.5,1.78
200810,53.0,1.62
200811,41.4,3.36
200812,36.5,5.96
200901,28.2,4.84
200902,34.7,1.48
200903,45.5,2.48
200904,53.6,4.22
200905,62.7,7.91
200906,69.9,4.01
200907,69.4,4.90
200908,72.9,5.85
200909,66.0,3.41
200910,53.0,4.02
200911,48.0,1.32
200912,34.1,4.27
201001,29.8,3.24
201002,28.3,3.24
201003,44.6,3.31
201004,56.6,2.01
201005,64.8,4.65
201006,73.8,3.74
201007,75.0,6.29
201008,74.8,3.22
201009,66.3,3.05
201010,55.4,3.00
201011,44.6,2.53
201012,26.4,3.86
201101,28.1,2.75
201102,38.5,2.52
201103,44.1,6.95
201104,56.1,6.68
201105,63.2,4.67
201106,70.6,4.57
201107,76.0,4.37
201108,73.4,4.06
201109,66.7,5.75
201110,53.5,5.13
201111,48.0,4.72
201112,40.1,4.05
201201,36.7,2.47
201202,39.2,2.50
201203,54.0,5.86
201204,52.8,2.23
201205,67.2,6.25
201206,69.1,2.39
201207,76.9,6.89
201208,72.3,2.23
201209,65.6,5.13
201210,54.3,5.61
201211,40.8,1.06
201212,41.0,5.35
201301,35.0,3.87
201302,33.7,1.73
201303,37.9,3.96
201304,53.8,1.84
201305,61.8,3.37
201306,70.2,6.46
201307,73.9,4.88
201308,70.6,5.39
201309,65.8,2.86
201310,56.7,1.51
201311,42.3,3.53
201312,37.9,6.33
201401,25.0,2.60
201402,32.6,4.46
201403,38.7,3.07
201404,54.9,2.07
201405,63.1,4.30
201406,71.7,4.73
201407,71.3,4.36
201408,71.2,3.73
201409,66.5,2.69
201410,55.1,5.74
201411,39.4,1.74
201412,39.9,3.40
201501,30.2,2.13
201502,24.7,2.49
201503,41.0,5.81
201504,54.4,5.99
201505,66.3,3.24
201506,72.3,7.71
201507,73.6,8.75
201508,71.8,2.50
201509,69.1,3.48
201510,56.1,2.82
201511,50.2,2.26
201512,48.3,5.51
201601,28.9,2.44
201602,37.1,3.34
201603,50.3,2.67
201604,55.4,2.99
201605,61.1,5.85
201606,70.6,6.84
201607,75.2,4.51
201608,77.0,3.62
201609,71.4,1.68
201610,59.5,5.14
201611,47.3,1.95
201612,37.9,4.51
201701,39.2,5.38
201702,43.0,1.70
201703,43.7,4.26
201704,58.9,3.82
201705,62.8,4.56
201706,69.2,4.61
201707,74.0,5.47
201708,71.3,4.04
201709,66.6,1.99
201710,59.3,5.59
201711,45.1,2.46
201712,35.4,1.70
201801,28.8,3.82
201802,42.8,6.89
201803,40.0,3.76
201804,48.8,5.71
201805,69.6,7.04
201806,72.0,5.49
201807,74.5,6.38
201808,74.4,5.51
201809,72.8,9.93
201810,56.9,4.86
201811,41.7,3.96
201812,38.5,4.55
201901,33.8,3.68
201902,40.5,4.25
201903,41.7,2.76
201904,55.9,3.54
201905,67.2,4.80
201906,68.7,5.86
201907,75.9,4.26
201908,73.4,4.78
201909,71.4,0.50
201910,59.7,5.35
201911,41.1,2.76
201912,40.2,5.49
202001,39.2,3.33
