date,tavg,pcp
200001,24.5,0.65
200002,29.1,1.20
200003,31.9,1.07
200004,40.7,2.07
200005,50.3,2.96
200006,57.2,1.10
200007,66.3,0.60
200008,65.7,0.78
200009,53.1,2.27
200010,42.7,0.79
200011,19.7,0.88
200012,19.6,0.97
200101,19.9,0.37
200102,21.8,0.79
200103,30.4,0.55
200104,39.3,2.03
200105,48.6,1.84
200106,58.9,0.39
200107,67.1,1.59
200108,64.4,1.06
200109,56.3,1.05
200110,42.9,1.01
200111,33.2,0.68
200112,22.6,0.31
200201,20.4,0.42
200202,22.4,0.51
200203,24.5,1.43
200204,40.4,0.76
200205,46.5,0.80
200206,60.8,0.50
200207,67.3,0.76
200208,61.2,1.32
200209,54.1,1.42
200210,36.4,1.21
200211,28.1,0.62
200212,25.2,0.26
200301,29.7,0.33
200302,19.9,0.82
200303,31.1,2.61
200304,40.3,2.69
200305,48.2,1.92
200306,53.6,1.81
200307,67.9,0.74
200308,64.5,1.14
200309,50.9,1.13
200310,46.2,0.64
200311,26.5,1.23
200312,25.1,0.67
200401,23.6,0.27
200402,22.4,0.70
200403,35.9,0.36
200404,39.6,1.72
200405,48.6,1.14
200406,54.5,2.70
200407,61.8,1.33
200408,58.0,1.44
200409,52.5,2.82
200410,42.5,1.21
200411,29.5,1.14
200412,25.1,0.35
200501,27.3,0.78
200502,25.9,0.44
200503,30.5,1.07
200504,38.1,1.54
200505,46.4,2.32
200506,55.7,2.44
200507,66.0,0.96
200508,60.7,1.05
200509,55.2,0.44
200510,44.1,1.40
200511,32.6,0.94
200512,21.0,0.70
200601,25.9,0.44
200602,20.8,0.86
200603,28.2,1.37
200604,41.8,0.86
200605,49.6,1.19
200606,61.4,0.39
200607,66.7,1.61
200608,62.4,1.80
200609,48.8,1.36
200610,39.0,1.32
200611,32.1,0.44
200612,23.4,1.32
200701,15.4,0.71
200702,25.6,0.47
200703,36.0,1.63
200704,38.6,1.67
200705,48.5,2.03
200706,58.5,0.66
200707,66.7,1.64
200708,64.3,1.53
200709,54.1,1.42
200710,43.4,1.56
200711,33.7,0.40
200712,18.9,1.24
200801,17.3,0.56
200802,22.6,0.71
200803,27.4,1.01
200804,34.7,1.07
200805,44.6,3.76
200806,54.8,1.07
200807,64.8,0.77
200808,61.5,1.66
200809,51.5,1.31
200810,42.5,0.53
200811,34.5,0.68
200812,20.9,0.73
200901,24.5,1.30
200902,27.5,0.58
200903,31.2,0.96
200904,36.1,2.59
200905,48.5,1.47
200906,54.3,2.88
200907,61.0,2.03
200908,59.4,0.78
200909,53.9,0.82
200910,34.0,2.07
200911,32.7,0.54
200912,15.1,1.10
201001,22.1,0.35
201002,19.0,0.67
201003,30.6,1.53
201004,37.1,2.46
201005,42.8,2.50
201006,56.5,2.86
201007,63.1,1.53
201008,62.0,0.87
201009,55.8,0.13
201010,45.5,1.68
201011,29.1,1.09
201012,25.7,1.41
201101,20.9,0.89
201102,18.1,1.04
201103,32.2,1.16
201104,36.4,2.49
201105,42.5,2.79
201106,55.7,1.13
201107,65.4,1.50
201108,65.0,0.75
201109,54.1,0.76
201110,43.0,1.84
201111,29.5,1.00
201112,19.7,0.68
201201,25.7,0.66
201202,21.1,1.45
201203,38.5,0.10
201204,43.5,0.86
201205,49.2,0.98
201206,62.8,0.57
201207,67.3,1.79
201208,63.9,0.31
201209,55.6,0.63
201210,40.8,1.41
201211,37.0,0.34
201212,23.2,0.72
201301,20.7,0.30
201302,21.2,0.92
201303,30.3,0.64
201304,32.1,1.90
201305,47.9,1.47
201306,60.2,0.29
201307,64.7,1.98
201308,63.9,1.33
201309,56.0,3.61
201310,38.2,2.16
201311,32.0,0.54
201312,20.2,0.90
201401,22.7,1.04
201402,22.0,1.14
201403,31.9,1.45
201404,38.3,1.23
201405,47.3,2.61
201406,55.3,1.05
201407,63.8,2.85
201408,60.1,1.65
201409,55.0,2.01
201410,46.3,0.45
201411,28.2,0.98
201412,24.9,1.11
201501,26.7,0.35
201502,27.2,1.13
201503,36.6,0.57
201504,39.3,2.58
201505,44.9,3.58
201506,60.6,1.40
201507,61.8,1.97
201508,62.2,0.79
201509,58.1,0.46
201510,48.2,1.52
201511,29.8,1.11
201512,21.9,1.04
201601,21.8,0.83
201602,28.8,0.75
201603,32.0,2.01
201604,38.3,2.93
201605,44.9,2.46
201606,61.6,0.89
201607,65.0,0.39
201608,60.6,0.63
201609,54.5,0.80
201610,47.1,0.32
201611,36.7,0.91
201612,20.5,1.18
201701,19.2,1.55
201702,29.2,1.11
201703,38.0,0.90
201704,38.5,1.77
201705,46.4,2.37
201706,58.2,0.46
201707,65.8,1.50
201708,60.2,1.10
201709,53.1,1.45
201710,39.8,1.11
201711,36.9,0.92
201712,25.7,0.72
201801,27.2,0.59
201802,21.8,0.70
201803,31.9,1.26
201804,38.9,0.99
201805,50.9,2.46
201806,59.8,1.51
201807,64.2,1.57
201808,61.1,0.88
201809,57.2,0.27
201810,39.9,0.95
201811,27.6,1.35
201812,21.6,0.48
201901,22.3,0.69
201902,22.2,0.47
201903,26.5,1.82
201904,40.1,1.37
201905,42.5,2.72
201906,55.0,2.34
201907,64.6,1.12
201908,63.3,0.81
201909,56.9,0.69
201910,34.2,1.13
201911,29.9,0.77
201912,23.8,0.88
202001,24.4,0.59
