Juneau City and Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,17.02,2.06
200002,6.05,-5.66
200003,23.65,12.05
200004,15.30,6.16
200005,10.08,0.62
200006,10.73,3.59
200007,15.71,6.23
200008,14.53,-0.23
200009,32.68,9.99
200010,26.14,2.58
200011,19.52,1.76
200012,14.03,-0.63
200101,28.17,13.21
200102,13.80,2.09
200103,16.65,5.05
200104,8.65,-0.49
200105,12.20,2.74
200106,5.34,-1.80
200107,12.73,3.25
200108,12.08,-2.68
200109,33.24,10.55
200110,27.06,3.50
200111,12.64,-5.12
200112,18.79,4.13
200201,15.40,0.44
200202,21.59,9.88
200203,6.89,-4.71
200204,2.84,-6.30
200205,8.56,-0.90
200206,8.26,1.12
200207,10.94,1.46
200208,36.10,21.34
200209,21.11,-1.58
200210,29.37,5.81
200211,25.65,7.89
200212,18.39,3.73
200301,19.54,4.58
200302,7.18,-4.53
200303,10.91,-0.69
200304,2.68,-6.46
200305,10.28,0.82
200306,8.73,1.59
200307,7.70,-1.78
200308,14.62,-0.14
200309,36.08,13.39
200310,14.93,-8.63
200311,16.71,-1.05
200312,23.39,8.73
200401,17.53,2.57
200402,16.85,5.14
200403,18.46,6.86
200404,13.50,4.36
200405,3.50,-5.96
200406,2.53,-4.61
200407,7.34,-2.14
200408,6.62,-8.14
200409,32.65,9.96
200410,20.09,-3.47
200411,28.21,10.45
200412,32.23,17.57
200501,17.44,2.48
200502,15.03,3.32
200503,14.25,2.65
200504,8.55,-0.59
200505,3.89,-5.57
200506,6.67,-0.47
200507,12.10,2.62
200508,16.51,1.75
200509,29.29,6.60
200510,21.65,-1.91
200511,37.18,19.42
200512,17.94,3.28
200601,10.94,-4.02
200602,7.97,-3.74
200603,4.86,-6.74
200604,12.70,3.56
200605,14.89,5.43
200606,11.76,4.62
200607,10.33,0.85
200608,27.80,13.04
200609,37.80,15.11
200610,26.77,3.21
200611,8.36,-9.40
200612,28.25,13.59
200701,20.12,5.16
200702,9.44,-2.27
200703,20.37,8.77
200704,10.51,1.37
200705,11.06,1.60
200706,4.06,-3.08
200707,16.61,7.13
200708,6.27,-8.49
200709,25.44,2.75
200710,23.88,0.32
200711,9.07,-8.69
200712,10.69,-3.97
200801,16.16,1.20
200802,13.35,1.64
200803,12.74,1.14
200804,13.11,3.97
200805,9.87,0.41
200806,4.81,-2.33
200807,15.94,6.46
200808,14.85,0.09
200809,28.48,5.79
200810,33.70,10.14
200811,15.40,-2.36
200812,11.43,-3.23
200901,26.69,11.73
200902,9.01,-2.70
200903,11.40,-0.20
200904,5.98,-3.16
200905,4.92,-4.54
200906,4.35,-2.79
200907,4.33,-5.15
200908,23.40,8.64
200909,27.25,4.56
200910,16.26,-7.30
200911,20.67,2.91
200912,9.93,-4.73
201001,16.38,1.42
201002,5.98,-5.73
201003,24.57,12.97
201004,7.12,-2.02
201005,3.34,-6.12
201006,10.70,3.56
201007,8.05,-1.43
201008,9.72,-5.04
201009,16.89,-5.80
201010,23.44,-0.12
201011,21.03,3.27
201012,6.18,-8.48
201101,15.96,1.00
201102,14.67,2.96
201103,3.77,-7.83
201104,5.47,-3.67
201105,6.46,-3.00
201106,4.85,-2.29
201107,7.96,-1.52
201108,28.94,14.18
201109,32.35,9.66
201110,19.44,-4.12
201111,18.84,1.08
201112,20.89,6.23
201201,21.12,6.16
201202,10.56,-1.15
201203,9.54,-2.06
201204,3.68,-5.46
201205,13.18,3.72
201206,11.93,4.79
201207,8.99,-0.49
201208,17.14,2.38
201209,34.45,11.76
201210,9.02,-14.54
201211,11.96,-5.80
201212,12.17,-2.49
201301,20.35,5.39
201302,18.44,6.73
201303,7.52,-4.08
201304,15.42,6.28
201305,12.89,3.43
201306,7.36,0.22
201307,8.61,-0.87
201308,9.40,-5.36
201309,20.14,-2.55
201310,22.19,-1.37
201311,17.85,0.09
201312,21.61,6.95
201401,24.54,9.58
201402,5.08,-6.63
201403,10.21,-1.39
201404,8.67,-0.47
201405,4.63,-4.83
201406,13.76,6.62
201407,18.62,9.14
201408,24.11,9.35
201409,26.16,3.47
201410,19.05,-4.51
201411,11.50,-6.26
201412,10.32,-4.34
201501,33.97,19.01
201502,9.33,-2.38
201503,13.53,1.93
201504,15.88,6.74
201505,1.59,-7.87
201506,9.81,2.67
201507,19.33,9.85
201508,24.29,9.53
201509,29.94,7.25
201510,21.45,-2.11
201511,28.68,10.92
201512,7.07,-7.59
201601,21.18,6.22
201602,13.44,1.73
201603,6.22,-5.38
201604,12.02,2.88
201605,13.92,4.46
201606,7.07,-0.07
201607,10.23,0.75
201608,13.84,-0.92
201609,28.00,5.31
201610,6.46,-17.10
201611,22.49,4.73
201612,15.92,1.26
201701,15.91,0.95
201702,12.95,1.24
201703,10.35,-1.25
201704,4.52,-4.62
201705,11.96,2.50
201706,7.60,0.46
201707,12.31,2.83
201708,23.97,9.21
201709,26.80,4.11
201710,20.33,-3.23
201711,5.59,-12.17
201712,18.56,3.90
201801,15.45,0.49
201802,7.00,-4.71
201803,9.45,-2.15
201804,7.99,-1.15
201805,14.36,4.90
201806,5.64,-1.50
201807,5.04,-4.44
201808,18.44,3.68
201809,4.70,-17.99
201810,25.20,1.64
201811,15.02,-2.74
201812,11.49,-3.17
201901,15.85,0.89
201902,5.12,-6.59
201903,11.23,-0.37
201904,9.74,0.60
201905,5.76,-3.70
201906,7.75,0.61
201907,5.57,-3.91
201908,11.97,-2.79
201909,18.58,-4.11
201910,17.18,-6.38
201911,25.54,7.78
201912,16.07,1.41
202001,14.79,-0.17
