Petersburg Borough, Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,18.18,1.74
200002,7.33,-5.46
200003,23.10,10.60
200004,15.36,4.33
200005,9.61,-0.52
200006,7.62,0.89
200007,16.03,6.02
200008,17.32,4.29
200009,28.16,8.78
200010,25.98,-1.42
200011,22.15,1.28
200012,16.74,-2.42
200101,28.12,11.68
200102,10.86,-1.93
200103,14.88,2.38
200104,9.78,-1.25
200105,16.33,6.20
200106,6.06,-0.67
200107,10.55,0.54
200108,13.20,0.17
200109,28.20,8.82
200110,25.79,-1.61
200111,16.12,-4.75
200112,20.51,1.35
200201,15.95,-0.49
200202,18.35,5.56
200203,6.77,-5.73
200204,2.22,-8.81
200205,11.43,1.30
200206,7.50,0.77
200207,10.57,0.56
200208,30.05,17.02
200209,21.85,2.47
200210,25.49,-1.91
200211,21.94,1.07
200212,24.47,5.31
200301,21.12,4.68
200302,6.80,-5.99
200303,13.10,0.60
200304,4.69,-6.34
200305,11.63,1.50
200306,8.20,1.47
200307,6.88,-3.13
200308,13.33,0.30
200309,30.22,10.84
200310,22.32,-5.08
200311,20.70,-0.17
200312,26.95,7.79
200401,20.27,3.83
200402,13.62,0.83
200403,19.49,6.99
200404,13.44,2.41
200405,4.45,-5.68
200406,2.82,-3.91
200407,7.67,-2.34
200408,6.49,-6.54
200409,26.83,7.45
200410,24.40,-3.00
200411,29.22,8.35
200412,31.69,12.53
200501,19.65,3.21
200502,14.00,1.21
200503,16.30,3.80
200504,8.95,-2.08
200505,4.53,-5.60
200506,4.62,-2.11
200507,15.86,5.85
200508,15.83,2.80
200509,25.44,6.06
200510,27.76,0.36
200511,35.89,15.02
200512,21.04,1.88
200601,15.98,-0.46
200602,8.24,-4.55
200603,4.66,-7.84
200604,14.87,3.84
200605,12.96,2.83
200606,8.91,2.18
200607,12.97,2.96
200608,20.20,7.17
200609,35.73,16.35
200610,26.65,-0.75
200611,11.06,-9.81
200612,36.00,16.84
200701,20.78,4.34
200702,11.22,-1.57
200703,21.71,9.21
200704,13.90,2.87
200705,10.08,-0.05
200706,3.34,-3.39
200707,15.22,5.21
200708,5.32,-7.71
200709,20.41,1.03
200710,32.56,5.16
200711,13.24,-7.63
200712,14.86,-4.30
200801,14.98,-1.46
200802,17.56,4.77
200803,14.59,2.09
200804,15.97,4.94
200805,11.01,0.88
200806,6.05,-0.68
200807,16.42,6.41
200808,15.28,2.25
200809,17.31,-2.07
200810,38.81,11.41
200811,19.67,-1.20
200812,14.34,-4.82
200901,24.79,8.35
200902,11.91,-0.88
200903,11.91,-0.59
200904,6.75,-4.28
200905,5.85,-4.28
200906,5.66,-1.07
200907,4.13,-5.88
200908,17.28,4.25
200909,29.94,10.56
200910,22.17,-5.23
200911,25.39,4.52
200912,11.53,-7.63
201001,20.71,4.27
201002,7.64,-5.15
201003,26.04,13.54
201004,6.74,-4.29
201005,4.15,-5.98
201006,10.59,3.86
201007,7.87,-2.14
201008,9.74,-3.29
201009,16.32,-3.06
201010,34.31,6.91
201011,24.15,3.28
201012,7.33,-11.83
201101,17.95,1.51
201102,14.10,1.31
201103,6.75,-5.75
201104,7.07,-3.96
201105,6.84,-3.29
201106,4.84,-1.89
201107,11.20,1.19
201108,29.89,16.86
201109,35.88,16.50
201110,28.07,0.67
201111,20.06,-0.81
201112,25.73,6.57
201201,23.70,7.26
201202,10.36,-2.43
201203,10.84,-1.66
201204,4.97,-6.06
201205,16.72,6.59
201206,9.33,2.60
201207,11.17,1.16
201208,13.54,0.51
201209,29.58,10.20
201210,10.44,-16.96
201211,17.21,-3.66
201212,14.91,-4.25
201301,18.70,2.26
201302,20.72,7.93
201303,7.76,-4.74
201304,15.61,4.58
201305,12.96,2.83
201306,5.35,-1.38
201307,8.03,-1.98
201308,8.91,-4.12
201309,17.78,-1.60
201310,22.78,-4.62
201311,20.78,-0.09
201312,27.31,8.15
201401,21.84,5.40
201402,4.52,-8.27
201403,13.67,1.17
201404,14.51,3.48
201405,5.02,-5.11
201406,11.12,4.39
201407,17.31,7.30
201408,22.94,9.91
201409,23.43,4.05
201410,25.03,-2.37
201411,14.56,-6.31
201412,14.25,-4.91
201501,34.25,17.81
201502,9.45,-3.34
201503,15.10,2.60
201504,19.45,8.42
201505,0.95,-9.18
201506,8.65,1.92
201507,19.66,9.65
201508,22.27,9.24
201509,25.95,6.57
201510,29.10,1.70
201511,28.33,7.46
201512,10.27,-8.89
201601,19.96,3.52
201602,16.77,3.98
201603,7.83,-4.67
201604,15.90,4.87
201605,15.21,5.08
201606,6.52,-0.21
201607,9.70,-0.31
201608,10.41,-2.62
201609,24.65,5.27
201610,7.31,-20.09
201611,23.41,2.54
201612,16.83,-2.33
201701,18.76,2.32
201702,13.13,0.34
201703,12.53,0.03
201704,4.57,-6.46
201705,13.73,3.60
201706,8.48,1.75
201707,13.42,3.41
201708,21.82,8.79
201709,22.04,2.66
201710,18.95,-8.45
201711,7.17,-13.70
201712,18.59,-0.57
201801,14.32,-2.12
201802,6.70,-6.09
201803,6.91,-5.59
201804,9.83,-1.20
201805,12.34,2.21
201806,5.37,-1.36
201807,4.58,-5.43
201808,12.26,-0.77
201809,6.06,-13.32
201810,22.40,-5.00
201811,19.25,-1.62
201812,16.37,-2.79
201901,18.37,1.93
201902,5.05,-7.74
201903,8.81,-3.69
201904,12.99,1.96
201905,4.79,-5.34
201906,8.04,1.31
201907,6.16,-3.85
201908,12.32,-0.71
201909,18.59,-0.79
201910,19.21,-8.19
201911,29.08,8.21
201912,19.07,-0.09
202001,17.24,0.80
