Benton County, Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.01,-0.46
200002,1.66,-0.78
200003,3.24,-0.42
200004,2.07,-2.54
200005,5.54,-0.03
200006,11.47,6.36
200007,3.92,0.41
200008,0.04,-3.66
200009,4.63,0.29
200010,2.80,-0.82
200011,4.94,1.41
200012,2.11,-0.62
200101,2.21,-0.26
200102,6.09,3.65
200103,0.90,-2.76
200104,1.83,-2.78
200105,5.72,0.15
200106,4.37,-0.74
200107,3.60,0.09
200108,2.52,-1.18
200109,5.07,0.73
200110,5.26,1.64
200111,3.97,0.44
200112,4.38,1.65
200201,2.60,0.13
200202,1.45,-0.99
200203,4.45,0.79
200204,5.21,0.60
200205,7.80,2.23
200206,3.97,-1.14
200207,3.98,0.47
200208,3.54,-0.16
200209,0.89,-3.45
200210,3.05,-0.57
200211,0.68,-2.85
200212,4.56,1.83
200301,0.26,-2.21
200302,3.37,0.93
200303,2.54,-1.12
200304,2.35,-2.26
200305,6.58,1.01
200306,3.34,-1.77
200307,3.63,0.12
200308,3.27,-0.43
200309,3.60,-0.74
200310,2.89,-0.73
200311,4.17,0.64
200312,2.81,0.08
200401,3.02,0.55
200402,1.02,-1.42
200403,5.89,2.23
200404,6.60,1.99
200405,3.77,-1.80
200406,3.53,-1.58
200407,9.79,6.28
200408,1.82,-1.88
200409,0.57,-3.77
200410,4.91,1.29
200411,7.85,4.32
200412,1.46,-1.27
200501,6.98,4.51
200502,2.19,-0.25
200503,2.09,-1.57
200504,3.69,-0.92
200505,3.16,-2.41
200506,3.69,-1.42
200507,2.63,-0.88
200508,3.77,0.07
200509,2.94,-1.40
200510,1.02,-2.60
200511,1.33,-2.20
200512,0.42,-2.31
200601,1.82,-0.65
200602,0.59,-1.85
200603,3.05,-0.61
200604,5.48,0.87
200605,4.40,-1.17
200606,3.24,-1.87
200607,2.41,-1.10
200608,6.10,2.40
200609,4.75,0.41
200610,2.25,-1.37
200611,5.81,2.28
200612,2.91,0.18
200701,3.83,1.36
200702,2.36,-0.08
200703,1.31,-2.35
200704,2.92,-1.69
200705,3.87,-1.70
200706,4.56,-0.55
200707,3.56,0.05
200708,3.56,-0.14
200709,5.82,1.48
200710,5.37,1.75
200711,0.65,-2.88
200712,3.77,1.04
200801,1.71,-0.76
200802,4.83,2.39
200803,10.22,6.56
200804,8.51,3.90
200805,5.18,-0.39
200806,7.07,1.96
200807,4.60,1.09
200808,5.98,2.28
200809,7.29,2.95
200810,2.48,-1.14
200811,1.72,-1.81
200812,2.33,-0.40
200901,1.63,-0.84
200902,2.32,-0.12
200903,3.72,0.06
200904,4.62,0.01
200905,7.16,1.59
200906,4.36,-0.75
200907,3.55,0.04
200908,3.99,0.29
200909,6.39,2.05
200910,10.21,6.59
200911,1.41,-2.12
200912,1.44,-1.29
201001,2.05,-0.42
201002,1.46,-0.98
201003,4.06,0.40
201004,2.84,-1.77
201005,7.52,1.95
201006,3.28,-1.83
201007,4.26,0.75
201008,0.57,-3.13
201009,8.05,3.71
201010,1.47,-2.15
201011,3.04,-0.49
201012,0.94,-1.79
201101,0.43,-2.04
201102,2.94,0.50
201103,2.62,-1.04
201104,13.70,9.09
201105,9.97,4.40
201106,1.03,-4.08
201107,1.45,-2.06
201108,4.38,0.68
201109,4.42,0.08
201110,2.53,-1.09
201111,7.30,3.77
201112,2.85,0.12
201201,1.78,-0.69
201202,1.84,-0.60
201203,5.29,1.63
201204,2.47,-2.14
201205,1.73,-3.84
201206,2.04,-3.07
201207,1.11,-2.40
201208,3.85,0.15
201209,3.45,-0.89
201210,3.50,-0.12
201211,1.00,-2.53
201212,2.37,-0.36
201301,3.09,0.62
201302,2.61,0.17
201303,4.19,0.53
201304,6.19,1.58
201305,8.28,2.71
201306,2.32,-2.79
201307,5.34,1.83
201308,6.63,2.93
201309,3.13,-1.21
201310,5.57,1.95
201311,1.97,-1.56
201312,3.34,0.61
201401,1.23,-1.24
201402,0.55,-1.89
201403,3.88,0.22
201404,2.37,-2.24
201405,3.21,-2.36
201406,5.95,0.84
201407,1.96,-1.55
201408,1.85,-1.85
201409,4.15,-0.19
201410,8.40,4.78
201411,2.34,-1.19
201412,2.66,-0.07
201501,0.83,-1.64
201502,1.89,-0.55
201503,5.14,1.48
201504,2.79,-1.82
201505,10.73,5.16
201506,5.89,0.78
201507,8.04,4.53
201508,5.42,1.72
201509,1.66,-2.68
201510,2.59,-1.03
201511,8.24,4.71
201512,12.68,9.95
201601,0.79,-1.68
201602,0.51,-1.93
201603,3.69,0.03
201604,3.59,-1.02
201605,3.92,-1.65
201606,3.16,-1.95
201607,7.54,4.03
201608,2.74,-0.96
201609,3.13,-1.21
201610,4.11,0.49
201611,0.70,-2.83
201612,1.23,-1.50
201701,3.29,0.82
201702,1.11,-1.33
201703,4.61,0.95
201704,13.54,8.93
201705,7.06,1.49
201706,4.23,-0.88
201707,3.31,-0.20
201708,6.22,2.52
201709,1.52,-2.82
201710,4.14,0.52
201711,1.58,-1.95
201712,1.92,-0.81
201801,1.71,-0.76
201802,7.45,5.01
201803,5.37,1.71
201804,2.55,-2.06
201805,4.37,-1.20
201806,1.87,-3.24
201807,3.74,0.23
201808,5.40,1.70
201809,2.04,-2.30
201810,3.55,-0.07
201811,2.98,-0.55
201812,4.58,1.85
201901,4.36,1.89
201902,2.63,0.19
201903,4.03,0.37
201904,4.23,-0.38
201905,11.42,5.85
201906,9.76,4.65
201907,3.05,-0.46
201908,8.55,4.85
201909,4.64,0.30
201910,10.35,6.73
201911,5.46,1.93
201912,1.33,-1.40
202001,5.44,2.97
