Pulaski County, Arkansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.45,-2.90
200002,3.02,-0.80
200003,4.03,-0.86
200004,3.09,-2.24
200005,5.74,0.42
200006,6.38,2.50
200007,0.70,-2.92
200008,0.24,-3.05
200009,2.72,-0.92
200010,1.11,-2.39
200011,10.93,6.39
200012,3.44,-1.07
200101,3.12,-1.23
200102,8.23,4.41
200103,3.82,-1.07
200104,1.66,-3.67
200105,4.50,-0.82
200106,2.12,-1.76
200107,3.41,-0.21
200108,2.54,-0.75
200109,2.48,-1.16
200110,5.01,1.51
200111,5.40,0.86
200112,7.86,3.35
200201,3.87,-0.48
200202,2.70,-1.12
200203,9.81,4.92
200204,1.77,-3.56
200205,5.22,-0.10
200206,2.11,-1.77
200207,3.87,0.25
200208,3.06,-0.23
200209,3.04,-0.60
200210,4.82,1.32
200211,2.11,-2.43
200212,8.34,3.83
200301,0.49,-3.86
200302,6.06,2.24
200303,2.00,-2.89
200304,2.45,-2.88
200305,5.70,0.38
200306,7.61,3.73
200307,3.18,-0.44
200308,2.31,-0.98
200309,3.72,0.08
200310,1.99,-1.51
200311,5.13,0.59
200312,3.58,-0.93
200401,3.78,-0.57
200402,4.32,0.50
200403,4.71,-0.18
200404,6.80,1.47
200405,4.56,-0.76
200406,4.42,0.54
200407,4.22,0.60
200408,2.92,-0.37
200409,0.36,-3.28
200410,10.16,6.66
200411,9.11,4.57
200412,3.07,-1.44
200501,5.29,0.94
200502,2.87,-0.95
200503,3.88,-1.01
200504,3.31,-2.02
200505,1.11,-4.21
200506,2.67,-1.21
200507,5.28,1.66
200508,2.85,-0.44
200509,4.33,0.69
200510,0.45,-3.05
200511,4.11,-0.43
200512,0.76,-3.75
200601,4.02,-0.33
200602,2.17,-1.65
200603,4.77,-0.12
200604,6.99,1.66
200605,4.31,-1.01
200606,2.54,-1.34
200607,2.24,-1.38
200608,3.05,-0.24
200609,4.04,0.40
200610,4.19,0.69
200611,5.24,0.70
200612,6.18,1.67
200701,8.51,4.16
200702,2.30,-1.52
200703,1.79,-3.10
200704,4.96,-0.37
200705,2.62,-2.70
200706,2.73,-1.15
200707,5.09,1.47
200708,0.23,-3.06
200709,6.19,2.55
200710,5.99,2.49
200711,2.80,-1.74
200712,6.23,1.72
200801,1.40,-2.95
200802,4.61,0.79
200803,8.09,3.20
200804,8.57,3.24
200805,4.55,-0.77
200806,3.85,-0.03
200807,2.72,-0.90
200808,6.47,3.18
200809,8.65,5.01
200810,4.47,0.97
200811,2.27,-2.27
200812,3.63,-0.88
200901,2.52,-1.83
200902,3.08,-0.74
200903,5.93,1.04
200904,5.99,0.66
200905,13.35,8.03
200906,2.10,-1.78
200907,9.56,5.94
200908,3.28,-0.01
200909,7.73,4.09
200910,15.06,11.56
200911,1.15,-3.39
200912,11.58,7.07
201001,3.42,-0.93
201002,4.44,0.62
201003,2.70,-2.19
201004,3.81,-1.52
201005,6.41,1.09
201006,2.66,-1.22
201007,3.35,-0.27
201008,2.76,-0.53
201009,1.54,-2.10
201010,1.38,-2.12
201011,5.75,1.21
201012,2.01,-2.50
201101,1.18,-3.17
201102,4.63,0.81
201103,3.56,-1.33
201104,8.99,3.66
201105,11.60,6.28
201106,1.62,-2.26
201107,1.14,-2.48
201108,6.80,3.51
201109,1.63,-2.01
201110,2.49,-1.01
201111,12.40,7.86
201112,7.90,3.39
201201,3.04,-1.31
201202,3.92,0.10
201203,7.93,3.04
201204,2.27,-3.06
201205,1.06,-4.26
201206,1.65,-2.23
201207,2.02,-1.60
201208,6.48,3.19
201209,5.81,2.17
201210,3.39,-0.11
201211,1.84,-2.70
201212,4.89,0.38
201301,5.38,1.03
201302,4.71,0.89
201303,4.53,-0.36
201304,4.79,-0.54
201305,6.50,1.18
201306,2.88,-1.00
201307,3.05,-0.57
201308,3.62,0.33
201309,2.82,-0.82
201310,3.71,0.21
201311,4.12,-0.42
201312,6.81,2.30
201401,2.40,-1.95
201402,3.17,-0.65
201403,5.43,0.54
201404,5.00,-0.33
201405,6.75,1.43
201406,6.93,3.05
201407,5.14,1.52
201408,2.04,-1.25
201409,1.40,-2.24
201410,4.52,1.02
201411,2.23,-2.31
201412,3.12,-1.39
201501,3.23,-1.12
201502,3.43,-0.39
201503,8.48,3.59
201504,6.16,0.83
201505,11.25,5.93
201506,3.10,-0.78
201507,4.14,0.52
201508,2.43,-0.86
201509,1.23,-2.41
201510,3.94,0.44
201511,11.70,7.16
201512,7.90,3.39
201601,3.02,-1.33
201602,1.94,-1.88
201603,11.14,6.25
201604,7.42,2.09
201605,3.46,-1.86
201606,2.60,-1.28
201607,5.58,1.96
201608,8.38,5.09
201609,1.27,-2.37
201610,1.49,-2.01
201611,2.84,-1.70
201612,4.13,-0.38
201701,2.50,-1.85
201702,3.61,-0.21
201703,3.96,-0.93
201704,9.83,4.50
201705,7.08,1.76
201706,4.09,0.21
201707,5.19,1.57
201708,5.41,2.12
201709,0.52,-3.12
201710,1.28,-2.22
201711,0.63,-3.91
201712,7.10,2.59
201801,2.71,-1.64
201802,14.53,10.71
201803,5.02,0.13
201804,6.09,0.76
201805,2.90,-2.42
201806,2.28,-1.60
201807,3.42,-0.20
201808,7.63,4.34
201809,7.53,3.89
201810,7.68,4.18
201811,5.08,0.54
201812,9.71,5.20
201901,4.19,-0.16
201902,8.27,4.45
201903,4.03,-0.86
201904,10.74,5.41
201905,12.27,6.95
201906,5.17,1.29
201907,3.84,0.22
201908,5.64,2.35
201909,1.63,-2.01
201910,6.61,3.11
201911,5.01,0.47
201912,1.74,-2.77
202001,6.28,1.93
