Mohave County, Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.23,-0.92
200002,1.26,0.05
200003,0.89,-0.23
200004,0.15,-0.43
200005,0.04,-0.29
200006,0.31,0.10
200007,0.19,-0.98
200008,2.22,0.69
200009,0.07,-0.76
200010,2.15,1.43
200011,0.17,-0.57
200012,0.07,-0.90
200101,2.00,0.85
200102,1.39,0.18
200103,1.31,0.19
200104,0.65,0.07
200105,0.08,-0.25
200106,0.10,-0.11
200107,0.72,-0.45
200108,1.11,-0.42
200109,0.14,-0.69
200110,0.37,-0.35
200111,0.44,-0.30
200112,0.70,-0.27
200201,0.05,-1.10
200202,0.02,-1.19
200203,0.18,-0.94
200204,0.02,-0.56
200205,0.00,-0.33
200206,0.00,-0.21
200207,0.58,-0.59
200208,0.11,-1.42
200209,1.17,0.34
200210,0.88,0.16
200211,0.68,-0.06
200212,0.38,-0.59
200301,0.26,-0.89
200302,2.87,1.66
200303,1.49,0.37
200304,0.82,0.24
200305,0.16,-0.17
200306,0.00,-0.21
200307,0.60,-0.57
200308,1.29,-0.24
200309,0.67,-0.16
200310,0.08,-0.64
200311,0.87,0.13
200312,0.78,-0.19
200401,0.21,-0.94
200402,1.85,0.64
200403,0.12,-1.00
200404,1.51,0.93
200405,0.01,-0.32
200406,0.03,-0.18
200407,0.49,-0.68
200408,0.94,-0.59
200409,0.66,-0.17
200410,3.79,3.07
200411,2.89,2.15
200412,1.55,0.58
200501,3.23,2.08
200502,3.93,2.72
200503,0.85,-0.27
200504,0.89,0.31
200505,0.17,-0.16
200506,0.23,0.02
200507,0.63,-0.54
200508,1.76,0.23
200509,0.04,-0.79
200510,1.85,1.13
200511,0.16,-0.58
200512,0.06,-0.91
200601,0.18,-0.97
200602,0.09,-1.12
200603,1.54,0.42
200604,0.33,-0.25
200605,0.04,-0.29
200606,0.28,0.07
200607,1.40,0.23
200608,0.47,-1.06
200609,0.62,-0.21
200610,1.23,0.51
200611,0.01,-0.73
200612,0.29,-0.68
200701,0.21,-0.94
200702,0.23,-0.98
200703,0.26,-0.86
200704,0.15,-0.43
200705,0.02,-0.31
200706,0.00,-0.21
200707,1.23,0.06
200708,1.23,-0.30
200709,1.03,0.20
200710,0.05,-0.67
200711,0.32,-0.42
200712,2.39,1.42
200801,1.63,0.48
200802,1.06,-0.15
200803,0.07,-1.05
200804,0.00,-0.58
200805,0.48,0.15
200806,0.03,-0.18
200807,0.80,-0.37
200808,1.25,-0.28
200809,0.16,-0.67
200810,0.18,-0.54
200811,1.03,0.29
200812,2.04,1.07
200901,0.46,-0.69
200902,1.78,0.57
200903,0.02,-1.10
200904,0.26,-0.32
200905,0.19,-0.14
200906,0.12,-0.09
200907,0.58,-0.59
200908,0.31,-1.22
200909,0.27,-0.56
200910,0.02,-0.70
200911,0.07,-0.67
200912,1.49,0.52
201001,3.07,1.92
201002,1.51,0.30
201003,1.10,-0.02
201004,0.49,-0.09
201005,0.03,-0.30
201006,0.10,-0.11
201007,0.40,-0.77
201008,1.00,-0.53
201009,0.05,-0.78
201010,1.95,1.23
201011,0.18,-0.56
201012,2.96,1.99
201101,0.03,-1.12
201102,1.99,0.78
201103,0.47,-0.65
201104,0.68,0.10
201105,0.48,0.15
201106,0.00,-0.21
201107,0.90,-0.27
201108,0.26,-1.27
201109,0.95,0.12
201110,1.25,0.53
201111,0.74,0.00
201112,0.93,-0.04
201201,0.22,-0.93
201202,0.74,-0.47
201203,0.62,-0.50
201204,0.67,0.09
201205,0.00,-0.33
201206,0.00,-0.21
201207,2.00,0.83
201208,2.38,0.85
201209,0.62,-0.21
201210,0.81,0.09
201211,0.03,-0.71
201212,1.54,0.57
201301,0.99,-0.16
201302,0.40,-0.81
201303,0.43,-0.69
201304,0.07,-0.51
201305,0.08,-0.25
201306,0.00,-0.21
201307,1.28,0.11
201308,1.76,0.23
201309,2.04,1.21
201310,0.21,-0.51
201311,1.13,0.39
201312,0.18,-0.79
201401,0.10,-1.05
201402,0.37,-0.84
201403,0.43,-0.69
201404,0.22,-0.36
201405,0.04,-0.29
201406,0.00,-0.21
201407,1.38,0.21
201408,2.68,1.15
201409,2.29,1.46
201410,0.10,-0.62
201411,0.06,-0.68
201412,1.35,0.38
201501,1.02,-0.13
201502,0.66,-0.55
201503,1.64,0.52
201504,0.38,-0.20
201505,1.13,0.80
201506,0.48,0.27
201507,1.67,0.50
201508,1.54,0.01
201509,0.53,-0.30
201510,1.70,0.98
201511,0.36,-0.38
201512,0.43,-0.54
201601,1.48,0.33
201602,0.33,-0.88
201603,0.21,-0.91
201604,1.53,0.95
201605,0.78,0.45
201606,0.29,0.08
201607,0.88,-0.29
201608,2.36,0.83
201609,0.79,-0.04
201610,0.45,-0.27
201611,0.52,-0.22
201612,3.02,2.05
201701,2.26,1.11
201702,1.16,-0.05
201703,0.39,-0.73
201704,0.19,-0.39
201705,0.62,0.29
201706,0.00,-0.21
201707,2.64,1.47
201708,1.02,-0.51
201709,1.08,0.25
201710,0.00,-0.72
201711,0.01,-0.73
201712,0.01,-0.96
201801,1.11,-0.04
201802,0.51,-0.70
201803,0.86,-0.26
201804,0.10,-0.48
201805,0.30,-0.03
201806,0.02,-0.19
201807,2.16,0.99
201808,1.40,-0.13
201809,0.19,-0.64
201810,1.58,0.86
201811,0.31,-0.43
201812,0.38,-0.59
201901,2.21,1.06
201902,3.45,2.24
201903,1.28,0.16
201904,0.63,0.05
201905,1.43,1.10
201906,0.05,-0.16
201907,0.20,-0.97
201908,0.18,-1.35
201909,0.42,-0.41
201910,0.00,-0.72
201911,3.25,2.51
201912,1.57,0.60
202001,0.07,-1.08
