Yavapai County, Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.25,-1.40
200002,1.25,-0.49
200003,2.61,0.98
200004,0.13,-0.69
200005,0.01,-0.38
200006,1.02,0.74
200007,0.31,-1.70
200008,3.60,1.01
200009,0.07,-1.37
200010,4.76,3.72
200011,0.63,-0.46
200012,0.06,-1.53
200101,2.24,0.59
200102,1.57,-0.17
200103,1.69,0.06
200104,1.00,0.18
200105,0.37,-0.02
200106,0.35,0.07
200107,1.12,-0.89
200108,2.66,0.07
200109,0.34,-1.10
200110,0.87,-0.17
200111,0.56,-0.53
200112,0.89,-0.70
200201,0.06,-1.59
200202,0.00,-1.74
200203,0.26,-1.37
200204,0.35,-0.47
200205,0.00,-0.39
200206,0.00,-0.28
200207,1.20,-0.81
200208,0.23,-2.36
200209,2.61,1.17
200210,1.01,-0.03
200211,0.82,-0.27
200212,0.54,-1.05
200301,0.57,-1.08
200302,4.37,2.63
200303,1.75,0.12
200304,0.37,-0.45
200305,0.10,-0.29
200306,0.02,-0.26
200307,1.33,-0.68
200308,3.27,0.68
200309,0.97,-0.47
200310,0.12,-0.92
200311,1.68,0.59
200312,0.68,-0.91
200401,0.45,-1.20
200402,1.58,-0.16
200403,0.57,-1.06
200404,2.11,1.29
200405,0.00,-0.39
200406,0.00,-0.28
200407,1.25,-0.76
200408,1.48,-1.11
200409,2.40,0.96
200410,3.82,2.78
200411,3.21,2.12
200412,2.91,1.32
200501,4.54,2.89
200502,5.28,3.54
200503,1.27,-0.36
200504,0.93,0.11
200505,0.03,-0.36
200506,0.33,0.05
200507,1.60,-0.41
200508,2.86,0.27
200509,0.18,-1.26
200510,1.35,0.31
200511,0.15,-0.94
200512,0.00,-1.59
200601,0.06,-1.59
200602,0.04,-1.70
200603,1.66,0.03
200604,0.41,-0.41
200605,0.09,-0.30
200606,0.47,0.19
200607,2.26,0.25
200608,2.13,-0.46
200609,2.01,0.57
200610,1.25,0.21
200611,0.01,-1.08
200612,0.33,-1.26
200701,0.77,-0.88
200702,0.78,-0.96
200703,1.14,-0.49
200704,0.10,-0.72
200705,0.06,-0.33
200706,0.00,-0.28
200707,3.33,1.32
200708,1.49,-1.10
200709,1.28,-0.16
200710,0.17,-0.87
200711,0.72,-0.37
200712,3.27,1.68
200801,3.47,1.82
200802,1.61,-0.13
200803,0.09,-1.54
200804,0.00,-0.82
200805,0.88,0.49
200806,0.02,-0.26
200807,2.30,0.29
200808,2.79,0.20
200809,0.63,-0.81
200810,0.03,-1.01
200811,1.73,0.64
200812,3.10,1.51
200901,0.40,-1.25
200902,1.90,0.16
200903,0.07,-1.56
200904,0.70,-0.12
200905,0.91,0.52
200906,0.13,-0.15
200907,1.37,-0.64
200908,0.63,-1.96
200909,0.64,-0.80
200910,0.03,-1.01
200911,0.06,-1.03
200912,2.59,1.00
201001,4.99,3.34
201002,1.90,0.16
201003,1.53,-0.10
201004,0.18,-0.64
201005,0.01,-0.38
201006,0.12,-0.16
201007,1.87,-0.14
201008,2.05,-0.54
201009,0.25,-1.19
201010,2.54,1.50
201011,0.34,-0.75
201012,2.83,1.24
201101,0.01,-1.64
201102,1.94,0.20
201103,0.38,-1.25
201104,0.61,-0.21
201105,0.31,-0.08
201106,0.00,-0.28
201107,1.71,-0.30
201108,0.81,-1.78
201109,1.17,-0.27
201110,0.87,-0.17
201111,1.01,-0.08
201112,2.62,1.03
201201,0.15,-1.50
201202,0.34,-1.40
201203,1.44,-0.19
201204,0.60,-0.22
201205,0.00,-0.39
201206,0.02,-0.26
201207,3.42,1.41
201208,3.09,0.50
201209,0.89,-0.55
201210,0.23,-0.81
201211,0.14,-0.95
201212,1.96,0.37
201301,2.24,0.59
201302,0.62,-1.12
201303,0.83,-0.80
201304,0.08,-0.74
201305,0.05,-0.34
201306,0.00,-0.28
201307,2.89,0.88
201308,3.19,0.60
201309,1.85,0.41
201310,0.24,-0.80
201311,2.59,1.50
201312,0.65,-0.94
201401,0.03,-1.62
201402,0.14,-1.60
201403,1.01,-0.62
201404,0.31,-0.51
201405,0.03,-0.36
201406,0.00,-0.28
201407,2.25,0.24
201408,5.20,2.61
201409,3.01,1.57
201410,0.34,-0.70
201411,0.03,-1.06
201412,2.51,0.92
201501,2.22,0.57
201502,0.69,-1.05
201503,2.14,0.51
201504,0.52,-0.30
201505,1.29,0.90
201506,0.68,0.40
201507,1.66,-0.35
201508,1.76,-0.83
201509,1.18,-0.26
201510,2.37,1.33
201511,0.93,-0.16
201512,0.60,-0.99
201601,2.05,0.40
201602,0.36,-1.38
201603,0.13,-1.50
201604,0.97,0.15
201605,0.91,0.52
201606,0.27,-0.01
201607,1.23,-0.78
201608,4.20,1.61
201609,1.49,0.05
201610,0.38,-0.66
201611,1.31,0.22
201612,3.38,1.79
201701,3.00,1.35
201702,2.67,0.93
201703,0.66,-0.97
201704,0.13,-0.69
201705,0.47,0.08
201706,0.01,-0.27
201707,3.72,1.71
201708,2.01,-0.58
201709,0.90,-0.54
201710,0.00,-1.04
201711,0.00,-1.09
201712,0.01,-1.58
201801,0.83,-0.82
201802,1.02,-0.72
201803,0.62,-1.01
201804,0.01,-0.81
201805,0.25,-0.14
201806,0.34,0.06
201807,4.02,2.01
201808,2.90,0.31
201809,0.34,-1.10
201810,3.42,2.38
201811,0.34,-0.75
201812,0.34,-1.25
201901,2.69,1.04
201902,4.10,2.36
201903,1.32,-0.31
201904,0.31,-0.51
201905,1.26,0.87
201906,0.01,-0.27
201907,0.64,-1.37
201908,0.76,-1.83
201909,2.30,0.86
201910,0.00,-1.04
201911,4.20,3.11
201912,2.31,0.72
202001,0.22,-1.43
