Orange County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.72,-2.14
200002,4.53,1.58
200003,1.83,-0.59
200004,1.36,0.36
200005,0.07,-0.18
200006,0.00,-0.06
200007,0.00,-0.02
200008,0.03,-0.02
200009,0.15,-0.05
200010,1.48,1.00
200011,0.09,-1.10
200012,0.02,-2.07
200101,4.11,1.25
200102,6.48,3.53
200103,0.72,-1.70
200104,1.11,0.11
200105,0.06,-0.19
200106,0.04,-0.02
200107,0.02,0.00
200108,0.00,-0.05
200109,0.00,-0.20
200110,0.02,-0.46
200111,1.30,0.11
200112,1.09,-1.00
200201,0.46,-2.40
200202,0.26,-2.69
200203,0.57,-1.85
200204,0.26,-0.74
200205,0.10,-0.15
200206,0.01,-0.05
200207,0.00,-0.02
200208,0.02,-0.03
200209,0.02,-0.18
200210,0.04,-0.44
200211,1.73,0.54
200212,2.41,0.32
200301,0.05,-2.81
200302,5.02,2.07
200303,3.48,1.06
200304,1.52,0.52
200305,0.69,0.44
200306,0.03,-0.03
200307,0.09,0.07
200308,0.01,-0.04
200309,0.00,-0.20
200310,0.04,-0.44
200311,0.66,-0.53
200312,0.87,-1.22
200401,0.48,-2.38
200402,4.45,1.50
200403,0.73,-1.69
200404,0.61,-0.39
200405,0.03,-0.22
200406,0.00,-0.06
200407,0.00,-0.02
200408,0.00,-0.05
200409,0.00,-0.20
200410,3.15,2.67
200411,0.85,-0.34
200412,3.80,1.71
200501,7.71,4.85
200502,8.68,5.73
200503,1.28,-1.14
200504,1.22,0.22
200505,0.24,-0.01
200506,0.03,-0.03
200507,0.03,0.01
200508,0.01,-0.04
200509,0.29,0.09
200510,0.89,0.41
200511,0.17,-1.02
200512,0.57,-1.52
200601,1.27,-1.59
200602,1.90,-1.05
200603,2.45,0.03
200604,2.38,1.38
200605,0.61,0.36
200606,0.01,-0.05
200607,0.06,0.04
200608,0.01,-0.04
200609,0.01,-0.19
200610,0.05,-0.43
200611,0.12,-1.07
200612,0.74,-1.35
200701,0.31,-2.55
200702,1.05,-1.90
200703,0.13,-2.29
200704,0.64,-0.36
200705,0.00,-0.25
200706,0.00,-0.06
200707,0.01,-0.01
200708,0.02,-0.03
200709,0.52,0.32
200710,0.28,-0.20
200711,1.16,-0.03
200712,1.31,-0.78
200801,4.71,1.85
200802,1.96,-0.99
200803,0.06,-2.36
200804,0.01,-0.99
200805,0.43,0.18
200806,0.00,-0.06
200807,0.01,-0.01
200808,0.00,-0.05
200809,0.01,-0.19
200810,0.02,-0.46
200811,1.70,0.51
200812,2.54,0.45
200901,0.37,-2.49
200902,3.62,0.67
200903,0.20,-2.22
200904,0.06,-0.94
200905,0.02,-0.23
200906,0.06,0.00
200907,0.01,-0.01
200908,0.01,-0.04
200909,0.00,-0.20
200910,0.60,0.12
200911,0.06,-1.13
200912,3.03,0.94
201001,6.43,3.57
201002,3.69,0.74
201003,0.39,-2.03
201004,1.39,0.39
201005,0.05,-0.20
201006,0.02,-0.04
201007,0.03,0.01
201008,0.00,-0.05
201009,0.01,-0.19
201010,2.04,1.56
201011,1.01,-0.18
201012,9.51,7.42
201101,0.80,-2.06
201102,2.21,-0.74
201103,2.56,0.14
201104,0.23,-0.77
201105,0.74,0.49
201106,0.10,0.04
201107,0.04,0.02
201108,0.05,0.00
201109,0.11,-0.09
201110,0.68,0.20
201111,1.39,0.20
201112,0.56,-1.53
201201,0.93,-1.93
201202,0.74,-2.21
201203,1.62,-0.80
201204,1.73,0.73
201205,0.04,-0.21
201206,0.00,-0.06
201207,0.12,0.10
201208,0.05,0.00
201209,0.04,-0.16
201210,0.36,-0.12
201211,0.73,-0.46
201212,2.26,0.17
201301,1.14,-1.72
201302,0.47,-2.48
201303,0.68,-1.74
201304,0.03,-0.97
201305,0.45,0.20
201306,0.01,-0.05
201307,0.05,0.03
201308,0.02,-0.03
201309,0.01,-0.19
201310,0.33,-0.15
201311,0.60,-0.59
201312,0.42,-1.67
201401,0.04,-2.82
201402,1.62,-1.33
201403,1.08,-1.34
201404,0.58,-0.42
201405,0.05,-0.20
201406,0.00,-0.06
201407,0.02,0.00
201408,0.12,0.07
201409,0.12,-0.08
201410,0.03,-0.45
201411,0.50,-0.69
201412,3.47,1.38
201501,0.84,-2.02
201502,0.58,-2.37
201503,0.65,-1.77
201504,0.22,-0.78
201505,1.01,0.76
201506,0.02,-0.04
201507,0.19,0.17
201508,0.01,-0.04
201509,0.96,0.76
201510,0.38,-0.10
201511,0.26,-0.93
201512,0.79,-1.30
201601,2.54,-0.32
201602,0.39,-2.56
201603,1.21,-1.21
201604,0.29,-0.71
201605,0.25,0.00
201606,0.02,-0.04
201607,0.00,-0.02
201608,0.00,-0.05
201609,0.04,-0.16
201610,0.63,0.15
201611,1.20,0.01
201612,4.35,2.26
201701,8.31,5.45
201702,3.92,0.97
201703,0.13,-2.29
201704,0.07,-0.93
201705,0.39,0.14
201706,0.00,-0.06
201707,0.01,-0.01
201708,0.18,0.13
201709,0.10,-0.10
201710,0.00,-0.48
201711,0.05,-1.14
201712,0.04,-2.05
201801,1.70,-1.16
201802,0.32,-2.63
201803,1.81,-0.61
201804,0.03,-0.97
201805,0.13,-0.12
201806,0.00,-0.06
201807,0.01,-0.01
201808,0.00,-0.05
201809,0.00,-0.20
201810,0.85,0.37
201811,1.37,0.18
201812,2.57,0.48
201901,5.07,2.21
201902,6.30,3.35
201903,1.97,-0.45
201904,0.13,-0.87
201905,0.85,0.60
201906,0.02,-0.04
201907,0.02,0.00
201908,0.00,-0.05
201909,0.02,-0.18
201910,0.00,-0.48
201911,2.63,1.44
201912,4.23,2.14
202001,0.22,-2.64
