San Luis Obispo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.35,-0.36
200002,8.29,4.70
200003,1.61,-1.29
200004,2.56,1.29
200005,0.13,-0.27
200006,0.13,0.09
200007,0.00,-0.01
200008,0.01,-0.01
200009,0.09,-0.09
200010,1.64,0.98
200011,0.04,-1.49
200012,0.10,-2.74
200101,5.28,1.57
200102,5.59,2.00
200103,3.82,0.92
200104,1.56,0.29
200105,0.00,-0.40
200106,0.00,-0.04
200107,0.05,0.04
200108,0.00,-0.02
200109,0.01,-0.17
200110,0.42,-0.24
200111,3.37,1.84
200112,2.60,-0.24
200201,1.05,-2.66
200202,0.50,-3.09
200203,1.27,-1.63
200204,0.54,-0.73
200205,0.21,-0.19
200206,0.00,-0.04
200207,0.00,-0.01
200208,0.00,-0.02
200209,0.03,-0.15
200210,0.01,-0.65
200211,3.18,1.65
200212,5.23,2.39
200301,0.34,-3.37
200302,2.71,-0.88
200303,1.78,-1.12
200304,1.77,0.50
200305,1.25,0.85
200306,0.00,-0.04
200307,0.08,0.07
200308,0.02,0.00
200309,0.00,-0.18
200310,0.13,-0.53
200311,1.38,-0.15
200312,3.03,0.19
200401,0.98,-2.73
200402,4.89,1.30
200403,0.52,-2.38
200404,0.03,-1.24
200405,0.00,-0.40
200406,0.00,-0.04
200407,0.00,-0.01
200408,0.00,-0.02
200409,0.00,-0.18
200410,3.95,3.29
200411,1.58,0.05
200412,6.64,3.80
200501,6.35,2.64
200502,4.74,1.15
200503,3.05,0.15
200504,1.12,-0.15
200505,1.12,0.72
200506,0.02,-0.02
200507,0.00,-0.01
200508,0.03,0.01
200509,0.04,-0.14
200510,0.26,-0.40
200511,0.65,-0.88
200512,2.38,-0.46
200601,5.10,1.39
200602,1.34,-2.25
200603,4.45,1.55
200604,3.96,2.69
200605,1.23,0.83
200606,0.00,-0.04
200607,0.01,0.00
200608,0.00,-0.02
200609,0.00,-0.18
200610,0.36,-0.30
200611,0.32,-1.21
200612,1.44,-1.40
200701,1.10,-2.61
200702,2.59,-1.00
200703,0.22,-2.68
200704,0.55,-0.72
200705,0.02,-0.38
200706,0.00,-0.04
200707,0.00,-0.01
200708,0.09,0.07
200709,0.05,-0.13
200710,0.61,-0.05
200711,0.11,-1.42
200712,2.41,-0.43
200801,8.30,4.59
200802,2.19,-1.40
200803,0.06,-2.84
200804,0.38,-0.89
200805,0.07,-0.33
200806,0.00,-0.04
200807,0.00,-0.01
200808,0.01,-0.01
200809,0.00,-0.18
200810,0.19,-0.47
200811,1.39,-0.14
200812,1.72,-1.12
200901,0.84,-2.87
200902,4.37,0.78
200903,1.27,-1.63
200904,0.30,-0.97
200905,0.23,-0.17
200906,0.13,0.09
200907,0.00,-0.01
200908,0.02,0.00
200909,0.04,-0.14
200910,2.76,2.10
200911,0.08,-1.45
200912,3.47,0.63
201001,6.68,2.97
201002,3.78,0.19
201003,0.90,-2.00
201004,2.48,1.21
201005,0.16,-0.24
201006,0.00,-0.04
201007,0.04,0.03
201008,0.00,-0.02
201009,0.00,-0.18
201010,1.51,0.85
201011,1.78,0.25
201012,10.12,7.28
201101,1.88,-1.83
201102,2.82,-0.77
201103,5.74,2.84
201104,0.27,-1.00
201105,0.97,0.57
201106,0.25,0.21
201107,0.01,0.00
201108,0.01,-0.01
201109,0.05,-0.13
201110,0.97,0.31
201111,2.34,0.81
201112,0.17,-2.67
201201,2.40,-1.31
201202,0.41,-3.18
201203,2.69,-0.21
201204,2.72,1.45
201205,0.01,-0.39
201206,0.00,-0.04
201207,0.01,0.00
201208,0.01,-0.01
201209,0.01,-0.17
201210,0.43,-0.23
201211,1.10,-0.43
201212,4.11,1.27
201301,0.94,-2.77
201302,0.49,-3.10
201303,0.73,-2.17
201304,0.09,-1.18
201305,0.16,-0.24
201306,0.00,-0.04
201307,0.01,0.00
201308,0.00,-0.02
201309,0.00,-0.18
201310,0.18,-0.48
201311,0.30,-1.23
201312,0.22,-2.62
201401,0.01,-3.70
201402,3.02,-0.57
201403,1.78,-1.12
201404,0.90,-0.37
201405,0.01,-0.39
201406,0.00,-0.04
201407,0.01,0.00
201408,0.00,-0.02
201409,0.01,-0.17
201410,0.29,-0.37
201411,0.97,-0.56
201412,5.18,2.34
201501,0.35,-3.36
201502,1.87,-1.72
201503,0.19,-2.71
201504,0.72,-0.55
201505,0.18,-0.22
201506,0.07,0.03
201507,0.13,0.12
201508,0.00,-0.02
201509,0.05,-0.13
201510,0.14,-0.52
201511,1.36,-0.17
201512,1.59,-1.25
201601,5.29,1.58
201602,0.63,-2.96
201603,3.38,0.48
201604,0.42,-0.85
201605,0.18,-0.22
201606,0.00,-0.04
201607,0.00,-0.01
201608,0.00,-0.02
201609,0.00,-0.18
201610,1.74,1.08
201611,1.67,0.14
201612,2.75,-0.09
201701,10.07,6.36
201702,6.91,3.32
201703,1.44,-1.46
201704,1.45,0.18
201705,0.36,-0.04
201706,0.00,-0.04
201707,0.00,-0.01
201708,0.01,-0.01
201709,0.26,0.08
201710,0.07,-0.59
201711,0.25,-1.28
201712,0.07,-2.77
201801,2.47,-1.24
201802,0.24,-3.35
201803,6.82,3.92
201804,0.33,-0.94
201805,0.02,-0.38
201806,0.00,-0.04
201807,0.00,-0.01
201808,0.00,-0.02
201809,0.00,-0.18
201810,0.39,-0.27
201811,3.00,1.47
201812,1.13,-1.71
201901,5.58,1.87
201902,6.38,2.79
201903,3.55,0.65
201904,0.17,-1.10
201905,1.47,1.07
201906,0.01,-0.03
201907,0.00,-0.01
201908,0.00,-0.02
201909,0.00,-0.18
201910,0.00,-0.66
201911,1.90,0.37
201912,4.59,1.75
202001,0.59,-3.12
