Yolo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,5.29,1.04
200002,8.25,4.39
200003,2.12,-0.72
200004,1.59,0.35
200005,1.15,0.56
200006,0.23,0.05
200007,0.00,-0.01
200008,0.00,-0.02
200009,0.16,-0.06
200010,2.06,1.12
200011,0.86,-1.38
200012,0.52,-3.10
200101,3.75,-0.50
200102,5.68,1.82
200103,2.38,-0.46
200104,1.09,-0.15
200105,0.00,-0.59
200106,0.14,-0.04
200107,0.00,-0.01
200108,0.00,-0.02
200109,0.27,0.05
200110,0.57,-0.37
200111,4.05,1.81
200112,7.47,3.85
200201,2.61,-1.64
200202,1.01,-2.85
200203,2.12,-0.72
200204,0.17,-1.07
200205,1.04,0.45
200206,0.00,-0.18
200207,0.00,-0.01
200208,0.00,-0.02
200209,0.00,-0.22
200210,0.00,-0.94
200211,2.85,0.61
200212,9.90,6.28
200301,2.13,-2.12
200302,1.59,-2.27
200303,2.46,-0.38
200304,3.15,1.91
200305,0.99,0.40
200306,0.00,-0.18
200307,0.01,0.00
200308,0.22,0.20
200309,0.01,-0.21
200310,0.03,-0.91
200311,1.93,-0.31
200312,6.57,2.95
200401,2.51,-1.74
200402,6.70,2.84
200403,0.83,-2.01
200404,0.23,-1.01
200405,0.09,-0.50
200406,0.00,-0.18
200407,0.00,-0.01
200408,0.00,-0.02
200409,0.10,-0.12
200410,2.68,1.74
200411,2.82,0.58
200412,5.24,1.62
200501,4.62,0.37
200502,3.57,-0.29
200503,3.19,0.35
200504,0.96,-0.28
200505,1.98,1.39
200506,0.64,0.46
200507,0.00,-0.01
200508,0.00,-0.02
200509,0.03,-0.19
200510,0.23,-0.71
200511,1.84,-0.40
200512,11.02,7.40
200601,2.92,-1.33
200602,2.73,-1.13
200603,5.96,3.12
200604,4.35,3.11
200605,0.66,0.07
200606,0.01,-0.17
200607,0.00,-0.01
200608,0.00,-0.02
200609,0.00,-0.22
200610,0.12,-0.82
200611,1.73,-0.51
200612,2.95,-0.67
200701,0.11,-4.14
200702,4.10,0.24
200703,0.23,-2.61
200704,1.53,0.29
200705,0.32,-0.27
200706,0.00,-0.18
200707,0.05,0.04
200708,0.00,-0.02
200709,0.22,0.00
200710,1.43,0.49
200711,0.75,-1.49
200712,3.37,-0.25
200801,9.23,4.98
200802,2.83,-1.03
200803,0.08,-2.76
200804,0.05,-1.19
200805,0.05,-0.54
200806,0.00,-0.18
200807,0.00,-0.01
200808,0.00,-0.02
200809,0.00,-0.22
200810,0.63,-0.31
200811,2.30,0.06
200812,2.14,-1.48
200901,1.16,-3.09
200902,6.36,2.50
200903,2.15,-0.69
200904,0.78,-0.46
200905,1.01,0.42
200906,0.27,0.09
200907,0.00,-0.01
200908,0.00,-0.02
200909,0.13,-0.09
200910,3.61,2.67
200911,0.51,-1.73
200912,2.47,-1.15
201001,7.32,3.07
201002,3.39,-0.47
201003,1.95,-0.89
201004,3.43,2.19
201005,0.88,0.29
201006,0.00,-0.18
201007,0.00,-0.01
201008,0.00,-0.02
201009,0.12,-0.10
201010,1.60,0.66
201011,2.54,0.30
201012,6.48,2.86
201101,1.76,-2.49
201102,4.46,0.60
201103,7.48,4.64
201104,0.25,-0.99
201105,1.38,0.79
201106,0.95,0.77
201107,0.00,-0.01
201108,0.00,-0.02
201109,0.02,-0.20
201110,1.09,0.15
201111,1.26,-0.98
201112,0.27,-3.35
201201,3.42,-0.83
201202,1.15,-2.71
201203,4.96,2.12
201204,2.30,1.06
201205,0.03,-0.56
201206,0.03,-0.15
201207,0.01,0.00
201208,0.00,-0.02
201209,0.00,-0.22
201210,1.05,0.11
201211,5.18,2.94
201212,7.59,3.97
201301,0.83,-3.42
201302,0.39,-3.47
201303,1.25,-1.59
201304,0.76,-0.48
201305,0.34,-0.25
201306,0.36,0.18
201307,0.00,-0.01
201308,0.00,-0.02
201309,0.60,0.38
201310,0.00,-0.94
201311,0.87,-1.37
201312,0.39,-3.23
201401,0.20,-4.05
201402,5.33,1.47
201403,2.04,-0.80
201404,1.84,0.60
201405,0.04,-0.55
201406,0.00,-0.18
201407,0.01,0.00
201408,0.02,0.00
201409,0.41,0.19
201410,0.42,-0.52
201411,1.71,-0.53
201412,9.60,5.98
201501,0.06,-4.19
201502,3.20,-0.66
201503,0.17,-2.67
201504,1.31,0.07
201505,0.10,-0.49
201506,0.04,-0.14
201507,0.02,0.01
201508,0.01,-0.01
201509,0.06,-0.16
201510,0.18,-0.76
201511,1.83,-0.41
201512,2.21,-1.41
201601,5.95,1.70
201602,0.69,-3.17
201603,6.69,3.85
201604,0.75,-0.49
201605,0.55,-0.04
201606,0.01,-0.17
201607,0.00,-0.01
201608,0.00,-0.02
201609,0.00,-0.22
201610,2.93,1.99
201611,1.65,-0.59
201612,3.70,0.08
201701,12.72,8.47
201702,9.34,5.48
201703,2.77,-0.07
201704,2.90,1.66
201705,0.10,-0.49
201706,0.29,0.11
201707,0.00,-0.01
201708,0.00,-0.02
201709,0.01,-0.21
201710,0.19,-0.75
201711,2.33,0.09
201712,0.09,-3.53
201801,4.36,0.11
201802,0.35,-3.51
201803,4.91,2.07
201804,2.08,0.84
201805,0.18,-0.41
201806,0.00,-0.18
201807,0.01,0.00
201808,0.00,-0.02
201809,0.01,-0.21
201810,0.22,-0.72
201811,3.29,1.05
201812,2.43,-1.19
201901,6.44,2.19
201902,10.76,6.90
201903,4.84,2.00
201904,0.45,-0.79
201905,3.10,2.51
201906,0.00,-0.18
201907,0.00,-0.01
201908,0.00,-0.02
201909,0.26,0.04
201910,0.00,-0.94
201911,0.54,-1.70
201912,6.75,3.13
202001,1.30,-2.95
