Arapahoe County, Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.35,-0.07
200002,0.38,-0.09
200003,2.10,1.12
200004,1.29,-0.57
200005,2.25,-0.30
200006,0.88,-1.03
200007,2.42,-0.03
200008,2.57,0.69
200009,1.49,0.28
200010,1.00,-0.02
200011,0.76,0.10
200012,0.41,-0.08
200101,0.57,0.15
200102,0.62,0.15
200103,1.26,0.28
200104,1.79,-0.07
200105,4.29,1.74
200106,1.18,-0.73
200107,3.11,0.66
200108,1.42,-0.46
200109,1.46,0.25
200110,0.20,-0.82
200111,1.29,0.63
200112,0.19,-0.30
200201,0.42,0.00
200202,0.31,-0.16
200203,0.79,-0.19
200204,0.19,-1.67
200205,1.11,-1.44
200206,2.02,0.11
200207,0.59,-1.86
200208,0.99,-0.89
200209,1.34,0.13
200210,0.75,-0.27
200211,0.30,-0.36
200212,0.06,-0.43
200301,0.16,-0.26
200302,0.70,0.23
200303,3.20,2.22
200304,1.83,-0.03
200305,1.82,-0.73
200306,2.89,0.98
200307,1.06,-1.39
200308,2.62,0.74
200309,0.32,-0.89
200310,0.11,-0.91
200311,0.15,-0.51
200312,0.38,-0.11
200401,0.35,-0.07
200402,0.68,0.21
200403,0.48,-0.50
200404,2.38,0.52
200405,1.83,-0.72
200406,2.78,0.87
200407,2.80,0.35
200408,2.61,0.73
200409,1.16,-0.05
200410,0.99,-0.03
200411,1.08,0.42
200412,0.23,-0.26
200501,0.67,0.25
200502,0.04,-0.43
200503,0.98,0.00
200504,2.99,1.13
200505,0.86,-1.69
200506,3.36,1.45
200507,1.17,-1.28
200508,2.40,0.52
200509,0.30,-0.91
200510,2.61,1.59
200511,0.52,-0.14
200512,0.40,-0.09
200601,0.15,-0.27
200602,0.17,-0.30
200603,0.92,-0.06
200604,0.70,-1.16
200605,1.02,-1.53
200606,0.49,-1.42
200607,3.22,0.77
200608,2.39,0.51
200609,1.39,0.18
200610,1.92,0.90
200611,0.27,-0.39
200612,1.77,1.28
200701,0.79,0.37
200702,0.53,0.06
200703,0.71,-0.27
200704,3.13,1.27
200705,2.85,0.30
200706,1.47,-0.44
200707,1.74,-0.71
200708,3.10,1.22
200709,0.82,-0.39
200710,0.81,-0.21
200711,0.22,-0.44
200712,0.98,0.49
200801,0.31,-0.11
200802,0.54,0.07
200803,0.37,-0.61
200804,0.70,-1.16
200805,1.56,-0.99
200806,1.08,-0.83
200807,0.83,-1.62
200808,4.95,3.07
200809,1.08,-0.13
200810,0.84,-0.18
200811,0.53,-0.13
200812,0.52,0.03
200901,0.30,-0.12
200902,0.12,-0.35
200903,0.88,-0.10
200904,3.51,1.65
200905,2.48,-0.07
200906,3.92,2.01
200907,3.10,0.65
200908,1.49,-0.39
200909,1.54,0.33
200910,2.06,1.04
200911,0.64,-0.02
200912,0.65,0.16
201001,0.08,-0.34
201002,0.59,0.12
201003,1.27,0.29
201004,2.70,0.84
201005,1.43,-1.12
201006,2.43,0.52
201007,3.11,0.66
201008,1.36,-0.52
201009,0.09,-1.12
201010,0.44,-0.58
201011,0.51,-0.15
201012,0.25,-0.24
201101,0.63,0.21
201102,0.58,0.11
201103,0.28,-0.70
201104,1.10,-0.76
201105,4.42,1.87
201106,1.58,-0.33
201107,3.56,1.11
201108,0.74,-1.14
201109,1.42,0.21
201110,1.45,0.43
201111,0.67,0.01
201112,0.79,0.30
201201,0.23,-0.19
201202,1.66,1.19
201203,0.03,-0.95
201204,1.85,-0.01
201205,1.06,-1.49
201206,1.23,-0.68
201207,2.41,-0.04
201208,0.27,-1.61
201209,1.93,0.72
201210,0.94,-0.08
201211,0.33,-0.33
201212,0.35,-0.14
201301,0.22,-0.20
201302,0.91,0.44
201303,1.49,0.51
201304,1.34,-0.52
201305,1.58,-0.97
201306,1.20,-0.71
201307,2.32,-0.13
201308,2.68,0.80
201309,5.21,4.00
201310,0.86,-0.16
201311,0.24,-0.42
201312,0.19,-0.30
201401,0.93,0.51
201402,0.26,-0.21
201403,0.82,-0.16
201404,1.67,-0.19
201405,3.49,0.94
201406,2.79,0.88
201407,3.82,1.37
201408,3.00,1.12
201409,2.17,0.96
201410,0.57,-0.45
201411,0.73,0.07
201412,0.69,0.20
201501,0.34,-0.08
201502,1.33,0.86
201503,0.55,-0.43
201504,2.93,1.07
201505,7.39,4.84
201506,3.55,1.64
201507,1.70,-0.75
201508,1.75,-0.13
201509,0.36,-0.85
201510,1.42,0.40
201511,1.80,1.14
201512,0.75,0.26
201601,0.45,0.03
201602,0.78,0.31
201603,1.42,0.44
201604,2.90,1.04
201605,2.73,0.18
201606,1.96,0.05
201607,1.81,-0.64
201608,1.71,-0.17
201609,0.23,-0.98
201610,0.23,-0.79
201611,0.51,-0.15
201612,0.81,0.32
201701,0.49,0.07
201702,0.16,-0.31
201703,1.54,0.56
201704,1.36,-0.50
201705,3.67,1.12
201706,0.85,-1.06
201707,1.89,-0.56
201708,1.76,-0.12
201709,1.44,0.23
201710,0.73,-0.29
201711,0.23,-0.43
201712,0.24,-0.25
201801,0.41,-0.01
201802,0.27,-0.20
201803,1.17,0.19
201804,1.09,-0.77
201805,2.41,-0.14
201806,1.35,-0.56
201807,2.35,-0.10
201808,1.27,-0.61
201809,0.90,-0.31
201810,1.21,0.19
201811,0.34,-0.32
201812,0.06,-0.43
201901,0.96,0.54
201902,0.63,0.16
201903,2.03,1.05
201904,1.01,-0.85
201905,3.02,0.47
201906,1.73,-0.18
201907,3.09,0.64
201908,1.24,-0.64
201909,1.03,-0.18
201910,0.99,-0.03
201911,1.01,0.35
201912,0.26,-0.23
202001,0.14,-0.28
