New Haven County, Connecticut, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.35,-0.49
200002,2.58,-0.74
200003,4.04,-0.31
200004,4.99,0.64
200005,4.45,0.38
200006,5.96,2.35
200007,7.08,3.38
200008,3.62,-0.56
200009,4.25,0.27
200010,0.90,-2.87
200011,4.33,0.09
200012,4.14,0.02
200101,2.84,-1.00
200102,2.62,-0.70
200103,8.24,3.89
200104,1.55,-2.80
200105,4.58,0.51
200106,5.85,2.24
200107,2.13,-1.57
200108,3.68,-0.50
200109,3.47,-0.51
200110,1.42,-2.35
200111,1.19,-3.05
200112,2.43,-1.69
200201,1.95,-1.89
200202,1.58,-1.74
200203,4.26,-0.09
200204,3.91,-0.44
200205,5.51,1.44
200206,4.54,0.93
200207,2.54,-1.16
200208,3.72,-0.46
200209,5.61,1.63
200210,5.00,1.23
200211,5.66,1.42
200212,4.80,0.68
200301,2.43,-1.41
200302,4.02,0.70
200303,4.57,0.22
200304,3.23,-1.12
200305,5.08,1.01
200306,8.18,4.57
200307,2.19,-1.51
200308,5.61,1.43
200309,8.21,4.23
200310,6.28,2.51
200311,3.36,-0.88
200312,5.01,0.89
200401,2.11,-1.73
200402,2.56,-0.76
200403,3.81,-0.54
200404,7.19,2.84
200405,3.31,-0.76
200406,1.64,-1.97
200407,5.08,1.38
200408,4.62,0.44
200409,8.95,4.97
200410,2.18,-1.59
200411,4.06,-0.18
200412,4.24,0.12
200501,4.71,0.87
200502,2.36,-0.96
200503,3.77,-0.58
200504,5.73,1.38
200505,1.98,-2.09
200506,2.48,-1.13
200507,3.35,-0.35
200508,1.09,-3.09
200509,2.19,-1.79
200510,16.26,12.49
200511,4.38,0.14
200512,4.21,0.09
200601,6.27,2.43
200602,2.41,-0.91
200603,0.63,-3.72
200604,6.70,2.35
200605,7.79,3.72
200606,8.95,5.34
200607,3.54,-0.16
200608,5.66,1.48
200609,2.93,-1.05
200610,7.25,3.48
200611,6.02,1.78
200612,2.36,-1.76
200701,3.90,0.06
200702,1.66,-1.66
200703,5.64,1.29
200704,9.31,4.96
200705,1.49,-2.58
200706,3.92,0.31
200707,5.44,1.74
200708,2.61,-1.57
200709,1.69,-2.29
200710,3.56,-0.21
200711,2.79,-1.45
200712,4.59,0.47
200801,2.30,-1.54
200802,8.38,5.06
200803,5.32,0.97
200804,2.98,-1.37
200805,2.81,-1.26
200806,4.77,1.16
200807,5.57,1.87
200808,3.58,-0.60
200809,8.52,4.54
200810,3.34,-0.43
200811,3.78,-0.46
200812,6.25,2.13
200901,2.84,-1.00
200902,1.22,-2.10
200903,1.90,-2.45
200904,3.95,-0.40
200905,3.66,-0.41
200906,7.41,3.80
200907,8.69,4.99
200908,2.60,-1.58
200909,2.73,-1.25
200910,6.34,2.57
200911,2.81,-1.43
200912,5.69,1.57
201001,2.60,-1.24
201002,4.67,1.35
201003,9.99,5.64
201004,1.70,-2.65
201005,2.89,-1.18
201006,2.99,-0.62
201007,3.92,0.22
201008,3.87,-0.31
201009,2.45,-1.53
201010,4.34,0.57
201011,3.43,-0.81
201012,4.64,0.52
201101,2.93,-0.91
201102,3.54,0.22
201103,4.18,-0.17
201104,5.67,1.32
201105,5.17,1.10
201106,6.61,3.00
201107,1.97,-1.73
201108,10.82,6.64
201109,7.31,3.33
201110,4.66,0.89
201111,3.48,-0.76
201112,3.99,-0.13
201201,2.69,-1.15
201202,1.32,-2.00
201203,0.87,-3.48
201204,3.04,-1.31
201205,3.88,-0.19
201206,4.40,0.79
201207,3.72,0.02
201208,3.66,-0.52
201209,4.99,1.01
201210,3.71,-0.06
201211,0.92,-3.32
201212,4.32,0.20
201301,1.58,-2.26
201302,4.59,1.27
201303,2.53,-1.82
201304,1.15,-3.20
201305,3.47,-0.60
201306,10.37,6.76
201307,3.80,0.10
201308,2.86,-1.32
201309,2.31,-1.67
201310,0.86,-2.91
201311,3.73,-0.51
201312,3.51,-0.61
201401,2.37,-1.47
201402,2.93,-0.39
201403,4.24,-0.11
201404,3.79,-0.56
201405,4.81,0.74
201406,2.58,-1.03
201407,4.06,0.36
201408,2.51,-1.67
201409,1.73,-2.25
201410,4.15,0.38
201411,4.07,-0.17
201412,5.09,0.97
201501,3.48,-0.36
201502,1.71,-1.61
201503,3.33,-1.02
201504,2.30,-2.05
201505,0.98,-3.09
201506,5.71,2.10
201507,2.61,-1.09
201508,2.05,-2.13
201509,3.02,-0.96
201510,2.71,-1.06
201511,2.38,-1.86
201512,4.13,0.01
201601,2.12,-1.72
201602,4.88,1.56
201603,1.98,-2.37
201604,2.83,-1.52
201605,3.63,-0.44
201606,1.76,-1.85
201607,3.65,-0.05
201608,3.39,-0.79
201609,1.73,-2.25
201610,2.94,-0.83
201611,3.42,-0.82
201612,3.38,-0.74
201701,3.42,-0.42
201702,2.10,-1.22
201703,3.28,-1.07
201704,4.88,0.53
201705,5.29,1.22
201706,2.98,-0.63
201707,4.13,0.43
201708,2.61,-1.57
201709,1.69,-2.29
201710,8.48,4.71
201711,1.90,-2.34
201712,2.00,-2.12
201801,3.24,-0.60
201802,5.86,2.54
201803,2.91,-1.44
201804,5.85,1.50
201805,2.88,-1.19
201806,3.74,0.13
201807,4.91,1.21
201808,5.05,0.87
201809,9.12,5.14
201810,4.85,1.08
201811,7.70,3.46
201812,5.69,1.57
201901,6.04,2.20
201902,3.25,-0.07
201903,2.77,-1.58
201904,7.51,3.16
201905,5.47,1.40
201906,3.65,0.04
201907,4.79,1.09
201908,2.86,-1.32
201909,2.20,-1.78
201910,7.47,3.70
201911,2.07,-2.17
201912,6.20,2.08
202001,2.29,-1.55
