Bay County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,2.69,-1.67
200002,1.30,-3.21
200003,6.14,0.85
200004,1.38,-2.64
200005,0.20,-3.22
200006,4.65,-0.63
200007,3.88,-3.63
200008,4.49,-2.92
200009,6.86,1.14
200010,0.54,-2.55
200011,5.44,1.90
200012,2.32,-1.98
200101,2.12,-2.24
200102,1.09,-3.42
200103,8.72,3.43
200104,0.70,-3.32
200105,0.35,-3.07
200106,8.59,3.31
200107,7.28,-0.23
200108,8.36,0.95
200109,5.44,-0.28
200110,1.84,-1.25
200111,2.11,-1.43
200112,1.10,-3.20
200201,3.17,-1.19
200202,2.11,-2.40
200203,5.17,-0.12
200204,5.35,1.33
200205,1.74,-1.68
200206,6.45,1.17
200207,3.95,-3.56
200208,4.25,-3.16
200209,8.84,3.12
200210,7.85,4.76
200211,5.58,2.04
200212,4.75,0.45
200301,1.39,-2.97
200302,7.00,2.49
200303,8.68,3.39
200304,3.32,-0.70
200305,4.71,1.29
200306,9.48,4.20
200307,11.21,3.70
200308,9.67,2.26
200309,6.19,0.47
200310,4.18,1.09
200311,2.97,-0.57
200312,3.05,-1.25
200401,2.31,-2.05
200402,8.58,4.07
200403,0.67,-4.62
200404,2.44,-1.58
200405,1.59,-1.83
200406,8.66,3.38
200407,6.02,-1.49
200408,5.98,-1.43
200409,7.25,1.53
200410,2.14,-0.95
200411,4.51,0.97
200412,4.64,0.34
200501,3.56,-0.80
200502,3.78,-0.73
200503,7.06,1.77
200504,10.29,6.27
200505,3.17,-0.25
200506,4.81,-0.47
200507,7.20,-0.31
200508,7.99,0.58
200509,1.67,-4.05
200510,0.57,-2.52
200511,3.83,0.29
200512,4.23,-0.07
200601,2.53,-1.83
200602,4.37,-0.14
200603,0.37,-4.92
200604,1.79,-2.23
200605,4.78,1.36
200606,3.43,-1.85
200607,4.37,-3.14
200608,5.73,-1.68
200609,4.93,-0.79
200610,4.61,1.52
200611,2.69,-0.85
200612,4.12,-0.18
200701,4.89,0.53
200702,4.13,-0.38
200703,0.79,-4.50
200704,2.05,-1.97
200705,0.25,-3.17
200706,3.96,-1.32
200707,4.06,-3.45
200708,3.24,-4.17
200709,4.61,-1.11
200710,6.25,3.16
200711,3.00,-0.54
200712,3.73,-0.57
200801,3.23,-1.13
200802,11.08,6.57
200803,3.50,-1.79
200804,2.51,-1.51
200805,2.60,-0.82
200806,5.01,-0.27
200807,6.33,-1.18
200808,10.19,2.78
200809,1.22,-4.50
200810,3.25,0.16
200811,3.44,-0.10
200812,6.48,2.18
200901,2.60,-1.76
200902,3.35,-1.16
200903,4.96,-0.33
200904,10.29,6.27
200905,5.68,2.26
200906,1.93,-3.35
200907,4.59,-2.92
200908,4.24,-3.17
200909,6.48,0.76
200910,3.85,0.76
200911,2.60,-0.94
200912,11.05,6.75
201001,6.14,1.78
201002,3.85,-0.66
201003,4.11,-1.18
201004,1.91,-2.11
201005,5.91,2.49
201006,4.63,-0.65
201007,4.69,-2.82
201008,6.49,-0.92
201009,3.25,-2.47
201010,0.43,-2.66
201011,3.62,0.08
201012,1.63,-2.67
201101,4.52,0.16
201102,3.68,-0.83
201103,4.33,-0.96
201104,0.64,-3.38
201105,1.19,-2.23
201106,3.97,-1.31
201107,9.42,1.91
201108,4.64,-2.77
201109,3.44,-2.28
201110,2.59,-0.50
201111,2.54,-1.00
201112,4.77,0.47
201201,2.55,-1.81
201202,3.39,-1.12
201203,3.40,-1.89
201204,2.56,-1.46
201205,3.52,0.10
201206,7.87,2.59
201207,9.34,1.83
201208,11.50,4.09
201209,6.90,1.18
201210,1.89,-1.20
201211,0.98,-2.56
201212,4.40,0.10
201301,0.73,-3.63
201302,12.18,7.67
201303,3.50,-1.79
201304,3.62,-0.40
201305,1.75,-1.67
201306,6.39,1.11
201307,18.47,10.96
201308,12.00,4.59
201309,8.28,2.56
201310,1.30,-1.79
201311,3.09,-0.45
201312,4.32,0.02
201401,3.78,-0.58
201402,6.46,1.95
201403,8.12,2.83
201404,12.43,8.41
201405,6.16,2.74
201406,4.26,-1.02
201407,3.91,-3.60
201408,2.23,-5.18
201409,4.77,-0.95
201410,3.36,0.27
201411,5.39,1.85
201412,5.21,0.91
201501,3.78,-0.58
201502,4.59,0.08
201503,1.78,-3.51
201504,5.34,1.32
201505,2.82,-0.60
201506,5.56,0.28
201507,5.83,-1.68
201508,4.78,-2.63
201509,5.94,0.22
201510,2.85,-0.24
201511,8.14,4.60
201512,6.25,1.95
201601,7.16,2.80
201602,4.98,0.47
201603,7.20,1.91
201604,7.00,2.98
201605,2.24,-1.18
201606,5.34,0.06
201607,5.22,-2.29
201608,11.08,3.67
201609,7.53,1.81
201610,0.03,-3.06
201611,0.11,-3.43
201612,6.09,1.79
201701,7.87,3.51
201702,3.46,-1.05
201703,1.93,-3.36
201704,2.10,-1.92
201705,5.65,2.23
201706,11.61,6.33
201707,5.88,-1.63
201708,7.84,0.43
201709,3.01,-2.71
201710,3.32,0.23
201711,0.24,-3.30
201712,2.54,-1.76
201801,2.75,-1.61
201802,7.37,2.86
201803,3.17,-2.12
201804,3.74,-0.28
201805,6.57,3.15
201806,4.46,-0.82
201807,5.83,-1.68
201808,10.33,2.92
201809,6.59,0.87
201810,2.66,-0.43
201811,4.89,1.35
201812,11.82,7.52
201901,3.09,-1.27
201902,1.43,-3.08
201903,2.85,-2.44
201904,5.35,1.33
201905,1.75,-1.67
201906,5.98,0.70
201907,5.79,-1.72
201908,7.92,0.51
201909,0.26,-5.46
201910,5.33,2.24
201911,1.86,-1.68
201912,6.02,1.72
202001,2.98,-1.38
