Charlotte County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.65,-0.38
200002,0.59,-1.65
200003,1.48,-1.12
200004,1.26,-0.96
200005,0.92,-2.77
200006,6.35,-1.65
200007,6.65,-1.13
200008,8.55,0.63
200009,9.15,1.80
200010,1.33,-2.34
200011,0.60,-1.04
200012,0.54,-1.14
200101,0.30,-1.73
200102,0.02,-2.22
200103,5.09,2.49
200104,0.42,-1.80
200105,1.34,-2.35
200106,6.44,-1.56
200107,12.07,4.29
200108,7.01,-0.91
200109,13.56,6.21
200110,2.57,-1.10
200111,0.38,-1.26
200112,1.30,-0.38
200201,1.98,-0.05
200202,2.52,0.28
200203,0.58,-2.02
200204,1.60,-0.62
200205,2.94,-0.75
200206,9.41,1.41
200207,6.70,-1.08
200208,8.04,0.12
200209,6.38,-0.97
200210,1.83,-1.84
200211,5.21,3.57
200212,5.73,4.05
200301,0.83,-1.20
200302,0.95,-1.29
200303,4.54,1.94
200304,3.92,1.70
200305,4.50,0.81
200306,15.28,7.28
200307,4.71,-3.07
200308,8.82,0.90
200309,13.46,6.11
200310,0.46,-3.21
200311,2.15,0.51
200312,3.27,1.59
200401,2.23,0.20
200402,3.97,1.73
200403,0.83,-1.77
200404,2.32,0.10
200405,0.71,-2.98
200406,7.63,-0.37
200407,7.38,-0.40
200408,13.50,5.58
200409,6.99,-0.36
200410,1.80,-1.87
200411,1.39,-0.25
200412,2.12,0.44
200501,1.04,-0.99
200502,2.58,0.34
200503,5.69,3.09
200504,2.80,0.58
200505,3.57,-0.12
200506,13.12,5.12
200507,8.14,0.36
200508,7.03,-0.89
200509,4.16,-3.19
200510,6.84,3.17
200511,3.60,1.96
200512,0.47,-1.21
200601,0.47,-1.56
200602,3.30,1.06
200603,0.40,-2.20
200604,0.12,-2.10
200605,1.44,-2.25
200606,6.98,-1.02
200607,11.33,3.55
200608,11.08,3.16
200609,7.07,-0.28
200610,1.07,-2.60
200611,1.09,-0.55
200612,1.84,0.16
200701,1.13,-0.90
200702,1.42,-0.82
200703,0.32,-2.28
200704,1.88,-0.34
200705,1.23,-2.46
200706,4.55,-3.45
200707,6.37,-1.41
200708,6.11,-1.81
200709,5.94,-1.41
200710,3.21,-0.46
200711,0.15,-1.49
200712,1.02,-0.66
200801,1.75,-0.28
200802,2.01,-0.23
200803,2.94,0.34
200804,3.36,1.14
200805,1.09,-2.60
200806,8.30,0.30
200807,11.29,3.51
200808,10.61,2.69
200809,5.18,-2.17
200810,2.40,-1.27
200811,0.39,-1.25
200812,1.63,-0.05
200901,0.69,-1.34
200902,0.42,-1.82
200903,0.79,-1.81
200904,0.61,-1.61
200905,7.25,3.56
200906,5.83,-2.17
200907,6.88,-0.90
200908,9.85,1.93
200909,6.08,-1.27
200910,0.83,-2.84
200911,1.78,0.14
200912,4.37,2.69
201001,1.76,-0.27
201002,2.59,0.35
201003,8.40,5.80
201004,3.97,1.75
201005,3.24,-0.45
201006,7.71,-0.29
201007,6.42,-1.36
201008,9.61,1.69
201009,5.16,-2.19
201010,0.10,-3.57
201011,2.26,0.62
201012,1.10,-0.58
201101,2.98,0.95
201102,0.47,-1.77
201103,3.11,0.51
201104,1.63,-0.59
201105,2.10,-1.59
201106,5.36,-2.64
201107,8.21,0.43
201108,7.50,-0.42
201109,6.63,-0.72
201110,7.11,3.44
201111,1.03,-0.61
201112,0.27,-1.41
201201,0.55,-1.48
201202,1.16,-1.08
201203,1.09,-1.51
201204,1.71,-0.51
201205,3.68,-0.01
201206,11.83,3.83
201207,7.02,-0.76
201208,9.45,1.53
201209,6.33,-1.02
201210,4.99,1.32
201211,0.17,-1.47
201212,2.01,0.33
201301,0.45,-1.58
201302,1.99,-0.25
201303,1.70,-0.90
201304,3.56,1.34
201305,4.00,0.31
201306,10.86,2.86
201307,10.61,2.83
201308,10.07,2.15
201309,9.40,2.05
201310,2.49,-1.18
201311,1.39,-0.25
201312,0.55,-1.13
201401,3.41,1.38
201402,1.45,-0.79
201403,4.57,1.97
201404,1.68,-0.54
201405,4.70,1.01
201406,6.04,-1.96
201407,6.67,-1.11
201408,6.84,-1.08
201409,10.99,3.64
201410,1.83,-1.84
201411,4.39,2.75
201412,0.27,-1.41
201501,1.03,-1.00
201502,3.32,1.08
201503,2.14,-0.46
201504,2.49,0.27
201505,2.80,-0.89
201506,8.01,0.01
201507,10.39,2.61
201508,10.05,2.13
201509,8.21,0.86
201510,2.26,-1.41
201511,1.80,0.16
201512,2.19,0.51
201601,9.17,7.14
201602,3.27,1.03
201603,1.62,-0.98
201604,1.11,-1.11
201605,4.70,1.01
201606,11.49,3.49
201607,7.46,-0.32
201608,8.14,0.22
201609,8.73,1.38
201610,3.29,-0.38
201611,0.03,-1.61
201612,0.50,-1.18
201701,1.10,-0.93
201702,1.01,-1.23
201703,0.94,-1.66
201704,1.58,-0.64
201705,2.97,-0.72
201706,13.46,5.46
201707,8.70,0.92
201708,13.61,5.69
201709,8.61,1.26
201710,3.69,0.02
201711,0.52,-1.12
201712,1.15,-0.53
201801,1.83,-0.20
201802,0.87,-1.37
201803,0.61,-1.99
201804,1.52,-0.70
201805,12.58,8.89
201806,6.78,-1.22
201807,8.69,0.91
201808,9.81,1.89
201809,6.14,-1.21
201810,2.07,-1.60
201811,1.96,0.32
201812,3.43,1.75
201901,4.34,2.31
201902,2.56,0.32
201903,1.26,-1.34
201904,2.21,-0.01
201905,5.28,1.59
201906,8.74,0.74
201907,10.37,2.59
201908,9.38,1.46
201909,1.44,-5.91
201910,4.82,1.15
201911,1.10,-0.54
201912,3.50,1.82
202001,1.15,-0.88
