Hamilton County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.26,-0.45
200002,2.92,-1.00
200003,4.89,0.48
200004,1.93,-1.31
200005,0.35,-3.19
200006,5.38,-0.56
200007,4.16,-2.87
200008,4.70,-2.11
200009,10.05,5.12
200010,0.73,-1.98
200011,1.69,-0.56
200012,1.57,-1.76
200101,1.30,-2.41
200102,1.03,-2.89
200103,7.01,2.60
200104,0.89,-2.35
200105,0.85,-2.69
200106,8.39,2.45
200107,10.03,3.00
200108,3.92,-2.89
200109,6.55,1.62
200110,0.56,-2.15
200111,0.61,-1.64
200112,1.58,-1.75
200201,5.29,1.58
200202,0.94,-2.98
200203,6.33,1.92
200204,1.29,-1.95
200205,2.16,-1.38
200206,5.60,-0.34
200207,4.82,-2.21
200208,4.10,-2.71
200209,3.85,-1.08
200210,4.46,1.75
200211,3.93,1.68
200212,6.03,2.70
200301,1.88,-1.83
200302,6.54,2.62
200303,9.83,5.42
200304,2.87,-0.37
200305,3.24,-0.30
200306,8.28,2.34
200307,8.99,1.96
200308,5.96,-0.85
200309,2.92,-2.01
200310,5.98,3.27
200311,1.99,-0.26
200312,1.90,-1.43
200401,1.17,-2.54
200402,6.20,2.28
200403,0.62,-3.79
200404,1.52,-1.72
200405,2.11,-1.43
200406,9.51,3.57
200407,7.64,0.61
200408,8.81,2.00
200409,15.74,10.81
200410,1.56,-1.15
200411,3.04,0.79
200412,3.31,-0.02
200501,1.80,-1.91
200502,4.10,0.18
200503,7.65,3.24
200504,6.61,3.37
200505,2.90,-0.64
200506,9.50,3.56
200507,5.71,-1.32
200508,5.46,-1.35
200509,2.37,-2.56
200510,2.91,0.20
200511,3.44,1.19
200512,5.36,2.03
200601,2.85,-0.86
200602,6.16,2.24
200603,0.83,-3.58
200604,1.34,-1.90
200605,2.18,-1.36
200606,5.48,-0.46
200607,5.35,-1.68
200608,4.03,-2.78
200609,3.26,-1.67
200610,3.11,0.40
200611,1.82,-0.43
200612,3.49,0.16
200701,5.28,1.57
200702,2.32,-1.60
200703,1.45,-2.96
200704,1.26,-1.98
200705,0.53,-3.01
200706,6.08,0.14
200707,5.07,-1.96
200708,6.37,-0.44
200709,4.11,-0.82
200710,4.65,1.94
200711,0.91,-1.34
200712,2.19,-1.14
200801,3.66,-0.05
200802,5.96,2.04
200803,4.46,0.05
200804,3.81,0.57
200805,2.19,-1.35
200806,3.88,-2.06
200807,4.22,-2.81
200808,12.59,5.78
200809,1.90,-3.03
200810,2.97,0.26
200811,1.21,-1.04
200812,2.14,-1.19
200901,2.76,-0.95
200902,1.59,-2.33
200903,2.62,-1.79
200904,10.08,6.84
200905,6.78,3.24
200906,4.44,-1.50
200907,5.05,-1.98
200908,6.05,-0.76
200909,3.67,-1.26
200910,1.30,-1.41
200911,1.61,-0.64
200912,6.14,2.81
201001,7.14,3.43
201002,3.77,-0.15
201003,3.64,-0.77
201004,0.91,-2.33
201005,6.44,2.90
201006,5.21,-0.73
201007,5.85,-1.18
201008,5.96,-0.85
201009,4.82,-0.11
201010,0.39,-2.32
201011,0.86,-1.39
201012,2.11,-1.22
201101,6.09,2.38
201102,3.10,-0.82
201103,4.16,-0.25
201104,3.63,0.39
201105,1.11,-2.43
201106,3.59,-2.35
201107,6.76,-0.27
201108,4.55,-2.26
201109,4.26,-0.67
201110,3.82,1.11
201111,2.29,0.04
201112,2.53,-0.80
201201,2.35,-1.36
201202,3.00,-0.92
201203,5.69,1.28
201204,1.44,-1.80
201205,6.68,3.14
201206,19.96,14.02
201207,4.01,-3.02
201208,7.54,0.73
201209,5.06,0.13
201210,1.30,-1.41
201211,0.31,-1.94
201212,3.10,-0.23
201301,0.91,-2.80
201302,8.51,4.59
201303,4.28,-0.13
201304,5.41,2.17
201305,1.88,-1.66
201306,9.73,3.79
201307,9.82,2.79
201308,7.81,1.00
201309,1.78,-3.15
201310,0.39,-2.32
201311,3.78,1.53
201312,3.99,0.66
201401,5.61,1.90
201402,4.63,0.71
201403,7.76,3.35
201404,10.78,7.54
201405,6.71,3.17
201406,4.53,-1.41
201407,5.15,-1.88
201408,4.72,-2.09
201409,10.26,5.33
201410,1.14,-1.57
201411,4.03,1.78
201412,3.85,0.52
201501,4.54,0.83
201502,4.80,0.88
201503,2.45,-1.96
201504,4.73,1.49
201505,2.06,-1.48
201506,6.54,0.60
201507,7.81,0.78
201508,7.85,1.04
201509,3.95,-0.98
201510,1.54,-1.17
201511,3.11,0.86
201512,2.22,-1.11
201601,4.26,0.55
201602,3.50,-0.42
201603,4.22,-0.19
201604,4.32,1.08
201605,1.95,-1.59
201606,4.17,-1.77
201607,4.87,-2.16
201608,9.03,2.22
201609,7.13,2.20
201610,1.24,-1.47
201611,0.02,-2.23
201612,2.90,-0.43
201701,6.00,2.29
201702,0.92,-3.00
201703,0.88,-3.53
201704,3.12,-0.12
201705,3.39,-0.15
201706,9.16,3.22
201707,5.65,-1.38
201708,6.56,-0.25
201709,7.60,2.67
201710,2.60,-0.11
201711,1.10,-1.15
201712,2.91,-0.42
201801,3.29,-0.42
201802,2.21,-1.71
201803,3.14,-1.27
201804,4.11,0.87
201805,6.51,2.97
201806,7.02,1.08
201807,9.66,2.63
201808,6.89,0.08
201809,3.65,-1.28
201810,2.82,0.11
201811,5.63,3.38
201812,9.86,6.53
201901,3.68,-0.03
201902,1.78,-2.14
201903,2.69,-1.72
201904,2.65,-0.59
201905,2.80,-0.74
201906,6.45,0.51
201907,5.67,-1.36
201908,5.08,-1.73
201909,0.51,-4.42
201910,2.52,-0.19
201911,2.32,0.07
201912,4.20,0.87
202001,1.05,-2.66
