Martin County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.49,-0.92
200002,1.42,-0.87
200003,3.08,-0.04
200004,4.53,1.63
200005,0.77,-3.75
200006,6.05,-1.42
200007,7.82,1.45
200008,3.57,-2.72
200009,7.45,-0.30
200010,4.59,-1.48
200011,0.63,-2.15
200012,0.94,-1.14
200101,1.25,-1.16
200102,0.41,-1.88
200103,4.09,0.97
200104,0.45,-2.45
200105,5.23,0.71
200106,8.14,0.67
200107,10.10,3.73
200108,9.17,2.88
200109,10.31,2.56
200110,6.77,0.70
200111,2.96,0.18
200112,1.64,-0.44
200201,1.66,-0.75
200202,3.35,1.06
200203,0.53,-2.59
200204,2.32,-0.58
200205,2.42,-2.10
200206,11.53,4.06
200207,7.31,0.94
200208,7.62,1.33
200209,4.24,-3.51
200210,2.02,-4.05
200211,2.81,0.03
200212,4.77,2.69
200301,1.15,-1.26
200302,1.00,-1.29
200303,4.35,1.23
200304,2.84,-0.06
200305,6.41,1.89
200306,7.90,0.43
200307,6.42,0.05
200308,10.13,3.84
200309,7.29,-0.46
200310,1.11,-4.96
200311,4.25,1.47
200312,1.98,-0.10
200401,2.27,-0.14
200402,2.89,0.60
200403,0.75,-2.37
200404,1.97,-0.93
200405,2.78,-1.74
200406,5.59,-1.88
200407,5.65,-0.72
200408,9.72,3.43
200409,22.68,14.93
200410,2.75,-3.32
200411,1.17,-1.61
200412,1.85,-0.23
200501,0.59,-1.82
200502,1.87,-0.42
200503,7.04,3.92
200504,3.01,0.11
200505,4.38,-0.14
200506,11.37,3.90
200507,4.91,-1.46
200508,5.22,-1.07
200509,3.90,-3.85
200510,8.72,2.65
200511,4.99,2.21
200512,1.74,-0.34
200601,0.32,-2.09
200602,3.83,1.54
200603,0.79,-2.33
200604,2.21,-0.69
200605,1.82,-2.70
200606,5.04,-2.43
200607,6.24,-0.13
200608,6.14,-0.15
200609,4.40,-3.35
200610,0.73,-5.34
200611,1.48,-1.30
200612,3.49,1.41
200701,0.56,-1.85
200702,1.01,-1.28
200703,1.05,-2.07
200704,2.00,-0.90
200705,2.97,-1.55
200706,9.92,2.45
200707,7.21,0.84
200708,5.11,-1.18
200709,7.39,-0.36
200710,7.19,1.12
200711,2.19,-0.59
200712,4.44,2.36
200801,1.74,-0.67
200802,3.06,0.77
200803,5.46,2.34
200804,3.62,0.72
200805,2.57,-1.95
200806,5.97,-1.50
200807,10.85,4.48
200808,16.23,9.94
200809,5.01,-2.74
200810,5.41,-0.66
200811,1.14,-1.64
200812,1.20,-0.88
200901,0.32,-2.09
200902,0.25,-2.04
200903,1.13,-1.99
200904,1.04,-1.86
200905,7.81,3.29
200906,6.99,-0.48
200907,7.46,1.09
200908,6.16,-0.13
200909,5.12,-2.63
200910,1.50,-4.57
200911,3.08,0.30
200912,5.15,3.07
201001,1.68,-0.73
201002,3.74,1.45
201003,9.40,6.28
201004,4.57,1.67
201005,2.83,-1.69
201006,7.93,0.46
201007,3.55,-2.82
201008,5.97,-0.32
201009,6.72,-1.03
201010,0.92,-5.15
201011,1.50,-1.28
201012,0.68,-1.40
201101,2.53,0.12
201102,0.44,-1.85
201103,2.69,-0.43
201104,1.17,-1.73
201105,1.13,-3.39
201106,5.05,-2.42
201107,4.69,-1.68
201108,7.03,0.74
201109,5.98,-1.77
201110,10.61,4.54
201111,1.64,-1.14
201112,2.46,0.38
201201,0.14,-2.27
201202,1.69,-0.60
201203,1.58,-1.54
201204,2.16,-0.74
201205,4.84,0.32
201206,6.58,-0.89
201207,3.53,-2.84
201208,10.40,4.11
201209,6.23,-1.52
201210,5.46,-0.61
201211,1.93,-0.85
201212,2.82,0.74
201301,1.61,-0.80
201302,2.34,0.05
201303,0.76,-2.36
201304,3.28,0.38
201305,6.61,2.09
201306,7.30,-0.17
201307,10.30,3.93
201308,3.38,-2.91
201309,7.37,-0.38
201310,0.97,-5.10
201311,2.95,0.17
201312,2.80,0.72
201401,7.57,5.16
201402,2.05,-0.24
201403,1.73,-1.39
201404,1.43,-1.47
201405,2.22,-2.30
201406,8.34,0.87
201407,5.61,-0.76
201408,6.21,-0.08
201409,9.80,2.05
201410,2.82,-3.25
201411,1.78,-1.00
201412,1.51,-0.57
201501,1.14,-1.27
201502,1.82,-0.47
201503,2.47,-0.65
201504,4.36,1.46
201505,1.11,-3.41
201506,3.17,-4.30
201507,4.40,-1.97
201508,5.17,-1.12
201509,8.84,1.09
201510,1.41,-4.66
201511,3.38,0.60
201512,6.02,3.94
201601,9.17,6.76
201602,2.41,0.12
201603,2.89,-0.23
201604,1.32,-1.58
201605,8.69,4.17
201606,6.17,-1.30
201607,2.08,-4.29
201608,8.52,2.23
201609,5.20,-2.55
201610,4.05,-2.02
201611,0.50,-2.28
201612,1.22,-0.86
201701,1.06,-1.35
201702,2.00,-0.29
201703,1.42,-1.70
201704,2.69,-0.21
201705,3.51,-1.01
201706,10.84,3.37
201707,5.56,-0.81
201708,4.78,-1.51
201709,14.87,7.12
201710,11.39,5.32
201711,4.45,1.67
201712,1.28,-0.80
201801,2.55,0.14
201802,0.41,-1.88
201803,0.54,-2.58
201804,4.08,1.18
201805,14.91,10.39
201806,5.92,-1.55
201807,4.70,-1.67
201808,5.35,-0.94
201809,3.56,-4.19
201810,1.16,-4.91
201811,2.10,-0.68
201812,1.55,-0.53
201901,4.45,2.04
201902,2.09,-0.20
201903,2.42,-0.70
201904,2.32,-0.58
201905,4.96,0.44
201906,7.31,-0.16
201907,5.42,-0.95
201908,12.77,6.48
201909,3.38,-4.37
201910,4.64,-1.43
201911,4.09,1.31
201912,5.41,3.33
202001,1.70,-0.71
