Volusia County, Florida, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.58,-0.90
200002,0.71,-2.12
200003,2.03,-1.37
200004,1.68,-0.92
200005,0.46,-3.16
200006,4.61,-2.14
200007,7.02,0.13
200008,4.56,-2.09
200009,9.84,3.19
200010,1.37,-2.98
200011,1.22,-1.00
200012,0.81,-1.59
200101,1.00,-1.48
200102,0.68,-2.15
200103,7.27,3.87
200104,1.03,-1.57
200105,1.84,-1.78
200106,6.08,-0.67
200107,11.08,4.19
200108,5.96,-0.69
200109,14.63,7.98
200110,2.79,-1.56
200111,5.15,2.93
200112,0.49,-1.91
200201,2.38,-0.10
200202,2.78,-0.05
200203,1.59,-1.81
200204,2.01,-0.59
200205,1.63,-1.99
200206,14.45,7.70
200207,8.05,1.16
200208,10.44,3.79
200209,4.73,-1.92
200210,1.89,-2.46
200211,2.34,0.12
200212,8.77,6.37
200301,1.81,-0.67
200302,4.17,1.34
200303,8.95,5.55
200304,1.48,-1.12
200305,1.97,-1.65
200306,8.20,1.45
200307,7.98,1.09
200308,6.53,-0.12
200309,3.78,-2.87
200310,4.56,0.21
200311,3.19,0.97
200312,1.59,-0.81
200401,1.80,-0.68
200402,4.30,1.47
200403,1.24,-2.16
200404,1.68,-0.92
200405,2.52,-1.10
200406,6.78,0.03
200407,8.53,1.64
200408,15.56,8.91
200409,15.05,8.40
200410,1.36,-2.99
200411,1.48,-0.74
200412,1.87,-0.53
200501,2.24,-0.24
200502,1.80,-1.03
200503,5.22,1.82
200504,2.86,0.26
200505,4.93,1.31
200506,13.33,6.58
200507,5.87,-1.02
200508,5.20,-1.45
200509,7.98,1.33
200510,10.44,6.09
200511,2.30,0.08
200512,2.05,-0.35
200601,0.58,-1.90
200602,4.31,1.48
200603,0.12,-3.28
200604,1.45,-1.15
200605,0.96,-2.66
200606,6.42,-0.33
200607,4.91,-1.98
200608,5.35,-1.30
200609,4.58,-2.07
200610,1.85,-2.50
200611,2.09,-0.13
200612,3.90,1.50
200701,1.73,-0.75
200702,2.57,-0.26
200703,1.38,-2.02
200704,1.52,-1.08
200705,1.63,-1.99
200706,6.18,-0.57
200707,8.68,1.79
200708,2.72,-3.93
200709,9.02,2.37
200710,5.25,0.90
200711,1.92,-0.30
200712,2.41,0.01
200801,2.84,0.36
200802,2.43,-0.40
200803,3.02,-0.38
200804,2.38,-0.22
200805,0.98,-2.64
200806,5.32,-1.43
200807,9.64,2.75
200808,17.04,10.39
200809,3.70,-2.95
200810,4.67,0.32
200811,0.87,-1.35
200812,1.23,-1.17
200901,1.47,-1.01
200902,0.93,-1.90
200903,1.02,-2.38
200904,1.78,-0.82
200905,14.30,10.68
200906,6.30,-0.45
200907,5.38,-1.51
200908,4.72,-1.93
200909,4.75,-1.90
200910,1.12,-3.23
200911,0.86,-1.36
200912,4.17,1.77
201001,4.71,2.23
201002,4.29,1.46
201003,6.70,3.30
201004,1.81,-0.79
201005,3.26,-0.36
201006,5.16,-1.59
201007,4.38,-2.51
201008,6.27,-0.38
201009,2.80,-3.85
201010,0.14,-4.21
201011,1.43,-0.79
201012,0.40,-2.00
201101,4.90,2.42
201102,1.30,-1.53
201103,4.13,0.73
201104,3.60,1.00
201105,0.84,-2.78
201106,6.37,-0.38
201107,5.82,-1.07
201108,7.25,0.60
201109,4.50,-2.15
201110,5.90,1.55
201111,0.88,-1.34
201112,1.70,-0.70
201201,0.19,-2.29
201202,2.39,-0.44
201203,1.69,-1.71
201204,2.02,-0.58
201205,4.12,0.50
201206,10.11,3.36
201207,4.32,-2.57
201208,10.33,3.68
201209,3.78,-2.87
201210,4.34,-0.01
201211,0.31,-1.91
201212,2.26,-0.14
201301,0.59,-1.89
201302,1.51,-1.32
201303,0.93,-2.47
201304,4.08,1.48
201305,7.34,3.72
201306,9.27,2.52
201307,7.68,0.79
201308,7.42,0.77
201309,5.48,-1.17
201310,2.22,-2.13
201311,2.44,0.22
201312,1.54,-0.86
201401,3.02,0.54
201402,4.13,1.30
201403,4.01,0.61
201404,3.19,0.59
201405,4.29,0.67
201406,5.59,-1.16
201407,9.91,3.02
201408,3.88,-2.77
201409,11.69,5.04
201410,1.37,-2.98
201411,7.72,5.50
201412,2.52,0.12
201501,3.77,1.29
201502,3.08,0.25
201503,1.50,-1.90
201504,4.47,1.87
201505,1.66,-1.96
201506,5.51,-1.24
201507,6.19,-0.70
201508,9.65,3.00
201509,5.84,-0.81
201510,1.46,-2.89
201511,2.68,0.46
201512,0.70,-1.70
201601,6.62,4.14
201602,2.53,-0.30
201603,2.40,-1.00
201604,1.89,-0.71
201605,5.18,1.56
201606,5.54,-1.21
201607,2.89,-4.00
201608,3.91,-2.74
201609,6.49,-0.16
201610,6.84,2.49
201611,0.14,-2.08
201612,0.98,-1.42
201701,2.43,-0.05
201702,2.14,-0.69
201703,1.00,-2.40
201704,1.40,-1.20
201705,2.51,-1.11
201706,10.54,3.79
201707,7.15,0.26
201708,7.18,0.53
201709,11.22,4.57
201710,5.68,1.33
201711,1.78,-0.44
201712,0.91,-1.49
201801,4.59,2.11
201802,0.62,-2.21
201803,2.03,-1.37
201804,4.66,2.06
201805,9.84,6.22
201806,7.03,0.28
201807,7.80,0.91
201808,6.72,0.07
201809,2.86,-3.79
201810,3.32,-1.03
201811,2.65,0.43
201812,6.02,3.62
201901,3.83,1.35
201902,1.63,-1.20
201903,1.03,-2.37
201904,3.33,0.73
201905,2.79,-0.83
201906,9.31,2.56
201907,8.53,1.64
201908,7.11,0.46
201909,3.81,-2.84
201910,8.83,4.48
201911,1.71,-0.51
201912,4.13,1.73
202001,0.51,-1.97
