Dougherty County, Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.04,-0.46
200002,2.52,-2.14
200003,4.67,-0.44
200004,2.21,-1.76
200005,0.60,-3.07
200006,3.40,-1.08
200007,3.81,-1.89
200008,1.68,-2.84
200009,7.38,3.64
200010,0.28,-1.91
200011,4.58,1.83
200012,4.72,0.63
200101,2.08,-2.42
200102,0.80,-3.86
200103,10.44,5.33
200104,2.29,-1.68
200105,2.12,-1.55
200106,6.62,2.14
200107,4.02,-1.68
200108,3.19,-1.33
200109,4.38,0.64
200110,1.23,-0.96
200111,1.19,-1.56
200112,1.38,-2.71
200201,3.19,-1.31
200202,2.23,-2.43
200203,5.30,0.19
200204,2.89,-1.08
200205,1.48,-2.19
200206,2.91,-1.57
200207,6.13,0.43
200208,2.08,-2.44
200209,5.65,1.91
200210,3.71,1.52
200211,4.92,2.17
200212,4.03,-0.06
200301,1.37,-3.13
200302,4.90,0.24
200303,6.93,1.82
200304,5.41,1.44
200305,4.60,0.93
200306,6.43,1.95
200307,6.16,0.46
200308,8.21,3.69
200309,2.29,-1.45
200310,2.32,0.13
200311,2.37,-0.38
200312,2.17,-1.92
200401,2.79,-1.71
200402,5.75,1.09
200403,0.29,-4.82
200404,2.62,-1.35
200405,4.43,0.76
200406,9.13,4.65
200407,4.27,-1.43
200408,5.07,0.55
200409,10.40,6.66
200410,1.05,-1.14
200411,4.07,1.32
200412,3.03,-1.06
200501,2.03,-2.47
200502,3.49,-1.17
200503,7.61,2.50
200504,6.99,3.02
200505,2.89,-0.78
200506,6.89,2.41
200507,8.34,2.64
200508,5.10,0.58
200509,1.57,-2.17
200510,0.76,-1.43
200511,2.93,0.18
200512,5.35,1.26
200601,4.48,-0.02
200602,5.14,0.48
200603,0.68,-4.43
200604,1.65,-2.32
200605,2.95,-0.72
200606,2.84,-1.64
200607,4.27,-1.43
200608,4.75,0.23
200609,3.63,-0.11
200610,2.84,0.65
200611,2.32,-0.43
200612,4.60,0.51
200701,4.97,0.47
200702,3.52,-1.14
200703,1.41,-3.70
200704,3.09,-0.88
200705,0.41,-3.26
200706,3.55,-0.93
200707,4.45,-1.25
200708,5.25,0.73
200709,2.90,-0.84
200710,2.69,0.50
200711,1.32,-1.43
200712,6.95,2.86
200801,3.74,-0.76
200802,6.23,1.57
200803,2.70,-2.41
200804,3.28,-0.69
200805,1.06,-2.61
200806,3.48,-1.00
200807,4.43,-1.27
200808,12.48,7.96
200809,1.25,-2.49
200810,4.54,2.35
200811,3.29,0.54
200812,6.57,2.48
200901,1.65,-2.85
200902,0.84,-3.82
200903,8.70,3.59
200904,8.83,4.86
200905,5.23,1.56
200906,2.24,-2.24
200907,6.17,0.47
200908,7.13,2.61
200909,3.27,-0.47
200910,4.55,2.36
200911,2.17,-0.58
200912,10.04,5.95
201001,7.78,3.28
201002,3.30,-1.36
201003,2.91,-2.20
201004,2.84,-1.13
201005,6.19,2.52
201006,3.94,-0.54
201007,3.29,-2.41
201008,5.54,1.02
201009,3.12,-0.62
201010,0.88,-1.31
201011,2.39,-0.36
201012,1.48,-2.61
201101,4.37,-0.13
201102,4.54,-0.12
201103,4.14,-0.97
201104,1.75,-2.22
201105,0.57,-3.10
201106,2.26,-2.22
201107,6.20,0.50
201108,2.67,-1.85
201109,2.13,-1.61
201110,3.05,0.86
201111,1.62,-1.13
201112,2.60,-1.49
201201,2.74,-1.76
201202,3.60,-1.06
201203,3.87,-1.24
201204,2.13,-1.84
201205,2.62,-1.05
201206,3.72,-0.76
201207,2.77,-2.93
201208,5.55,1.03
201209,3.14,-0.60
201210,1.07,-1.12
201211,1.00,-1.75
201212,4.66,0.57
201301,1.49,-3.01
201302,16.18,11.52
201303,3.66,-1.45
201304,3.45,-0.52
201305,1.76,-1.91
201306,6.96,2.48
201307,10.05,4.35
201308,10.59,6.07
201309,2.24,-1.50
201310,0.65,-1.54
201311,3.79,1.04
201312,4.97,0.88
201401,3.07,-1.43
201402,5.40,0.74
201403,5.51,0.40
201404,10.66,6.69
201405,4.23,0.56
201406,3.82,-0.66
201407,3.04,-2.66
201408,2.42,-2.10
201409,8.00,4.26
201410,2.99,0.80
201411,5.19,2.44
201412,6.38,2.29
201501,3.48,-1.02
201502,4.42,-0.24
201503,2.26,-2.85
201504,5.56,1.59
201505,1.06,-2.61
201506,6.38,1.90
201507,3.52,-2.18
201508,5.49,0.97
201509,2.77,-0.97
201510,1.62,-0.57
201511,6.65,3.90
201512,7.23,3.14
201601,4.54,0.04
201602,6.07,1.41
201603,3.95,-1.16
201604,6.15,2.18
201605,1.58,-2.09
201606,5.40,0.92
201607,2.08,-3.62
201608,4.38,-0.14
201609,3.61,-0.13
201610,0.09,-2.10
201611,0.06,-2.69
201612,11.12,7.03
201701,8.91,4.41
201702,2.59,-2.07
201703,1.17,-3.94
201704,2.89,-1.08
201705,4.81,1.14
201706,8.15,3.67
201707,5.22,-0.48
201708,2.91,-1.61
201709,3.17,-0.57
201710,2.10,-0.09
201711,0.55,-2.20
201712,3.38,-0.71
201801,3.14,-1.36
201802,5.59,0.93
201803,3.03,-2.08
201804,4.03,0.06
201805,5.41,1.74
201806,3.79,-0.69
201807,7.39,1.69
201808,5.46,0.94
201809,1.79,-1.95
201810,4.19,2.00
201811,5.90,3.15
201812,10.53,6.44
201901,4.94,0.44
201902,2.08,-2.58
201903,3.86,-1.25
201904,3.41,-0.56
201905,2.23,-1.44
201906,8.87,4.39
201907,4.85,-0.85
201908,3.98,-0.54
201909,1.95,-1.79
201910,4.92,2.73
201911,2.05,-0.70
201912,6.84,2.75
202001,3.54,-0.96
