Polk County, Iowa, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.49,-0.47
200002,1.43,0.39
200003,0.54,-1.37
200004,1.55,-1.37
200005,3.83,-0.23
200006,5.65,1.04
200007,3.45,-0.28
200008,1.88,-2.11
200009,1.48,-2.13
200010,1.55,-0.78
200011,1.61,-0.13
200012,1.36,0.32
200101,1.19,0.23
200102,1.85,0.81
200103,1.25,-0.66
200104,3.28,0.36
200105,6.44,2.38
200106,2.92,-1.69
200107,1.52,-2.21
200108,2.36,-1.63
200109,5.06,1.45
200110,2.37,0.04
200111,0.95,-0.79
200112,0.76,-0.28
200201,0.46,-0.50
200202,0.78,-0.26
200203,0.71,-1.20
200204,3.90,0.98
200205,3.52,-0.54
200206,2.73,-1.88
200207,4.54,0.81
200208,4.04,0.05
200209,1.28,-2.33
200210,3.19,0.86
200211,0.17,-1.57
200212,0.02,-1.02
200301,0.35,-0.61
200302,1.29,0.25
200303,0.97,-0.94
200304,4.82,1.90
200305,5.80,1.74
200306,4.49,-0.12
200307,3.95,0.22
200308,0.50,-3.49
200309,2.48,-1.13
200310,1.26,-1.07
200311,4.84,3.10
200312,1.05,0.01
200401,1.05,0.09
200402,1.46,0.42
200403,3.59,1.68
200404,2.76,-0.16
200405,8.74,4.68
200406,3.07,-1.54
200407,4.32,0.59
200408,4.88,0.89
200409,1.90,-1.71
200410,1.61,-0.72
200411,2.65,0.91
200412,0.51,-0.53
200501,0.92,-0.04
200502,1.80,0.76
200503,1.28,-0.63
200504,4.14,1.22
200505,5.30,1.24
200506,5.58,0.97
200507,3.72,-0.01
200508,2.85,-1.14
200509,2.38,-1.23
200510,0.79,-1.54
200511,1.23,-0.51
200512,1.11,0.07
200601,0.53,-0.43
200602,0.25,-0.79
200603,3.38,1.47
200604,4.32,1.40
200605,2.11,-1.95
200606,1.10,-3.51
200607,4.75,1.02
200608,5.70,1.71
200609,4.67,1.06
200610,1.74,-0.59
200611,1.99,0.25
200612,2.19,1.15
200701,0.83,-0.13
200702,1.86,0.82
200703,3.16,1.25
200704,5.80,2.88
200705,6.26,2.20
200706,3.14,-1.47
200707,2.89,-0.84
200708,6.96,2.97
200709,4.09,0.48
200710,5.76,3.43
200711,0.26,-1.48
200712,2.54,1.50
200801,0.58,-0.38
200802,1.82,0.78
200803,1.59,-0.32
200804,5.54,2.62
200805,5.12,1.06
200806,11.69,7.08
200807,9.06,5.33
200808,1.56,-2.43
200809,4.03,0.42
200810,3.66,1.33
200811,2.57,0.83
200812,1.73,0.69
200901,1.05,0.09
200902,0.54,-0.50
200903,4.35,2.44
200904,5.35,2.43
200905,4.12,0.06
200906,5.29,0.68
200907,2.75,-0.98
200908,5.43,1.44
200909,1.49,-2.12
200910,6.80,4.47
200911,1.03,-0.71
200912,2.49,1.45
201001,1.51,0.55
201002,0.84,-0.20
201003,1.77,-0.14
201004,4.42,1.50
201005,4.22,0.16
201006,13.38,8.77
201007,7.04,3.31
201008,11.90,7.91
201009,5.87,2.26
201010,0.78,-1.55
201011,2.31,0.57
201012,0.71,-0.33
201101,0.78,-0.18
201102,0.87,-0.17
201103,1.74,-0.17
201104,4.20,1.28
201105,5.93,1.87
201106,7.88,3.27
201107,2.19,-1.54
201108,2.91,-1.08
201109,1.20,-2.41
201110,0.88,-1.45
201111,2.76,1.02
201112,2.32,1.28
201201,0.41,-0.55
201202,1.58,0.54
201203,2.04,0.13
201204,4.62,1.70
201205,2.83,-1.23
201206,2.91,-1.70
201207,1.47,-2.26
201208,2.67,-1.32
201209,1.38,-2.23
201210,2.75,0.42
201211,1.24,-0.50
201212,1.13,0.09
201301,0.79,-0.17
201302,1.23,0.19
201303,1.99,0.08
201304,6.21,3.29
201305,8.97,4.91
201306,3.96,-0.65
201307,1.01,-2.72
201308,0.73,-3.26
201309,2.40,-1.21
201310,3.24,0.91
201311,1.39,-0.35
201312,0.67,-0.37
201401,0.22,-0.74
201402,1.64,0.60
201403,0.63,-1.28
201404,5.51,2.59
201405,3.52,-0.54
201406,8.80,4.19
201407,3.01,-0.72
201408,8.18,4.19
201409,5.44,1.83
201410,3.81,1.48
201411,0.54,-1.20
201412,1.09,0.05
201501,0.57,-0.39
201502,0.98,-0.06
201503,0.51,-1.40
201504,2.81,-0.11
201505,4.65,0.59
201506,8.61,4.00
201507,7.35,3.62
201508,4.85,0.86
201509,5.14,1.53
201510,1.42,-0.91
201511,3.10,1.36
201512,5.21,4.17
201601,0.66,-0.30
201602,0.71,-0.33
201603,2.00,0.09
201604,2.99,0.07
201605,3.57,-0.49
201606,2.44,-2.17
201607,7.04,3.31
201608,6.86,2.87
201609,6.28,2.67
201610,0.89,-1.44
201611,1.60,-0.14
201612,1.26,0.22
201701,1.82,0.86
201702,1.00,-0.04
201703,3.40,1.49
201704,3.80,0.88
201705,4.88,0.82
201706,2.80,-1.81
201707,1.84,-1.89
201708,3.17,-0.82
201709,3.26,-0.35
201710,5.28,2.95
201711,0.35,-1.39
201712,0.30,-0.74
201801,1.12,0.16
201802,1.45,0.41
201803,2.44,0.53
201804,1.10,-1.82
201805,4.94,0.88
201806,10.38,5.77
201807,2.29,-1.44
201808,4.39,0.40
201809,8.91,5.30
201810,3.36,1.03
201811,1.62,-0.12
201812,2.31,1.27
201901,1.10,0.14
201902,1.87,0.83
201903,1.86,-0.05
201904,1.92,-1.00
201905,9.03,4.97
201906,4.24,-0.37
201907,3.75,0.02
201908,4.04,0.05
201909,4.65,1.04
201910,5.79,3.46
201911,1.21,-0.53
201912,1.02,-0.02
202001,1.18,0.22
