Kootenai County, Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,4.80,0.44
200002,4.03,0.66
200003,3.24,0.18
200004,3.38,1.15
200005,3.59,1.19
200006,1.68,-0.39
200007,0.37,-0.61
200008,0.09,-0.91
200009,2.36,0.77
200010,1.60,-0.90
200011,2.43,-1.87
200012,2.27,-2.11
200101,1.82,-2.54
200102,2.18,-1.19
200103,1.99,-1.07
200104,3.10,0.87
200105,2.35,-0.05
200106,2.20,0.13
200107,0.64,-0.34
200108,0.10,-0.90
200109,0.58,-1.01
200110,4.15,1.65
200111,4.69,0.39
200112,6.05,1.67
200201,5.01,0.65
200202,2.50,-0.87
200203,3.45,0.39
200204,2.33,0.10
200205,2.69,0.29
200206,1.99,-0.08
200207,0.43,-0.55
200208,0.74,-0.26
200209,0.74,-0.85
200210,0.49,-2.01
200211,3.11,-1.19
200212,5.80,1.42
200301,5.87,1.51
200302,1.93,-1.44
200303,4.48,1.42
200304,2.20,-0.03
200305,3.10,0.70
200306,0.84,-1.23
200307,0.17,-0.81
200308,0.58,-0.42
200309,1.89,0.30
200310,1.92,-0.58
200311,4.21,-0.09
200312,3.96,-0.42
200401,5.04,0.68
200402,3.05,-0.32
200403,1.81,-1.25
200404,1.55,-0.68
200405,4.00,1.60
200406,1.25,-0.82
200407,0.24,-0.74
200408,2.95,1.95
200409,2.23,0.64
200410,2.73,0.23
200411,3.26,-1.04
200412,3.06,-1.32
200501,2.88,-1.48
200502,0.27,-3.10
200503,4.00,0.94
200504,1.50,-0.73
200505,3.09,0.69
200506,2.40,0.33
200507,1.44,0.46
200508,0.56,-0.44
200509,1.13,-0.46
200510,3.45,0.95
200511,3.62,-0.68
200512,4.17,-0.21
200601,9.56,5.20
200602,2.98,-0.39
200603,2.84,-0.22
200604,2.86,0.63
200605,2.28,-0.12
200606,3.11,1.04
200607,0.21,-0.77
200608,0.23,-0.77
200609,0.70,-0.89
200610,1.44,-1.06
200611,9.58,5.28
200612,3.48,-0.90
200701,3.09,-1.27
200702,3.46,0.09
200703,2.80,-0.26
200704,1.19,-1.04
200705,1.59,-0.81
200706,1.33,-0.74
200707,0.40,-0.58
200708,0.67,-0.33
200709,0.89,-0.70
200710,2.30,-0.20
200711,3.70,-0.60
200712,7.11,2.73
200801,6.08,1.72
200802,2.12,-1.25
200803,3.27,0.21
200804,1.74,-0.49
200805,1.49,-0.91
200806,2.60,0.53
200807,0.55,-0.43
200808,1.62,0.62
200809,1.25,-0.34
200810,0.73,-1.77
200811,4.26,-0.04
200812,6.05,1.67
200901,3.16,-1.20
200902,2.26,-1.11
200903,4.38,1.32
200904,1.86,-0.37
200905,2.30,-0.10
200906,1.60,-0.47
200907,1.34,0.36
200908,1.44,0.44
200909,0.45,-1.14
200910,3.94,1.44
200911,2.33,-1.97
200912,2.59,-1.79
201001,3.37,-0.99
201002,1.84,-1.53
201003,2.49,-0.57
201004,3.23,1.00
201005,2.95,0.55
201006,5.34,3.27
201007,0.60,-0.38
201008,0.48,-0.52
201009,1.73,0.14
201010,3.38,0.88
201011,5.44,1.14
201012,5.35,0.97
201101,5.60,1.24
201102,2.27,-1.10
201103,5.43,2.37
201104,4.50,2.27
201105,3.95,1.55
201106,2.01,-0.06
201107,0.66,-0.32
201108,0.03,-0.97
201109,0.69,-0.90
201110,1.89,-0.61
201111,4.19,-0.11
201112,2.41,-1.97
201201,4.94,0.58
201202,3.11,-0.26
201203,8.23,5.17
201204,3.58,1.35
201205,2.67,0.27
201206,5.96,3.89
201207,2.33,1.35
201208,0.24,-0.76
201209,0.02,-1.57
201210,3.62,1.12
201211,5.50,1.20
201212,5.32,0.94
201301,3.28,-1.08
201302,1.64,-1.73
201303,2.28,-0.78
201304,2.71,0.48
201305,2.06,-0.34
201306,3.47,1.40
201307,0.27,-0.71
201308,2.01,1.01
201309,3.43,1.84
201310,0.84,-1.66
201311,3.64,-0.66
201312,2.13,-2.25
201401,2.84,-1.52
201402,4.36,0.99
201403,6.41,3.35
201404,3.41,1.18
201405,1.49,-0.91
201406,3.76,1.69
201407,0.58,-0.40
201408,0.99,-0.01
201409,0.96,-0.63
201410,2.39,-0.11
201411,4.71,0.41
201412,4.42,0.04
201501,4.37,0.01
201502,2.60,-0.77
201503,4.20,1.14
201504,1.54,-0.69
201505,1.44,-0.96
201506,0.82,-1.25
201507,0.63,-0.35
201508,0.45,-0.55
201509,0.62,-0.97
201510,1.67,-0.83
201511,3.20,-1.10
201512,7.52,3.14
201601,4.46,0.10
201602,2.93,-0.44
201603,5.99,2.93
201604,1.28,-0.95
201605,2.29,-0.11
201606,1.05,-1.02
201607,1.12,0.14
201608,0.43,-0.57
201609,1.44,-0.15
201610,9.21,6.71
201611,3.28,-1.02
201612,3.82,-0.56
201701,2.72,-1.64
201702,7.86,4.49
201703,6.67,3.61
201704,3.83,1.60
201705,2.74,0.34
201706,1.71,-0.36
201707,0.01,-0.97
201708,0.09,-0.91
201709,1.89,0.30
201710,2.91,0.41
201711,5.44,1.14
201712,4.54,0.16
201801,4.93,0.57
201802,4.09,0.72
201803,1.73,-1.33
201804,3.64,1.41
201805,1.37,-1.03
201806,1.52,-0.55
201807,0.08,-0.90
201808,0.66,-0.34
201809,0.36,-1.23
201810,2.31,-0.19
201811,4.59,0.29
201812,4.45,0.07
201901,3.04,-1.32
201902,5.02,1.65
201903,1.05,-2.01
201904,3.19,0.96
201905,2.84,0.44
201906,1.55,-0.52
201907,0.47,-0.51
201908,1.35,0.35
201909,2.17,0.58
201910,2.37,-0.13
201911,1.23,-3.07
201912,3.29,-1.09
202001,7.73,3.37
