Winnebago County, Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.34,-0.11
200002,1.97,0.75
200003,0.83,-1.36
200004,4.12,0.97
200005,5.99,2.34
200006,8.59,4.32
200007,4.38,0.53
200008,2.99,-0.77
200009,6.72,2.98
200010,0.95,-1.61
200011,1.90,-0.39
200012,2.66,0.99
200101,1.96,0.51
200102,3.10,1.88
200103,1.06,-1.13
200104,3.15,0.00
200105,4.34,0.69
200106,3.88,-0.39
200107,1.43,-2.42
200108,3.96,0.20
200109,7.15,3.41
200110,4.49,1.93
200111,2.16,-0.13
200112,1.27,-0.40
200201,0.61,-0.84
200202,1.89,0.67
200203,1.70,-0.49
200204,3.94,0.79
200205,2.85,-0.80
200206,5.43,1.16
200207,1.41,-2.44
200208,6.18,2.42
200209,2.88,-0.86
200210,3.51,0.95
200211,0.50,-1.79
200212,0.86,-0.81
200301,0.31,-1.14
200302,0.32,-0.90
200303,1.49,-0.70
200304,1.98,-1.17
200305,5.89,2.24
200306,2.24,-2.03
200307,4.37,0.52
200308,0.97,-2.79
200309,2.50,-1.24
200310,1.47,-1.09
200311,4.39,2.10
200312,2.74,1.07
200401,0.65,-0.80
200402,1.03,-0.19
200403,4.11,1.92
200404,2.02,-1.13
200405,8.39,4.74
200406,4.87,0.60
200407,3.04,-0.81
200408,3.90,0.14
200409,0.37,-3.37
200410,2.87,0.31
200411,2.68,0.39
200412,0.97,-0.70
200501,3.51,2.06
200502,1.60,0.38
200503,0.62,-1.57
200504,1.67,-1.48
200505,2.23,-1.42
200506,2.51,-1.76
200507,2.49,-1.36
200508,4.25,0.49
200509,3.09,-0.65
200510,0.34,-2.22
200511,3.46,1.17
200512,1.15,-0.52
200601,2.92,1.47
200602,0.76,-0.46
200603,3.95,1.76
200604,3.87,0.72
200605,3.57,-0.08
200606,4.97,0.70
200607,3.68,-0.17
200608,4.28,0.52
200609,3.69,-0.05
200610,3.70,1.14
200611,2.68,0.39
200612,2.45,0.78
200701,0.79,-0.66
200702,1.63,0.41
200703,2.56,0.37
200704,4.24,1.09
200705,1.26,-2.39
200706,4.71,0.44
200707,3.60,-0.25
200708,11.98,8.22
200709,1.82,-1.92
200710,2.14,-0.42
200711,0.27,-2.02
200712,3.70,2.03
200801,1.46,0.01
200802,3.57,2.35
200803,2.86,0.67
200804,5.40,2.25
200805,3.28,-0.37
200806,7.35,3.08
200807,5.93,2.08
200808,1.76,-2.00
200809,5.78,2.04
200810,2.10,-0.46
200811,1.17,-1.12
200812,4.27,2.60
200901,0.95,-0.50
200902,2.16,0.94
200903,5.50,3.31
200904,4.58,1.43
200905,3.29,-0.36
200906,5.49,1.22
200907,3.41,-0.44
200908,6.22,2.46
200909,1.75,-1.99
200910,5.75,3.19
200911,1.74,-0.55
200912,3.51,1.84
201001,0.87,-0.58
201002,0.76,-0.46
201003,1.70,-0.49
201004,3.01,-0.14
201005,4.87,1.22
201006,6.90,2.63
201007,8.10,4.25
201008,2.74,-1.02
201009,2.17,-1.57
201010,2.48,-0.08
201011,1.34,-0.95
201012,1.65,-0.02
201101,0.83,-0.62
201102,2.06,0.84
201103,2.89,0.70
201104,3.82,0.67
201105,3.75,0.10
201106,3.48,-0.79
201107,5.11,1.26
201108,4.04,0.28
201109,4.38,0.64
201110,1.51,-1.05
201111,3.84,1.55
201112,2.07,0.40
201201,1.20,-0.25
201202,1.35,0.13
201203,2.15,-0.04
201204,3.48,0.33
201205,2.19,-1.46
201206,1.25,-3.02
201207,2.43,-1.42
201208,2.61,-1.15
201209,2.16,-1.58
201210,2.98,0.42
201211,0.84,-1.45
201212,2.49,0.82
201301,2.90,1.45
201302,2.53,1.31
201303,2.13,-0.06
201304,8.16,5.01
201305,3.87,0.22
201306,8.20,3.93
201307,1.95,-1.90
201308,2.01,-1.75
201309,1.81,-1.93
201310,2.66,0.10
201311,2.63,0.34
201312,1.38,-0.29
201401,1.63,0.18
201402,1.41,0.19
201403,1.12,-1.07
201404,3.25,0.10
201405,3.92,0.27
201406,8.22,3.95
201407,2.76,-1.09
201408,5.00,1.24
201409,2.22,-1.52
201410,3.21,0.65
201411,1.59,-0.70
201412,0.87,-0.80
201501,0.81,-0.64
201502,0.88,-0.34
201503,1.07,-1.12
201504,2.64,-0.51
201505,5.13,1.48
201506,6.97,2.70
201507,3.13,-0.72
201508,3.87,0.11
201509,4.01,0.27
201510,1.78,-0.78
201511,4.91,2.62
201512,4.90,3.23
201601,0.70,-0.75
201602,0.58,-0.64
201603,3.37,1.18
201604,2.47,-0.68
201605,3.31,-0.34
201606,3.57,-0.70
201607,6.48,2.63
201608,5.83,2.07
201609,2.89,-0.85
201610,2.88,0.32
201611,2.69,0.40
201612,1.87,0.20
201701,2.18,0.73
201702,1.37,0.15
201703,3.26,1.07
201704,5.92,2.77
201705,5.69,2.04
201706,6.51,2.24
201707,7.95,4.10
201708,2.33,-1.43
201709,0.34,-3.40
201710,5.96,3.40
201711,1.09,-1.20
201712,0.49,-1.18
201801,1.71,0.26
201802,3.25,2.03
201803,1.03,-1.16
201804,1.48,-1.67
201805,4.72,1.07
201806,9.97,5.70
201807,2.87,-0.98
201808,6.16,2.40
201809,6.60,2.86
201810,5.68,3.12
201811,1.89,-0.40
201812,2.32,0.65
201901,2.39,0.94
201902,3.54,2.32
201903,1.80,-0.39
201904,3.30,0.15
201905,8.09,4.44
201906,3.56,-0.71
201907,3.33,-0.52
201908,5.09,1.33
201909,9.47,5.73
201910,4.94,2.38
201911,1.87,-0.42
201912,1.75,0.08
202001,2.18,0.73
