Finney County, Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.44,0.04
200002,0.28,-0.31
200003,4.41,3.34
200004,1.99,0.29
200005,1.96,-0.92
200006,0.90,-2.06
200007,4.29,1.53
200008,1.12,-1.27
200009,0.13,-1.47
200010,2.92,1.72
200011,0.58,-0.16
200012,0.15,-0.32
200101,1.09,0.69
200102,0.65,0.06
200103,0.91,-0.16
200104,1.12,-0.58
200105,6.72,3.84
200106,2.34,-0.62
200107,2.80,0.04
200108,1.57,-0.82
200109,1.26,-0.34
200110,0.01,-1.19
200111,0.14,-0.60
200112,0.07,-0.40
200201,0.35,-0.05
200202,0.23,-0.36
200203,0.23,-0.84
200204,1.41,-0.29
200205,0.83,-2.05
200206,1.94,-1.02
200207,1.51,-1.25
200208,2.98,0.59
200209,1.15,-0.45
200210,2.24,1.04
200211,0.12,-0.62
200212,0.37,-0.10
200301,0.04,-0.36
200302,0.96,0.37
200303,1.43,0.36
200304,1.56,-0.14
200305,3.62,0.74
200306,3.84,0.88
200307,0.74,-2.02
200308,2.96,0.57
200309,1.07,-0.53
200310,0.02,-1.18
200311,0.07,-0.67
200312,0.35,-0.12
200401,0.09,-0.31
200402,0.61,0.02
200403,1.32,0.25
200404,2.53,0.83
200405,0.43,-2.45
200406,6.05,3.09
200407,4.18,1.42
200408,3.15,0.76
200409,3.73,2.13
200410,1.02,-0.18
200411,1.72,0.98
200412,0.04,-0.43
200501,0.75,0.35
200502,1.10,0.51
200503,0.58,-0.49
200504,1.25,-0.45
200505,2.80,-0.08
200506,2.73,-0.23
200507,3.33,0.57
200508,2.46,0.07
200509,1.66,0.06
200510,2.80,1.60
200511,0.11,-0.63
200512,0.21,-0.26
200601,0.21,-0.19
200602,0.00,-0.59
200603,0.98,-0.09
200604,0.68,-1.02
200605,1.91,-0.97
200606,1.97,-0.99
200607,3.09,0.33
200608,4.12,1.73
200609,1.21,-0.39
200610,2.60,1.40
200611,0.04,-0.70
200612,3.11,2.64
200701,0.60,0.20
200702,0.59,0.00
200703,2.55,1.48
200704,2.73,1.03
200705,2.06,-0.82
200706,2.19,-0.77
200707,1.75,-1.01
200708,2.30,-0.09
200709,2.32,0.72
200710,0.35,-0.85
200711,0.08,-0.66
200712,1.44,0.97
200801,0.20,-0.20
200802,0.47,-0.12
200803,0.24,-0.83
200804,1.59,-0.11
200805,2.12,-0.76
200806,2.25,-0.71
200807,1.58,-1.18
200808,2.28,-0.11
200809,0.88,-0.72
200810,5.40,4.20
200811,0.44,-0.30
200812,0.06,-0.41
200901,0.05,-0.35
200902,0.11,-0.48
200903,0.65,-0.42
200904,4.32,2.62
200905,1.80,-1.08
200906,4.56,1.60
200907,2.91,0.15
200908,2.44,0.05
200909,2.14,0.54
200910,3.41,2.21
200911,0.57,-0.17
200912,0.20,-0.27
201001,0.53,0.13
201002,0.49,-0.10
201003,1.84,0.77
201004,1.87,0.17
201005,2.74,-0.14
201006,1.51,-1.45
201007,2.23,-0.53
201008,2.52,0.13
201009,0.27,-1.33
201010,0.60,-0.60
201011,0.27,-0.47
201012,0.28,-0.19
201101,0.23,-0.17
201102,0.33,-0.26
201103,0.66,-0.41
201104,1.37,-0.33
201105,0.77,-2.11
201106,1.51,-1.45
201107,0.84,-1.92
201108,1.79,-0.60
201109,0.72,-0.88
201110,0.82,-0.38
201111,0.83,0.09
201112,1.79,1.32
201201,0.01,-0.39
201202,0.59,0.00
201203,1.93,0.86
201204,2.43,0.73
201205,0.23,-2.65
201206,1.36,-1.60
201207,2.15,-0.61
201208,1.75,-0.64
201209,1.53,-0.07
201210,1.03,-0.17
201211,0.00,-0.74
201212,0.78,0.31
201301,0.42,0.02
201302,0.69,0.10
201303,0.20,-0.87
201304,0.43,-1.27
201305,1.20,-1.68
201306,2.96,0.00
201307,2.04,-0.72
201308,5.20,2.81
201309,2.54,0.94
201310,1.14,-0.06
201311,0.96,0.22
201312,0.02,-0.45
201401,0.15,-0.25
201402,0.42,-0.17
201403,0.27,-0.80
201404,0.67,-1.03
201405,0.47,-2.41
201406,8.68,5.72
201407,4.02,1.26
201408,2.42,0.03
201409,2.42,0.82
201410,1.71,0.51
201411,0.05,-0.69
201412,0.59,0.12
201501,0.34,-0.06
201502,0.80,0.21
201503,0.28,-0.79
201504,0.80,-0.90
201505,8.31,5.43
201506,1.58,-1.38
201507,5.84,3.08
201508,2.47,0.08
201509,0.23,-1.37
201510,3.53,2.33
201511,1.02,0.28
201512,1.23,0.76
201601,0.07,-0.33
201602,0.29,-0.30
201603,0.07,-1.00
201604,4.10,2.40
201605,1.09,-1.79
201606,3.64,0.68
201607,5.86,3.10
201608,2.11,-0.28
201609,0.49,-1.11
201610,0.01,-1.19
201611,0.11,-0.63
201612,0.33,-0.14
201701,1.43,1.03
201702,0.02,-0.57
201703,2.56,1.49
201704,3.87,2.17
201705,1.82,-1.06
201706,1.85,-1.11
201707,2.81,0.05
201708,2.16,-0.23
201709,2.73,1.13
201710,1.99,0.79
201711,0.01,-0.73
201712,0.00,-0.47
201801,0.04,-0.36
201802,0.02,-0.57
201803,0.42,-0.65
201804,0.79,-0.91
201805,2.06,-0.82
201806,4.06,1.10
201807,7.33,4.57
201808,2.39,0.00
201809,2.00,0.40
201810,3.45,2.25
201811,0.33,-0.41
201812,1.67,1.20
201901,0.65,0.25
201902,0.95,0.36
201903,1.71,0.64
201904,0.12,-1.58
201905,6.49,3.61
201906,1.47,-1.49
201907,1.40,-1.36
201908,1.79,-0.60
201909,0.20,-1.40
201910,0.59,-0.61
201911,0.25,-0.49
201912,1.21,0.74
202001,0.89,0.49
