Saline County, Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.55,-0.12
200002,2.02,1.09
200003,5.22,3.43
200004,1.92,-0.69
200005,2.60,-1.65
200006,4.31,-0.03
200007,3.79,0.36
200008,0.23,-3.01
200009,0.73,-2.42
200010,3.71,1.53
200011,0.71,-0.66
200012,0.51,-0.34
200101,1.16,0.49
200102,3.42,2.49
200103,2.09,0.30
200104,2.19,-0.42
200105,4.09,-0.16
200106,3.69,-0.65
200107,2.58,-0.85
200108,3.45,0.21
200109,3.37,0.22
200110,1.43,-0.75
200111,0.22,-1.15
200112,0.20,-0.65
200201,0.86,0.19
200202,0.34,-0.59
200203,0.85,-0.94
200204,2.45,-0.16
200205,3.19,-1.06
200206,2.46,-1.88
200207,1.02,-2.41
200208,2.62,-0.62
200209,1.04,-2.11
200210,5.05,2.87
200211,0.37,-1.00
200212,0.23,-0.62
200301,0.14,-0.53
200302,1.19,0.26
200303,2.79,1.00
200304,3.80,1.19
200305,3.39,-0.86
200306,4.27,-0.07
200307,1.03,-2.40
200308,4.26,1.02
200309,3.39,0.24
200310,1.28,-0.90
200311,0.64,-0.73
200312,0.93,0.08
200401,0.66,-0.01
200402,1.11,0.18
200403,4.12,2.33
200404,2.45,-0.16
200405,3.59,-0.66
200406,3.34,-1.00
200407,6.32,2.89
200408,1.05,-2.19
200409,2.14,-1.01
200410,1.64,-0.54
200411,1.55,0.18
200412,0.27,-0.58
200501,1.96,1.29
200502,2.32,1.39
200503,2.06,0.27
200504,2.68,0.07
200505,2.56,-1.69
200506,6.48,2.14
200507,2.51,-0.92
200508,5.59,2.35
200509,1.17,-1.98
200510,1.66,-0.52
200511,1.27,-0.10
200512,0.47,-0.38
200601,0.11,-0.56
200602,0.00,-0.93
200603,2.24,0.45
200604,3.01,0.40
200605,2.61,-1.64
200606,4.43,0.09
200607,1.18,-2.25
200608,6.39,3.15
200609,2.26,-0.89
200610,1.85,-0.33
200611,0.05,-1.32
200612,2.58,1.73
200701,0.91,0.24
200702,1.00,0.07
200703,3.89,2.10
200704,2.82,0.21
200705,13.79,9.54
200706,2.40,-1.94
200707,3.67,0.24
200708,1.76,-1.48
200709,3.01,-0.14
200710,4.29,2.11
200711,0.16,-1.21
200712,3.27,2.42
200801,0.33,-0.34
200802,1.05,0.12
200803,1.27,-0.52
200804,3.50,0.89
200805,3.99,-0.26
200806,3.95,-0.39
200807,3.16,-0.27
200808,4.05,0.81
200809,5.39,2.24
200810,3.87,1.69
200811,0.76,-0.61
200812,0.35,-0.50
200901,0.03,-0.64
200902,0.34,-0.59
200903,1.15,-0.64
200904,4.55,1.94
200905,1.26,-2.99
200906,4.46,0.12
200907,4.84,1.41
200908,5.11,1.87
200909,3.79,0.64
200910,3.65,1.47
200911,0.79,-0.58
200912,0.91,0.06
201001,0.27,-0.40
201002,0.44,-0.49
201003,2.39,0.60
201004,2.47,-0.14
201005,3.61,-0.64
201006,4.18,-0.16
201007,4.77,1.34
201008,2.34,-0.90
201009,3.54,0.39
201010,0.32,-1.86
201011,3.11,1.74
201012,0.05,-0.80
201101,0.43,-0.24
201102,0.79,-0.14
201103,1.22,-0.57
201104,1.23,-1.38
201105,4.26,0.01
201106,2.88,-1.46
201107,2.54,-0.89
201108,3.30,0.06
201109,1.73,-1.42
201110,1.31,-0.87
201111,2.71,1.34
201112,2.49,1.64
201201,0.16,-0.51
201202,1.92,0.99
201203,1.85,0.06
201204,3.14,0.53
201205,0.80,-3.45
201206,2.66,-1.68
201207,1.29,-2.14
201208,3.69,0.45
201209,2.11,-1.04
201210,1.08,-1.10
201211,0.51,-0.86
201212,0.25,-0.60
201301,1.11,0.44
201302,2.24,1.31
201303,1.03,-0.76
201304,3.10,0.49
201305,7.22,2.97
201306,3.71,-0.63
201307,8.16,4.73
201308,5.21,1.97
201309,1.84,-1.31
201310,1.40,-0.78
201311,0.53,-0.84
201312,0.85,0.00
201401,0.35,-0.32
201402,1.04,0.11
201403,0.25,-1.54
201404,1.46,-1.15
201405,3.36,-0.89
201406,9.37,5.03
201407,0.90,-2.53
201408,3.55,0.31
201409,4.31,1.16
201410,2.07,-0.11
201411,0.11,-1.26
201412,1.77,0.92
201501,0.70,0.03
201502,0.51,-0.42
201503,0.20,-1.59
201504,2.45,-0.16
201505,8.28,4.03
201506,3.90,-0.44
201507,3.21,-0.22
201508,3.59,0.35
201509,1.85,-1.30
201510,0.78,-1.40
201511,2.64,1.27
201512,3.75,2.90
201601,0.68,0.01
201602,0.67,-0.26
201603,0.67,-1.12
201604,4.58,1.97
201605,6.19,1.94
201606,1.15,-3.19
201607,3.98,0.55
201608,7.15,3.91
201609,2.19,-0.96
201610,2.09,-0.09
201611,0.62,-0.75
201612,1.00,0.15
201701,1.71,1.04
201702,0.10,-0.83
201703,3.81,2.02
201704,4.08,1.47
201705,4.49,0.24
201706,2.34,-2.00
201707,1.35,-2.08
201708,1.65,-1.59
201709,2.07,-1.08
201710,4.14,1.96
201711,0.10,-1.27
201712,0.09,-0.76
201801,0.37,-0.30
201802,0.27,-0.66
201803,0.79,-1.00
201804,1.21,-1.40
201805,3.04,-1.21
201806,3.01,-1.33
201807,3.82,0.39
201808,4.84,1.60
201809,4.73,1.58
201810,6.71,4.53
201811,1.26,-0.11
201812,2.26,1.41
201901,1.26,0.59
201902,0.87,-0.06
201903,1.56,-0.23
201904,2.19,-0.42
201905,10.48,6.23
201906,6.42,2.08
201907,1.91,-1.52
201908,8.06,4.82
201909,1.07,-2.08
201910,2.02,-0.16
201911,0.45,-0.92
201912,1.42,0.57
202001,1.25,0.58
