Sedgwick County, Kansas, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,0.72,-0.03
200002,2.62,1.56
200003,6.07,4.09
200004,1.38,-1.48
200005,3.15,-1.15
200006,6.77,2.27
200007,4.39,0.87
200008,0.06,-3.14
200009,0.81,-2.42
200010,5.66,3.17
200011,1.41,-0.29
200012,0.54,-0.53
200101,1.19,0.44
200102,3.95,2.89
200103,2.10,0.12
200104,1.60,-1.26
200105,4.52,0.22
200106,4.23,-0.27
200107,1.28,-2.24
200108,2.24,-0.96
200109,3.51,0.28
200110,1.14,-1.35
200111,0.57,-1.13
200112,0.14,-0.93
200201,1.23,0.48
200202,0.67,-0.39
200203,0.54,-1.44
200204,3.11,0.25
200205,5.60,1.30
200206,5.46,0.96
200207,2.30,-1.22
200208,4.23,1.03
200209,1.32,-1.91
200210,8.25,5.76
200211,0.29,-1.41
200212,1.03,-0.04
200301,0.14,-0.61
200302,1.76,0.70
200303,3.62,1.64
200304,4.33,1.47
200305,4.21,-0.09
200306,3.43,-1.07
200307,1.04,-2.48
200308,5.65,2.45
200309,4.38,1.15
200310,3.55,1.06
200311,0.16,-1.54
200312,1.21,0.14
200401,1.87,1.12
200402,1.11,0.05
200403,4.33,2.35
200404,3.24,0.38
200405,3.59,-0.71
200406,7.18,2.68
200407,7.63,4.11
200408,3.05,-0.15
200409,0.95,-2.28
200410,3.60,1.11
200411,3.34,1.64
200412,0.31,-0.76
200501,2.81,2.06
200502,1.75,0.69
200503,2.08,0.10
200504,1.25,-1.61
200505,3.02,-1.28
200506,9.13,4.63
200507,3.72,0.20
200508,9.06,5.86
200509,0.69,-2.54
200510,2.24,-0.25
200511,0.19,-1.51
200512,0.40,-0.67
200601,0.20,-0.55
200602,0.00,-1.06
200603,2.40,0.42
200604,2.95,0.09
200605,4.39,0.09
200606,4.69,0.19
200607,2.21,-1.31
200608,5.71,2.51
200609,0.96,-2.27
200610,1.37,-1.12
200611,0.49,-1.21
200612,1.91,0.84
200701,1.33,0.58
200702,0.86,-0.20
200703,5.27,3.29
200704,3.30,0.44
200705,6.26,1.96
200706,9.92,5.42
200707,3.97,0.45
200708,2.17,-1.03
200709,0.65,-2.58
200710,4.66,2.17
200711,0.12,-1.58
200712,3.14,2.07
200801,0.43,-0.32
200802,2.09,1.03
200803,2.74,0.76
200804,2.70,-0.16
200805,9.82,5.52
200806,7.57,3.07
200807,3.53,0.01
200808,2.34,-0.86
200809,7.80,4.57
200810,4.46,1.97
200811,1.56,-0.14
200812,0.95,-0.12
200901,0.07,-0.68
200902,0.72,-0.34
200903,2.54,0.56
200904,7.79,4.93
200905,3.31,-0.99
200906,4.59,0.09
200907,4.15,0.63
200908,4.26,1.06
200909,5.21,1.98
200910,4.05,1.56
200911,1.05,-0.65
200912,0.54,-0.53
201001,0.61,-0.14
201002,1.14,0.08
201003,1.92,-0.06
201004,1.66,-1.20
201005,5.57,1.27
201006,5.13,0.63
201007,5.18,1.66
201008,4.19,0.99
201009,2.35,-0.88
201010,0.77,-1.72
201011,1.71,0.01
201012,0.09,-0.98
201101,0.34,-0.41
201102,1.30,0.24
201103,1.07,-0.91
201104,1.27,-1.59
201105,2.51,-1.79
201106,3.00,-1.50
201107,1.67,-1.85
201108,2.98,-0.22
201109,1.29,-1.94
201110,1.88,-0.61
201111,3.42,1.72
201112,3.62,2.55
201201,0.05,-0.70
201202,3.46,2.40
201203,3.62,1.64
201204,3.65,0.79
201205,2.80,-1.50
201206,3.08,-1.42
201207,0.46,-3.06
201208,2.89,-0.31
201209,2.25,-0.98
201210,0.88,-1.61
201211,0.89,-0.81
201212,0.24,-0.83
201301,0.53,-0.22
201302,2.43,1.37
201303,1.79,-0.19
201304,3.79,0.93
201305,5.50,1.20
201306,2.83,-1.67
201307,7.58,4.06
201308,9.18,5.98
201309,2.11,-1.12
201310,3.72,1.23
201311,0.94,-0.76
201312,0.58,-0.49
201401,0.16,-0.59
201402,0.81,-0.25
201403,0.61,-1.37
201404,0.79,-2.07
201405,3.19,-1.11
201406,8.92,4.42
201407,3.10,-0.42
201408,2.88,-0.32
201409,1.53,-1.70
201410,2.18,-0.31
201411,0.48,-1.22
201412,1.31,0.24
201501,0.46,-0.29
201502,0.74,-0.32
201503,0.48,-1.50
201504,3.05,0.19
201505,10.89,6.59
201506,3.10,-1.40
201507,6.50,2.98
201508,4.55,1.35
201509,2.02,-1.21
201510,1.41,-1.08
201511,4.52,2.82
201512,2.76,1.69
201601,0.29,-0.46
201602,0.53,-0.53
201603,1.35,-0.63
201604,5.02,2.16
201605,6.71,2.41
201606,2.84,-1.66
201607,6.58,3.06
201608,8.13,4.93
201609,9.43,6.20
201610,1.83,-0.66
201611,0.28,-1.42
201612,0.64,-0.43
201701,2.44,1.69
201702,0.84,-0.22
201703,3.33,1.35
201704,5.92,3.06
201705,4.70,0.40
201706,4.25,-0.25
201707,1.44,-2.08
201708,2.61,-0.59
201709,2.27,-0.96
201710,3.44,0.95
201711,0.23,-1.47
201712,0.04,-1.03
201801,0.24,-0.51
201802,0.42,-0.64
201803,1.12,-0.86
201804,1.59,-1.27
201805,4.46,0.16
201806,3.37,-1.13
201807,5.65,2.13
201808,2.73,-0.47
201809,3.59,0.36
201810,7.33,4.84
201811,0.79,-0.91
201812,2.06,0.99
201901,1.19,0.44
201902,0.83,-0.23
201903,2.31,0.33
201904,2.66,-0.20
201905,14.69,10.39
201906,6.26,1.76
201907,2.13,-1.39
201908,7.63,4.43
201909,1.94,-1.29
201910,3.08,0.59
201911,0.72,-0.98
201912,1.53,0.46
202001,1.80,1.05
