Rapides Parish, Louisiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,1.23,-4.14
200002,0.57,-4.26
200003,5.64,0.50
200004,5.67,0.54
200005,5.59,0.07
200006,4.01,-0.14
200007,3.35,-1.62
200008,1.23,-2.60
200009,2.37,-1.33
200010,1.58,-2.10
200011,11.17,6.39
200012,3.49,-2.53
200101,6.57,1.20
200102,3.23,-1.60
200103,9.34,4.20
200104,1.83,-3.30
200105,2.22,-3.30
200106,11.35,7.20
200107,2.08,-2.89
200108,5.31,1.48
200109,6.46,2.76
200110,6.30,2.62
200111,10.12,5.34
200112,5.48,-0.54
200201,3.26,-2.11
200202,4.44,-0.39
200203,6.06,0.92
200204,3.25,-1.88
200205,2.83,-2.69
200206,3.98,-0.17
200207,5.49,0.52
200208,3.03,-0.80
200209,4.95,1.25
200210,13.89,10.21
200211,7.79,3.01
200212,8.80,2.78
200301,1.88,-3.49
200302,6.66,1.83
200303,4.43,-0.71
200304,0.97,-4.16
200305,1.92,-3.60
200306,8.02,3.87
200307,4.75,-0.22
200308,3.22,-0.61
200309,4.61,0.91
200310,1.48,-2.20
200311,8.41,3.63
200312,4.16,-1.86
200401,6.93,1.56
200402,8.20,3.37
200403,2.21,-2.93
200404,3.71,-1.42
200405,14.12,8.60
200406,11.35,7.20
200407,4.14,-0.83
200408,2.39,-1.44
200409,1.49,-2.21
200410,5.65,1.97
200411,11.30,6.52
200412,4.98,-1.04
200501,3.80,-1.57
200502,7.32,2.49
200503,3.52,-1.62
200504,2.14,-2.99
200505,1.88,-3.64
200506,2.06,-2.09
200507,5.85,0.88
200508,3.88,0.05
200509,6.83,3.13
200510,0.08,-3.60
200511,4.02,-0.76
200512,4.81,-1.21
200601,4.41,-0.96
200602,5.91,1.08
200603,3.31,-1.83
200604,5.59,0.46
200605,2.01,-3.51
200606,3.27,-0.88
200607,5.48,0.51
200608,3.92,0.09
200609,3.28,-0.42
200610,13.94,10.26
200611,2.12,-2.66
200612,6.76,0.74
200701,7.35,1.98
200702,2.65,-2.18
200703,1.30,-3.84
200704,4.94,-0.19
200705,3.62,-1.90
200706,4.74,0.59
200707,9.09,4.12
200708,2.81,-1.02
200709,6.67,2.97
200710,2.17,-1.51
200711,4.56,-0.22
200712,3.70,-2.32
200801,5.11,-0.26
200802,7.95,3.12
200803,3.30,-1.84
200804,3.97,-1.16
200805,4.02,-1.50
200806,2.97,-1.18
200807,0.90,-4.07
200808,5.08,1.25
200809,11.48,7.78
200810,1.27,-2.41
200811,5.46,0.68
200812,7.43,1.41
200901,1.52,-3.85
200902,2.95,-1.88
200903,7.15,2.01
200904,5.73,0.60
200905,3.35,-2.17
200906,1.64,-2.51
200907,6.97,2.00
200908,1.49,-2.34
200909,3.90,0.20
200910,11.63,7.95
200911,2.33,-2.45
200912,9.11,3.09
201001,3.58,-1.79
201002,7.14,2.31
201003,2.44,-2.70
201004,0.76,-4.37
201005,2.63,-2.89
201006,4.38,0.23
201007,4.73,-0.24
201008,5.15,1.32
201009,0.90,-2.80
201010,1.38,-2.30
201011,5.25,0.47
201012,2.11,-3.91
201101,4.33,-1.04
201102,1.98,-2.85
201103,5.31,0.17
201104,1.17,-3.96
201105,2.68,-2.84
201106,4.57,0.42
201107,3.23,-1.74
201108,1.17,-2.66
201109,8.14,4.44
201110,0.74,-2.94
201111,3.90,-0.88
201112,6.84,0.82
201201,6.12,0.75
201202,14.00,9.17
201203,7.76,2.62
201204,4.82,-0.31
201205,1.23,-4.29
201206,3.68,-0.47
201207,4.97,0.00
201208,6.39,2.56
201209,3.98,0.28
201210,1.23,-2.45
201211,0.71,-4.07
201212,7.15,1.13
201301,12.60,7.23
201302,6.95,2.12
201303,1.41,-3.73
201304,4.70,-0.43
201305,5.71,0.19
201306,3.88,-0.27
201307,2.84,-2.13
201308,3.04,-0.79
201309,6.26,2.56
201310,4.30,0.62
201311,5.25,0.47
201312,2.82,-3.20
201401,2.17,-3.20
201402,5.85,1.02
201403,4.40,-0.74
201404,3.58,-1.55
201405,5.18,-0.34
201406,5.99,1.84
201407,5.46,0.49
201408,8.03,4.20
201409,2.83,-0.87
201410,3.67,-0.01
201411,4.09,-0.69
201412,3.64,-2.38
201501,5.39,0.02
201502,1.90,-2.93
201503,6.68,1.54
201504,7.93,2.80
201505,8.48,2.96
201506,5.74,1.59
201507,2.79,-2.18
201508,2.18,-1.65
201509,2.22,-1.48
201510,10.13,6.45
201511,9.50,4.72
201512,6.58,0.56
201601,3.84,-1.53
201602,2.44,-2.39
201603,8.95,3.81
201604,4.09,-1.04
201605,4.11,-1.41
201606,6.26,2.11
201607,5.41,0.44
201608,12.75,8.92
201609,3.36,-0.34
201610,0.11,-3.57
201611,3.42,-1.36
201612,8.36,2.34
201701,7.01,1.64
201702,2.04,-2.79
201703,2.71,-2.43
201704,10.34,5.21
201705,6.52,1.00
201706,7.86,3.71
201707,3.69,-1.28
201708,12.25,8.42
201709,0.45,-3.25
201710,0.98,-2.70
201711,1.89,-2.89
201712,3.52,-2.50
201801,5.47,0.10
201802,11.96,7.13
201803,7.04,1.90
201804,4.41,-0.72
201805,1.97,-3.55
201806,2.93,-1.22
201807,5.39,0.42
201808,2.66,-1.17
201809,5.70,2.00
201810,4.39,0.71
201811,5.51,0.73
201812,8.54,2.52
201901,8.09,2.72
201902,3.63,-1.20
201903,0.84,-4.30
201904,9.16,4.03
201905,8.95,3.43
201906,4.61,0.46
201907,10.12,5.15
201908,2.14,-1.69
201909,1.76,-1.94
201910,6.28,2.60
201911,2.32,-2.46
201912,3.29,-2.73
202001,8.53,3.16
