St. Tammany Parish, Louisiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.21,-1.96
200002,0.99,-3.97
200003,2.69,-3.09
200004,2.39,-2.68
200005,0.48,-4.87
200006,4.58,-0.52
200007,3.22,-3.72
200008,3.56,-2.25
200009,5.31,0.55
200010,0.75,-2.47
200011,12.13,8.10
200012,3.52,-1.79
200101,4.19,-0.98
200102,2.55,-2.41
200103,10.23,4.45
200104,0.61,-4.46
200105,1.40,-3.95
200106,20.54,15.44
200107,8.44,1.50
200108,7.47,1.66
200109,4.11,-0.65
200110,4.34,1.12
200111,3.22,-0.81
200112,3.67,-1.64
200201,4.16,-1.01
200202,2.43,-2.53
200203,6.66,0.88
200204,3.76,-1.31
200205,1.28,-4.07
200206,5.06,-0.04
200207,5.29,-1.65
200208,7.41,1.60
200209,12.79,8.03
200210,11.59,8.37
200211,6.63,2.60
200212,6.67,1.36
200301,0.46,-4.71
200302,6.33,1.37
200303,3.95,-1.83
200304,6.40,1.33
200305,2.01,-3.34
200306,13.64,8.54
200307,13.03,6.09
200308,6.04,0.23
200309,3.14,-1.62
200310,2.27,-0.95
200311,3.61,-0.42
200312,2.60,-2.71
200401,3.42,-1.75
200402,7.96,3.00
200403,1.31,-4.47
200404,5.01,-0.06
200405,9.62,4.27
200406,10.99,5.89
200407,3.52,-3.42
200408,5.61,-0.20
200409,1.47,-3.29
200410,6.41,3.19
200411,7.48,3.45
200412,3.07,-2.24
200501,3.34,-1.83
200502,6.21,1.25
200503,3.06,-2.72
200504,7.78,2.71
200505,5.29,-0.06
200506,3.14,-1.96
200507,9.77,2.83
200508,8.72,2.91
200509,2.68,-2.08
200510,0.02,-3.20
200511,2.42,-1.61
200512,4.02,-1.29
200601,2.67,-2.50
200602,4.07,-0.89
200603,0.34,-5.44
200604,5.41,0.34
200605,0.47,-4.88
200606,0.91,-4.19
200607,6.02,-0.92
200608,6.69,0.88
200609,3.20,-1.56
200610,4.40,1.18
200611,4.77,0.74
200612,8.53,3.22
200701,5.33,0.16
200702,2.33,-2.63
200703,1.79,-3.99
200704,4.10,-0.97
200705,8.14,2.79
200706,4.88,-0.22
200707,6.60,-0.34
200708,3.82,-1.99
200709,5.14,0.38
200710,9.03,5.81
200711,1.29,-2.74
200712,4.28,-1.03
200801,7.42,2.25
200802,5.00,0.04
200803,3.32,-2.46
200804,5.42,0.35
200805,8.50,3.15
200806,3.37,-1.73
200807,4.14,-2.80
200808,8.86,3.05
200809,9.19,4.43
200810,1.10,-2.12
200811,1.99,-2.04
200812,4.06,-1.25
200901,2.28,-2.89
200902,2.55,-2.41
200903,8.10,2.32
200904,2.35,-2.72
200905,2.64,-2.71
200906,2.04,-3.06
200907,6.41,-0.53
200908,4.56,-1.25
200909,8.54,3.78
200910,7.21,3.99
200911,1.27,-2.76
200912,17.87,12.56
201001,2.82,-2.35
201002,6.80,1.84
201003,3.41,-2.37
201004,1.85,-3.22
201005,4.64,-0.71
201006,6.92,1.82
201007,5.57,-1.37
201008,9.94,4.13
201009,1.25,-3.51
201010,0.79,-2.43
201011,3.63,-0.40
201012,1.61,-3.70
201101,3.97,-1.20
201102,2.50,-2.46
201103,5.59,-0.19
201104,1.00,-4.07
201105,1.42,-3.93
201106,3.60,-1.50
201107,10.07,3.13
201108,3.30,-2.51
201109,12.41,7.65
201110,0.11,-3.11
201111,1.95,-2.08
201112,3.16,-2.15
201201,2.43,-2.74
201202,7.11,2.15
201203,7.93,2.15
201204,4.75,-0.32
201205,2.63,-2.72
201206,6.46,1.36
201207,8.82,1.88
201208,16.46,10.65
201209,6.68,1.92
201210,1.12,-2.10
201211,2.24,-1.79
201212,5.54,0.23
201301,8.98,3.81
201302,10.13,5.17
201303,0.98,-4.80
201304,8.98,3.91
201305,4.85,-0.50
201306,4.59,-0.51
201307,6.41,-0.53
201308,5.07,-0.74
201309,5.48,0.72
201310,1.64,-1.58
201311,3.51,-0.52
201312,4.29,-1.02
201401,3.02,-2.15
201402,8.99,4.03
201403,7.05,1.27
201404,5.38,0.31
201405,10.47,5.12
201406,8.74,3.64
201407,5.58,-1.36
201408,4.63,-1.18
201409,2.57,-2.19
201410,2.03,-1.19
201411,1.79,-2.24
201412,6.00,0.69
201501,5.12,-0.05
201502,2.91,-2.05
201503,5.63,-0.15
201504,10.14,5.07
201505,6.86,1.51
201506,3.99,-1.11
201507,4.45,-2.49
201508,3.01,-2.80
201509,3.99,-0.77
201510,5.84,2.62
201511,6.92,2.89
201512,9.47,4.16
201601,3.94,-1.23
201602,5.50,0.54
201603,8.83,3.05
201604,6.97,1.90
201605,4.74,-0.61
201606,6.92,1.82
201607,5.11,-1.83
201608,10.58,4.77
201609,4.73,-0.03
201610,0.13,-3.09
201611,2.13,-1.90
201612,6.02,0.71
201701,9.85,4.68
201702,2.26,-2.70
201703,4.46,-1.32
201704,4.61,-0.46
201705,10.09,4.74
201706,13.41,8.31
201707,5.45,-1.49
201708,11.19,5.38
201709,1.57,-3.19
201710,4.20,0.98
201711,1.36,-2.67
201712,7.68,2.37
201801,5.13,-0.04
201802,6.46,1.50
201803,5.06,-0.72
201804,7.66,2.59
201805,1.95,-3.40
201806,4.73,-0.37
201807,6.80,-0.14
201808,6.17,0.36
201809,6.06,1.30
201810,5.67,2.45
201811,6.63,2.60
201812,7.88,2.57
201901,3.93,-1.24
201902,5.71,0.75
201903,2.33,-3.45
201904,6.62,1.55
201905,6.18,0.83
201906,4.85,-0.25
201907,7.94,1.00
201908,9.20,3.39
201909,0.99,-3.77
201910,10.09,6.87
201911,1.34,-2.69
201912,2.93,-2.38
202001,6.23,1.06
