Suffolk County, Massachusetts, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.49,-0.43
200002,3.48,-0.02
200003,4.39,0.36
200004,6.12,2.15
200005,3.35,-0.02
200006,5.99,2.63
200007,5.26,1.85
200008,2.36,-1.26
200009,3.21,-0.42
200010,2.79,-0.65
200011,4.58,0.54
200012,4.69,0.68
200101,2.36,-1.56
200102,2.29,-1.21
200103,10.17,6.14
200104,1.43,-2.54
200105,2.22,-1.15
200106,5.97,2.61
200107,2.86,-0.55
200108,4.22,0.60
200109,2.52,-1.11
200110,1.01,-2.43
200111,0.96,-3.08
200112,3.23,-0.78
200201,3.04,-0.88
200202,2.36,-1.14
200203,4.02,-0.01
200204,3.31,-0.66
200205,5.60,2.23
200206,4.47,1.11
200207,2.09,-1.32
200208,2.35,-1.27
200209,4.25,0.62
200210,3.81,0.37
200211,6.04,2.00
200212,6.08,2.07
200301,2.42,-1.50
200302,4.69,1.19
200303,4.61,0.58
200304,4.73,0.76
200305,4.02,0.65
200306,5.36,2.00
200307,3.03,-0.38
200308,4.94,1.32
200309,3.13,-0.50
200310,6.12,2.68
200311,2.58,-1.46
200312,5.96,1.95
200401,1.30,-2.62
200402,1.69,-1.81
200403,2.86,-1.17
200404,9.43,5.46
200405,3.42,0.05
200406,1.98,-1.38
200407,4.23,0.82
200408,5.94,2.32
200409,7.00,3.37
200410,2.19,-1.25
200411,3.73,-0.31
200412,4.77,0.76
200501,5.02,1.10
200502,3.09,-0.41
200503,5.10,1.07
200504,4.06,0.09
200505,6.38,3.01
200506,1.59,-1.77
200507,3.11,-0.30
200508,3.40,-0.22
200509,2.38,-1.25
200510,12.57,9.13
200511,4.25,0.21
200512,3.70,-0.31
200601,5.18,1.26
200602,2.70,-0.80
200603,0.50,-3.53
200604,2.34,-1.63
200605,11.93,8.56
200606,11.63,8.27
200607,3.93,0.52
200608,3.95,0.33
200609,2.23,-1.40
200610,5.23,1.79
200611,6.52,2.48
200612,2.10,-1.91
200701,2.89,-1.03
200702,2.35,-1.15
200703,5.12,1.09
200704,7.66,3.69
200705,3.80,0.43
200706,2.66,-0.70
200707,4.37,0.96
200708,0.92,-2.70
200709,2.13,-1.50
200710,2.74,-0.70
200711,3.34,-0.70
200712,5.61,1.60
200801,2.99,-0.93
200802,7.99,4.49
200803,5.22,1.19
200804,3.38,-0.59
200805,2.17,-1.20
200806,3.25,-0.11
200807,6.88,3.47
200808,4.35,0.73
200809,7.57,3.94
200810,2.00,-1.44
200811,4.36,0.32
200812,7.80,3.79
200901,4.21,0.29
200902,2.01,-1.49
200903,3.08,-0.95
200904,4.54,0.57
200905,3.36,-0.01
200906,4.63,1.27
200907,8.13,4.72
200908,3.85,0.23
200909,2.88,-0.75
200910,5.93,2.49
200911,3.88,-0.16
200912,4.92,0.91
201001,3.57,-0.35
201002,4.57,1.07
201003,15.49,11.46
201004,1.94,-2.03
201005,2.92,-0.45
201006,2.77,-0.59
201007,2.42,-0.99
201008,5.98,2.36
201009,2.05,-1.58
201010,5.00,1.56
201011,3.72,-0.32
201012,3.88,-0.13
201101,4.43,0.51
201102,4.63,1.13
201103,2.52,-1.51
201104,4.62,0.65
201105,3.47,0.10
201106,4.80,1.44
201107,2.31,-1.10
201108,8.25,4.63
201109,5.73,2.10
201110,8.93,5.49
201111,4.24,0.20
201112,4.04,0.03
201201,3.20,-0.72
201202,0.93,-2.57
201203,1.75,-2.28
201204,3.34,-0.63
201205,4.08,0.71
201206,4.94,1.58
201207,3.13,-0.28
201208,4.03,0.41
201209,4.12,0.49
201210,4.20,0.76
201211,1.33,-2.71
201212,6.52,2.51
201301,1.45,-2.47
201302,5.54,2.04
201303,3.62,-0.41
201304,1.78,-2.19
201305,3.96,0.59
201306,10.68,7.32
201307,4.05,0.64
201308,2.27,-1.35
201309,2.83,-0.80
201310,0.85,-2.59
201311,3.14,-0.90
201312,4.82,0.81
201401,3.49,-0.43
201402,4.72,1.22
201403,4.72,0.69
201404,3.58,-0.39
201405,3.19,-0.18
201406,2.41,-0.95
201407,5.33,1.92
201408,1.99,-1.63
201409,0.94,-2.69
201410,6.61,3.17
201411,5.23,1.19
201412,6.86,2.85
201501,3.91,-0.01
201502,4.07,0.57
201503,3.11,-0.92
201504,2.40,-1.57
201505,1.10,-2.27
201506,5.67,2.31
201507,2.47,-0.94
201508,2.39,-1.23
201509,3.35,-0.28
201510,3.12,-0.32
201511,2.34,-1.70
201512,4.60,0.59
201601,3.29,-0.63
201602,4.44,0.94
201603,3.16,-0.87
201604,3.32,-0.65
201605,2.85,-0.52
201606,1.51,-1.85
201607,1.42,-1.99
201608,1.91,-1.71
201609,1.78,-1.85
201610,6.42,2.98
201611,2.46,-1.58
201612,3.38,-0.63
201701,4.58,0.66
201702,3.22,-0.28
201703,3.93,-0.10
201704,6.64,2.67
201705,4.55,1.18
201706,4.99,1.63
201707,3.51,0.10
201708,1.75,-1.87
201709,3.86,0.23
201710,5.72,2.28
201711,2.00,-2.04
201712,2.80,-1.21
201801,4.95,1.03
201802,4.06,0.56
201803,6.25,2.22
201804,5.55,1.58
201805,2.12,-1.25
201806,2.99,-0.37
201807,4.06,0.65
201808,4.81,1.19
201809,7.17,3.54
201810,4.89,1.45
201811,9.70,5.66
201812,3.15,-0.86
201901,4.73,0.81
201902,3.42,-0.08
201903,3.17,-0.86
201904,7.03,3.06
201905,3.80,0.43
201906,4.49,1.13
201907,5.52,2.11
201908,3.59,-0.03
201909,1.52,-2.11
201910,5.86,2.42
201911,3.47,-0.57
201912,7.07,3.06
202001,1.44,-2.48
