Montgomery County, Maryland, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.01,-0.14
200002,2.38,-0.33
200003,4.07,0.55
200004,4.65,1.26
200005,2.72,-1.07
200006,4.47,0.56
200007,4.94,0.99
200008,4.46,0.14
200009,5.40,1.83
200010,0.20,-2.92
200011,1.73,-1.23
200012,2.58,-0.59
200101,2.71,-0.44
200102,2.16,-0.55
200103,4.52,1.00
200104,2.03,-1.36
200105,5.03,1.24
200106,5.46,1.55
200107,4.06,0.11
200108,4.91,0.59
200109,3.25,-0.32
200110,1.06,-2.06
200111,1.30,-1.66
200112,1.77,-1.40
200201,1.66,-1.49
200202,0.43,-2.28
200203,3.70,0.18
200204,3.44,0.05
200205,4.29,0.50
200206,2.79,-1.12
200207,3.21,-0.74
200208,2.88,-1.44
200209,3.53,-0.04
200210,5.82,2.70
200211,4.37,1.41
200212,4.02,0.85
200301,2.74,-0.41
200302,5.84,3.13
200303,4.03,0.51
200304,2.66,-0.73
200305,7.43,3.64
200306,7.46,3.55
200307,6.18,2.23
200308,4.56,0.24
200309,8.23,4.66
200310,4.89,1.77
200311,4.92,1.96
200312,5.01,1.84
200401,1.74,-1.41
200402,2.33,-0.38
200403,2.30,-1.22
200404,5.09,1.70
200405,4.20,0.41
200406,3.91,0.00
200407,5.55,1.60
200408,3.63,-0.69
200409,4.65,1.08
200410,1.35,-1.77
200411,4.03,1.07
200412,3.21,0.04
200501,3.19,0.04
200502,1.59,-1.12
200503,4.62,1.10
200504,4.05,0.66
200505,3.60,-0.19
200506,2.55,-1.36
200507,7.57,3.62
200508,2.00,-2.32
200509,0.37,-3.20
200510,8.78,5.66
200511,2.42,-0.54
200512,2.86,-0.31
200601,3.36,0.21
200602,2.13,-0.58
200603,0.16,-3.36
200604,3.52,0.13
200605,1.99,-1.80
200606,10.73,6.82
200607,3.11,-0.84
200608,0.73,-3.59
200609,6.22,2.65
200610,5.01,1.89
200611,5.99,3.03
200612,1.86,-1.31
200701,2.42,-0.73
200702,2.53,-0.18
200703,3.18,-0.34
200704,4.10,0.71
200705,0.99,-2.80
200706,3.12,-0.79
200707,1.94,-2.01
200708,3.13,-1.19
200709,1.14,-2.43
200710,4.19,1.07
200711,1.90,-1.06
200712,3.55,0.38
200801,1.54,-1.61
200802,3.54,0.83
200803,3.07,-0.45
200804,6.29,2.90
200805,7.46,3.67
200806,4.48,0.57
200807,3.49,-0.46
200808,2.04,-2.28
200809,5.97,2.40
200810,1.74,-1.38
200811,2.12,-0.84
200812,3.90,0.73
200901,2.73,-0.42
200902,0.47,-2.24
200903,2.43,-1.09
200904,4.17,0.78
200905,8.04,4.25
200906,6.22,2.31
200907,3.45,-0.50
200908,4.88,0.56
200909,2.37,-1.20
200910,5.64,2.52
200911,3.96,1.00
200912,6.45,3.28
201001,2.21,-0.94
201002,3.73,1.02
201003,3.54,0.02
201004,2.16,-1.23
201005,3.51,-0.28
201006,1.89,-2.02
201007,3.80,-0.15
201008,5.06,0.74
201009,5.00,1.43
201010,4.03,0.91
201011,2.12,-0.84
201012,1.78,-1.39
201101,2.01,-1.14
201102,2.28,-0.43
201103,5.19,1.67
201104,4.99,1.60
201105,3.32,-0.47
201106,1.72,-2.19
201107,2.97,-0.98
201108,7.83,3.51
201109,9.67,6.10
201110,4.58,1.46
201111,2.74,-0.22
201112,4.12,0.95
201201,2.10,-1.05
201202,1.90,-0.81
201203,2.06,-1.46
201204,1.94,-1.45
201205,4.83,1.04
201206,3.44,-0.47
201207,4.35,0.40
201208,3.33,-0.99
201209,2.92,-0.65
201210,8.46,5.34
201211,0.86,-2.10
201212,3.32,0.15
201301,3.90,0.75
201302,1.82,-0.89
201303,2.83,-0.69
201304,2.36,-1.03
201305,4.01,0.22
201306,7.73,3.82
201307,4.30,0.35
201308,2.17,-2.15
201309,1.40,-2.17
201310,6.68,3.56
201311,2.64,-0.32
201312,5.20,2.03
201401,2.82,-0.33
201402,4.46,1.75
201403,4.44,0.92
201404,5.41,2.02
201405,7.29,3.50
201406,3.40,-0.51
201407,3.42,-0.53
201408,4.08,-0.24
201409,2.15,-1.42
201410,3.46,0.34
201411,2.95,-0.01
201412,3.54,0.37
201501,3.35,0.20
201502,1.73,-0.98
201503,4.64,1.12
201504,3.36,-0.03
201505,2.86,-0.93
201506,9.98,6.07
201507,3.66,-0.29
201508,1.61,-2.71
201509,3.07,-0.50
201510,3.78,0.66
201511,2.29,-0.67
201512,4.91,1.74
201601,3.51,0.36
201602,4.15,1.44
201603,1.67,-1.85
201604,1.87,-1.52
201605,5.97,2.18
201606,4.40,0.49
201607,5.99,2.04
201608,2.47,-1.85
201609,3.89,0.32
201610,0.72,-2.40
201611,1.16,-1.80
201612,3.24,0.07
201701,2.72,-0.43
201702,0.61,-2.10
201703,3.11,-0.41
201704,3.43,0.04
201705,5.87,2.08
201706,1.69,-2.22
201707,8.14,4.19
201708,4.08,-0.24
201709,2.42,-1.15
201710,3.20,0.08
201711,1.97,-0.99
201712,0.79,-2.38
201801,1.57,-1.58
201802,4.42,1.71
201803,2.06,-1.46
201804,3.70,0.31
201805,7.23,3.44
201806,5.30,1.39
201807,9.41,5.46
201808,5.29,0.97
201809,9.67,6.10
201810,2.68,-0.44
201811,7.37,4.41
201812,5.55,2.38
201901,3.49,0.34
201902,3.48,0.77
201903,4.62,1.10
201904,2.54,-0.85
201905,5.62,1.83
201906,3.49,-0.42
201907,5.75,1.80
201908,3.13,-1.19
201909,0.37,-3.20
201910,6.25,3.13
201911,1.88,-1.08
201912,3.20,0.03
202001,2.94,-0.21
