Penobscot County, Maine, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,3.47,0.10
200002,3.15,0.37
200003,3.90,0.56
200004,5.56,2.25
200005,4.39,1.04
200006,2.41,-1.19
200007,3.57,-0.05
200008,2.36,-1.09
200009,1.95,-1.71
200010,3.15,-0.60
200011,2.66,-1.27
200012,4.51,0.96
200101,1.17,-2.20
200102,2.57,-0.21
200103,2.87,-0.47
200104,0.74,-2.57
200105,1.51,-1.84
200106,2.84,-0.76
200107,3.42,-0.20
200108,1.39,-2.06
200109,4.32,0.66
200110,1.53,-2.22
200111,1.89,-2.04
200112,2.15,-1.40
200201,2.75,-0.62
200202,3.39,0.61
200203,3.56,0.22
200204,4.56,1.25
200205,2.94,-0.41
200206,3.29,-0.31
200207,3.55,-0.07
200208,0.81,-2.64
200209,4.69,1.03
200210,3.08,-0.67
200211,4.30,0.37
200212,3.54,-0.01
200301,1.30,-2.07
200302,2.54,-0.24
200303,3.73,0.39
200304,1.63,-1.68
200305,2.98,-0.37
200306,3.18,-0.42
200307,2.72,-0.90
200308,3.38,-0.07
200309,4.98,1.32
200310,8.58,4.83
200311,4.48,0.55
200312,6.04,2.49
200401,0.84,-2.53
200402,1.32,-1.46
200403,1.65,-1.69
200404,3.24,-0.07
200405,3.61,0.26
200406,2.24,-1.36
200407,4.48,0.86
200408,6.46,3.01
200409,2.31,-1.35
200410,2.30,-1.45
200411,4.25,0.32
200412,4.29,0.74
200501,2.54,-0.83
200502,2.31,-0.47
200503,4.27,0.93
200504,7.47,4.16
200505,5.85,2.50
200506,3.03,-0.57
200507,4.49,0.87
200508,5.40,1.95
200509,4.49,0.83
200510,11.52,7.77
200511,7.42,3.49
200512,5.65,2.10
200601,4.71,1.34
200602,2.67,-0.11
200603,1.11,-2.23
200604,2.55,-0.76
200605,5.80,2.45
200606,7.61,4.01
200607,5.55,1.93
200608,3.46,0.01
200609,3.26,-0.40
200610,7.60,3.85
200611,5.37,1.44
200612,2.76,-0.79
200701,2.69,-0.68
200702,1.83,-0.95
200703,4.32,0.98
200704,6.00,2.69
200705,3.40,0.05
200706,2.69,-0.91
200707,2.54,-1.08
200708,3.82,0.37
200709,1.59,-2.07
200710,4.74,0.99
200711,7.92,3.99
200712,3.98,0.43
200801,2.79,-0.58
200802,4.88,2.10
200803,4.43,1.09
200804,4.71,1.40
200805,1.54,-1.81
200806,5.58,1.98
200807,4.98,1.36
200808,4.25,0.80
200809,5.34,1.68
200810,4.81,1.06
200811,5.08,1.15
200812,5.32,1.77
200901,2.16,-1.21
200902,2.43,-0.35
200903,2.34,-1.00
200904,3.86,0.55
200905,4.06,0.71
200906,7.04,3.44
200907,6.26,2.64
200908,3.12,-0.33
200909,1.45,-2.21
200910,5.70,1.95
200911,4.91,0.98
200912,3.83,0.28
201001,3.09,-0.28
201002,2.09,-0.69
201003,4.80,1.46
201004,2.46,-0.85
201005,2.02,-1.33
201006,6.48,2.88
201007,1.81,-1.81
201008,1.71,-1.74
201009,5.15,1.49
201010,5.38,1.63
201011,5.43,1.50
201012,6.68,3.13
201101,1.57,-1.80
201102,2.58,-0.20
201103,5.07,1.73
201104,4.59,1.28
201105,4.69,1.34
201106,3.31,-0.29
201107,2.80,-0.82
201108,7.69,4.24
201109,3.49,-0.17
201110,4.68,0.93
201111,1.88,-2.05
201112,3.36,-0.19
201201,2.90,-0.47
201202,1.79,-0.99
201203,1.62,-1.72
201204,3.86,0.55
201205,4.30,0.95
201206,7.51,3.91
201207,1.17,-2.45
201208,3.56,0.11
201209,5.29,1.63
201210,7.25,3.50
201211,1.40,-2.53
201212,4.52,0.97
201301,1.28,-2.09
201302,2.66,-0.12
201303,2.13,-1.21
201304,1.79,-1.52
201305,5.04,1.69
201306,5.80,2.20
201307,4.71,1.09
201308,5.24,1.79
201309,5.75,2.09
201310,1.43,-2.32
201311,4.27,0.34
201312,3.36,-0.19
201401,3.88,0.51
201402,2.49,-0.29
201403,3.72,0.38
201404,3.20,-0.11
201405,3.55,0.20
201406,4.53,0.93
201407,5.97,2.35
201408,2.77,-0.68
201409,1.02,-2.64
201410,6.55,2.80
201411,3.34,-0.59
201412,6.48,2.93
201501,2.74,-0.63
201502,1.84,-0.94
201503,1.82,-1.52
201504,2.64,-0.67
201505,3.41,0.06
201506,5.32,1.72
201507,3.24,-0.38
201508,4.68,1.23
201509,6.12,2.46
201510,4.68,0.93
201511,2.53,-1.40
201512,5.28,1.73
201601,2.44,-0.93
201602,4.39,1.61
201603,3.62,0.28
201604,2.73,-0.58
201605,2.52,-0.83
201606,3.11,-0.49
201607,3.07,-0.55
201608,3.79,0.34
201609,1.40,-2.26
201610,3.37,-0.38
201611,3.71,-0.22
201612,4.22,0.67
201701,3.70,0.33
201702,3.01,0.23
201703,2.27,-1.07
201704,3.91,0.60
201705,5.57,2.22
201706,3.70,0.10
201707,2.00,-1.62
201708,1.88,-1.57
201709,3.06,-0.60
201710,6.81,3.06
201711,2.81,-1.12
201712,3.91,0.36
201801,5.24,1.87
201802,2.95,0.17
201803,2.53,-0.81
201804,4.56,1.25
201805,2.06,-1.29
201806,3.34,-0.26
201807,3.69,0.07
201808,3.70,0.25
201809,2.43,-1.23
201810,4.49,0.74
201811,5.93,2.00
201812,3.92,0.37
201901,5.35,1.98
201902,2.64,-0.14
201903,2.33,-1.01
201904,5.29,1.98
201905,4.40,1.05
201906,5.08,1.48
201907,3.35,-0.27
201908,5.36,1.91
201909,3.65,-0.01
201910,5.27,1.52
201911,4.34,0.41
201912,4.02,0.47
202001,2.63,-0.74
